Kurs:;31;;31;;31;;31;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;82;;73;;73;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Baalsdorf, Kirchweg;04:57;04:57;05:57;05:57;06:57;06:58;07:57;07:57;09:09;09:08;09:39;09:39;10:09;10:09;10:39;10:39;11:09;11:09;11:39;11:41;12:09;12:09;12:39;12:38;13:09;13:09;13:39;13:39;14:09;14:09;14:39;14:39;15:09;15:09;15:39;15:39;16:09;16:09;16:39;16:39;17:09;17:10;17:39;17:39;18:09;18:09;18:39;18:40;19:09;19:09;19:39;19:39;20:09;20:09;20:39;20:39;21:09;21:10;21:39;21:39;22:10;22:10;22:57;22:57;23:57;23:57
Baalsdorfer Straße;04:58;04:58;05:58;05:58;06:58;06:59;07:58;07:58;09:10;09:10;09:40;09:40;10:10;10:10;10:40;10:40;11:10;11:10;11:40;11:42;12:10;12:10;12:40;12:40;13:10;13:10;13:40;13:40;14:10;14:10;14:40;14:40;15:10;15:10;15:40;15:40;16:10;16:10;16:40;16:40;17:10;17:11;17:40;17:40;18:10;18:10;18:40;18:41;19:10;19:10;19:40;19:41;20:10;20:10;20:40;20:40;21:10;21:11;21:40;21:40;22:11;22:11;22:58;22:58;23:58;23:58
Brandiser Straße;04:59;04:59;05:59;05:59;06:59;07:00;07:59;07:59;09:11;09:10;09:41;09:41;10:11;10:11;10:41;10:41;11:11;11:11;11:41;11:43;12:11;12:10;12:41;12:41;13:11;13:11;13:41;13:41;14:11;14:11;14:41;14:41;15:11;15:11;15:41;15:41;16:11;16:11;16:41;16:40;17:11;17:12;17:41;17:41;18:11;18:11;18:41;18:42;19:11;19:11;19:41;19:42;20:11;20:11;20:41;20:40;21:11;21:11;21:41;21:41;22:12;22:12;22:59;22:59;23:59;23:59
Lintacherstraße;05:00;05:00;06:00;06:00;07:00;07:01;08:00;08:00;09:12;09:12;09:42;09:42;10:12;10:12;10:42;10:42;11:12;11:11;11:42;11:43;12:12;12:11;12:42;12:41;13:12;13:12;13:42;13:42;14:12;14:12;14:42;14:42;15:12;15:12;15:42;15:42;16:12;16:12;16:42;16:41;17:12;17:13;17:42;17:42;18:12;18:12;18:42;18:43;19:12;19:12;19:42;19:43;20:12;20:12;20:42;20:42;21:12;21:12;21:42;21:42;22:13;22:13;23:00;23:00;00:00;00:00
Bf. Mölkau;05:01;05:01;06:01;06:01;07:01;07:02;08:01;08:01;09:13;09:13;09:43;09:43;10:13;10:14;10:43;10:43;11:13;11:12;11:43;11:44;12:13;12:12;12:43;12:42;13:13;13:12;13:43;13:43;14:13;14:13;14:43;14:43;15:13;15:13;15:43;15:44;16:13;16:13;16:43;16:42;17:13;17:14;17:43;17:43;18:13;18:13;18:43;18:45;19:13;19:13;19:43;19:44;20:13;20:13;20:43;20:43;21:13;21:13;21:43;21:42;22:14;22:14;23:01;23:01;00:01;00:01
Gottschalkstraße;05:02;05:02;06:02;06:02;07:02;07:03;08:02;08:02;09:14;09:14;09:44;09:44;10:14;10:15;10:44;10:45;11:14;11:13;11:44;11:45;12:14;12:13;12:44;12:43;13:14;13:13;13:44;13:44;14:14;14:14;14:44;14:44;15:14;15:15;15:44;15:45;16:14;16:14;16:44;16:43;17:14;17:15;17:44;17:44;18:14;18:14;18:44;18:45;19:14;19:14;19:44;19:45;20:14;20:14;20:44;20:44;21:14;21:14;21:44;21:43;22:14;22:15;23:02;23:02;00:02;00:02
Schulstraße;05:03;05:02;06:03;06:03;07:03;07:04;08:03;08:03;09:15;09:14;09:45;09:45;10:15;10:16;10:45;10:45;11:15;11:14;11:45;11:46;12:15;12:14;12:45;12:44;13:15;13:14;13:45;13:45;14:15;14:15;14:45;14:45;15:15;15:16;15:45;15:46;16:15;16:15;16:45;16:44;17:15;17:15;17:45;17:45;18:15;18:14;18:45;18:46;19:15;19:14;19:45;19:46;20:15;20:14;20:45;20:44;21:15;21:14;21:45;21:44;22:15;22:16;23:03;23:02;00:03;00:02
An den Platanen;05:04;05:03;06:04;06:04;07:04;07:04;08:04;08:04;09:16;09:15;09:46;09:46;10:16;10:17;10:46;10:46;11:16;11:15;11:46;11:47;12:16;12:15;12:46;12:45;13:16;13:15;13:46;13:46;14:16;14:16;14:46;14:46;15:16;15:17;15:46;15:47;16:16;16:16;16:46;16:46;17:16;17:16;17:46;17:45;18:16;18:15;18:46;18:48;19:16;19:15;19:46;19:47;20:16;20:15;20:46;20:45;21:16;21:15;21:46;21:45;22:16;22:16;23:04;23:04;00:04;00:04
Mölkau, Gemeindeamt;05:06;05:04;06:06;06:05;07:06;07:06;08:06;08:05;09:18;09:16;09:48;09:47;10:18;10:18;10:48;10:48;11:18;11:17;11:48;11:48;12:18;12:16;12:48;12:47;13:18;13:17;13:48;13:47;14:18;14:17;14:48;14:47;15:18;15:20;15:48;15:49;16:18;16:17;16:48;16:47;17:18;17:18;17:48;17:48;18:18;18:17;18:48;18:49;19:18;19:17;19:48;19:48;20:18;20:18;20:48;20:47;21:18;21:17;21:48;21:47;22:18;22:17;23:06;23:06;00:06;00:06
Anemonenweg;05:07;05:07;06:07;06:07;07:07;07:07;08:07;08:07;09:19;09:18;09:49;09:48;10:19;10:19;10:49;10:49;11:19;11:19;11:49;11:49;12:19;12:18;12:49;12:49;13:19;13:19;13:49;13:50;14:19;14:19;14:49;14:49;15:19;15:21;15:49;15:51;16:19;16:19;16:49;16:48;17:19;17:19;17:49;17:49;18:19;18:19;18:49;18:51;19:19;19:18;19:49;19:49;20:19;20:19;20:49;20:49;21:19;21:18;21:49;21:48;22:19;22:18;23:07;23:07;00:07;00:07
Dr.-Wilhelm-Külz-Straße;05:08;05:07;06:08;06:07;07:08;07:08;08:08;08:07;09:20;09:19;09:50;09:49;10:20;10:20;10:50;10:50;11:20;11:19;11:50;11:50;12:20;12:19;12:50;12:49;13:20;13:19;13:50;13:50;14:20;14:19;14:50;14:50;15:20;15:21;15:50;15:51;16:20;16:19;16:50;16:49;17:20;17:20;17:50;17:50;18:20;18:19;18:50;18:51;19:20;19:19;19:50;19:50;20:20;20:20;20:50;20:49;21:20;21:18;21:50;21:49;22:20;22:19;23:08;23:07;00:08;00:08
Pommernstraße;05:09;05:08;06:09;06:08;07:09;07:08;08:09;08:08;09:21;09:20;09:51;09:50;10:21;10:21;10:51;10:51;11:21;11:20;11:51;11:51;12:21;12:19;12:51;12:50;13:21;13:20;13:51;13:51;14:21;14:20;14:51;14:51;15:21;15:22;15:51;15:52;16:21;16:20;16:51;16:50;17:21;17:20;17:51;17:50;18:21;18:20;18:51;18:52;19:21;19:20;19:51;19:50;20:21;20:21;20:51;20:50;21:21;21:20;21:51;21:50;22:21;22:20;23:09;23:09;00:09;00:09
Ostfriedhof;05:10;05:09;06:10;06:09;07:10;07:09;08:10;08:09;09:22;09:20;09:52;09:51;10:22;10:22;10:52;10:52;11:22;11:21;11:52;11:52;12:22;12:20;12:52;12:51;13:22;13:21;13:52;13:51;14:22;14:21;14:52;14:52;15:22;15:22;15:52;15:53;16:22;16:21;16:52;16:50;17:22;17:21;17:52;17:51;18:22;18:20;18:52;18:52;19:22;19:21;19:52;19:51;20:22;20:21;20:52;20:51;21:22;21:21;21:52;21:51;22:22;22:21;23:10;23:10;00:10;00:10
S-Bf. Anger-Crottendorf;05:11;05:11;06:11;06:11;07:11;07:11;08:11;08:11;09:23;09:22;09:53;09:52;10:23;10:22;10:53;10:52;11:23;11:22;11:53;11:53;12:23;12:22;12:53;12:52;13:23;13:22;13:53;13:52;14:23;14:22;14:53;14:52;15:23;15:23;15:53;15:54;16:23;16:22;16:53;16:52;17:23;17:23;17:53;17:53;18:23;18:22;18:53;18:53;19:23;19:22;19:53;19:53;20:23;20:23;20:53;20:53;21:23;21:22;21:53;21:52;22:23;22:22;23:11;23:11;00:11;00:10
Martinstraße;05:12;05:11;06:12;06:11;07:12;07:12;08:12;08:12;09:24;09:23;09:54;09:53;10:24;10:23;10:54;10:53;11:24;11:23;11:54;11:54;12:24;12:24;12:54;12:53;13:24;13:24;13:54;13:54;14:24;14:24;14:54;14:53;15:24;15:24;15:54;15:55;16:24;16:23;16:54;16:53;17:24;17:24;17:54;17:54;18:24;18:23;18:54;18:54;19:24;19:23;19:54;19:54;20:24;20:24;20:54;20:54;21:24;21:23;21:54;21:53;22:24;22:23;23:12;23:12;00:12;00:12
Breite Straße;05:13;05:12;06:13;06:12;07:13;07:13;08:13;08:14;09:25;09:24;09:55;09:54;10:25;10:25;10:55;10:55;11:25;11:24;11:55;11:55;12:25;12:25;12:55;12:55;13:25;13:25;13:55;13:55;14:25;14:25;14:55;14:55;15:25;15:26;15:55;15:56;16:25;16:24;16:55;16:54;17:25;17:26;17:55;17:56;18:25;18:24;18:55;18:55;19:25;19:25;19:55;19:56;20:25;20:25;20:55;20:55;21:25;21:25;21:55;21:54;22:25;22:24;23:13;23:14;00:13;00:14
Reudnitz, Koehlerstraße;05:15;05:14;06:15;06:14;07:15;07:15;08:15;08:16;09:27;09:26;09:57;09:58;10:27;10:27;10:57;10:57;11:27;11:27;11:57;11:58;12:27;12:27;12:57;12:58;13:27;13:27;13:57;13:57;14:27;14:27;14:57;14:57;15:27;15:28;15:57;15:58;16:27;16:26;16:57;16:56;17:27;17:28;17:57;17:58;18:27;18:26;18:57;18:57;19:27;19:27;19:57;19:58;20:27;20:28;20:57;20:57;21:27;21:27;21:57;21:56;22:27;22:26;23:15;23:17;00:15;00:16
