Kurs:;80;;99;;99;;99;;99;;91;;93;;82;;83;;81;;91;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;93;;95;;31;;85;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
K.-Eisner-/A.-Hoffm.-S.;00:15;00:17;01:06;01:05;02:17;02:17;03:28;03:28;04:39;04:39;05:15;05:15;05:45;05:45;06:15;06:15;06:45;06:47;07:15;07:15;07:45;07:45;08:15;08:17;08:36;08:37;08:51;08:52;09:06;09:07;09:21;09:21;09:36;09:36;09:51;09:53;10:06;10:05;10:21;10:20;10:34;10:33;10:49;10:48;11:04;11:04;11:19;11:20;11:34;11:34;11:49;11:48;12:04;12:04;12:19;12:20;12:34;12:35;12:49;12:49;13:04;13:04;13:19;13:19;13:34;13:35;13:49;13:49;14:04;14:04;14:19;14:20;14:34;14:33;14:49;14:49;15:04;15:04;15:19;15:18;15:34;15:35;15:49;15:49;16:04;16:05;16:19;16:19;16:34;16:34;16:49;16:51;17:04;17:04;17:19;17:19;17:34;17:33;17:49;17:48;18:04;18:04;18:19;18:21;18:34;18:36;18:51;18:52;19:06;19:08;19:21;19:20;19:36;19:37;19:51;19:52;20:06;20:07;20:21;20:22;20:36;20:36;20:51;20:52;21:06;21:08;21:21;21:21;21:36;21:37;21:51;21:52;22:21;22:23;22:45;22:51;23:15;23:17;23:45;23:47
K.-Liebkn.-/K.-Eisner-S.;00:16;00:20;01:07;01:08;02:18;02:19;03:29;03:29;04:40;04:40;05:16;05:16;05:46;05:47;06:16;06:16;06:46;06:48;07:16;07:16;07:46;07:46;08:16;08:19;08:37;08:39;08:52;08:53;09:07;09:08;09:22;09:23;09:37;09:37;09:52;09:55;10:07;10:07;10:22;10:21;10:35;10:36;10:50;10:50;11:05;11:05;11:20;11:23;11:35;11:35;11:50;11:49;12:05;12:07;12:20;12:23;12:35;12:37;12:50;12:51;13:05;13:05;13:20;13:20;13:35;13:36;13:50;13:51;14:05;14:05;14:20;14:21;14:35;14:36;14:50;14:51;15:05;15:05;15:20;15:19;15:35;15:37;15:50;15:51;16:05;16:07;16:20;16:20;16:35;16:35;16:50;16:52;17:05;17:07;17:20;17:20;17:35;17:35;17:50;17:49;18:05;18:05;18:20;18:23;18:35;18:37;18:52;18:53;19:07;19:09;19:22;19:21;19:37;19:39;19:52;19:53;20:07;20:08;20:22;20:23;20:37;20:37;20:52;20:53;21:07;21:09;21:22;21:23;21:37;21:38;21:52;21:53;22:22;22:24;22:46;22:53;23:16;23:19;23:46;23:49
Fockestraße;00:18;00:22;01:09;01:10;02:20;02:20;03:31;03:30;04:42;04:41;05:18;05:17;05:48;05:48;06:18;06:18;06:48;06:49;07:18;07:17;07:48;07:48;08:18;08:20;08:39;08:40;08:54;08:54;09:09;09:09;09:24;09:24;09:39;09:39;09:54;09:56;10:09;10:08;10:24;10:23;10:37;10:38;10:52;10:51;11:07;11:07;11:22;11:24;11:37;11:36;11:52;11:51;12:07;12:09;12:22;12:24;12:37;12:39;12:52;12:53;13:07;13:07;13:22;13:22;13:37;13:39;13:52;13:52;14:07;14:08;14:22;14:24;14:37;14:38;14:52;14:52;15:07;15:07;15:22;15:20;15:37;15:39;15:52;15:52;16:07;16:10;16:22;16:21;16:37;16:39;16:52;16:53;17:07;17:08;17:22;17:22;17:37;17:38;17:52;17:51;18:07;18:07;18:22;18:25;18:37;18:39;18:54;18:55;19:09;19:11;19:24;19:23;19:39;19:41;19:54;19:55;20:09;20:09;20:24;20:24;20:39;20:40;20:54;20:55;21:09;21:10;21:24;21:24;21:39;21:40;21:54;21:56;22:24;22:26;22:48;22:54;23:18;23:21;23:48;23:51
Rennbahn;00:19;00:23;01:10;01:11;02:21;02:21;03:32;03:31;04:43;04:42;05:19;05:18;05:49;05:49;06:19;06:18;06:49;06:50;07:19;07:18;07:49;07:49;08:19;08:21;08:40;08:40;08:55;08:55;09:10;09:11;09:25;09:25;09:40;09:40;09:55;09:57;10:10;10:09;10:25;10:24;10:38;10:39;10:53;10:53;11:08;11:09;11:23;11:26;11:38;11:37;11:53;11:52;12:08;12:10;12:23;12:26;12:38;12:40;12:53;12:54;13:08;13:08;13:23;13:23;13:38;13:40;13:53;13:53;14:08;14:09;14:23;14:25;14:38;14:39;14:53;14:53;15:08;15:09;15:23;15:22;15:38;15:40;15:53;15:53;16:08;16:10;16:23;16:22;16:38;16:40;16:53;16:55;17:08;17:09;17:23;17:22;17:38;17:38;17:53;17:52;18:08;18:08;18:23;18:26;18:38;18:40;18:55;18:56;19:10;19:12;19:25;19:25;19:40;19:42;19:55;19:56;20:10;20:11;20:25;20:25;20:40;20:40;20:55;20:55;21:10;21:11;21:25;21:25;21:40;21:41;21:55;21:57;22:25;22:27;22:49;22:55;23:19;23:22;23:49;23:52
Rochlitzstraße;00:20;00:24;01:11;01:12;02:22;02:22;03:33;03:33;04:44;04:44;05:20;05:19;05:50;05:50;06:20;06:20;06:50;06:51;07:20;07:19;07:50;07:50;08:20;08:22;08:41;08:42;08:56;08:56;09:11;09:12;09:26;09:26;09:41;09:41;09:56;09:58;10:11;10:10;10:26;10:25;10:39;10:41;10:54;10:54;11:09;11:10;11:24;11:27;11:39;11:39;11:54;11:53;12:09;12:12;12:24;12:27;12:39;12:42;12:54;12:55;13:09;13:09;13:24;13:26;13:39;13:41;13:54;13:54;14:09;14:10;14:24;14:26;14:39;14:40;14:54;14:55;15:09;15:11;15:24;15:23;15:39;15:41;15:54;15:54;16:09;16:12;16:24;16:24;16:39;16:41;16:54;16:56;17:09;17:10;17:24;17:24;17:39;17:39;17:54;17:53;18:09;18:09;18:24;18:28;18:39;18:41;18:56;18:57;19:11;19:13;19:26;19:26;19:41;19:43;19:56;19:57;20:11;20:12;20:26;20:26;20:41;20:41;20:56;20:57;21:11;21:12;21:26;21:26;21:41;21:42;21:56;21:58;22:26;22:28;22:50;22:56;23:20;23:23;23:50;23:53
Rödelstraße;00:21;00:26;01:12;01:13;02:23;02:23;03:34;03:34;04:45;04:45;05:21;05:20;05:51;05:51;06:21;06:21;06:51;06:52;07:21;07:21;07:51;07:52;08:21;08:24;08:43;08:43;08:58;08:58;09:13;09:13;09:28;09:28;09:43;09:43;09:58;10:00;10:13;10:11;10:28;10:26;10:41;10:42;10:56;10:56;11:11;11:11;11:26;11:28;11:41;11:40;11:56;11:54;12:11;12:13;12:26;12:29;12:41;12:43;12:56;12:58;13:11;13:10;13:26;13:27;13:41;13:43;13:56;13:57;14:11;14:12;14:26;14:29;14:41;14:42;14:56;14:57;15:11;15:12;15:26;15:26;15:41;15:43;15:56;15:56;16:11;16:13;16:26;16:26;16:41;16:43;16:56;16:57;17:11;17:11;17:26;17:26;17:41;17:41;17:56;17:54;18:11;18:11;18:26;18:29;18:41;18:43;18:58;18:59;19:13;19:15;19:28;19:28;19:43;19:46;19:58;19:58;20:13;20:13;20:28;20:27;20:43;20:43;20:58;20:59;21:12;21:13;21:27;21:29;21:42;21:43;21:57;21:59;22:27;22:30;22:51;22:58;23:21;23:24;23:51;23:55
Adler;00:23;00:28;01:14;01:15;02:25;02:24;03:36;03:36;04:47;04:46;05:23;05:23;05:53;05:54;06:23;06:23;06:53;06:54;07:23;07:23;07:53;07:54;08:23;08:25;08:45;08:45;09:00;09:00;09:15;09:15;09:30;09:30;09:45;09:44;10:00;10:01;10:15;10:14;10:30;10:29;10:43;10:44;10:58;10:58;11:13;11:13;11:28;11:31;11:43;11:42;11:58;11:57;12:13;12:16;12:28;12:31;12:43;12:46;12:58;13:00;13:13;13:13;13:28;13:29;13:43;13:45;13:58;13:59;14:13;14:14;14:28;14:31;14:43;14:44;14:58;14:58;15:13;15:14;15:28;15:28;15:43;15:45;15:58;15:58;16:13;16:15;16:28;16:28;16:43;16:45;16:58;17:00;17:13;17:13;17:28;17:28;17:43;17:43;17:58;17:57;18:13;18:13;18:28;18:31;18:43;18:44;19:00;19:01;19:15;19:17;19:30;19:30;19:45;19:48;20:00;20:00;20:15;20:15;20:30;20:29;20:45;20:45;21:00;21:01;21:14;21:14;21:29;21:31;21:44;21:45;21:59;22:01;22:29;22:32;22:53;23:00;23:23;23:26;23:53;23:57
Antonien-/Gießerstraße;00:24;00:29;01:15;01:16;02:26;02:25;03:37;03:37;04:48;04:47;05:24;05:24;05:54;05:55;06:24;06:23;06:54;06:54;07:24;07:24;07:54;07:55;08:24;08:26;08:46;08:47;09:01;09:00;09:16;09:16;09:31;09:30;09:46;09:45;10:01;10:02;10:16;10:15;10:31;10:30;10:44;10:45;10:59;10:59;11:14;11:14;11:29;11:32;11:44;11:44;11:59;11:57;12:14;12:17;12:29;12:32;12:44;12:47;12:59;13:01;13:14;13:14;13:29;13:30;13:44;13:46;13:59;14:00;14:14;14:15;14:29;14:32;14:44;14:45;14:59;14:59;15:14;15:15;15:29;15:28;15:44;15:47;15:59;15:59;16:14;16:15;16:29;16:29;16:44;16:46;16:59;17:01;17:14;17:14;17:29;17:29;17:44;17:44;17:59;17:58;18:14;18:14;18:29;18:32;18:44;18:46;19:01;19:02;19:16;19:17;19:31;19:30;19:46;19:49;20:01;20:01;20:16;20:15;20:31;20:30;20:46;20:46;21:01;21:02;21:15;21:15;21:30;21:31;21:45;21:46;22:00;22:01;22:30;22:32;22:54;23:01;23:24;23:27;23:54;23:58
Siemensstraße;00:25;00:29;01:16;01:16;02:27;02:26;03:38;03:38;04:49;04:48;05:25;05:27;05:55;05:56;06:25;06:24;06:55;06:55;07:25;07:25;07:55;07:55;08:25;08:27;08:47;08:48;09:02;09:01;09:17;09:16;09:32;09:31;09:47;09:46;10:02;10:03;10:17;10:16;10:32;10:31;10:45;10:46;11:00;10:59;11:15;11:15;11:30;11:33;11:45;11:44;12:00;11:59;12:15;12:17;12:30;12:33;12:45;12:47;13:00;13:02;13:15;13:15;13:30;13:31;13:45;13:47;14:00;14:01;14:15;14:16;14:30;14:32;14:45;14:46;15:00;15:00;15:15;15:16;15:30;15:29;15:45;15:47;16:00;16:00;16:15;16:16;16:30;16:29;16:45;16:47;17:00;17:02;17:15;17:15;17:30;17:30;17:45;17:45;18:00;17:59;18:15;18:15;18:30;18:33;18:45;18:46;19:02;19:03;19:17;19:18;19:32;19:31;19:47;19:49;20:02;20:02;20:17;20:16;20:32;20:31;20:47;20:47;21:02;21:03;21:16;21:16;21:31;21:32;21:46;21:46;22:01;22:02;22:31;22:33;22:55;23:02;23:25;23:28;23:55;23:59
Naumburger Straße;00:26;00:30;01:17;01:17;02:28;02:27;03:39;03:39;04:50;04:49;05:26;05:28;05:56;05:57;06:26;06:25;06:56;06:56;07:26;07:26;07:56;07:56;08:26;08:28;08:48;08:48;09:03;09:02;09:18;09:18;09:33;09:32;09:48;09:48;10:03;10:04;10:18;10:17;10:33;10:33;10:46;10:47;11:01;11:00;11:16;11:16;11:31;11:35;11:46;11:45;12:01;12:00;12:16;12:18;12:31;12:34;12:46;12:49;13:01;13:03;13:16;13:16;13:31;13:32;13:46;13:48;14:01;14:03;14:16;14:17;14:31;14:33;14:46;14:47;15:01;15:01;15:16;15:17;15:31;15:30;15:46;15:48;16:01;16:01;16:16;16:17;16:31;16:31;16:46;16:48;17:01;17:03;17:16;17:16;17:31;17:31;17:46;17:46;18:01;18:00;18:16;18:16;18:31;18:34;18:46;18:47;19:03;19:04;19:18;19:20;19:33;19:32;19:48;19:51;20:03;20:03;20:18;20:17;20:33;20:32;20:48;20:48;21:03;21:04;21:17;21:17;21:32;21:33;21:47;21:48;22:02;22:03;22:32;22:34;22:56;23:03;23:26;23:29;23:56;00:00
