Kurs:;41;;21;;31;;20;;41;;28;;42;;43;;29;;26;;21;;25;;27;;41;;20;;42;;28;;29;;43;;21;;26;;27;;25;;23;;41;;24;;42;;43;;29;;26;;21;;25;;41;;23;;42;;24;;29;;43;;25;;22;;21;;23;;41;;24;;42;;43;;29;;22;;25;;23;;21;;24;;41;;43;;42;;22;;29;;23;;25;;24;;21;;43;;41;;22;;42;;23;;29;;24;;25;;43;;21;;22;;41;;23;;42;;24;;29;;43;;25;;22;;49;;21;;23;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Stahmeln;00:34;00:34;00:54;00:54;01:20;01:20;04:34;04:34;;;05:04;05:03;;;05:34;05:33;;;06:04;06:05;;;06:34;06:35;;;07:04;07:05;;;07:34;07:34;;;08:04;08:04;;;08:34;08:34;;;09:00;09:00;;;09:30;09:30;;;10:00;09:59;;;10:30;10:31;;;10:50;10:49;11:00;10:59;;;11:30;11:29;;;12:00;12:01;;;12:30;12:30;;;13:00;13:00;;;13:30;13:31;;;14:00;14:00;;;14:30;14:30;;;15:00;15:00;;;15:30;15:30;;;16:00;16:01;;;16:30;16:30;;;17:00;17:00;;;17:30;17:30;;;18:00;18:01;;;18:30;18:30;;;19:00;19:01;;;19:30;19:30;;;20:00;20:00;;;20:30;20:30;;;21:00;21:00;;;21:30;21:30;;;22:00;22:00;;;22:34;22:34;;;23:04;23:04;;;23:34;23:36;;;00:04;00:04;;
Pittlerstraße;00:36;00:36;00:56;00:56;01:22;01:22;04:36;04:36;;;05:06;05:05;;;05:36;05:36;;;06:06;06:07;;;06:36;06:37;;;07:06;07:07;;;07:36;07:36;;;08:06;08:06;;;08:36;08:36;;;09:02;09:02;;;09:32;09:32;;;10:02;10:01;;;10:32;10:33;;;10:52;10:51;11:02;11:01;;;11:32;11:31;;;12:02;12:03;;;12:32;12:32;;;13:02;13:02;;;13:32;13:33;;;14:02;14:02;;;14:32;14:32;;;15:02;15:02;;;15:32;15:31;;;16:02;16:02;;;16:32;16:33;;;17:02;17:02;;;17:32;17:32;;;18:02;18:03;;;18:32;18:32;;;19:02;19:03;;;19:32;19:32;;;20:02;20:02;;;20:32;20:33;;;21:02;21:02;;;21:32;21:32;;;22:02;22:02;;;22:36;22:36;;;23:06;23:06;;;23:36;23:38;;;00:06;00:07;;
Wahren;00:38;00:38;00:58;00:58;01:24;01:24;04:39;04:39;;;05:09;05:07;04:54;04:54;05:39;05:38;05:24;05:23;06:09;06:09;05:54;05:53;06:39;06:38;06:24;06:23;07:09;07:09;06:54;06:54;07:39;07:38;07:24;07:23;08:09;08:09;07:54;07:54;08:39;08:38;08:24;08:23;09:04;09:04;08:54;08:54;09:34;09:34;09:19;09:18;10:04;10:03;09:49;09:49;10:34;10:35;10:19;10:18;10:54;10:53;11:04;11:03;10:49;10:49;11:34;11:33;11:19;11:18;12:04;12:05;11:49;11:49;12:34;12:34;12:19;12:18;13:04;13:04;12:49;12:50;13:34;13:35;13:19;13:18;14:04;14:05;13:49;13:48;14:34;14:35;14:19;14:18;15:04;15:04;14:49;14:49;15:34;15:34;15:19;15:18;16:04;16:04;15:49;15:49;16:34;16:35;16:19;16:19;17:04;17:04;16:49;16:50;17:34;17:34;17:19;17:18;18:04;18:05;17:49;17:49;18:34;18:34;18:19;18:18;19:04;19:04;18:49;18:49;19:34;19:34;19:19;19:19;20:04;20:04;19:49;19:48;20:34;20:35;20:19;20:18;21:04;21:04;20:49;20:49;21:34;21:35;21:19;21:19;22:04;22:04;21:49;21:49;22:39;22:39;22:24;22:23;23:09;23:08;22:54;22:53;23:39;23:40;23:24;23:24;00:09;00:09;23:54;23:55
Annaberger Straße;00:40;00:39;01:00;00:59;01:26;01:26;04:41;04:40;;;05:11;05:09;04:56;04:56;05:41;05:39;05:26;05:25;06:11;06:10;05:56;05:55;06:41;06:40;06:26;06:25;07:11;07:10;06:56;06:56;07:41;07:40;07:26;07:25;08:11;08:11;07:56;07:56;08:41;08:39;08:26;08:25;09:06;09:05;08:56;08:56;09:36;09:35;09:21;09:20;10:06;10:04;09:51;09:51;10:36;10:37;10:21;10:20;10:56;10:55;11:06;11:05;10:51;10:50;11:36;11:35;11:21;11:20;12:06;12:06;11:51;11:51;12:36;12:35;12:21;12:20;13:06;13:05;12:51;12:52;13:36;13:36;13:21;13:20;14:06;14:06;13:51;13:50;14:36;14:36;14:21;14:20;15:06;15:05;14:51;14:51;15:36;15:35;15:21;15:20;16:06;16:05;15:51;15:51;16:36;16:36;16:21;16:20;17:06;17:06;16:51;16:52;17:36;17:35;17:21;17:21;18:06;18:06;17:51;17:51;18:36;18:36;18:21;18:20;19:06;19:06;18:51;18:51;19:36;19:36;19:21;19:21;20:06;20:05;19:51;19:50;20:36;20:36;20:21;20:20;21:06;21:06;20:51;20:51;21:36;21:36;21:21;21:21;22:06;22:06;21:51;21:51;22:41;22:40;22:26;22:25;23:11;23:09;22:56;22:55;23:41;23:41;23:26;23:25;00:11;00:10;23:56;23:57
Möckern, Hist. Strbf.;00:42;00:41;01:02;01:00;01:28;01:27;04:43;04:43;;;05:13;05:11;04:58;04:57;05:43;05:42;05:28;05:26;06:13;06:12;05:58;05:56;06:43;06:41;06:28;06:27;07:13;07:12;06:58;06:57;07:43;07:42;07:28;07:26;08:13;08:12;07:58;07:57;08:43;08:41;08:28;08:27;09:08;09:07;08:58;08:57;09:38;09:37;09:23;09:21;10:08;10:06;09:53;09:52;10:38;10:38;10:23;10:22;10:58;10:56;11:08;11:07;10:53;10:52;11:38;11:37;11:23;11:22;12:08;12:08;11:53;11:52;12:38;12:37;12:23;12:22;13:08;13:07;12:53;12:53;13:38;13:38;13:23;13:22;14:08;14:07;13:53;13:52;14:38;14:37;14:23;14:22;15:08;15:07;14:53;14:52;15:38;15:37;15:23;15:22;16:08;16:07;15:53;15:53;16:38;16:38;16:23;16:22;17:08;17:07;16:53;16:53;17:38;17:37;17:23;17:22;18:08;18:08;17:53;17:52;18:38;18:38;18:23;18:22;19:08;19:07;18:53;18:53;19:38;19:37;19:23;19:22;20:08;20:06;19:53;19:51;20:38;20:37;20:23;20:22;21:08;21:07;20:53;20:53;21:38;21:37;21:23;21:22;22:08;22:07;21:53;21:53;22:43;22:41;22:28;22:27;23:13;23:12;22:58;22:57;23:43;23:42;23:28;23:27;00:13;00:12;23:58;23:58
Dantestraße;00:43;00:43;01:03;01:01;01:29;01:29;04:44;04:44;;;05:14;05:13;04:59;04:58;05:44;05:43;05:29;05:28;06:14;06:13;05:59;05:58;06:44;06:43;06:29;06:28;07:14;07:13;06:59;06:59;07:44;07:44;07:29;07:28;08:14;08:13;07:59;07:58;08:44;08:43;08:29;08:28;09:09;09:08;08:59;08:58;09:39;09:38;09:24;09:22;10:09;10:07;09:54;09:54;10:39;10:39;10:24;10:23;10:59;10:58;11:09;11:08;10:54;10:53;11:39;11:38;11:24;11:23;12:09;12:10;11:54;11:53;12:39;12:38;12:24;12:23;13:09;13:08;12:54;12:54;13:39;13:39;13:24;13:23;14:09;14:09;13:54;13:54;14:39;14:38;14:24;14:23;15:09;15:08;14:54;14:54;15:39;15:38;15:24;15:23;16:09;16:08;15:54;15:54;16:39;16:39;16:24;16:24;17:09;17:08;16:54;16:55;17:39;17:38;17:24;17:24;18:09;18:09;17:54;17:54;18:39;18:39;18:24;18:23;19:09;19:09;18:54;18:54;19:39;19:39;19:24;19:23;20:09;20:08;19:54;19:52;20:39;20:38;20:24;20:23;21:09;21:09;20:54;20:54;21:39;21:38;21:24;21:23;22:09;22:09;21:54;21:54;22:44;22:43;22:29;22:29;23:14;23:13;22:59;22:58;23:44;23:44;23:29;23:28;00:14;00:13;23:59;23:59
S-Bf. Möckern;00:44;00:43;01:04;01:02;01:30;01:30;04:45;04:45;;;05:15;05:14;05:00;04:59;05:45;05:44;05:30;05:28;06:15;06:14;06:00;05:59;06:45;06:44;06:30;06:29;07:15;07:14;07:00;07:00;07:45;07:44;07:30;07:29;08:15;08:14;08:00;07:59;08:45;08:44;08:30;08:29;09:10;09:09;09:00;08:59;09:40;09:39;09:25;09:23;10:10;10:08;09:55;09:55;10:40;10:40;10:25;10:24;11:00;10:59;11:10;11:09;10:55;10:54;11:40;11:39;11:25;11:24;12:10;12:11;11:55;11:54;12:40;12:39;12:25;12:24;13:10;13:09;12:55;12:55;13:40;13:40;13:25;13:25;14:10;14:10;13:55;13:55;14:40;14:39;14:25;14:24;15:10;15:09;14:55;14:55;15:40;15:39;15:25;15:24;16:10;16:09;15:55;15:55;16:40;16:40;16:25;16:25;17:10;17:09;16:55;16:56;17:40;17:39;17:25;17:25;18:10;18:10;17:55;17:55;18:40;18:40;18:25;18:25;19:10;19:10;18:55;18:55;19:40;19:40;19:25;19:24;20:10;20:09;19:55;19:53;20:40;20:39;20:25;20:24;21:10;21:09;20:55;20:55;21:40;21:39;21:25;21:24;22:10;22:10;21:55;21:55;22:45;22:44;22:30;22:30;23:15;23:14;23:00;22:59;23:45;23:45;23:30;23:29;00:15;00:14;00:00;00:00
Wiederitzscher Straße;00:45;00:45;01:05;01:03;01:31;01:31;04:46;04:46;;;05:16;05:15;05:01;05:00;05:46;05:45;05:31;05:30;06:16;06:15;06:01;06:00;06:46;06:45;06:31;06:30;07:16;07:15;07:01;07:01;07:46;07:46;07:31;07:30;08:16;08:15;08:01;08:00;08:46;08:45;08:31;08:31;09:11;09:10;09:01;09:01;09:41;09:40;09:26;09:25;10:11;10:10;09:56;09:56;10:41;10:42;10:26;10:25;11:01;11:00;11:11;11:10;10:56;10:56;11:41;11:40;11:26;11:25;12:11;12:12;11:56;11:56;12:41;12:40;12:26;12:25;13:11;13:10;12:56;12:56;13:41;13:42;13:26;13:27;14:11;14:11;13:56;13:56;14:41;14:41;14:26;14:25;15:11;15:10;14:56;14:56;15:41;15:40;15:26;15:26;16:11;16:11;15:56;15:56;16:41;16:41;16:26;16:26;17:11;17:11;16:56;16:57;17:41;17:40;17:26;17:26;18:11;18:11;17:56;17:56;18:41;18:41;18:26;18:26;19:11;19:11;18:56;18:56;19:41;19:41;19:26;19:25;20:11;20:10;19:56;19:55;20:41;20:40;20:26;20:26;21:11;21:11;20:56;20:56;21:41;21:40;21:26;21:25;22:11;22:11;21:56;21:56;22:46;22:45;22:31;22:31;23:16;23:15;23:01;23:00;23:46;23:46;23:31;23:30;00:16;00:15;00:01;00:01
G-Schumann-/Lindenth. S.;00:46;00:46;01:06;01:05;01:32;01:33;04:47;04:48;;;05:17;05:17;05:02;05:02;05:47;05:47;05:32;05:31;06:17;06:16;06:02;06:02;06:47;06:47;06:32;06:32;07:17;07:17;07:02;07:03;07:47;07:48;07:32;07:31;08:17;08:17;08:02;08:01;08:47;08:47;08:32;08:32;09:12;09:13;09:02;09:02;09:42;09:43;09:27;09:26;10:12;10:11;09:57;09:58;10:42;10:43;10:27;10:28;11:02;11:01;11:12;11:13;10:57;10:58;11:42;11:42;11:27;11:26;12:12;12:13;11:57;11:58;12:42;12:42;12:27;12:28;13:12;13:12;12:57;12:58;13:42;13:43;13:27;13:28;14:12;14:13;13:57;13:58;14:42;14:43;14:27;14:26;15:12;15:13;14:57;14:58;15:42;15:43;15:27;15:28;16:12;16:13;15:57;15:58;16:42;16:44;16:27;16:28;17:12;17:13;16:57;16:58;17:42;17:41;17:27;17:28;18:12;18:13;17:57;17:58;18:42;18:43;18:27;18:28;19:12;19:13;18:57;18:58;19:42;19:43;19:27;19:28;20:12;20:12;19:57;19:56;20:42;20:43;20:27;20:28;21:12;21:13;20:57;20:58;21:42;21:43;21:27;21:26;22:12;22:14;21:57;21:58;22:47;22:46;22:32;22:32;23:17;23:17;23:02;23:02;23:47;23:47;23:32;23:32;00:17;00:16;00:02;00:03
G.-Schumann-/Lützowstr.;00:48;00:48;01:08;01:06;01:34;01:34;04:49;04:49;;;05:19;05:18;05:04;05:03;05:49;05:48;05:34;05:33;06:19;06:18;06:04;06:04;06:49;06:48;06:34;06:33;07:19;07:18;07:04;07:04;07:49;07:49;07:34;07:33;08:19;08:18;08:04;08:02;08:49;08:49;08:34;08:34;09:14;09:14;09:04;09:03;09:44;09:44;09:29;09:28;10:14;10:13;09:59;09:59;10:44;10:44;10:29;10:29;11:04;11:03;11:14;11:14;10:59;10:59;11:44;11:44;11:29;11:28;12:14;12:14;11:59;11:59;12:44;12:43;12:29;12:29;13:14;13:13;12:59;12:59;13:44;13:45;13:29;13:29;14:14;14:14;13:59;13:59;14:44;14:44;14:29;14:28;15:14;15:14;14:59;14:59;15:44;15:44;15:29;15:30;16:14;16:14;15:59;15:59;16:44;16:46;16:29;16:29;17:14;17:14;16:59;16:59;17:44;17:43;17:29;17:29;18:14;18:14;17:59;17:59;18:44;18:45;18:29;18:29;19:14;19:14;18:59;18:59;19:44;19:44;19:29;19:29;20:14;20:13;19:59;19:58;20:44;20:44;20:29;20:29;21:14;21:14;20:59;20:59;21:44;21:44;21:29;21:28;22:14;22:15;21:59;21:59;22:49;22:47;22:34;22:33;23:19;23:18;23:04;23:03;23:49;23:49;23:34;23:34;00:19;00:18;00:04;00:04
