Kurs:;41;;21;;31;;20;;41;;28;;42;;43;;29;;26;;21;;25;;27;;41;;20;;42;;28;;29;;43;;21;;26;;27;;25;;23;;41;;24;;42;;43;;29;;26;;21;;25;;41;;23;;42;;24;;29;;43;;25;;22;;21;;23;;41;;24;;42;;43;;29;;22;;25;;23;;21;;24;;41;;43;;42;;22;;29;;23;;25;;24;;21;;43;;41;;22;;42;;23;;29;;24;;25;;43;;21;;22;;41;;23;;42;;24;;29;;43;;25;;22;;49;;21;;23;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Chausseehaus;00:50;00:49;01:10;01:08;01:36;01:37;04:51;04:51;;;05:21;05:20;05:06;05:05;05:51;05:50;05:36;05:35;06:21;06:20;06:06;06:05;06:51;06:50;06:36;06:35;07:21;07:20;07:06;07:06;07:51;07:51;07:36;07:35;08:21;08:20;08:06;08:05;08:51;08:51;08:36;08:36;09:16;09:16;09:06;09:05;09:46;09:46;09:31;09:30;10:16;10:15;10:01;10:01;10:46;10:46;10:31;10:31;11:06;11:05;11:16;11:16;11:01;11:01;11:46;11:45;11:31;11:31;12:16;12:16;12:01;12:01;12:46;12:45;12:31;12:31;13:16;13:15;13:01;13:01;13:46;13:46;13:31;13:31;14:16;14:16;14:01;14:01;14:46;14:46;14:31;14:30;15:16;15:16;15:01;15:01;15:46;15:46;15:31;15:31;16:16;16:16;16:01;16:01;16:46;16:48;16:31;16:31;17:16;17:16;17:01;17:01;17:46;17:45;17:31;17:31;18:16;18:16;18:01;18:01;18:46;18:46;18:31;18:31;19:16;19:16;19:01;19:01;19:46;19:46;19:31;19:31;20:16;20:15;20:01;19:59;20:46;20:46;20:31;20:31;21:16;21:16;21:01;21:01;21:46;21:46;21:31;21:30;22:16;22:17;22:01;22:01;22:51;22:49;22:36;22:36;23:21;23:20;23:06;23:05;23:51;23:51;23:36;23:35;00:21;00:20;00:06;00:06
Wilhelm-Liebknecht-Platz;00:52;00:51;01:12;01:10;01:38;01:38;04:53;04:52;;;05:23;05:22;05:08;05:07;05:53;05:52;05:38;05:37;06:23;06:22;06:08;06:07;06:53;06:52;06:38;06:38;07:23;07:22;07:08;07:07;07:53;07:53;07:38;07:37;08:23;08:22;08:08;08:07;08:53;08:52;08:38;08:38;09:18;09:17;09:08;09:07;09:48;09:48;09:33;09:32;10:18;10:17;10:03;10:03;10:48;10:49;10:33;10:32;11:08;11:07;11:18;11:17;11:03;11:02;11:48;11:47;11:33;11:33;12:18;12:18;12:03;12:02;12:48;12:47;12:33;12:32;13:18;13:17;13:03;13:03;13:48;13:49;13:33;13:33;14:18;14:18;14:03;14:02;14:48;14:47;14:33;14:31;15:18;15:18;15:03;15:03;15:48;15:47;15:33;15:33;16:18;16:18;16:03;16:03;16:48;16:49;16:33;16:33;17:18;17:17;17:03;17:03;17:48;17:47;17:33;17:33;18:18;18:18;18:03;18:03;18:48;18:48;18:33;18:33;19:18;19:18;19:03;19:03;19:48;19:48;19:33;19:33;20:18;20:17;20:03;20:02;20:48;20:47;20:33;20:33;21:18;21:18;21:03;21:03;21:48;21:48;21:33;21:32;22:18;22:20;22:03;22:02;22:53;22:51;22:38;22:37;23:23;23:22;23:08;23:07;23:53;23:52;23:38;23:37;00:23;00:22;00:08;00:08
Hauptbahnhof;00:55;00:56;01:15;01:13;01:41;01:41;05:00;05:02;04:45;04:46;05:30;05:30;05:15;05:15;06:00;06:04;05:45;05:50;06:30;06:33;06:15;06:15;07:00;07:03;06:45;06:45;07:30;07:31;07:15;07:15;08:00;08:01;07:45;07:45;08:30;08:32;08:15;08:15;09:00;09:05;08:45;08:46;09:21;09:20;09:15;09:15;09:51;09:51;09:36;09:35;10:21;10:20;10:06;10:07;10:51;10:53;10:36;10:36;11:11;11:11;11:21;11:20;11:06;11:05;11:51;11:50;11:36;11:37;12:21;12:22;12:06;12:06;12:51;12:50;12:36;12:35;13:21;13:20;13:06;13:07;13:51;13:51;13:36;13:37;14:21;14:22;14:06;14:05;14:51;14:50;14:36;14:35;15:21;15:21;15:06;15:07;15:51;15:51;15:36;15:36;16:21;16:22;16:06;16:07;16:51;16:53;16:36;16:37;17:21;17:20;17:06;17:07;17:51;17:51;17:36;17:37;18:21;18:22;18:06;18:08;18:51;18:52;18:36;18:37;19:21;19:21;19:06;19:07;19:51;19:51;19:36;19:36;20:21;20:20;20:06;20:05;20:51;20:50;20:36;20:37;21:21;21:21;21:06;21:07;21:51;21:51;21:36;21:35;22:21;22:23;22:06;22:05;23:00;23:00;22:45;22:45;23:30;23:30;23:15;23:15;00:00;00:01;23:45;23:45;00:30;00:31;00:15;00:15
Augustusplatz;00:58;00:58;;;;;05:03;05:05;04:48;04:49;05:33;05:32;05:18;05:17;06:03;06:07;05:48;05:52;06:33;06:35;06:18;06:17;07:03;07:05;06:48;06:49;07:33;07:34;07:18;07:17;08:03;08:04;07:48;07:47;08:33;08:35;08:18;08:17;09:03;09:08;08:48;08:49;09:24;09:23;09:18;09:19;09:54;09:55;09:39;09:38;10:24;10:23;10:09;10:10;10:54;10:56;10:39;10:40;11:14;11:13;11:24;11:23;11:09;11:08;11:54;11:53;11:39;11:40;12:24;12:25;12:09;12:10;12:54;12:53;12:39;12:38;13:24;13:23;13:09;13:08;13:54;13:58;13:39;13:40;14:24;14:25;14:09;14:08;14:54;14:53;14:39;14:38;15:24;15:25;15:09;15:10;15:54;15:53;15:39;15:40;16:24;16:25;16:09;16:10;16:54;16:56;16:39;16:40;17:24;17:23;17:09;17:10;17:54;17:55;17:39;17:40;18:24;18:25;18:09;18:11;18:54;18:55;18:39;18:40;19:24;19:23;19:09;19:10;19:54;19:53;19:39;19:40;20:24;20:23;20:09;20:08;20:54;20:53;20:39;20:40;21:24;21:25;21:09;21:10;21:54;21:53;21:39;21:38;22:24;22:26;22:09;22:08;23:03;23:04;22:48;22:49;23:33;23:32;23:18;23:17;00:03;00:04;23:48;23:49;00:33;00:34;00:18;00:19
Wilhelm-Leuschner-Platz;01:01;00:59;;;;;05:06;05:07;04:51;04:51;05:36;05:36;05:21;05:20;06:06;06:09;05:51;05:54;06:36;06:37;06:21;06:19;07:06;07:07;06:51;06:51;07:36;07:36;07:21;07:20;08:06;08:06;07:51;07:50;08:36;08:38;08:21;08:21;09:06;09:11;08:51;08:51;09:27;09:26;09:21;09:21;09:57;09:57;09:42;09:40;10:27;10:26;10:12;10:12;10:57;10:59;10:42;10:42;11:17;11:15;11:27;11:26;11:12;11:12;11:57;11:55;11:42;11:42;12:27;12:27;12:12;12:12;12:57;12:56;12:42;12:40;13:27;13:27;13:12;13:11;13:57;14:00;13:42;13:42;14:27;14:27;14:12;14:12;14:57;14:56;14:42;14:41;15:27;15:27;15:12;15:12;15:57;15:56;15:42;15:42;16:27;16:27;16:12;16:12;16:57;16:59;16:42;16:42;17:27;17:26;17:12;17:12;17:57;17:57;17:42;17:42;18:27;18:27;18:12;18:14;18:57;18:57;18:42;18:42;19:27;19:26;19:12;19:12;19:57;19:57;19:42;19:42;20:27;20:26;20:12;20:11;20:57;20:57;20:42;20:42;21:27;21:27;21:12;21:12;21:57;21:56;21:42;21:41;22:27;22:28;22:12;22:11;23:06;23:06;22:51;22:51;23:36;23:36;23:21;23:20;00:06;00:06;23:51;23:51;00:36;00:36;00:21;00:21
Münzgasse, LVZ;01:02;01:02;;;;;05:07;05:09;04:52;04:52;05:37;05:38;05:22;05:22;06:07;06:10;05:52;05:55;06:37;06:39;06:22;06:21;07:07;07:09;06:52;06:52;07:37;07:37;07:22;07:21;08:07;08:08;07:52;07:51;08:37;08:39;08:22;08:23;09:07;09:12;08:52;08:52;09:28;09:27;09:22;09:22;09:58;09:58;09:43;09:42;10:28;10:27;10:13;10:14;10:58;11:00;10:43;10:43;11:18;11:17;11:28;11:27;11:13;11:13;11:58;11:57;11:43;11:43;12:28;12:28;12:13;12:13;12:58;12:57;12:43;12:42;13:28;13:29;13:13;13:12;13:58;14:01;13:43;13:43;14:28;14:29;14:13;14:14;14:58;14:57;14:43;14:42;15:28;15:28;15:13;15:14;15:58;15:58;15:43;15:44;16:28;16:28;16:13;16:14;16:58;17:00;16:43;16:44;17:28;17:28;17:13;17:13;17:58;17:58;17:43;17:44;18:28;18:28;18:13;18:15;18:58;18:59;18:43;18:44;19:28;19:27;19:13;19:14;19:58;19:59;19:43;19:44;20:28;20:27;20:13;20:12;20:58;20:59;20:43;20:43;21:28;21:28;21:13;21:13;21:58;21:57;21:43;21:42;22:28;22:30;22:13;22:13;23:07;23:07;22:52;22:53;23:37;23:37;23:22;23:21;00:07;00:07;23:52;23:52;00:37;00:37;00:22;00:22
Hohe Straße;01:03;01:03;;;;;05:08;05:10;04:53;04:53;05:38;05:39;05:23;05:23;06:08;06:11;05:53;05:56;06:38;06:40;06:23;06:22;07:08;07:10;06:53;06:53;07:38;07:38;07:23;07:22;08:08;08:09;07:53;07:52;08:38;08:41;08:23;08:24;09:08;09:13;08:53;08:53;09:29;09:28;09:23;09:23;09:59;09:59;09:44;09:44;10:29;10:28;10:14;10:15;10:59;11:01;10:44;10:44;11:19;11:18;11:29;11:28;11:14;11:14;11:59;11:58;11:44;11:44;12:29;12:29;12:14;12:14;12:59;12:58;12:44;12:43;13:29;13:30;13:14;13:13;13:59;14:02;13:44;13:44;14:29;14:30;14:14;14:15;14:59;14:58;14:44;14:43;15:29;15:30;15:14;15:15;15:59;15:59;15:44;15:45;16:29;16:29;16:14;16:14;16:59;17:01;16:44;16:44;17:29;17:29;17:14;17:14;17:59;17:59;17:44;17:45;18:29;18:29;18:14;18:16;18:59;19:00;18:44;18:45;19:29;19:28;19:14;19:15;19:59;20:00;19:44;19:45;20:29;20:28;20:14;20:14;20:59;21:00;20:44;20:44;21:29;21:29;21:14;21:14;21:59;21:58;21:44;21:43;22:29;22:31;22:14;22:14;23:08;23:08;22:53;22:54;23:38;23:38;23:23;23:22;00:08;00:09;23:53;23:53;00:38;00:38;00:23;00:23
Südplatz;01:05;01:04;;;;;05:10;05:11;04:55;04:55;05:40;05:40;05:25;05:24;06:10;06:14;05:55;05:58;06:40;06:41;06:25;06:24;07:10;07:11;06:55;06:55;07:40;07:40;07:25;07:24;08:10;08:10;07:55;07:53;08:40;08:43;08:25;08:26;09:10;09:14;08:55;08:55;09:31;09:30;09:25;09:24;10:01;10:01;09:46;09:45;10:31;10:29;10:16;10:16;11:01;11:03;10:46;10:46;11:21;11:20;11:31;11:29;11:16;11:16;12:01;11:59;11:46;11:45;12:31;12:31;12:16;12:16;13:01;13:00;12:46;12:44;13:31;13:31;13:16;13:14;14:01;14:04;13:46;13:45;14:31;14:31;14:16;14:16;15:01;14:59;14:46;14:45;15:31;15:31;15:16;15:16;16:01;16:00;15:46;15:46;16:31;16:31;16:16;16:16;17:01;17:03;16:46;16:46;17:31;17:31;17:16;17:16;18:01;18:01;17:46;17:46;18:31;18:31;18:16;18:18;19:01;19:01;18:46;18:47;19:31;19:30;19:16;19:16;20:01;20:02;19:46;19:47;20:31;20:31;20:16;20:16;21:01;21:02;20:46;20:46;21:31;21:31;21:16;21:16;22:01;22:00;21:46;21:44;22:31;22:33;22:16;22:15;23:10;23:10;22:55;22:55;23:40;23:40;23:25;23:24;00:10;00:10;23:55;23:55;00:40;00:40;00:25;00:25
K.-Liebkn.-/K.-Eisner-S.;01:06;01:06;;;;;05:13;05:12;04:56;04:56;05:43;05:42;05:26;05:26;06:13;06:15;05:56;05:59;06:43;06:43;06:26;06:25;07:13;07:12;06:56;06:56;07:43;07:42;07:26;07:26;08:13;08:13;07:56;07:55;08:43;08:46;08:26;08:27;09:13;09:15;08:56;08:57;09:32;09:31;09:26;09:26;10:02;10:02;09:47;09:47;10:32;10:31;10:17;10:18;11:02;11:04;10:47;10:47;11:22;11:22;11:32;11:31;11:17;11:17;12:02;12:00;11:47;11:47;12:32;12:32;12:17;12:17;13:02;13:02;12:47;12:46;13:32;13:32;13:17;13:17;14:02;14:04;13:47;13:47;14:32;14:32;14:17;14:18;15:02;15:01;14:47;14:46;15:32;15:32;15:17;15:18;16:02;16:02;15:47;15:47;16:32;16:32;16:17;16:18;17:02;17:04;16:47;16:47;17:32;17:32;17:17;17:18;18:02;18:03;17:47;17:47;18:32;18:32;18:17;18:20;19:02;19:03;18:47;18:49;19:32;19:31;19:17;19:18;20:02;20:03;19:47;19:48;20:32;20:32;20:17;20:17;21:02;21:03;20:47;20:47;21:32;21:32;21:17;21:18;22:02;22:02;21:47;21:46;22:32;22:34;22:17;22:16;23:13;23:11;22:56;22:56;23:43;23:41;23:26;23:26;00:13;00:11;23:56;23:57;00:43;00:42;00:26;00:26
Richard-Lehmann-Straße, HTWK;01:08;01:07;;;;;05:15;05:14;04:58;04:58;05:45;05:43;05:28;05:27;06:15;06:16;05:58;06:01;06:45;06:44;06:28;06:27;07:15;07:14;06:58;06:58;07:45;07:44;07:28;07:28;08:15;08:15;07:58;07:56;08:45;08:47;08:28;08:29;09:15;09:16;08:58;08:58;09:34;09:33;09:28;09:27;10:04;10:03;09:49;09:49;10:34;10:33;10:19;10:19;11:04;11:06;10:49;10:48;11:24;11:24;11:34;11:33;11:19;11:19;12:04;12:02;11:49;11:49;12:34;12:34;12:19;12:18;13:04;13:03;12:49;12:49;13:34;13:34;13:19;13:18;14:04;14:06;13:49;13:49;14:34;14:34;14:19;14:19;15:04;15:03;14:49;14:48;15:34;15:34;15:19;15:20;16:04;16:03;15:49;15:49;16:34;16:34;16:19;16:20;17:04;17:06;16:49;16:49;17:34;17:34;17:19;17:19;18:04;18:05;17:49;17:49;18:34;18:34;18:19;18:22;19:04;19:04;18:49;18:51;19:34;19:33;19:19;19:20;20:04;20:05;19:49;19:50;20:34;20:34;20:19;20:18;21:04;21:05;20:49;20:49;21:34;21:34;21:19;21:19;22:04;22:03;21:49;21:47;22:34;22:36;22:19;22:18;23:15;23:13;22:58;22:58;23:45;23:43;23:28;23:28;00:15;00:14;23:58;23:58;00:45;00:44;00:28;00:27
Connewitz  Kreuz;01:09;01:08;;;;;05:17;05:16;05:00;05:00;05:47;05:47;05:30;05:29;06:17;06:18;06:00;06:02;06:47;06:47;06:30;06:30;07:17;07:17;07:00;07:00;07:47;07:46;07:30;07:30;08:17;08:17;08:00;07:59;08:47;08:48;08:30;08:30;09:17;09:18;09:00;09:00;09:35;09:34;09:30;09:31;10:05;10:04;09:50;09:50;10:35;10:35;10:20;10:20;11:05;11:07;10:50;10:50;11:25;11:27;11:35;11:34;11:20;11:20;12:05;12:04;11:50;11:50;12:35;12:36;12:20;12:19;13:05;13:05;12:50;12:50;13:35;13:36;13:20;13:19;14:05;14:07;13:50;13:50;14:35;14:36;14:20;14:21;15:05;15:05;14:50;14:50;15:35;15:35;15:20;15:21;16:05;16:05;15:50;15:50;16:35;16:36;16:20;16:21;17:05;17:08;16:50;16:50;17:35;17:35;17:20;17:21;18:05;18:06;17:50;17:50;18:35;18:35;18:20;18:23;19:05;19:06;18:50;18:52;19:35;19:34;19:20;19:21;20:05;20:07;19:50;19:51;20:35;20:35;20:20;20:19;21:05;21:06;20:50;20:50;21:35;21:36;21:20;21:20;22:05;22:05;21:50;21:49;22:35;22:37;22:20;22:20;23:17;23:17;23:00;23:00;23:47;23:47;23:30;23:29;00:17;00:17;00:00;00:00;00:47;00:47;00:30;00:30
Pfeffingerstraße;01:12;01:10;;;;;05:19;05:18;05:02;05:02;05:49;05:48;05:32;05:31;06:19;06:20;06:02;06:04;06:49;06:48;06:32;06:32;07:19;07:18;07:02;07:02;07:49;07:48;07:32;07:31;08:19;08:19;08:02;08:01;08:49;08:50;08:32;08:32;09:19;09:20;09:02;09:02;09:37;09:36;09:32;09:32;10:07;10:06;09:52;09:52;10:37;10:36;10:22;10:22;11:07;11:09;10:52;10:52;11:27;11:28;11:37;11:35;11:22;11:22;12:07;12:06;11:52;11:52;12:37;12:37;12:22;12:21;13:07;13:07;12:52;12:52;13:37;13:37;13:22;13:21;14:07;14:09;13:52;13:52;14:37;14:37;14:22;14:22;15:07;15:06;14:52;14:52;15:37;15:37;15:22;15:23;16:07;16:07;15:52;15:52;16:37;16:37;16:22;16:23;17:07;17:10;16:52;16:52;17:37;17:37;17:22;17:22;18:07;18:07;17:52;17:52;18:37;18:37;18:22;18:25;19:07;19:07;18:52;18:54;19:37;19:36;19:22;19:23;20:07;20:08;19:52;19:53;20:37;20:37;20:22;20:21;21:07;21:08;20:52;20:52;21:37;21:38;21:22;21:22;22:07;22:07;21:52;21:51;22:37;22:39;22:22;22:22;23:19;23:19;23:02;23:01;23:49;23:49;23:32;23:31;00:19;00:19;00:02;00:02;00:49;00:48;00:32;00:32
Hildebrandstraße;01:13;01:11;;;;;05:21;05:19;05:04;05:03;05:51;05:50;05:34;05:33;06:21;06:21;06:04;06:06;06:51;06:50;06:34;06:34;07:21;07:20;07:04;07:04;07:51;07:49;07:34;07:33;08:21;08:20;08:04;08:03;08:51;08:52;08:34;08:34;09:21;09:21;09:04;09:03;09:39;09:38;09:34;09:33;10:09;10:07;09:54;09:53;10:39;10:38;10:24;10:23;11:09;11:10;10:54;10:53;11:29;11:30;11:39;11:37;11:24;11:23;12:09;12:08;11:54;11:53;12:39;12:39;12:24;12:22;13:09;13:08;12:54;12:54;13:39;13:39;13:24;13:23;14:09;14:10;13:54;13:53;14:39;14:39;14:24;14:24;15:09;15:08;14:54;14:54;15:39;15:38;15:24;15:24;16:09;16:08;15:54;15:54;16:39;16:39;16:24;16:24;17:09;17:11;16:54;16:54;17:39;17:39;17:24;17:24;18:09;18:09;17:54;17:53;18:39;18:39;18:24;18:27;19:09;19:09;18:54;18:55;19:39;19:38;19:24;19:24;20:09;20:10;19:54;19:55;20:39;20:38;20:24;20:23;21:09;21:09;20:54;20:53;21:39;21:39;21:24;21:23;22:09;22:08;21:54;21:52;22:39;22:40;22:24;22:23;23:21;23:20;23:04;23:03;23:51;23:50;23:34;23:33;00:21;00:20;00:04;00:03;00:51;00:50;00:34;00:33
S-Bf. Connewitz;01:14;01:13;;;;;05:22;05:20;05:05;05:04;05:52;05:51;05:35;05:34;06:22;06:22;06:05;06:07;06:52;06:51;06:35;06:35;07:22;07:21;07:05;07:04;07:52;07:51;07:35;07:34;08:22;08:21;08:05;08:04;08:52;08:52;08:35;08:35;09:22;09:22;09:05;09:04;09:40;09:39;09:35;09:34;10:10;10:09;09:55;09:54;10:40;10:39;10:25;10:24;11:10;11:12;10:55;10:55;11:30;11:31;11:40;11:38;11:25;11:24;12:10;12:09;11:55;11:54;12:40;12:40;12:25;12:23;13:10;13:09;12:55;12:55;13:40;13:40;13:25;13:24;14:10;14:11;13:55;13:55;14:40;14:40;14:25;14:25;15:10;15:09;14:55;14:55;15:40;15:39;15:25;15:25;16:10;16:09;15:55;15:55;16:40;16:40;16:25;16:25;17:10;17:12;16:55;16:55;17:40;17:40;17:25;17:25;18:10;18:10;17:55;17:55;18:40;18:40;18:25;18:28;19:10;19:10;18:55;18:56;19:40;19:39;19:25;19:25;20:10;20:11;19:55;19:56;20:40;20:39;20:25;20:24;21:10;21:10;20:55;20:54;21:40;21:40;21:25;21:24;22:10;22:09;21:55;21:53;22:40;22:41;22:25;22:24;23:22;23:21;23:05;23:04;23:52;23:51;23:35;23:34;00:22;00:21;00:05;00:04;00:52;00:51;00:35;00:34
Raschwitzer Straße;01:16;01:14;;;;;05:24;05:22;05:07;05:06;05:54;05:53;05:37;05:36;06:24;06:23;06:07;06:08;06:54;06:52;06:37;06:36;07:24;07:23;07:07;07:06;07:54;07:53;07:37;07:35;08:24;08:23;08:07;08:06;08:54;08:54;08:37;08:36;09:24;09:23;09:07;09:06;09:42;09:40;09:37;09:36;10:12;10:11;09:57;09:56;10:42;10:40;10:27;10:26;11:12;11:13;10:57;10:56;11:32;11:32;11:42;11:40;11:27;11:25;12:12;12:11;11:57;11:56;12:42;12:41;12:27;12:25;13:12;13:11;12:57;12:56;13:42;13:41;13:27;13:25;14:12;14:12;13:57;13:56;14:42;14:42;14:27;14:26;15:12;15:11;14:57;14:56;15:42;15:41;15:27;15:26;16:12;16:11;15:57;15:56;16:42;16:41;16:27;16:27;17:12;17:14;16:57;16:56;17:42;17:42;17:27;17:26;18:12;18:11;17:57;17:56;18:42;18:41;18:27;18:29;19:12;19:12;18:57;18:58;19:42;19:41;19:27;19:26;20:12;20:12;19:57;19:57;20:42;20:41;20:27;20:25;21:12;21:12;20:57;20:56;21:42;21:41;21:27;21:26;22:12;22:11;21:57;21:55;22:42;22:43;22:27;22:26;23:24;23:22;23:07;23:06;23:54;23:53;23:37;23:36;00:24;00:22;00:07;00:06;00:54;00:53;00:37;00:35
Friederikenstraße;01:17;01:16;;;;;05:25;05:23;05:08;05:07;05:55;05:54;05:38;05:38;06:25;06:25;06:08;06:09;06:55;06:54;06:38;06:37;07:25;07:24;07:08;07:07;07:55;07:54;07:38;07:36;08:25;08:25;08:08;08:07;08:55;08:55;08:38;08:38;09:25;09:24;09:08;09:07;09:43;09:42;09:38;09:37;10:13;10:12;09:58;09:57;10:43;10:42;10:28;10:27;11:13;11:14;10:58;10:58;11:33;11:33;11:43;11:41;11:28;11:27;12:13;12:12;11:58;11:57;12:43;12:42;12:28;12:26;13:13;13:12;12:58;12:58;13:43;13:42;13:28;13:27;14:13;14:14;13:58;13:57;14:43;14:43;14:28;14:28;15:13;15:12;14:58;14:58;15:43;15:42;15:28;15:28;16:13;16:12;15:58;15:58;16:43;16:43;16:28;16:28;17:13;17:15;16:58;16:57;17:43;17:43;17:28;17:28;18:13;18:12;17:58;17:58;18:43;18:42;18:28;18:31;19:13;19:13;18:58;19:00;19:43;19:42;19:28;19:28;20:13;20:14;19:58;19:58;20:43;20:42;20:28;20:27;21:13;21:13;20:58;20:58;21:43;21:43;21:28;21:27;22:13;22:12;21:58;21:57;22:43;22:44;22:28;22:28;23:25;23:23;23:08;23:07;23:55;23:54;23:38;23:37;00:25;00:24;00:08;00:07;00:55;00:54;00:38;00:37
Leinestraße;01:18;01:17;;;;;05:26;05:24;05:09;05:08;05:56;05:55;05:39;05:39;06:26;06:26;06:09;06:10;06:56;06:55;06:39;06:38;07:26;07:25;07:09;07:08;07:56;07:55;07:39;07:37;08:26;08:26;08:09;08:09;08:56;08:56;08:39;08:39;09:26;09:25;09:09;09:08;09:44;09:43;09:39;09:38;10:14;10:13;09:59;09:58;10:44;10:43;10:29;10:29;11:14;11:16;10:59;10:59;11:34;11:35;11:44;11:43;11:29;11:28;12:14;12:14;11:59;11:59;12:44;12:43;12:29;12:27;13:14;13:13;12:59;12:59;13:44;13:43;13:29;13:28;14:14;14:15;13:59;13:59;14:44;14:44;14:29;14:29;15:14;15:13;14:59;14:59;15:44;15:43;15:29;15:29;16:14;16:13;15:59;15:59;16:44;16:44;16:29;16:29;17:14;17:17;16:59;16:58;17:44;17:44;17:29;17:29;18:14;18:13;17:59;17:59;18:44;18:44;18:29;18:32;19:14;19:14;18:59;19:01;19:44;19:43;19:29;19:29;20:14;20:15;19:59;20:00;20:44;20:43;20:29;20:28;21:14;21:14;20:59;20:59;21:44;21:44;21:29;21:28;22:14;22:13;21:59;21:58;22:44;22:45;22:29;22:29;23:26;23:25;23:09;23:09;23:56;23:56;23:39;23:38;00:26;00:25;00:09;00:09;00:56;00:55;00:39;00:38
Dölitz, Strbf.;01:19;01:18;;;;;05:27;05:25;05:10;05:09;05:57;05:56;05:40;05:40;06:27;06:26;06:10;06:11;06:57;06:56;06:40;06:39;07:27;07:26;07:10;07:09;07:57;Grob;07:40;07:38;08:27;08:29;08:10;;08:57;08:57;08:40;08:40;09:27;09:26;09:10;09:09;09:45;09:43;09:40;09:39;10:15;10:14;10:00;09:59;10:45;10:44;10:30;10:30;11:15;11:17;11:00;11:00;11:35;11:35;11:45;11:44;11:30;11:29;12:15;12:15;12:00;12:00;12:45;12:44;12:30;12:29;13:15;13:15;13:00;13:00;13:45;13:45;13:30;13:29;14:15;14:15;14:00;14:00;14:45;14:45;14:30;14:30;15:15;15:14;15:00;15:00;15:45;15:44;15:30;15:30;16:15;16:15;16:00;16:00;16:45;16:45;16:30;16:31;17:15;17:19;17:00;17:00;17:45;17:45;17:30;17:30;18:15;18:14;18:00;18:00;18:45;18:45;18:30;18:33;19:15;19:15;19:00;19:02;19:45;19:44;19:30;19:30;20:15;20:17;20:00;20:00;20:45;20:44;20:30;20:29;21:15;21:15;21:00;21:00;21:45;21:45;21:30;21:29;22:15;22:14;22:00;21:59;22:45;22:46;22:30;22:29;23:27;23:25;23:10;23:09;23:57;23:57;23:40;23:39;00:27;00:26;00:10;00:09;00:57;00:56;00:40;00:38
Markkl., Virchowstr.;;;;;;;05:29;05:26;;;05:59;05:58;;;06:29;06:28;;;06:59;06:57;;;07:29;07:28;;;07:59;07:58;;;08:29;08:31;;;08:59;08:58;;;09:29;09:28;09:12;09:11;;;09:42;09:40;10:17;10:16;10:02;10:00;10:47;10:45;10:32;10:31;11:17;11:18;11:02;11:02;;;11:47;11:46;11:32;11:30;12:17;12:17;12:02;12:02;12:47;12:46;12:32;12:30;13:17;13:16;13:02;13:01;13:47;13:47;13:32;13:30;14:17;14:17;14:02;14:01;14:47;14:47;14:32;14:32;15:17;15:16;15:02;15:01;15:47;15:46;15:32;15:31;16:17;16:16;16:02;16:02;16:47;16:46;16:32;16:32;17:17;17:20;17:02;17:01;17:47;17:47;17:32;17:32;18:17;18:16;18:02;18:02;18:47;18:46;18:32;18:34;19:17;19:16;19:02;19:04;19:47;19:46;19:32;19:31;20:17;20:18;20:02;20:02;20:47;20:45;20:32;20:30;21:17;21:17;21:02;21:02;21:47;21:47;21:32;21:30;22:17;22:15;22:02;22:01;22:47;22:47;22:32;22:31;23:29;23:27;;;23:59;23:58;;;00:29;00:27;;;00:59;00:58;;
