Kurs:;31;;54;;20;;11;;70;;70;;70;;14;;56;;33;;11;;14;;56;;33;;10;;11;;12;;14;;15;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;10;;11;;12;;13;;14;;15;;16;;17;;18;;19;;43;;22;;14;;41;;25;;18;;34;;51;;52;;54;;55;;31;;18;;34;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
K.-Liebkn.-/K.-Eisner-S.;;;;;;;;;01:58;01:57;03:09;03:10;04:25;04:23;;;;;;;;;;;;;;;08:18;08:17;08:33;08:34;08:48;08:48;09:03;09:03;09:18;09:19;09:33;09:34;09:48;09:50;09:58;09:59;10:03;10:02;10:15;10:15;10:25;10:26;10:35;10:36;10:45;10:46;10:55;10:56;11:05;11:06;11:15;11:17;11:25;11:25;11:35;11:37;11:45;11:46;11:55;11:55;12:05;12:08;12:15;12:15;12:25;12:26;12:35;12:35;12:45;12:46;12:55;12:55;13:05;13:07;13:15;13:17;13:25;13:25;13:35;13:38;13:45;13:47;13:55;13:57;14:05;14:06;14:15;14:17;14:25;14:26;14:35;14:34;14:45;14:45;14:55;14:55;15:05;15:06;15:15;15:15;15:25;15:25;15:35;15:37;15:45;15:46;15:55;15:55;16:05;16:06;16:15;16:15;16:25;16:26;16:35;16:35;16:45;16:45;16:55;16:55;17:05;17:04;17:15;17:17;17:25;17:26;17:35;17:35;17:45;17:46;17:55;17:55;18:05;18:07;18:15;18:15;18:25;18:24;18:35;18:35;18:48;18:49;;;19:03;19:04;19:18;19:19;;;19:33;19:33;19:48;19:48;20:03;20:03;20:18;20:19;20:33;20:34;20:48;20:47;21:03;21:03;21:18;21:18;;;;;;;;;;;;;;;;;;;;
Südplatz;;;;;;;;;01:59;01:58;03:10;03:11;04:26;04:25;;;;;;;;;;;;;;;08:19;08:18;08:34;08:36;08:49;08:50;09:04;09:04;09:19;09:21;09:34;09:36;09:49;09:52;09:59;10:01;10:04;10:04;10:16;10:17;10:26;10:27;10:36;10:38;10:46;10:48;10:56;10:58;11:06;11:07;11:16;11:18;11:26;11:27;11:36;11:39;11:46;11:47;11:56;11:57;12:06;12:09;12:16;12:16;12:26;12:28;12:36;12:37;12:46;12:48;12:56;12:57;13:06;13:09;13:16;13:18;13:26;13:27;13:36;13:39;13:46;13:49;13:56;13:58;14:06;14:07;14:16;14:18;14:26;14:28;14:36;14:36;14:46;14:46;14:56;14:57;15:06;15:07;15:16;15:16;15:26;15:26;15:36;15:39;15:46;15:48;15:56;15:57;16:06;16:07;16:16;16:17;16:26;16:27;16:36;16:37;16:46;16:46;16:56;16:57;17:06;17:06;17:16;17:19;17:26;17:27;17:36;17:37;17:46;17:48;17:56;17:57;18:06;18:09;18:16;18:16;18:26;18:26;18:36;18:37;18:49;18:50;;;19:04;19:06;19:19;19:21;;;19:34;19:34;19:49;19:50;20:04;20:04;20:19;20:21;20:34;20:36;20:49;20:49;21:04;21:04;21:19;21:19;;;;;;;;;;;;;;;;;;;;
Hohe Straße;;;;;;;;;02:01;02:00;03:12;03:12;04:28;04:26;;;;;;;;;;;;;;;08:21;08:19;08:36;08:37;08:51;08:52;09:06;09:06;09:21;09:22;09:36;09:37;09:51;09:54;10:01;10:03;10:06;10:05;10:18;10:19;10:28;10:30;10:38;10:40;10:48;10:49;10:58;11:00;11:08;11:09;11:18;11:19;11:28;11:28;11:38;11:40;11:48;11:49;11:58;11:58;12:08;12:11;12:18;12:17;12:28;12:30;12:38;12:39;12:48;12:49;12:58;12:58;13:08;13:10;13:18;13:20;13:28;13:28;13:38;13:41;13:48;13:51;13:58;14:00;14:08;14:09;14:18;14:19;14:28;14:30;14:38;14:37;14:48;14:47;14:58;14:58;15:08;15:09;15:18;15:18;15:28;15:28;15:38;15:40;15:48;15:49;15:58;15:58;16:08;16:09;16:18;16:19;16:28;16:30;16:38;16:38;16:48;16:48;16:58;16:58;17:08;17:07;17:18;17:21;17:28;17:28;17:38;17:39;17:48;17:49;17:58;17:58;18:08;18:10;18:18;18:18;18:28;18:27;18:38;18:39;18:51;18:52;;;19:06;19:07;19:21;19:23;;;19:36;19:35;19:51;19:52;20:06;20:05;20:21;20:22;20:36;20:38;20:51;20:50;21:06;21:06;21:21;21:20;;;;;;;;;;;;;;;;;;;;
Münzgasse, LVZ;;;;;;;;;02:02;02:01;03:13;03:13;04:29;04:27;;;;;;;;;;;;;;;08:22;08:20;08:37;08:38;08:52;08:53;09:07;09:07;09:22;09:23;09:37;09:38;09:52;09:55;10:02;10:04;10:07;10:07;10:19;10:20;10:29;10:31;10:39;10:41;10:49;10:50;10:59;11:01;11:09;11:10;11:19;11:20;11:29;11:29;11:39;11:41;11:49;11:50;11:59;11:59;12:09;12:13;12:19;12:19;12:29;12:31;12:39;12:40;12:49;12:50;12:59;12:59;13:09;13:11;13:19;13:21;13:29;13:29;13:39;13:43;13:49;13:52;13:59;14:01;14:09;14:10;14:19;14:21;14:29;14:31;14:39;14:38;14:49;14:49;14:59;14:59;15:09;15:10;15:19;15:19;15:29;15:29;15:39;15:41;15:49;15:50;15:59;15:59;16:09;16:10;16:19;16:20;16:29;16:31;16:39;16:40;16:49;16:48;16:59;16:59;17:09;17:08;17:19;17:22;17:29;17:30;17:39;17:40;17:49;17:50;17:59;17:59;18:09;18:11;18:19;18:19;18:29;18:28;18:39;18:40;18:52;18:53;;;19:07;19:08;19:22;19:25;;;19:37;19:37;19:52;19:53;20:07;20:06;20:22;20:23;20:37;20:39;20:52;20:51;21:07;21:07;21:22;21:21;;;;;;;;;;;;;;;;;;;;
Wilhelm-Leuschner-Platz;;;;;;;;;02:04;02:03;03:15;03:15;04:31;04:29;;;;;;;;;;;;;;;08:24;08:23;08:39;08:40;08:54;08:55;09:09;09:09;09:24;09:26;09:39;09:40;09:54;09:57;10:04;10:06;10:09;10:09;10:21;10:23;10:31;10:33;10:41;10:44;10:51;10:52;11:01;11:03;11:11;11:12;11:21;11:23;11:31;11:32;11:41;11:43;11:51;11:52;12:01;12:01;12:11;12:15;12:21;12:21;12:31;12:33;12:41;12:42;12:51;12:53;13:01;13:02;13:11;13:13;13:21;13:23;13:31;13:32;13:41;13:45;13:51;13:54;14:01;14:03;14:11;14:12;14:21;14:23;14:31;14:33;14:41;14:40;14:51;14:51;15:01;15:01;15:11;15:12;15:21;15:21;15:31;15:31;15:41;15:44;15:51;15:53;16:01;16:01;16:11;16:13;16:21;16:22;16:31;16:33;16:41;16:42;16:51;16:51;17:01;17:02;17:11;17:11;17:21;17:24;17:31;17:32;17:41;17:42;17:51;17:52;18:01;18:01;18:11;18:14;18:21;18:21;18:31;18:30;18:41;18:42;18:54;18:55;;;19:09;19:10;19:24;19:27;;;19:39;19:39;19:54;19:55;20:09;20:09;20:24;20:25;20:39;20:41;20:54;20:54;21:09;21:09;21:24;21:24;;;;;;;;;;;;;;;;;;;;
Augustusplatz;;;;;;;;;02:06;02:05;03:17;03:17;04:33;04:32;;;;;;;;;;;;;;;08:26;08:25;08:41;08:43;08:56;08:58;09:11;09:11;09:26;09:29;09:41;09:43;09:56;09:59;10:06;10:08;10:11;10:11;10:23;10:26;10:33;10:35;10:43;10:47;10:53;10:55;11:03;11:05;11:13;11:14;11:23;11:25;11:33;11:35;11:43;11:46;11:53;11:55;12:03;12:04;12:13;12:19;12:23;12:23;12:33;12:35;12:43;12:44;12:53;12:56;13:03;13:04;13:13;13:16;13:23;13:26;13:33;13:34;13:43;13:47;13:53;13:56;14:03;14:05;14:13;14:14;14:23;14:26;14:33;14:35;14:43;14:43;14:53;14:53;15:03;15:04;15:13;15:14;15:23;15:25;15:33;15:34;15:43;15:46;15:53;15:56;16:03;16:04;16:13;16:16;16:23;16:25;16:33;16:35;16:43;16:44;16:53;16:53;17:03;17:05;17:13;17:13;17:23;17:28;17:33;17:34;17:43;17:44;17:53;17:55;18:03;18:04;18:13;18:16;18:23;18:23;18:33;18:32;18:43;18:44;18:56;18:58;;;19:11;19:13;19:26;19:29;;;19:41;19:41;19:56;19:58;20:11;20:11;20:26;20:28;20:41;20:43;20:56;20:56;21:11;21:11;21:26;21:26;;;;;;;;;;;;;;;;;;;;
Hauptbahnhof;;;;;;;;;02:09;02:07;03:20;03:19;04:36;04:33;;;;;;;;;;;;;;;08:29;08:28;08:44;08:46;08:59;09:00;09:14;09:14;09:29;09:32;09:44;09:46;09:59;10:02;10:09;10:11;10:14;10:15;10:27;10:29;10:37;10:38;10:47;10:52;10:57;10:58;11:07;11:08;11:17;11:17;11:27;11:28;11:37;11:39;11:47;11:49;11:57;11:58;12:07;12:07;12:17;12:23;12:27;12:26;12:37;12:39;12:47;12:49;12:57;12:59;13:07;13:07;13:17;13:20;13:27;13:30;13:37;13:37;13:47;13:50;13:57;14:01;14:07;14:10;14:17;14:17;14:27;14:31;14:37;14:39;14:47;14:46;14:57;14:56;15:07;15:08;15:17;15:19;15:27;15:28;15:37;15:38;15:47;15:50;15:57;16:01;16:07;16:07;16:17;16:19;16:27;16:28;16:37;16:38;16:47;16:47;16:57;16:56;17:07;17:10;17:17;17:17;17:27;17:32;17:37;17:38;17:47;17:47;17:57;17:59;18:07;18:07;18:17;18:19;18:27;18:27;18:37;18:36;18:47;18:47;18:59;19:02;;;19:14;19:16;19:29;19:32;;;19:44;19:44;19:59;20:01;20:14;20:13;20:29;20:30;20:44;20:46;20:59;20:58;21:14;21:14;21:29;21:29;;;;;;;;;;;;;;;;;;;;
Wilhelm-Liebknecht-Platz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:32;08:30;08:47;08:48;09:02;09:03;09:17;09:17;09:32;09:35;09:47;09:48;10:02;10:05;10:12;10:15;10:17;10:18;10:30;10:32;10:40;10:41;10:50;10:54;11:00;11:00;11:10;11:11;11:20;11:20;11:30;11:30;11:40;11:41;11:50;11:51;12:00;12:00;12:10;12:09;12:20;12:26;12:30;12:29;12:40;12:41;12:50;12:51;13:00;13:02;13:10;13:09;13:20;13:23;13:30;13:33;13:40;13:39;13:50;13:53;14:00;14:03;14:10;14:12;14:20;14:20;14:30;14:33;14:40;14:42;14:50;14:48;15:00;14:59;15:10;15:11;15:20;15:23;15:30;15:32;15:40;15:41;15:50;15:53;16:00;16:03;16:10;16:09;16:20;16:23;16:30;16:30;16:40;16:41;16:50;16:50;17:00;16:59;17:10;17:13;17:20;17:20;17:30;17:35;17:40;17:41;17:50;17:50;18:00;18:02;18:10;18:09;18:20;18:21;18:30;18:30;18:40;18:39;18:50;18:50;19:02;19:05;;;19:17;19:18;19:32;19:35;;;19:47;19:47;20:02;20:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chausseehaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:34;08:32;08:49;08:50;09:04;09:05;09:19;09:19;09:34;09:36;09:49;09:50;10:04;10:07;10:14;10:17;10:19;10:20;10:32;10:33;10:42;10:43;10:52;10:56;11:02;11:03;11:12;11:12;11:22;11:21;11:32;11:32;11:42;11:43;11:52;11:53;12:02;12:02;12:12;12:11;12:22;12:28;12:32;12:31;12:42;12:43;12:52;12:53;13:02;13:03;13:12;13:11;13:22;13:25;13:32;13:35;13:42;13:41;13:52;13:55;14:02;14:05;14:12;14:14;14:22;14:22;14:32;14:35;14:42;14:44;14:52;14:51;15:02;15:01;15:12;15:13;15:22;15:25;15:32;15:34;15:42;15:43;15:52;15:55;16:02;16:05;16:12;16:11;16:22;16:24;16:32;16:32;16:42;16:43;16:52;16:52;17:02;17:01;17:12;17:14;17:22;17:22;17:32;17:37;17:42;17:43;17:52;17:52;18:02;18:04;18:12;18:11;18:22;18:24;18:32;18:33;18:42;18:41;18:52;18:52;19:04;19:06;;;19:19;19:20;19:34;19:37;;;19:49;19:49;20:04;20:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G.-Schumann-/Lützowstr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:36;08:35;08:51;08:52;09:06;09:07;09:21;09:21;09:36;09:39;09:51;09:52;10:06;10:09;10:16;10:19;10:21;10:22;10:34;10:35;10:44;10:45;10:54;10:58;11:04;11:05;11:14;11:15;11:24;11:23;11:34;11:34;11:44;11:45;11:54;11:55;12:04;12:04;12:14;12:13;12:24;12:30;12:34;12:33;12:44;12:45;12:54;12:55;13:04;13:06;13:14;13:13;13:24;13:27;13:34;13:37;13:44;13:43;13:54;13:57;14:04;14:06;14:14;14:16;14:24;14:24;14:34;14:37;14:44;14:45;14:54;14:54;15:04;15:03;15:14;15:15;15:24;15:27;15:34;15:36;15:44;15:45;15:54;15:57;16:04;16:07;16:14;16:13;16:24;16:27;16:34;16:34;16:44;16:45;16:54;16:54;17:04;17:03;17:14;17:16;17:24;17:24;17:34;17:39;17:44;17:45;17:54;17:54;18:04;18:06;18:14;18:13;18:24;18:25;18:34;18:35;18:44;18:43;18:54;18:54;19:06;19:09;;;19:21;19:22;19:36;19:39;;;19:51;19:51;20:06;20:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G-Schumann-/Lindenth. S.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:37;08:36;08:52;08:53;09:07;09:08;09:22;09:22;09:37;09:40;09:52;09:53;10:07;10:10;10:17;10:21;10:22;10:23;10:35;10:37;10:45;10:46;10:55;10:59;11:05;11:07;11:15;11:16;11:25;11:25;11:35;11:36;11:45;11:46;11:55;11:56;12:05;12:06;12:15;12:14;12:25;12:31;12:35;12:34;12:45;12:46;12:55;12:56;13:05;13:07;13:15;13:14;13:25;13:28;13:35;13:38;13:45;13:44;13:55;13:58;14:05;14:08;14:15;14:18;14:25;14:25;14:35;14:39;14:45;14:47;14:55;14:55;15:05;15:04;15:15;15:17;15:25;15:28;15:35;15:37;15:45;15:46;15:55;15:58;16:05;16:09;16:15;16:14;16:25;16:28;16:35;16:35;16:45;16:46;16:55;16:55;17:05;17:04;17:15;17:18;17:25;17:25;17:35;17:40;17:45;17:46;17:55;17:55;18:05;18:07;18:15;18:14;18:25;18:27;18:35;18:36;18:45;18:44;18:55;18:55;19:07;19:10;;;19:22;19:23;19:37;19:40;;;19:52;19:52;20:07;20:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiederitzscher Straße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:38;08:37;08:53;08:54;09:08;09:10;09:23;09:23;09:38;09:41;09:53;09:55;10:08;10:11;10:18;10:22;10:23;10:25;10:37;10:38;10:47;10:47;10:57;11:01;11:07;11:08;11:17;11:17;11:27;11:26;11:37;11:37;11:47;11:47;11:57;11:58;12:07;12:07;12:17;12:16;12:27;12:33;12:37;12:35;12:47;12:47;12:57;12:58;13:07;13:08;13:17;13:16;13:27;13:29;13:37;13:40;13:47;13:46;13:57;13:59;14:07;14:09;14:17;14:19;14:27;14:26;14:37;14:40;14:47;14:49;14:57;14:56;15:07;15:06;15:17;15:19;15:27;15:29;15:37;15:38;15:47;15:47;15:57;15:59;16:07;16:10;16:17;16:16;16:27;16:29;16:37;16:37;16:47;16:47;16:57;16:56;17:07;17:06;17:17;17:19;17:27;17:26;17:37;17:42;17:47;17:47;17:57;17:56;18:07;18:08;18:17;18:16;18:27;18:28;18:37;18:37;18:47;18:46;18:57;18:56;19:08;19:11;;;19:23;19:25;19:38;19:41;;;19:53;19:53;20:08;20:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S-Bf. Möckern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:39;08:38;08:54;08:55;09:09;09:11;09:24;09:24;09:39;09:42;09:54;09:56;10:09;10:12;10:19;10:23;10:24;10:26;10:38;10:39;10:48;10:49;10:58;11:02;11:08;11:09;11:18;11:18;11:28;11:27;11:38;11:38;11:48;11:48;11:58;11:59;12:08;12:08;12:18;12:17;12:28;12:34;12:38;12:36;12:48;12:48;12:58;12:59;13:08;13:09;13:18;13:17;13:28;13:31;13:38;13:41;13:48;13:47;13:58;14:00;14:08;14:10;14:18;14:20;14:28;14:27;14:38;14:42;14:48;14:50;14:58;14:57;15:08;15:07;15:18;15:20;15:28;15:30;15:38;15:39;15:48;15:49;15:58;16:01;16:08;16:11;16:18;16:17;16:28;16:30;16:38;16:38;16:48;16:48;16:58;16:57;17:08;17:07;17:18;17:20;17:28;17:27;17:38;17:43;17:48;17:48;17:58;17:57;18:08;18:09;18:18;18:17;18:28;18:29;18:38;18:38;18:48;18:48;18:58;18:57;19:09;19:12;;;19:24;19:26;19:39;19:42;;;19:54;19:54;20:09;20:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dantestraße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:40;08:39;08:55;08:56;09:10;09:12;09:25;09:25;09:40;09:44;09:55;09:57;10:10;10:13;10:20;10:24;10:25;10:27;10:39;10:40;10:49;10:50;10:59;11:03;11:09;11:10;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:50;11:59;12:00;12:09;12:09;12:19;12:18;12:29;12:35;12:39;12:37;12:49;12:49;12:59;13:00;13:09;13:10;13:19;13:18;13:29;13:32;13:39;13:42;13:49;13:48;13:59;14:01;14:09;14:11;14:19;14:21;14:29;14:28;14:39;14:43;14:49;14:51;14:59;14:58;15:09;15:08;15:19;15:20;15:29;15:31;15:39;15:40;15:49;15:50;15:59;16:02;16:09;16:12;16:19;16:17;16:29;16:32;16:39;16:39;16:49;16:49;16:59;16:58;17:09;17:08;17:19;17:21;17:29;17:29;17:39;17:44;17:49;17:49;17:59;17:58;18:09;18:10;18:19;18:18;18:29;18:30;18:39;18:39;18:49;18:49;18:59;18:58;19:10;19:13;;;19:25;19:27;19:40;19:43;;;19:55;19:55;20:10;20:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Möckern, Hist. Strbf.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:42;08:40;08:57;08:57;09:12;09:13;09:27;09:26;09:42;09:45;09:57;09:58;10:12;10:15;10:22;10:25;10:27;10:28;10:41;10:41;10:51;10:51;11:01;11:04;11:11;11:11;11:21;11:21;11:31;11:30;11:41;11:40;11:51;11:51;12:01;12:01;12:11;12:10;12:21;12:20;12:31;12:37;12:41;12:39;12:51;12:50;13:01;13:01;13:11;13:12;13:21;13:20;13:31;13:33;13:41;13:43;13:51;13:49;14:01;14:03;14:11;14:13;14:21;14:23;14:31;14:30;14:41;14:45;14:51;14:52;15:01;15:00;15:11;15:10;15:21;15:22;15:31;15:33;15:41;15:41;15:51;15:51;16:01;16:03;16:11;16:14;16:21;16:19;16:31;16:33;16:41;16:40;16:51;16:51;17:01;17:01;17:11;17:10;17:21;17:23;17:31;17:31;17:41;17:46;17:51;17:51;18:01;18:00;18:11;18:13;18:21;18:19;18:31;18:32;18:41;18:40;18:51;18:50;19:01;19:00;19:12;19:15;;;19:27;19:28;19:42;19:44;;;19:57;19:56;20:12;20:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Annaberger Straße;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:43;08:42;08:58;08:59;09:13;09:14;09:28;09:28;09:43;09:47;09:58;10:00;10:13;10:16;10:23;10:27;10:28;10:29;10:42;10:43;10:52;10:52;11:02;11:05;11:12;11:12;11:22;11:22;11:32;11:32;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:11;12:22;12:21;12:32;12:39;12:42;12:40;12:52;12:52;13:02;13:03;13:12;13:13;13:22;13:21;13:32;13:34;13:42;13:44;13:52;13:51;14:02;14:04;14:12;14:14;14:22;14:24;14:32;14:31;14:42;14:46;14:52;14:53;15:02;15:01;15:12;15:12;15:22;15:24;15:32;15:34;15:42;15:43;15:52;15:52;16:02;16:05;16:12;16:15;16:22;16:21;16:32;16:34;16:42;16:41;16:52;16:53;17:02;17:02;17:12;17:11;17:22;17:24;17:32;17:32;17:42;17:47;17:52;17:52;18:02;18:01;18:12;18:14;18:22;18:20;18:32;18:34;18:42;18:41;18:52;18:51;19:02;19:01;19:13;19:16;;;19:28;19:29;19:43;19:46;;;19:58;19:58;20:13;20:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08:45;08:43;09:00;09:00;09:15;09:16;09:30;09:29;09:45;09:48;10:00;10:00;10:15;10:18;10:25;10:27;10:30;10:30;10:44;10:44;10:54;10:53;11:04;11:06;11:14;11:13;11:24;11:23;11:34;11:33;11:44;11:42;11:54;11:53;12:04;12:03;12:14;12:12;12:24;12:22;12:34;12:40;12:44;12:42;12:54;12:53;13:04;13:04;13:14;13:14;13:24;13:22;13:34;13:35;13:44;13:45;13:54;13:52;14:04;14:05;14:14;14:15;14:24;14:25;14:34;14:32;14:44;14:47;14:54;14:54;15:04;15:02;15:14;15:13;15:24;15:25;15:34;15:35;15:44;15:44;15:54;15:54;16:04;16:06;16:14;16:16;16:24;16:21;16:34;16:35;16:44;16:42;16:54;16:54;17:04;17:03;17:14;17:12;17:24;17:25;17:34;17:33;17:44;17:49;17:54;17:53;18:04;18:02;18:14;18:15;18:24;18:21;18:34;18:34;18:44;18:42;18:54;18:52;19:04;19:02;19:15;19:17;;;19:30;19:30;19:45;19:47;;;20:00;19:59;20:15;20:17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
