Kurs:;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;;94;;34;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Geithainer Straße;08:12;08:14;08:42;08:44;09:12;09:13;09:42;09:43;10:12;10:12;10:41;10:42;11:11;11:13;11:41;11:42;12:11;12:12;12:41;12:45;13:11;13:11;13:41;13:42;14:11;14:13;14:41;14:42;15:11;15:12;15:41;15:42;16:11;16:11;16:41;16:42;17:11;17:14;17:41;17:42;18:11;18:15;18:41;18:42;19:12;19:20;19:42;19:45;20:12;20:12;20:42;20:44
Uhlandweg;08:13;08:15;08:43;08:44;09:13;09:14;09:43;09:44;10:13;10:13;10:42;10:43;11:12;11:13;11:42;11:43;12:12;12:13;12:42;12:46;13:12;13:12;13:42;13:43;14:12;14:14;14:42;14:43;15:12;15:13;15:42;15:43;16:12;16:12;16:42;16:43;17:12;17:14;17:42;17:43;18:12;18:15;18:42;18:43;19:13;19:21;19:43;19:46;20:13;20:13;20:43;20:45
Paunsdorfer Straße;08:14;08:16;08:44;08:45;09:14;09:15;09:44;09:45;10:14;10:14;10:43;10:44;11:13;11:14;11:43;11:44;12:13;12:14;12:43;12:47;13:13;13:12;13:43;13:44;14:13;14:15;14:43;14:44;15:13;15:14;15:43;15:44;16:13;16:13;16:43;16:43;17:13;17:15;17:43;17:44;18:13;18:17;18:43;18:43;19:14;19:21;19:44;19:47;20:14;20:14;20:44;20:46
Mölkau, Gemeindeamt;08:16;08:17;08:46;08:47;09:16;09:16;09:46;09:47;10:16;10:15;10:45;10:46;11:15;11:15;11:45;11:45;12:15;12:15;12:45;12:49;13:15;13:14;13:45;13:45;14:15;14:15;14:45;14:46;15:15;15:15;15:45;15:45;16:15;16:14;16:45;16:45;17:15;17:16;17:45;17:45;18:15;18:18;18:45;18:44;19:16;19:22;19:46;19:48;20:16;20:15;20:46;20:47
Handwerkerhof;08:17;08:18;08:47;08:47;09:17;09:17;09:47;09:48;10:17;10:16;10:46;10:47;11:16;11:16;11:46;11:46;12:16;12:16;12:46;12:50;13:16;13:15;13:46;13:47;14:16;14:16;14:46;14:47;15:16;15:16;15:46;15:46;16:16;16:15;16:46;16:46;17:16;17:17;17:46;17:46;18:16;18:19;18:46;18:45;19:17;19:23;19:47;19:50;20:17;20:16;20:47;20:48
Oberdorfstraße;08:18;08:19;08:48;08:48;09:18;09:18;09:48;09:49;10:18;10:17;10:47;10:49;11:17;11:18;11:47;11:47;12:17;12:17;12:47;12:51;13:17;13:16;13:47;13:48;14:17;14:17;14:47;14:48;15:17;15:17;15:47;15:47;16:17;16:17;16:47;16:47;17:17;17:18;17:47;17:48;18:17;18:20;18:47;18:46;19:18;19:24;19:48;19:51;20:18;20:17;20:48;20:49
Kolmstraße;08:19;08:21;08:49;08:50;09:19;09:20;09:49;09:50;10:19;10:20;10:48;10:51;11:18;11:20;11:48;11:48;12:18;12:19;12:48;12:52;13:18;13:18;13:48;13:50;14:18;14:18;14:48;14:50;15:18;15:19;15:48;15:50;16:18;16:18;16:48;16:48;17:18;17:19;17:48;17:50;18:18;18:21;18:48;18:48;19:19;19:25;19:49;19:52;20:19;20:18;20:49;20:50
Schwimmhalle Südost;08:20;08:22;08:50;08:51;09:20;09:21;09:50;09:51;10:20;10:21;10:49;10:52;11:19;11:21;11:49;11:49;12:19;12:20;12:49;12:53;13:19;13:19;13:49;13:50;14:19;14:19;14:49;14:51;15:19;15:20;15:49;15:50;16:19;16:19;16:49;16:49;17:19;17:20;17:49;17:51;18:19;18:22;18:49;18:49;19:20;19:26;19:50;19:53;20:20;20:19;20:50;20:51
Kommandant-Prendel-Allee;08:21;08:23;08:51;08:51;09:21;09:21;09:51;09:52;10:21;10:22;10:50;10:53;11:20;11:22;11:50;11:50;12:20;12:20;12:50;12:54;13:20;13:20;13:50;13:51;14:20;14:20;14:50;14:52;15:20;15:21;15:50;15:51;16:20;16:20;16:50;16:50;17:20;17:21;17:50;17:52;18:20;18:23;18:50;18:50;19:21;19:27;19:51;19:54;20:21;20:20;20:51;20:52
Südfriedhof;08:22;08:25;08:52;08:52;09:22;09:23;09:52;09:52;10:22;10:23;10:51;10:55;11:21;11:22;11:51;11:51;12:21;12:21;12:51;12:55;13:21;13:21;13:51;13:51;14:21;14:21;14:51;14:53;15:21;15:21;15:51;15:53;16:21;16:20;16:51;16:50;17:21;17:23;17:51;17:52;18:21;18:24;18:51;18:50;19:22;19:27;19:52;19:55;20:22;20:20;20:52;20:52
Prager/Russenstraße;08:23;08:26;08:53;08:54;09:23;09:24;09:53;09:53;10:23;10:27;10:52;10:56;11:22;11:24;11:52;11:54;12:22;12:24;12:52;12:56;13:22;13:22;13:52;13:53;14:22;14:24;14:52;14:54;15:22;15:22;15:52;15:54;16:22;16:22;16:52;16:52;17:22;17:27;17:52;17:55;18:22;18:26;18:52;18:53;19:23;19:30;19:53;19:57;20:23;20:22;20:53;20:55
Probstheida;08:27;08:29;08:57;08:57;09:27;09:27;09:57;09:57;10:27;10:29;10:55;10:58;11:25;11:26;11:55;11:57;12:25;12:25;12:55;12:59;13:25;13:25;13:55;13:56;14:25;14:26;14:55;14:57;15:25;15:25;15:55;15:56;16:25;16:25;16:55;16:56;17:25;17:28;17:55;17:58;18:25;18:27;18:57;18:56;19:27;19:31;19:57;19:58;20:27;20:26;20:57;20:57
Connewitzer Straße;08:28;08:31;08:58;08:58;09:28;09:28;09:58;09:58;10:28;10:30;10:56;11:00;11:26;11:28;11:56;11:58;12:26;12:27;12:56;13:00;13:26;13:26;13:56;13:57;14:26;14:27;14:56;14:58;15:26;15:26;15:56;15:57;16:26;16:26;16:56;16:58;17:26;17:29;17:56;17:59;18:26;18:28;18:58;18:58;19:28;19:32;19:58;20:00;20:28;20:27;20:58;20:58
Probsth./W.-Bredel-Str.;08:30;08:33;09:00;09:00;09:30;09:30;10:00;10:00;10:30;10:33;10:58;11:02;11:28;11:30;11:58;11:59;12:28;12:28;12:58;13:01;13:28;13:28;13:58;13:59;14:28;14:29;14:58;15:00;15:28;15:28;15:58;15:59;16:28;16:27;16:58;17:00;17:28;17:31;17:58;18:00;18:28;18:30;19:00;18:59;19:30;19:34;20:00;20:01;20:30;20:29;21:00;20:59
Moritz Hof;08:32;08:34;09:02;09:02;09:32;09:31;10:02;10:01;10:32;10:35;11:00;11:03;11:30;11:31;12:00;12:01;12:30;12:30;13:00;13:03;13:30;13:29;14:00;14:01;14:30;14:30;15:00;15:01;15:30;15:29;16:00;16:00;16:30;16:29;17:00;17:01;17:30;17:32;18:00;18:02;18:30;18:32;19:02;19:02;19:32;19:35;20:02;20:02;20:32;20:31;21:02;21:01
Dankwartstraße;08:33;08:35;09:03;09:03;09:33;09:32;10:03;10:02;10:33;10:36;11:01;11:04;11:31;11:33;12:01;12:02;12:31;12:31;13:01;13:04;13:31;13:30;14:01;14:02;14:31;14:31;15:01;15:02;15:31;15:30;16:01;16:01;16:31;16:30;17:01;17:02;17:31;17:34;18:01;18:03;18:31;18:33;19:03;19:03;19:33;19:36;20:03;20:03;20:33;20:32;21:03;21:02
Dürrstraße;08:34;08:36;09:04;09:04;09:34;09:33;10:04;10:04;10:34;10:36;11:02;11:04;11:32;11:34;12:02;12:02;12:32;12:32;13:02;13:05;13:32;13:30;14:02;14:03;14:32;14:32;15:02;15:03;15:32;15:31;16:02;16:01;16:32;16:31;17:02;17:03;17:32;17:35;18:02;18:04;18:32;18:34;19:04;19:04;19:34;19:37;20:04;20:04;20:34;20:33;21:04;21:02
Raschwitzer Straße;08:35;08:37;09:05;09:05;09:35;09:34;10:05;10:05;10:35;10:37;11:03;11:05;11:33;11:35;12:03;12:03;12:33;12:32;13:03;13:06;13:33;13:31;14:03;14:04;14:33;14:33;15:03;15:04;15:33;15:32;16:03;16:02;16:33;16:32;17:03;17:04;17:33;17:35;18:03;18:05;18:33;18:35;19:05;19:04;19:35;19:37;20:05;20:05;20:35;20:34;21:05;21:03
S-Bf. Connewitz;08:37;08:39;09:07;09:06;09:37;09:35;10:07;10:06;10:37;10:39;11:05;11:07;11:35;11:36;12:05;12:05;12:35;12:34;13:05;13:07;13:35;13:33;14:05;14:06;14:35;14:35;15:05;15:05;15:35;15:34;16:05;16:04;16:35;16:34;17:05;17:06;17:35;17:37;18:05;18:06;18:35;18:36;19:07;19:06;19:37;19:39;20:07;20:07;20:37;20:37;21:07;21:05
