Kurs:;43;;13;;44;;14;;45;;15;;46;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;13;;14;;15;;16;;43;;44;;45;;46;;14;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Friedrich-List-Platz;;;12:15;12:14;;;12:30;12:30;;;12:45;12:44;;;13:00;12:59;13:15;13:15;13:30;13:30;13:45;13:45;14:00;13:59;14:15;14:14;14:30;14:30;14:45;14:44;15:00;14:59;15:15;15:15;15:30;15:30;15:45;15:44;16:00;15:59;16:15;16:14;16:30;16:30;16:45;16:45;17:00;16:59;17:15;17:18;17:30;17:30;17:45;17:44;18:00;17:59;18:30;18:29
Hofmeisterstraße;;;12:16;12:15;;;12:31;12:31;;;12:46;12:45;;;13:01;13:00;13:16;13:16;13:31;13:31;13:46;13:47;14:01;14:00;14:16;14:15;14:31;14:31;14:46;14:45;15:01;15:00;15:16;15:17;15:31;15:31;15:46;15:45;16:01;16:00;16:16;16:15;16:31;16:31;16:46;16:46;17:01;17:00;17:16;17:20;17:31;17:32;17:46;17:45;18:01;18:00;18:31;18:30
Wintergartenstraße, Hbf.;;;12:18;12:17;;;12:33;12:33;;;12:48;12:47;;;13:03;13:02;13:18;13:18;13:33;13:33;13:48;13:48;14:03;14:02;14:18;14:17;14:33;14:33;14:48;14:47;15:03;15:02;15:18;15:18;15:33;15:33;15:48;15:48;16:03;16:02;16:18;16:17;16:33;16:33;16:48;16:48;17:03;17:02;17:18;17:21;17:33;17:33;17:48;17:47;18:03;18:02;18:33;18:32
Augustusplatz;;;12:20;12:20;;;12:35;12:35;;;12:50;12:49;;;13:05;13:04;13:20;13:20;13:35;13:35;13:50;13:50;14:05;14:04;14:20;14:20;14:35;14:34;14:50;14:49;15:05;15:04;15:20;15:20;15:35;15:35;15:50;15:50;16:05;16:04;16:20;16:19;16:35;16:35;16:50;16:50;17:05;17:04;17:20;17:23;17:35;17:35;17:50;17:50;18:05;18:04;18:35;18:35
Wilhelm-Leuschner-Platz;;;12:23;12:22;;;12:38;12:37;;;12:53;12:52;;;13:08;13:07;13:23;13:23;13:38;13:37;13:53;13:53;14:08;14:07;14:23;14:22;14:38;14:37;14:53;14:52;15:08;15:07;15:23;15:22;15:38;15:37;15:53;15:52;16:08;16:07;16:23;16:22;16:38;16:37;16:53;16:52;17:08;17:07;17:23;17:27;17:38;17:37;17:53;17:52;18:08;18:07;18:38;18:37
Neues Rathaus;;;12:25;12:24;;;12:40;12:39;;;12:55;12:53;;;13:10;13:09;13:25;13:25;13:40;13:40;13:55;13:56;14:10;14:10;14:25;14:25;14:40;14:39;14:55;14:53;15:10;15:09;15:25;15:24;15:40;15:39;15:55;15:54;16:10;16:09;16:25;16:24;16:40;16:40;16:55;16:55;17:10;17:09;17:25;17:29;17:40;17:39;17:55;17:54;18:10;18:10;18:40;18:39
Westplatz;;;12:27;12:27;;;12:42;12:41;;;12:57;12:55;;;13:12;13:11;13:27;13:27;13:42;13:41;13:57;13:57;14:12;14:11;14:27;14:26;14:42;14:42;14:57;14:55;15:12;15:11;15:27;15:26;15:42;15:42;15:57;15:56;16:12;16:11;16:27;16:26;16:42;16:42;16:57;16:56;17:12;17:11;17:27;17:31;17:42;17:42;17:57;17:57;18:12;18:11;18:42;18:41
Waldplatz;;;12:29;12:28;;;12:44;12:44;;;12:59;12:58;;;13:14;13:14;13:29;13:29;13:44;13:43;13:59;14:00;14:14;14:13;14:29;14:28;14:44;14:44;14:59;14:58;15:14;15:13;15:29;15:29;15:44;15:43;15:59;15:58;16:14;16:13;16:29;16:28;16:44;16:43;16:59;16:58;17:14;17:14;17:29;17:33;17:44;17:43;17:59;17:59;18:14;18:14;18:44;18:43
Sportforum Süd;;;12:30;12:30;;;12:45;12:45;;;13:00;12:59;;;13:15;13:15;13:30;13:30;13:45;13:45;14:00;14:01;14:15;14:14;14:30;14:30;14:45;14:46;15:00;14:59;15:15;15:14;15:30;15:30;15:45;15:45;16:00;16:00;16:15;16:14;16:30;16:29;16:45;16:45;17:00;17:00;17:15;17:15;17:30;17:34;17:45;17:44;18:00;18:00;18:15;18:15;18:45;18:45
Angerbrücke, Strbf.;11:41;11:42;12:32;12:32;11:56;11:56;12:47;12:47;12:11;12:11;13:02;13:01;12:26;12:27;13:17;13:17;13:32;13:32;13:47;13:46;14:02;14:03;14:17;14:17;14:32;14:31;14:47;14:48;15:02;15:01;15:17;15:17;15:32;15:32;15:47;15:47;16:02;16:01;16:17;16:17;16:32;16:32;16:47;16:47;17:02;17:01;17:17;17:17;17:32;17:36;17:47;17:47;18:02;18:01;18:17;18:16;18:47;18:47
Lindenauer Markt;11:43;11:43;12:34;12:34;11:58;11:58;12:49;12:49;12:13;12:13;13:04;13:03;12:28;12:29;13:19;13:19;13:34;13:34;13:49;13:48;14:04;14:05;14:19;14:19;14:34;14:33;14:49;14:50;15:04;15:03;15:19;15:18;15:34;15:34;15:49;15:50;16:04;16:03;16:19;16:19;16:34;16:33;16:49;16:49;17:04;17:03;17:19;17:19;17:34;17:38;17:49;17:49;18:04;18:03;18:19;18:18;18:49;18:49
Lützner/Merseburger Str.;11:45;11:45;12:36;12:35;12:00;11:59;12:51;12:51;12:15;12:15;13:06;13:05;12:30;12:31;13:21;13:20;13:36;13:35;13:51;13:50;14:06;14:06;14:21;14:20;14:36;14:35;14:51;14:52;15:06;15:05;15:21;15:20;15:36;15:35;15:51;15:52;16:06;16:05;16:21;16:20;16:36;16:35;16:51;16:51;17:06;17:05;17:21;17:21;17:36;17:40;17:51;17:50;18:06;18:05;18:21;18:20;18:51;18:50
Henriettenstraße;11:46;11:46;12:37;12:36;12:01;12:01;12:52;12:52;12:16;12:16;13:07;13:06;12:31;12:32;13:22;13:22;13:37;13:37;13:52;13:52;14:07;14:07;14:22;14:22;14:37;14:36;14:52;14:54;15:07;15:06;15:22;15:22;15:37;15:37;15:52;15:53;16:07;16:06;16:22;16:21;16:37;16:36;16:52;16:52;17:07;17:06;17:22;17:22;17:37;17:41;17:52;17:52;18:07;18:06;18:22;18:22;18:52;18:51
Lindenau, Bushof;11:47;11:47;12:38;12:37;12:02;12:02;12:53;12:53;12:17;12:17;13:08;13:07;12:32;12:33;13:23;13:23;13:38;13:38;13:53;13:53;14:08;14:09;14:23;14:23;14:38;14:37;14:53;14:55;15:08;15:07;15:23;15:23;15:38;15:38;15:53;15:54;16:08;16:07;16:23;16:23;16:38;16:37;16:53;16:53;17:08;17:07;17:23;17:23;17:38;17:43;17:53;17:53;18:08;18:07;18:23;18:23;18:53;18:52
Credéstraße;11:48;11:47;12:39;12:38;12:03;12:02;12:54;12:54;12:18;12:18;13:09;13:08;12:33;12:34;13:24;13:24;13:39;13:39;13:54;13:54;14:09;14:10;14:24;14:23;14:39;14:38;14:54;14:56;15:09;15:08;15:24;15:24;15:39;15:39;15:54;15:55;16:09;16:08;16:24;16:24;16:39;16:38;16:54;16:54;17:09;17:08;17:24;17:24;17:39;17:44;17:54;17:54;18:09;18:08;18:24;18:24;18:54;18:53
Saarländer Straße;11:49;11:49;12:40;12:40;12:04;12:04;12:55;12:55;12:19;12:20;13:10;13:09;12:34;12:35;13:25;13:25;13:40;13:40;13:55;13:55;14:10;14:11;14:25;14:25;14:40;14:40;14:55;14:57;15:10;15:09;15:25;15:25;15:40;15:41;15:55;15:56;16:10;16:10;16:25;16:25;16:40;16:40;16:55;16:55;17:10;17:10;17:25;17:26;17:40;17:45;17:55;17:55;18:10;18:09;18:25;18:25;18:55;18:55
Grünauer Allee;11:50;11:50;12:41;12:41;12:05;12:05;12:56;12:56;12:20;12:21;13:11;13:11;12:35;12:37;13:26;13:26;13:41;13:41;13:56;13:56;14:11;14:12;14:26;14:26;14:41;14:40;14:56;14:58;15:11;15:11;15:26;15:26;15:41;15:42;15:56;15:58;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:56;17:11;17:11;17:26;17:27;17:41;17:47;17:56;17:56;18:11;18:10;18:26;18:26;18:56;18:56
Parkallee;11:51;11:51;12:42;12:42;12:06;12:06;12:57;12:57;12:21;12:22;13:12;13:12;12:36;12:38;13:27;13:28;13:42;13:42;13:57;13:57;14:12;14:13;14:27;14:27;14:42;14:42;14:57;14:59;15:12;15:12;15:27;15:28;15:42;15:43;15:57;15:59;16:12;16:11;16:27;16:27;16:42;16:42;16:57;16:57;17:12;17:12;17:27;17:28;17:42;17:48;17:57;17:57;18:12;18:11;18:27;18:27;18:57;18:57
Schönauer Ring;11:53;11:52;12:44;12:45;12:08;12:08;12:59;13:00;12:23;12:24;13:14;13:13;12:38;12:39;13:29;13:30;13:44;13:44;13:59;14:00;14:14;14:15;14:29;14:28;14:44;14:43;14:59;15:01;15:14;15:13;15:29;15:30;15:44;15:45;15:59;16:00;16:14;16:13;16:29;16:29;16:44;16:43;16:59;17:00;17:14;17:13;17:29;17:30;17:44;17:49;17:59;17:58;18:14;18:13;18:29;18:30;18:59;18:58
Grünau-Nord;11:54;11:53;12:45;12:46;12:09;12:10;13:00;13:01;12:24;12:26;13:15;13:14;12:39;12:40;13:30;13:31;13:45;13:45;14:00;14:01;14:15;14:16;14:30;14:29;14:45;14:44;15:00;15:02;15:15;15:14;15:30;15:31;15:45;15:46;16:00;16:01;16:15;16:14;16:30;16:29;16:45;16:44;17:00;17:00;17:15;17:15;17:30;17:31;17:45;17:51;18:00;17:59;18:15;18:14;18:30;18:33;19:00;19:01
