Kurs:;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;;34;;81;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Uhlandweg;09:13;09:14;09:43;09:44;10:13;10:14;10:43;10:43;11:13;11:13;11:43;11:44;12:13;12:12;12:43;12:46;13:13;13:14;13:43;13:43;14:13;14:18;14:43;14:44;15:13;15:14;15:43;15:42;16:13;16:14;16:43;16:43;17:13;17:14;17:43;17:44;18:13;18:16;18:43;18:43;19:13;19:14;19:43;19:44;20:13;20:13;20:43;20:43
Paunsdorfer Straße;09:14;09:15;09:44;09:45;10:14;10:14;10:44;10:44;11:14;11:14;11:44;11:46;12:14;12:13;12:44;12:47;13:14;13:15;13:44;13:44;14:14;14:19;14:44;14:45;15:14;15:15;15:44;15:43;16:14;16:15;16:44;16:44;17:14;17:15;17:44;17:45;18:14;18:17;18:44;18:43;19:14;19:15;19:44;19:45;20:14;20:14;20:44;20:44
Mölkau, Gemeindeamt;09:16;09:16;09:46;09:46;10:16;10:15;10:46;10:45;11:16;11:15;11:46;11:47;12:16;12:15;12:46;12:48;13:16;13:16;13:46;13:46;14:16;14:20;14:46;14:47;15:16;15:16;15:46;15:45;16:16;16:16;16:46;16:46;17:16;17:17;17:46;17:46;18:16;18:18;18:46;18:45;19:16;19:16;19:46;19:45;20:16;20:15;20:46;20:46
Handwerkerhof;09:17;09:17;09:47;09:47;10:17;10:17;10:47;10:46;11:17;11:17;11:47;11:48;12:17;12:17;12:47;12:50;13:17;13:17;13:47;13:47;14:17;14:21;14:47;14:48;15:17;15:19;15:47;15:46;16:17;16:17;16:47;16:47;17:17;17:18;17:47;17:47;18:17;18:20;18:47;18:46;19:17;19:17;19:47;19:47;20:17;20:16;20:47;20:47
Oberdorfstraße;09:18;09:18;09:48;09:47;10:18;10:18;10:48;10:47;11:18;11:18;11:48;11:49;12:18;12:18;12:48;12:51;13:18;13:18;13:48;13:48;14:18;14:22;14:48;14:49;15:18;15:20;15:48;15:48;16:18;16:18;16:48;16:48;17:18;17:19;17:48;17:48;18:18;18:21;18:48;18:47;19:18;19:18;19:48;19:48;20:18;20:17;20:48;20:48
Kolmstraße;09:19;09:19;09:49;09:49;10:19;10:19;10:49;10:49;11:19;11:21;11:49;11:50;12:19;12:19;12:49;12:54;13:19;13:20;13:49;13:49;14:19;14:23;14:49;14:50;15:19;15:22;15:49;15:49;16:19;16:20;16:49;16:49;17:19;17:21;17:49;17:49;18:19;18:22;18:49;18:49;19:19;19:19;19:49;19:49;20:19;20:19;20:49;20:49
Schwimmhalle Südost;09:20;09:20;09:50;09:49;10:20;10:20;10:50;10:50;11:20;11:22;11:50;11:51;12:20;12:20;12:50;12:55;13:20;13:21;13:50;13:50;14:20;14:24;14:50;14:51;15:20;15:23;15:50;15:50;16:20;16:21;16:50;16:50;17:20;17:22;17:50;17:50;18:20;18:23;18:50;18:50;19:20;19:19;19:50;19:50;20:20;20:20;20:50;20:50
Kommandant-Prendel-Allee;09:21;09:21;09:51;09:50;10:21;10:21;10:51;10:51;11:21;11:23;11:51;11:52;12:21;12:20;12:51;12:57;13:21;13:22;13:51;13:51;14:21;14:25;14:51;14:52;15:21;15:23;15:51;15:50;16:21;16:21;16:51;16:51;17:21;17:22;17:51;17:51;18:21;18:24;18:51;18:52;19:21;19:20;19:51;19:51;20:21;20:20;20:51;20:51
Südfriedhof;09:22;09:21;09:52;09:51;10:22;10:22;10:52;10:52;11:22;11:23;11:52;11:53;12:22;12:21;12:52;12:57;13:22;13:22;13:52;13:52;14:22;14:25;14:52;14:54;15:22;15:24;15:52;15:51;16:22;16:22;16:52;16:52;17:22;17:23;17:52;17:52;18:22;18:24;18:52;18:52;19:22;19:21;19:52;19:51;20:22;20:21;20:52;20:52
Prager/Russenstraße;09:23;09:23;09:53;09:54;10:23;10:25;10:53;10:54;11:23;11:25;11:53;11:54;12:23;12:24;12:53;12:58;13:23;13:24;13:53;13:54;14:23;14:27;14:53;14:55;15:23;15:27;15:53;15:54;16:23;16:24;16:53;16:54;17:23;17:25;17:53;17:54;18:23;18:27;18:53;18:54;19:23;19:22;19:53;19:54;20:23;20:23;20:53;20:54
Probstheida;09:27;09:27;09:57;09:58;10:27;10:28;10:57;10:57;11:27;11:27;11:57;11:59;12:27;12:27;12:57;13:00;13:27;13:27;13:57;13:57;14:27;14:29;14:57;14:58;15:27;15:28;15:57;15:57;16:27;16:26;16:57;16:57;17:27;17:27;17:57;17:57;18:27;18:28;18:57;18:57;19:27;19:27;19:57;19:57;20:27;20:27;20:57;20:56
Connewitzer Straße;09:28;09:28;09:58;09:59;10:28;10:29;10:58;10:58;11:28;11:28;11:58;12:00;12:28;12:28;12:58;13:01;13:28;13:29;13:58;13:58;14:28;14:30;14:58;15:00;15:28;15:30;15:58;15:58;16:28;16:28;16:58;16:58;17:28;17:28;17:58;17:58;18:28;18:30;18:58;18:58;19:28;19:28;19:58;19:58;20:28;20:28;20:58;20:58
Probsth./W.-Bredel-Str.;09:30;09:30;10:00;10:00;10:30;10:31;11:00;11:00;11:30;11:30;12:00;12:02;12:30;12:30;13:00;13:02;13:30;13:30;14:00;14:00;14:30;14:31;15:00;15:01;15:30;15:31;16:00;16:00;16:30;16:30;17:00;17:00;17:30;17:29;18:00;18:00;18:30;18:31;19:00;19:00;19:30;19:30;20:00;20:00;20:30;20:29;21:00;20:59
Moritz Hof;09:32;09:32;10:02;10:01;10:32;10:32;11:02;11:01;11:32;11:30;12:02;12:03;12:32;12:31;13:02;13:04;13:32;13:32;14:02;14:02;14:32;14:34;15:02;15:04;15:32;15:32;16:02;16:01;16:32;16:31;17:02;17:02;17:32;17:31;18:02;18:01;18:32;18:33;19:02;19:01;19:32;19:32;20:02;20:02;20:32;20:31;21:02;21:00
Dankwartstraße;09:33;09:33;10:03;10:02;10:33;10:33;11:03;11:02;11:33;11:31;12:03;12:04;12:33;12:32;13:03;13:06;13:33;13:33;14:03;14:03;14:33;14:34;15:03;15:05;15:33;15:33;16:03;16:02;16:33;16:32;17:03;17:03;17:33;17:32;18:03;18:01;18:33;18:34;19:03;19:02;19:33;19:33;20:03;20:03;20:33;20:32;21:03;21:01
Dürrstraße;09:34;09:33;10:04;10:03;10:34;10:34;11:04;11:03;11:34;11:33;12:04;12:04;12:34;12:33;13:04;13:06;13:34;13:34;14:04;14:04;14:34;14:35;15:04;15:05;15:34;15:34;16:04;16:03;16:34;16:33;17:04;17:04;17:34;17:33;18:04;18:02;18:34;18:34;19:04;19:03;19:34;19:34;20:04;20:04;20:34;20:33;21:04;21:02
Raschwitzer Straße;09:35;09:34;10:05;10:04;10:35;10:34;11:05;11:04;11:35;11:33;12:05;12:05;12:35;12:33;13:05;13:07;13:35;13:35;14:05;14:05;14:35;14:36;15:05;15:06;15:35;15:35;16:05;16:03;16:35;16:34;17:05;17:05;17:35;17:34;18:05;18:03;18:35;18:35;19:05;19:04;19:35;19:35;20:05;20:05;20:35;20:34;21:05;21:03
S-Bf. Connewitz;09:37;09:36;10:07;10:05;10:37;10:35;11:07;11:06;11:37;11:35;12:07;12:07;12:37;12:35;13:07;13:09;13:37;13:36;14:07;14:07;14:37;14:38;15:07;15:08;15:37;15:36;16:07;16:05;16:37;16:35;17:07;17:06;17:37;17:35;18:07;18:05;18:37;18:36;19:07;19:06;19:37;19:36;20:07;20:07;20:37;20:35;21:07;21:05
