Kurs:;45;;49;;52;;46;;51;;49;;43;;44;;46;;49;;51;;43;;41;;44;;45;;46;;48;;49;;51;;41;;52;;43;;42;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;43;;44;;45;;46;;47;;48;;49;;50;;51;;52;;41;;42;;44;;45;;47;;49;;50;;52;;41;;40;;42;;44;;45;;47;;49;;50;;52;;40;;42;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Saarländer Straße;00:48;00:47;01:01;01:00;01:29;01:28;;;04:50;04:51;;;05:20;05:21;05:50;05:50;06:20;06:19;06:50;06:49;07:20;07:21;07:50;07:51;;;08:11;08:11;08:26;08:26;08:41;08:43;08:56;08:56;09:11;09:11;09:26;09:25;09:41;09:41;;;09:56;09:56;;;10:11;10:12;10:21;10:20;10:31;10:32;10:41;10:42;10:51;10:50;11:01;11:02;11:11;11:12;11:21;11:20;11:31;11:32;11:41;11:40;11:51;11:50;12:01;12:01;12:11;12:12;12:21;12:20;12:31;12:34;12:41;12:42;12:51;12:57;13:01;13:01;13:11;13:12;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:50;14:01;14:01;14:11;14:11;14:21;14:20;14:31;14:31;14:41;14:42;14:51;14:52;15:01;15:00;15:11;15:11;15:21;15:22;15:31;15:31;15:41;15:41;15:51;15:51;16:01;16:01;16:11;16:10;16:21;16:20;16:31;16:31;16:41;16:41;16:51;16:52;17:01;17:01;17:11;17:10;17:21;17:22;17:31;17:31;17:41;17:42;17:51;17:52;18:01;18:01;18:11;18:10;18:21;18:22;18:31;18:31;18:41;18:41;18:48;18:49;18:56;18:55;19:11;19:11;19:13;19:13;19:26;19:26;19:41;19:42;19:56;19:57;20:11;20:11;20:26;20:27;20:41;20:41;20:56;20:56;21:11;21:10;21:26;21:25;21:41;21:41;;;21:56;21:56;22:11;22:10;22:20;22:20;22:30;22:29;22:50;22:50;23:00;23:00;23:20;23:20;23:50;23:49;00:00;23:59
Credéstraße;00:49;00:49;01:02;01:01;01:30;01:29;;;04:51;04:52;;;05:21;05:22;05:51;05:51;06:21;06:20;06:51;06:51;07:21;07:22;07:51;07:52;;;08:12;08:13;08:27;08:27;08:42;08:44;08:57;08:57;09:12;09:13;09:27;09:26;09:42;09:43;;;09:57;09:57;;;10:12;10:13;10:22;10:22;10:32;10:33;10:42;10:43;10:52;10:52;11:02;11:03;11:12;11:13;11:22;11:22;11:32;11:33;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:14;12:22;12:21;12:32;12:35;12:42;12:43;12:52;12:58;13:02;13:02;13:12;13:13;13:22;13:23;13:32;13:33;13:42;13:42;13:52;13:52;14:02;14:02;14:12;14:13;14:22;14:22;14:32;14:32;14:42;14:43;14:52;14:54;15:02;15:02;15:12;15:12;15:22;15:24;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:03;16:12;16:12;16:22;16:22;16:32;16:32;16:42;16:42;16:52;16:53;17:02;17:02;17:12;17:12;17:22;17:24;17:32;17:32;17:42;17:44;17:52;17:54;18:02;18:02;18:12;18:12;18:22;18:23;18:32;18:32;18:42;18:43;18:49;18:50;18:57;18:57;19:12;19:12;19:14;19:14;19:27;19:27;19:42;19:43;19:57;19:58;20:12;20:12;20:27;20:28;20:42;20:43;20:57;20:57;21:12;21:12;21:27;21:27;21:42;21:42;;;21:57;21:57;22:12;22:12;22:21;22:22;22:31;22:31;22:51;22:51;23:01;23:02;23:21;23:21;23:51;23:51;00:01;00:01
Lindenau, Bushof;00:50;00:50;01:03;01:02;01:31;01:30;;;04:52;04:53;;;05:22;05:23;05:52;05:52;06:22;06:21;06:52;06:52;07:22;07:23;07:52;07:53;;;08:13;08:14;08:28;08:28;08:43;08:45;08:58;08:58;09:13;09:14;09:28;09:28;09:43;09:44;;;09:58;09:58;;;10:13;10:14;10:23;10:22;10:33;10:34;10:43;10:44;10:53;10:53;11:03;11:04;11:13;11:14;11:23;11:23;11:33;11:34;11:43;11:43;11:53;11:53;12:03;12:03;12:13;12:14;12:23;12:22;12:33;12:36;12:43;12:44;12:53;12:59;13:03;13:03;13:13;13:14;13:23;13:23;13:33;13:34;13:43;13:43;13:53;13:53;14:03;14:03;14:13;14:13;14:23;14:23;14:33;14:33;14:43;14:44;14:53;14:55;15:03;15:03;15:13;15:13;15:23;15:25;15:33;15:33;15:43;15:44;15:53;15:53;16:03;16:03;16:13;16:13;16:23;16:23;16:33;16:33;16:43;16:43;16:53;16:54;17:03;17:03;17:13;17:13;17:23;17:25;17:33;17:33;17:43;17:45;17:53;17:55;18:03;18:03;18:13;18:13;18:23;18:24;18:33;18:33;18:43;18:44;18:50;18:51;18:58;18:58;19:13;19:13;19:15;19:15;19:28;19:28;19:43;19:44;19:58;19:59;20:13;20:13;20:28;20:29;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;;;21:58;21:58;22:13;22:13;22:22;22:23;22:32;22:31;22:52;22:52;23:02;23:02;23:22;23:22;23:52;23:52;00:02;00:01
Henriettenstraße;00:51;00:51;01:04;01:03;01:32;01:31;;;04:53;04:54;;;05:23;05:24;05:53;05:53;06:23;06:23;06:53;06:53;07:23;07:24;07:53;07:54;;;08:14;08:15;08:29;08:29;08:44;08:46;08:59;08:59;09:14;09:15;09:29;09:29;09:44;09:45;;;09:59;09:59;;;10:14;10:15;10:24;10:24;10:34;10:35;10:44;10:45;10:54;10:54;11:04;11:06;11:14;11:15;11:24;11:24;11:34;11:35;11:44;11:44;11:54;11:54;12:04;12:04;12:14;12:16;12:24;12:23;12:34;12:37;12:44;12:45;12:54;13:00;13:04;13:04;13:14;13:15;13:24;13:24;13:34;13:35;13:44;13:45;13:54;13:54;14:04;14:04;14:14;14:15;14:24;14:24;14:34;14:35;14:44;14:45;14:54;14:56;15:04;15:03;15:14;15:14;15:24;15:26;15:34;15:35;15:44;15:45;15:54;15:54;16:04;16:04;16:14;16:14;16:24;16:24;16:34;16:34;16:44;16:44;16:54;16:55;17:04;17:04;17:14;17:14;17:24;17:26;17:34;17:35;17:44;17:46;17:54;17:56;18:04;18:04;18:14;18:14;18:24;18:25;18:34;18:34;18:44;18:45;18:51;18:52;18:59;18:59;19:14;19:14;19:16;19:16;19:29;19:29;19:44;19:46;19:59;20:00;20:14;20:14;20:29;20:30;20:44;20:44;20:59;20:59;21:14;21:14;21:29;21:29;21:44;21:44;;;21:59;21:59;22:14;22:14;22:23;22:24;22:33;22:32;22:53;22:53;23:03;23:03;23:23;23:23;23:53;23:53;00:03;00:02
Lützner/Merseburger Str.;00:52;00:52;01:05;01:05;01:33;01:32;;;04:54;04:55;;;05:24;05:25;05:54;05:54;06:24;06:24;06:54;06:54;07:24;07:25;07:54;07:56;;;08:15;08:16;08:30;08:30;08:45;08:47;09:00;09:00;09:15;09:16;09:30;09:30;09:45;09:46;;;10:00;10:01;;;10:15;10:16;10:25;10:25;10:35;10:36;10:45;10:46;10:55;10:55;11:05;11:07;11:15;11:16;11:25;11:25;11:35;11:36;11:45;11:46;11:55;11:55;12:05;12:05;12:15;12:17;12:25;12:25;12:35;12:38;12:45;12:46;12:55;13:01;13:05;13:06;13:15;13:16;13:25;13:25;13:35;13:36;13:45;13:46;13:55;13:55;14:05;14:05;14:15;14:16;14:25;14:25;14:35;14:36;14:45;14:47;14:55;14:57;15:05;15:05;15:15;15:15;15:25;15:27;15:35;15:36;15:45;15:46;15:55;15:55;16:05;16:06;16:15;16:15;16:25;16:25;16:35;16:35;16:45;16:45;16:55;16:56;17:05;17:05;17:15;17:15;17:25;17:27;17:35;17:36;17:45;17:47;17:55;17:57;18:05;18:05;18:15;18:15;18:25;18:26;18:35;18:36;18:45;18:46;18:52;18:53;19:00;19:00;19:15;19:15;19:17;19:17;19:30;19:30;19:45;19:47;20:00;20:02;20:15;20:15;20:30;20:31;20:45;20:45;21:00;21:00;21:15;21:15;21:30;21:30;21:45;21:45;;;22:00;22:00;22:15;22:15;22:24;22:25;22:34;22:33;22:54;22:54;23:04;23:04;23:24;23:24;23:54;23:54;00:04;00:03
Lindenauer Markt;00:54;00:54;01:07;01:07;01:35;01:34;;;04:56;04:58;;;05:26;05:28;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:28;07:56;07:58;;;08:17;08:18;08:32;08:32;08:47;08:49;09:02;09:03;09:17;09:19;09:32;09:32;09:47;09:48;;;10:02;10:03;;;10:17;10:19;10:28;10:27;10:38;10:38;10:48;10:49;10:58;10:57;11:08;11:09;11:18;11:19;11:28;11:27;11:38;11:39;11:48;11:48;11:58;11:57;12:08;12:08;12:18;12:19;12:28;12:27;12:38;12:41;12:48;12:48;12:58;13:03;13:08;13:08;13:18;13:19;13:28;13:28;13:38;13:39;13:48;13:48;13:58;13:57;14:08;14:08;14:18;14:18;14:28;14:27;14:38;14:38;14:48;14:49;14:58;14:59;15:08;15:07;15:18;15:18;15:28;15:29;15:38;15:38;15:48;15:48;15:58;15:58;16:08;16:08;16:18;16:17;16:28;16:27;16:38;16:37;16:48;16:48;16:58;16:59;17:08;17:08;17:18;17:17;17:28;17:29;17:38;17:38;17:48;17:50;17:58;17:59;18:08;18:08;18:18;18:17;18:28;18:28;18:38;18:38;18:48;18:48;18:54;18:55;19:02;19:02;19:17;19:17;19:19;19:19;19:32;19:32;19:47;19:49;20:02;20:04;20:17;20:17;20:32;20:33;20:47;20:48;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:48;;;22:02;22:02;22:17;22:17;22:26;22:27;22:36;22:36;22:56;22:57;23:06;23:06;23:26;23:27;23:56;23:56;00:06;00:05
Angerbrücke, Strbf.;00:56;00:55;01:09;01:08;01:37;01:36;04:15;04:16;04:58;05:00;;;05:28;05:30;05:58;05:58;06:28;06:28;06:58;06:58;07:28;07:30;07:58;08:00;07:50;07:50;08:19;08:20;08:34;08:34;08:49;08:51;09:04;09:04;09:19;09:22;09:34;09:34;09:49;09:50;09:41;09:42;10:04;10:05;09:56;09:56;10:19;10:21;10:30;10:29;10:40;10:40;10:50;10:51;11:00;10:59;11:10;11:11;11:20;11:21;11:30;11:29;11:40;11:41;11:50;11:50;12:00;12:00;12:10;12:10;12:20;12:21;12:30;12:30;12:40;12:42;12:50;12:50;13:00;13:06;13:10;13:11;13:20;13:20;13:30;13:31;13:40;13:41;13:50;13:50;14:00;14:00;14:10;14:10;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:51;15:00;15:01;15:10;15:10;15:20;15:20;15:30;15:31;15:40;15:40;15:50;15:50;16:00;16:00;16:10;16:10;16:20;16:20;16:30;16:30;16:40;16:39;16:50;16:50;17:00;17:01;17:10;17:10;17:20;17:19;17:30;17:32;17:40;17:40;17:50;17:52;18:00;18:01;18:10;18:10;18:20;18:19;18:30;18:31;18:40;18:40;18:50;18:51;18:56;18:56;19:04;19:04;19:19;19:19;19:21;19:20;19:34;19:34;19:49;19:52;20:04;20:06;20:19;20:21;20:34;20:36;20:49;20:51;21:04;21:05;21:19;21:19;21:34;21:34;21:49;21:50;21:41;21:41;22:04;22:04;22:19;22:19;22:28;22:29;22:38;22:37;22:58;22:59;23:08;23:08;23:28;23:28;23:58;23:58;00:08;00:06
Sportforum Süd;;;;;;;04:16;04:18;04:59;05:01;;;05:29;05:32;05:59;06:00;06:29;06:29;06:59;07:00;07:29;07:31;07:59;08:01;07:51;07:51;08:20;08:21;08:35;08:36;08:50;08:52;09:05;09:06;09:20;09:23;09:35;09:35;09:50;09:52;09:42;09:44;10:05;10:06;09:57;09:57;10:20;10:22;10:31;10:30;10:41;10:42;10:51;10:52;11:01;11:00;11:11;11:13;11:21;11:23;11:31;11:31;11:41;11:43;11:51;11:52;12:01;12:02;12:11;12:11;12:21;12:23;12:31;12:32;12:41;12:44;12:51;12:52;13:01;13:08;13:11;13:12;13:21;13:22;13:31;13:33;13:41;13:43;13:51;13:51;14:01;14:02;14:11;14:12;14:21;14:21;14:31;14:32;14:41;14:42;14:51;14:52;15:01;15:03;15:11;15:12;15:21;15:22;15:31;15:32;15:41;15:42;15:51;15:51;16:01;16:02;16:11;16:12;16:21;16:21;16:31;16:31;16:41;16:41;16:51;16:51;17:01;17:02;17:11;17:11;17:21;17:21;17:31;17:33;17:41;17:41;17:51;17:53;18:01;18:03;18:11;18:12;18:21;18:20;18:31;18:32;18:41;18:41;18:51;18:52;;;19:05;19:05;19:20;19:20;;;19:35;19:36;19:50;19:53;20:05;20:08;20:20;20:22;20:35;20:37;20:50;20:52;21:05;21:07;21:20;21:21;21:35;21:36;21:50;21:51;21:42;21:42;22:05;22:05;22:20;22:20;22:29;22:31;;;22:59;23:00;;;23:29;23:30;23:59;00:00;;
Waldplatz;;;;;;;04:18;04:19;05:01;05:04;;;05:31;05:34;06:01;06:02;06:31;06:30;07:01;07:02;07:31;07:33;08:01;08:03;07:53;07:53;08:22;08:22;08:37;08:37;08:52;08:54;09:07;09:07;09:22;09:25;09:37;09:37;09:52;09:54;09:44;09:45;10:07;10:07;09:59;10:00;10:22;10:24;10:33;10:33;10:43;10:43;10:53;10:54;11:03;11:04;11:13;11:14;11:23;11:25;11:33;11:33;11:43;11:45;11:53;11:53;12:03;12:04;12:13;12:14;12:23;12:25;12:33;12:33;12:43;12:46;12:53;12:53;13:03;13:10;13:13;13:14;13:23;13:25;13:33;13:35;13:43;13:45;13:53;13:53;14:03;14:04;14:13;14:14;14:23;14:23;14:33;14:34;14:43;14:44;14:53;14:55;15:03;15:05;15:13;15:14;15:23;15:25;15:33;15:34;15:43;15:44;15:53;15:53;16:03;16:04;16:13;16:14;16:23;16:23;16:33;16:33;16:43;16:42;16:53;16:53;17:03;17:04;17:13;17:12;17:23;17:23;17:33;17:35;17:43;17:44;17:53;17:56;18:03;18:05;18:13;18:14;18:23;18:23;18:33;18:35;18:43;18:44;18:53;18:55;;;19:07;19:06;19:22;19:22;;;19:37;19:38;19:52;19:54;20:07;20:09;20:22;20:24;20:37;20:39;20:52;20:54;21:07;21:08;21:22;21:23;21:37;21:38;21:52;21:53;21:44;21:44;22:07;22:06;22:22;22:23;22:31;22:32;;;23:01;23:02;;;23:31;23:32;00:01;00:02;;
Leibnizstraße;;;;;;;04:20;04:21;05:03;05:05;;;05:33;05:36;06:03;06:04;06:33;06:32;07:03;07:04;07:33;07:35;08:03;08:04;07:55;07:55;08:24;08:24;08:39;08:39;08:54;08:55;09:09;09:09;09:24;09:27;09:39;09:39;09:54;09:56;09:46;09:47;10:09;10:09;10:01;10:01;10:24;10:25;10:35;10:34;10:45;10:45;10:55;10:55;11:05;11:07;11:15;11:16;11:25;11:27;11:35;11:36;11:45;11:47;11:55;11:55;12:05;12:05;12:15;12:16;12:25;12:27;12:35;12:36;12:45;12:48;12:55;12:55;13:05;13:12;13:15;13:16;13:25;13:26;13:35;13:37;13:45;13:47;13:55;13:55;14:05;14:06;14:15;14:16;14:25;14:25;14:35;14:36;14:45;14:46;14:55;14:56;15:05;15:07;15:15;15:15;15:25;15:26;15:35;15:35;15:45;15:46;15:55;15:55;16:05;16:06;16:15;16:16;16:25;16:25;16:35;16:36;16:45;16:45;16:55;16:55;17:05;17:05;17:15;17:14;17:25;17:25;17:35;17:37;17:45;17:46;17:55;17:58;18:05;18:08;18:15;18:16;18:25;18:25;18:35;18:37;18:45;18:46;18:55;18:56;;;19:09;19:08;19:24;19:23;;;19:39;19:40;19:54;19:56;20:09;20:11;20:24;20:26;20:39;20:41;20:54;20:56;21:09;21:10;21:24;21:24;21:39;21:40;21:54;21:55;21:46;21:46;22:09;22:08;22:24;22:24;22:33;22:34;;;23:03;23:04;;;23:33;23:34;00:03;00:03;;
Goerdelerring;;;;;;;04:22;04:23;05:05;05:07;;;05:35;05:38;06:05;06:06;06:35;06:35;07:05;07:05;07:35;07:37;08:05;08:07;07:57;07:56;08:26;08:26;08:41;08:41;08:56;08:57;09:11;09:11;09:26;09:29;09:41;09:41;09:56;09:58;09:48;09:49;10:11;10:11;10:03;10:04;10:26;10:28;10:37;10:37;10:47;10:47;10:57;10:58;11:07;11:09;11:17;11:19;11:27;11:29;11:37;11:38;11:47;11:49;11:57;11:57;12:07;12:08;12:17;12:17;12:27;12:29;12:37;12:38;12:47;12:50;12:57;12:58;13:07;13:14;13:17;13:19;13:27;13:29;13:37;13:39;13:47;13:50;13:57;13:57;14:07;14:09;14:17;14:17;14:27;14:28;14:37;14:39;14:47;14:50;14:57;14:59;15:07;15:10;15:17;15:18;15:27;15:29;15:37;15:38;15:47;15:49;15:57;15:58;16:07;16:08;16:17;16:19;16:27;16:26;16:37;16:38;16:47;16:47;16:57;16:58;17:07;17:08;17:17;17:17;17:27;17:28;17:37;17:40;17:47;17:49;17:57;18:01;18:07;18:09;18:17;18:19;18:27;18:27;18:37;18:38;18:47;18:49;18:57;18:59;;;19:11;19:11;19:26;19:26;;;19:41;19:41;19:56;19:58;20:11;20:14;20:26;20:28;20:41;20:44;20:56;20:58;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;21:48;21:48;22:11;22:11;22:26;22:26;22:35;22:37;;;23:05;23:06;;;23:35;23:35;00:05;00:05;;
Hauptbahnhof;;;;;;;04:25;04:25;05:15;05:15;04:45;04:46;05:45;05:45;06:15;06:15;06:45;06:44;07:15;07:15;07:45;07:45;08:15;08:15;08:00;08:01;08:29;08:31;08:44;08:43;08:59;09:00;09:14;09:13;09:29;09:31;09:44;09:45;09:59;10:00;09:51;09:51;10:14;10:13;10:06;10:06;10:29;10:30;10:40;10:40;10:50;10:51;11:00;11:00;11:10;11:12;11:20;11:22;11:30;11:33;11:40;11:40;11:50;11:52;12:00;12:01;12:10;12:10;12:20;12:20;12:30;12:31;12:40;12:40;12:50;12:54;13:00;13:00;13:10;13:18;13:20;13:22;13:30;13:31;13:40;13:43;13:50;13:54;14:00;14:01;14:10;14:10;14:20;14:21;14:30;14:30;14:40;14:42;14:50;14:52;15:00;15:03;15:10;15:12;15:20;15:22;15:30;15:31;15:40;15:40;15:50;15:51;16:00;16:00;16:10;16:11;16:20;16:22;16:30;16:30;16:40;16:40;16:50;16:51;17:00;17:01;17:10;17:12;17:20;17:22;17:30;17:31;17:40;17:42;17:50;17:51;18:00;18:03;18:10;18:12;18:20;18:22;18:30;18:30;18:40;18:41;18:50;18:51;19:00;19:01;;;19:14;19:13;19:29;19:30;;;19:44;19:45;19:59;20:00;20:14;20:16;20:29;20:30;20:44;20:46;20:59;21:00;21:14;21:13;21:29;21:28;21:44;21:45;21:59;21:58;21:51;21:52;22:14;22:14;22:29;22:28;22:45;22:45;;;23:15;23:15;;;23:45;23:45;00:15;00:15;;
Augustusplatz;;;;;;;04:27;04:27;05:17;05:17;04:47;04:48;05:47;05:47;06:17;06:17;06:47;06:47;07:17;07:17;07:47;07:48;08:17;08:17;08:02;08:03;08:31;08:33;08:46;08:45;09:01;09:02;09:16;09:15;09:31;09:33;09:46;09:47;10:01;10:02;09:53;09:53;10:16;10:17;10:08;10:08;10:31;10:32;10:42;10:42;10:52;10:53;11:02;11:02;11:12;11:14;11:22;11:24;11:32;11:35;11:42;11:42;11:52;11:54;12:02;12:03;12:12;12:12;12:22;12:23;12:32;12:33;12:42;12:42;12:52;12:56;13:02;13:02;13:12;13:20;13:22;13:24;13:32;13:33;13:42;13:45;13:52;13:56;14:02;14:03;14:12;14:12;14:22;14:23;14:32;14:32;14:42;14:44;14:52;14:54;15:02;15:05;15:12;15:14;15:22;15:24;15:32;15:33;15:42;15:42;15:52;15:53;16:02;16:03;16:12;16:15;16:22;16:24;16:32;16:32;16:42;16:42;16:52;16:54;17:02;17:03;17:12;17:14;17:22;17:24;17:32;17:33;17:42;17:44;17:52;17:53;18:02;18:05;18:12;18:15;18:22;18:24;18:32;18:32;18:42;18:44;18:52;18:53;19:02;19:03;;;19:16;19:15;19:31;19:32;;;19:46;19:47;20:01;20:02;20:16;20:18;20:31;20:32;20:46;20:48;21:01;21:02;21:16;21:15;21:31;21:30;21:46;21:47;22:01;22:02;21:53;21:54;22:16;22:17;22:31;22:30;22:47;22:47;;;23:17;23:17;;;23:47;23:47;00:17;00:17;;
Johannisplatz;;;;;;;04:28;04:28;05:18;05:18;04:48;04:49;05:48;05:49;06:18;06:18;06:48;06:48;07:18;07:18;07:48;07:49;08:18;08:18;08:03;08:05;08:32;08:35;08:47;08:46;09:02;09:03;09:17;09:17;09:32;09:34;09:47;09:48;10:02;10:03;09:54;09:54;10:17;10:18;10:09;10:09;10:32;10:33;10:43;10:43;10:53;10:54;11:03;11:03;11:13;11:16;11:23;11:26;11:33;11:36;11:43;11:43;11:53;11:56;12:03;12:04;12:13;12:14;12:23;12:24;12:33;12:34;12:43;12:44;12:53;12:57;13:03;13:03;13:13;13:21;13:23;13:25;13:33;13:34;13:43;13:46;13:53;13:57;14:03;14:04;14:13;14:14;14:23;14:24;14:33;14:33;14:43;14:45;14:53;14:56;15:03;15:06;15:13;15:15;15:23;15:25;15:33;15:35;15:43;15:44;15:53;15:54;16:03;16:05;16:13;16:16;16:23;16:26;16:33;16:33;16:43;16:44;16:53;16:56;17:03;17:05;17:13;17:15;17:23;17:25;17:33;17:35;17:43;17:45;17:53;17:54;18:03;18:06;18:13;18:16;18:23;18:26;18:33;18:33;18:43;18:45;18:53;18:54;19:03;19:05;;;19:17;19:17;19:32;19:33;;;19:47;19:48;20:02;20:03;20:17;20:20;20:32;20:33;20:47;20:51;21:02;21:03;21:17;21:17;21:32;21:32;21:47;21:48;22:02;22:03;21:54;21:57;22:17;22:18;22:32;22:31;22:48;22:48;;;23:18;23:18;;;23:48;23:48;00:18;00:18;;
Gutenbergplatz;;;;;;;04:30;04:30;05:20;05:20;04:50;04:51;05:50;05:51;06:20;06:20;06:50;06:49;07:20;07:20;07:50;07:51;08:20;08:19;08:05;08:06;08:34;08:36;08:49;08:48;09:04;09:04;09:19;09:18;09:34;09:36;09:49;09:49;10:04;10:04;09:56;09:55;10:19;10:19;10:11;10:10;10:34;10:34;10:45;10:45;10:55;10:55;11:05;11:04;11:15;11:18;11:25;11:27;11:35;11:37;11:45;11:45;11:55;11:57;12:05;12:06;12:15;12:15;12:25;12:25;12:35;12:36;12:45;12:45;12:55;12:58;13:05;13:04;13:15;13:23;13:25;13:27;13:35;13:36;13:45;13:48;13:55;13:58;14:05;14:06;14:15;14:15;14:25;14:25;14:35;14:34;14:45;14:46;14:55;14:57;15:05;15:07;15:15;15:16;15:25;15:26;15:35;15:36;15:45;15:46;15:55;15:56;16:05;16:06;16:15;16:18;16:25;16:28;16:35;16:34;16:45;16:45;16:55;16:57;17:05;17:06;17:15;17:16;17:25;17:27;17:35;17:36;17:45;17:46;17:55;17:55;18:05;18:08;18:15;18:18;18:25;18:27;18:35;18:34;18:45;18:46;18:55;18:55;19:05;19:06;;;19:19;19:18;19:34;19:34;;;19:49;19:49;20:04;20:04;20:19;20:21;20:34;20:34;20:49;20:52;21:04;21:04;21:19;21:18;21:34;21:33;21:49;21:49;22:04;22:04;21:56;21:58;22:19;22:19;22:34;22:33;22:50;22:50;;;23:20;23:20;;;23:50;23:49;00:20;00:20;;
Ostplatz;;;;;;;04:31;04:31;05:21;05:21;04:51;04:52;05:51;05:52;06:21;06:21;06:51;06:50;07:21;07:21;07:51;07:52;08:21;08:20;08:06;08:07;08:35;08:37;08:50;08:49;09:05;09:05;09:20;09:19;09:35;09:37;09:50;09:50;10:05;10:05;09:57;09:57;10:20;10:20;10:12;10:11;10:35;10:35;10:46;10:46;10:56;10:56;11:06;11:05;11:16;11:19;11:26;11:28;11:36;11:38;11:46;11:46;11:56;11:58;12:06;12:07;12:16;12:16;12:26;12:26;12:36;12:37;12:46;12:46;12:56;12:59;13:06;13:05;13:16;13:24;13:26;13:28;13:36;13:37;13:46;13:49;13:56;13:59;14:06;14:07;14:16;14:16;14:26;14:27;14:36;14:35;14:46;14:47;14:56;14:58;15:06;15:09;15:16;15:18;15:26;15:27;15:36;15:37;15:46;15:47;15:56;15:57;16:06;16:07;16:16;16:19;16:26;16:29;16:36;16:36;16:46;16:46;16:56;16:58;17:06;17:07;17:16;17:17;17:26;17:28;17:36;17:37;17:46;17:47;17:56;17:56;18:06;18:09;18:16;18:19;18:26;18:28;18:36;18:35;18:46;18:47;18:56;18:56;19:06;19:07;;;19:20;19:19;19:35;19:35;;;19:50;19:50;20:05;20:05;20:20;20:22;20:35;20:35;20:50;20:53;21:05;21:05;21:20;21:19;21:35;21:34;21:50;21:50;22:05;22:05;21:57;21:59;22:20;22:20;22:35;22:34;22:51;22:51;;;23:21;23:21;;;23:51;23:50;00:21;00:21;;
Witzgallstraße;;;;;;;04:32;04:32;05:22;05:22;04:52;04:53;05:52;05:53;06:22;06:22;06:52;06:51;07:22;07:22;07:52;07:53;08:22;08:21;08:07;08:08;08:36;08:38;08:51;08:50;09:06;09:06;09:21;09:20;09:36;09:38;09:51;09:51;10:06;10:06;09:58;09:57;10:21;10:21;10:13;10:12;10:36;10:36;10:47;10:47;10:57;10:57;11:07;11:06;11:17;11:20;11:27;11:29;11:37;11:39;11:47;11:47;11:57;11:59;12:07;12:08;12:17;12:17;12:27;12:27;12:37;12:38;12:47;12:47;12:57;13:00;13:07;13:06;13:17;13:25;13:27;13:29;13:37;13:38;13:47;13:50;13:57;14:00;14:07;14:08;14:17;14:17;14:27;14:28;14:37;14:36;14:47;14:48;14:57;14:59;15:07;15:10;15:17;15:19;15:27;15:28;15:37;15:38;15:47;15:48;15:57;15:58;16:07;16:08;16:17;16:20;16:27;16:30;16:37;16:37;16:47;16:47;16:57;16:59;17:07;17:08;17:17;17:18;17:27;17:29;17:37;17:38;17:47;17:48;17:57;17:57;18:07;18:10;18:17;18:20;18:27;18:29;18:37;18:36;18:47;18:48;18:57;18:57;19:07;19:08;;;19:21;19:20;19:36;19:36;;;19:51;19:51;20:06;20:06;20:21;20:23;20:36;20:36;20:51;20:55;21:06;21:06;21:21;21:20;21:36;21:35;21:51;21:51;22:06;22:06;21:58;22:00;22:21;22:21;22:36;22:35;22:52;22:52;;;23:22;23:22;;;23:52;23:51;00:22;00:22;;
