Kurs:;54;;31;;70;;70;;70;;54;;56;;52;;53;;54;;56;;52;;53;;54;;55;;56;;13;;14;;15;;11;;12;;13;;14;;15;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;21;;22;;23;;12;;41;;24;;15;;56;;51;;52;;53;;31;;54;;15;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lößnig;00:14;00:15;00:43;00:42;01:46;01:46;02:57;02:57;04:13;04:13;04:44;04:44;05:14;05:14;05:44;05:45;06:14;06:14;06:44;06:44;07:14;07:14;07:44;Grob;08:14;08:14;08:44;08:45;09:03;09:03;09:18;09:18;09:36;09:35;09:51;09:51;10:06;10:06;10:21;10:21;10:36;10:36;10:51;10:50;11:06;11:06;11:21;11:20;11:36;11:36;11:51;11:37;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:06;13:21;13:21;13:36;13:36;13:51;13:52;14:06;14:06;14:21;14:20;14:36;14:36;14:51;14:51;15:06;15:06;15:21;15:21;15:36;15:36;15:51;15:51;16:06;16:05;16:21;16:20;16:36;16:36;16:51;16:51;17:06;17:06;17:21;17:21;17:36;17:36;17:51;17:51;18:06;18:06;18:21;18:21;18:36;18:36;18:51;18:51;19:06;19:06;19:21;19:21;19:36;19:36;19:51;19:51;20:06;20:07;20:21;20:21;20:36;20:36;20:51;20:50;21:06;21:05;21:18;21:18;21:33;21:33;21:48;21:48;22:03;22:03;22:14;22:14;22:29;22:28;22:44;22:44;22:59;22:59;23:14;23:14;23:44;23:44
K.-Liebkn.-/K.-Eisner-S.;;;;;01:58;01:59;03:09;03:09;04:25;04:25;;;;;;;;;;;;;;;;;;;;;;;09:48;09:47;10:03;10:04;10:18;10:18;10:33;10:32;10:48;10:47;11:03;11:02;11:18;11:18;11:33;11:32;11:48;11:48;12:03;12:02;12:18;12:20;12:33;12:33;12:48;12:47;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:47;14:03;14:05;14:18;14:18;14:33;14:32;14:48;14:49;15:03;15:05;15:18;15:19;15:33;15:32;15:48;15:50;16:03;16:03;16:18;16:18;16:33;16:32;16:48;16:48;17:03;17:03;17:18;17:19;17:33;17:34;17:48;17:49;18:03;18:05;18:18;18:17;18:33;18:34;18:48;18:50;19:03;19:14;19:18;19:18;19:33;19:34;19:48;19:50;20:03;20:03;20:18;20:23;20:33;20:34;20:48;20:48;21:03;21:03;21:18;21:17;;;;;;;;;;;;;;;;;;;;
Südplatz;;;;;01:59;02:01;03:10;03:11;04:26;04:26;;;;;;;;;;;;;;;;;;;;;;;09:49;09:49;10:04;10:06;10:19;10:19;10:34;10:34;10:49;10:49;11:04;11:03;11:19;11:19;11:34;11:34;11:49;11:50;12:04;12:03;12:19;12:22;12:34;12:34;12:49;12:49;13:04;13:05;13:19;13:19;13:34;13:34;13:49;13:48;14:04;14:06;14:19;14:19;14:34;14:34;14:49;14:51;15:04;15:06;15:19;15:21;15:34;15:34;15:49;15:52;16:04;16:04;16:19;16:19;16:34;16:34;16:49;16:50;17:04;17:05;17:19;17:21;17:34;17:36;17:49;17:50;18:04;18:06;18:19;18:18;18:34;18:35;18:49;18:52;19:04;19:16;19:19;19:19;19:34;19:35;19:49;19:51;20:04;20:05;20:19;20:25;20:34;20:35;20:49;20:50;21:04;21:05;21:19;21:18;;;;;;;;;;;;;;;;;;;;
Hohe Straße;;;;;02:01;02:02;03:12;03:12;04:28;04:27;;;;;;;;;;;;;;;;;;;;;;;09:51;09:50;10:06;10:07;10:21;10:21;10:36;10:36;10:51;10:50;11:06;11:04;11:21;11:21;11:36;11:35;11:51;11:51;12:06;12:05;12:21;12:23;12:36;12:36;12:51;12:51;13:06;13:07;13:21;13:20;13:36;13:36;13:51;13:51;14:06;14:07;14:21;14:20;14:36;14:36;14:51;14:52;15:06;15:08;15:21;15:23;15:36;15:35;15:51;15:54;16:06;16:06;16:21;16:20;16:36;16:35;16:51;16:52;17:06;17:06;17:21;17:22;17:36;17:37;17:51;17:52;18:06;18:08;18:21;18:20;18:36;18:38;18:51;18:53;19:06;19:17;19:21;19:20;19:36;19:37;19:51;19:53;20:06;20:08;20:21;20:26;20:36;20:38;20:51;20:51;21:06;21:06;21:21;21:20;;;;;;;;;;;;;;;;;;;;
Münzgasse, LVZ;;;;;02:02;02:02;03:13;03:13;04:29;04:28;;;;;;;;;;;;;;;;;;;;;;;09:52;09:52;10:07;10:08;10:22;10:22;10:37;10:37;10:52;10:52;11:07;11:05;11:22;11:22;11:37;11:37;11:52;11:52;12:07;12:07;12:22;12:25;12:37;12:37;12:52;12:52;13:07;13:08;13:22;13:22;13:37;13:37;13:52;13:52;14:07;14:08;14:22;14:22;14:37;14:37;14:52;14:53;15:07;15:10;15:22;15:25;15:37;15:37;15:52;15:55;16:07;16:07;16:22;16:22;16:37;16:37;16:52;16:53;17:07;17:07;17:22;17:23;17:37;17:39;17:52;17:53;18:07;18:09;18:22;18:21;18:37;18:39;18:52;18:54;19:07;19:18;19:22;19:22;19:37;19:38;19:52;19:54;20:07;20:09;20:22;20:27;20:37;20:39;20:52;20:53;21:07;21:08;21:22;21:21;;;;;;;;;;;;;;;;;;;;
Wilhelm-Leuschner-Platz;;;;;02:04;02:04;03:15;03:15;04:31;04:30;;;;;;;;;;;;;;;;;;;;;;;09:54;09:54;10:09;10:10;10:24;10:24;10:39;10:39;10:54;10:54;11:09;11:07;11:24;11:24;11:39;11:39;11:54;11:54;12:09;12:09;12:24;12:27;12:39;12:39;12:54;12:54;13:09;13:10;13:24;13:24;13:39;13:39;13:54;13:54;14:09;14:10;14:24;14:24;14:39;14:39;14:54;14:55;15:09;15:12;15:24;15:27;15:39;15:39;15:54;15:57;16:09;16:09;16:24;16:24;16:39;16:39;16:54;16:55;17:09;17:09;17:24;17:26;17:39;17:40;17:54;17:55;18:09;18:12;18:24;18:24;18:39;18:41;18:54;18:56;19:09;19:19;19:24;19:24;19:39;19:41;19:54;19:56;20:09;20:10;20:24;20:29;20:39;20:41;20:54;20:54;21:09;21:09;21:24;21:22;;;;;;;;;;;;;;;;;;;;
Augustusplatz;;;;;02:06;02:07;03:17;03:17;04:33;04:32;;;;;;;;;;;;;;;;;;;;;;;09:56;09:56;10:11;10:13;10:26;10:26;10:41;10:41;10:56;10:56;11:11;11:10;11:26;11:26;11:41;11:41;11:56;11:56;12:11;12:11;12:26;12:29;12:41;12:41;12:56;12:56;13:11;13:13;13:26;13:26;13:41;13:41;13:56;13:56;14:11;14:13;14:26;14:26;14:41;14:41;14:56;14:58;15:11;15:14;15:26;15:29;15:41;15:41;15:56;15:59;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:58;17:11;17:13;17:26;17:28;17:41;17:43;17:56;17:58;18:11;18:14;18:26;18:26;18:41;18:43;18:56;18:58;19:11;19:22;19:26;19:26;19:41;19:43;19:56;19:58;20:11;20:13;20:26;20:31;20:41;20:43;20:56;20:56;21:11;21:11;21:26;21:25;;;;;;;;;;;;;;;;;;;;
Hauptbahnhof;;;;;02:09;02:08;03:20;03:19;04:36;04:35;;;;;;;;;;;;;;;;;;;;;;;09:59;09:57;10:14;10:15;10:29;10:27;10:44;10:44;10:59;10:59;11:14;11:11;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:14;12:29;12:32;12:44;12:44;12:59;12:59;13:14;13:16;13:29;13:29;13:44;13:44;13:59;13:59;14:14;14:16;14:29;14:30;14:44;14:44;14:59;15:01;15:14;15:19;15:29;15:34;15:44;15:44;15:59;16:02;16:14;16:14;16:29;16:31;16:44;16:44;16:59;17:01;17:14;17:17;17:29;17:32;17:44;17:47;17:59;18:01;18:14;18:19;18:29;18:29;18:44;18:47;18:59;19:01;19:14;19:25;19:29;19:30;19:44;19:46;19:59;20:01;20:14;20:14;20:29;20:33;20:44;20:45;20:59;20:59;21:14;21:14;21:29;21:27;;;;;;;;;;;;;;;;;;;;
Wilhelm-Liebknecht-Platz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:02;12:02;12:17;12:17;12:32;12:35;12:47;12:47;13:02;13:02;13:17;13:18;13:32;13:32;13:47;13:47;14:02;14:02;14:17;14:19;14:32;14:33;14:47;14:47;15:02;15:03;15:17;15:21;15:32;15:36;15:47;15:47;16:02;16:05;16:17;16:17;16:32;16:33;16:47;16:47;17:02;17:03;17:17;17:20;17:32;17:35;17:47;17:50;18:02;18:03;18:17;18:21;18:32;18:32;18:47;18:50;19:02;19:03;19:17;19:27;19:32;19:33;19:47;19:48;20:02;20:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chausseehaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:04;12:03;12:19;12:19;12:34;12:37;12:49;12:48;13:04;13:04;13:19;13:20;13:34;13:34;13:49;13:48;14:04;14:04;14:19;14:20;14:34;14:35;14:49;14:48;15:04;15:05;15:19;15:23;15:34;15:38;15:49;15:48;16:04;16:07;16:19;16:19;16:34;16:35;16:49;16:48;17:04;17:05;17:19;17:22;17:34;17:37;17:49;17:52;18:04;18:05;18:19;18:23;18:34;18:34;18:49;18:52;19:04;19:05;19:19;19:29;19:34;19:35;19:49;19:50;20:04;20:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G.-Schumann-/Lützowstr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:06;12:06;12:21;12:21;12:36;12:39;12:51;12:50;13:06;13:06;13:21;13:22;13:36;13:35;13:51;13:50;14:06;14:06;14:21;14:22;14:36;14:37;14:51;14:51;15:06;15:07;15:21;15:25;15:36;15:40;15:51;15:50;16:06;16:09;16:21;16:21;16:36;16:37;16:51;16:51;17:06;17:07;17:21;17:24;17:36;17:39;17:51;17:54;18:06;18:07;18:21;18:25;18:36;18:36;18:51;18:54;19:06;19:07;19:21;19:31;19:36;19:36;19:51;19:52;20:06;20:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
