Kurs:;31;;31;;31;;31;;36;;38;;34;;35;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;91;;35;;31;;33;;32;;31;;37;;38;;93;;36;;33;;75;;75;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lintacherstraße;05:00;05:00;06:00;06:00;07:00;07:02;08:12;08:13;08:42;08:44;09:12;09:12;09:42;09:42;10:12;10:11;10:34;10:34;11:14;11:13;10:54;10:54;11:34;11:33;12:14;12:13;11:54;11:54;12:34;12:34;13:14;13:14;12:54;12:53;13:34;13:34;14:14;14:14;13:54;13:54;14:34;14:34;15:14;15:13;14:54;14:54;15:34;15:34;16:14;16:14;15:54;15:53;16:34;16:36;17:14;17:15;16:54;16:54;17:34;17:35;18:14;18:14;17:54;17:54;18:34;18:35;19:12;19:13;18:54;18:53;19:42;19:44;20:12;20:13;20:42;20:42;21:12;21:12;21:42;21:42;22:13;22:13;23:00;23:03;00:00;00:03
Bf. Mölkau;05:01;05:02;06:01;06:02;07:01;07:03;08:13;08:14;08:43;08:45;09:13;09:13;09:43;09:45;10:13;10:12;10:35;10:34;11:15;11:14;10:55;10:55;11:35;11:34;12:15;12:15;11:55;11:56;12:35;12:36;13:15;13:15;12:55;12:54;13:35;13:35;14:15;14:15;13:55;13:55;14:35;14:35;15:15;15:14;14:55;14:55;15:35;15:35;16:15;16:15;15:55;15:55;16:35;16:37;17:15;17:16;16:55;16:54;17:35;17:36;18:15;18:15;17:55;17:55;18:35;18:36;19:13;19:14;18:55;18:54;19:43;19:45;20:13;20:14;20:43;20:43;21:13;21:13;21:43;21:43;22:14;22:14;23:01;23:05;00:01;00:04
Gottschalkstraße;05:02;05:03;06:02;06:03;07:02;07:04;08:14;08:15;08:44;08:46;09:14;09:14;09:44;09:46;10:14;10:13;10:36;10:36;11:16;11:16;10:56;10:56;11:36;11:35;12:16;12:16;11:56;11:57;12:36;12:36;13:16;13:16;12:56;12:55;13:36;13:36;14:16;14:16;13:56;13:56;14:36;14:36;15:16;15:15;14:56;14:56;15:36;15:36;16:16;16:17;15:56;15:55;16:36;16:38;17:16;17:18;16:56;16:56;17:36;17:37;18:16;18:16;17:56;17:56;18:36;18:37;19:14;19:15;18:56;18:55;19:44;19:46;20:14;20:15;20:44;20:44;21:14;21:14;21:44;21:44;22:14;22:15;23:02;23:06;00:02;00:05
Schulstraße;05:03;05:03;06:03;06:03;07:03;07:05;08:15;08:16;08:45;08:47;09:15;09:15;09:45;09:47;10:15;10:14;10:37;10:37;11:17;11:16;10:57;10:57;11:37;11:36;12:17;12:17;11:57;11:57;12:37;12:37;13:17;13:17;12:57;12:56;13:37;13:37;14:17;14:16;13:57;13:57;14:37;14:37;15:17;15:16;14:57;14:57;15:37;15:37;16:17;16:17;15:57;15:56;16:37;16:39;17:17;17:18;16:57;16:56;17:37;17:38;18:17;18:17;17:57;17:57;18:37;18:38;19:15;19:16;18:57;18:56;19:45;19:47;20:15;20:16;20:45;20:45;21:15;21:15;21:45;21:44;22:15;22:16;23:03;23:07;00:03;00:06
An den Platanen;05:04;05:04;06:04;06:05;07:04;07:05;08:16;08:17;08:46;08:48;09:16;09:16;09:46;09:49;10:16;10:14;10:38;10:38;11:18;11:17;10:58;10:58;11:38;11:37;12:18;12:18;11:58;11:58;12:38;12:39;13:18;13:18;12:58;12:57;13:38;13:38;14:18;14:17;13:58;13:58;14:38;14:38;15:18;15:17;14:58;14:58;15:38;15:38;16:18;16:18;15:58;15:57;16:38;16:39;17:18;17:19;16:58;16:57;17:38;17:39;18:18;18:18;17:58;17:58;18:38;18:38;19:16;19:17;18:58;18:57;19:46;19:48;20:16;20:17;20:46;20:46;21:16;21:15;21:46;21:45;22:16;22:17;23:04;23:07;00:04;00:06
Mölkau, Gemeindeamt;05:06;05:05;06:06;06:06;07:06;07:07;08:18;08:18;08:48;08:49;09:18;09:18;09:48;09:50;10:18;10:16;10:40;10:39;11:20;11:19;11:00;11:00;11:40;11:39;12:20;12:20;12:00;12:00;12:40;12:41;13:20;13:19;13:00;12:58;13:40;13:40;14:20;14:20;14:00;14:00;14:40;14:42;15:20;15:21;15:00;15:00;15:40;15:39;16:20;16:20;16:00;15:59;16:40;16:41;17:20;17:21;17:00;16:59;17:40;17:40;18:20;18:20;18:00;18:00;18:40;18:40;19:18;19:19;19:00;18:59;19:48;19:50;20:18;20:18;20:48;20:47;21:18;21:17;21:48;21:47;22:18;22:18;23:06;23:08;00:06;00:08
Anemonenweg;05:07;05:07;06:07;06:07;07:07;07:08;08:19;08:19;08:49;08:51;09:19;09:20;09:49;09:51;10:19;10:18;10:41;10:40;11:21;11:20;11:01;11:02;11:41;11:40;12:21;12:21;12:01;12:01;12:41;12:42;13:21;13:21;13:01;13:00;13:41;13:42;14:21;14:21;14:01;14:01;14:41;14:44;15:21;15:22;15:01;15:02;15:41;15:41;16:21;16:22;16:01;16:00;16:41;16:42;17:21;17:22;17:01;17:01;17:41;17:42;18:21;18:21;18:01;18:02;18:41;18:41;19:19;19:19;19:01;19:01;19:49;19:51;20:19;20:20;20:49;20:49;21:19;21:18;21:49;21:49;22:19;22:21;23:07;23:09;00:07;00:09
Dr.-Wilhelm-Külz-Straße;05:08;05:07;06:08;06:08;07:08;07:08;08:20;08:20;08:50;08:52;09:20;09:21;09:50;09:52;10:20;10:18;10:42;10:41;11:22;11:21;11:02;11:02;11:42;11:41;12:22;12:21;12:02;12:02;12:42;12:43;13:22;13:21;13:02;13:00;13:42;13:42;14:22;14:22;14:02;14:02;14:42;14:44;15:22;15:22;15:02;15:02;15:42;15:42;16:22;16:23;16:02;16:01;16:42;16:42;17:22;17:22;17:02;17:01;17:42;17:43;18:22;18:21;18:02;18:03;18:42;18:41;19:20;19:20;19:02;19:01;19:50;19:52;20:20;20:20;20:50;20:50;21:20;21:19;21:50;21:49;22:20;22:21;23:08;23:10;00:08;00:10
Pommernstraße;05:09;05:08;06:09;06:08;07:09;07:09;08:21;08:21;08:51;08:53;09:21;09:21;09:51;09:52;10:21;10:19;10:43;10:41;11:23;11:22;11:03;11:03;11:43;11:42;12:23;12:22;12:03;12:02;12:43;12:44;13:23;13:23;13:03;13:01;13:43;13:43;14:23;14:23;14:03;14:02;14:43;14:45;15:23;15:22;15:03;15:03;15:43;15:42;16:23;16:24;16:03;16:02;16:43;16:43;17:23;17:23;17:03;17:02;17:43;17:44;18:23;18:22;18:03;18:03;18:43;18:42;19:21;19:21;19:03;19:02;19:51;19:52;20:21;20:21;20:51;20:50;21:21;21:20;21:51;21:50;22:21;22:22;23:09;23:10;00:09;00:10
Ostfriedhof;05:10;05:09;06:10;06:09;07:10;07:10;08:22;08:22;08:52;08:53;09:22;09:22;09:52;09:53;10:22;10:20;10:44;10:42;11:24;11:23;11:04;11:04;11:44;11:43;12:24;12:23;12:04;12:03;12:44;12:44;13:24;13:23;13:04;13:02;13:44;13:44;14:24;14:24;14:04;14:03;14:44;14:46;15:24;15:23;15:04;15:03;15:44;15:43;16:24;16:25;16:04;16:02;16:44;16:44;17:24;17:24;17:04;17:03;17:44;17:45;18:24;18:23;18:04;18:04;18:44;18:43;19:22;19:22;19:04;19:03;19:52;19:53;20:22;20:22;20:52;20:51;21:22;21:21;21:52;21:51;22:22;22:22;23:10;23:11;00:10;00:11
S-Bf. Anger-Crottendorf;05:11;05:10;06:11;06:10;07:11;07:11;08:23;08:23;08:53;08:54;09:23;09:23;09:53;09:54;10:23;10:22;10:45;10:44;11:25;11:24;11:05;11:04;11:45;11:44;12:25;12:24;12:05;12:04;12:45;12:45;13:25;13:24;13:05;13:04;13:45;13:45;14:25;14:25;14:05;14:05;14:45;14:47;15:25;15:24;15:05;15:04;15:45;15:44;16:25;16:25;16:05;16:04;16:45;16:45;17:25;17:25;17:05;17:04;17:45;17:45;18:25;18:24;18:05;18:05;18:45;18:45;19:23;19:22;19:05;19:04;19:53;19:54;20:23;20:23;20:53;20:53;21:23;21:23;21:53;21:52;22:23;22:23;23:11;23:12;00:11;00:12
Martinstraße;05:12;05:11;06:12;06:12;07:12;07:12;08:24;08:24;08:54;08:55;09:24;09:25;09:54;09:55;10:24;10:24;10:46;10:45;11:26;11:26;11:06;11:06;11:46;11:45;12:26;12:26;12:06;12:05;12:46;12:46;13:26;13:26;13:06;13:06;13:46;13:46;14:26;14:26;14:06;14:06;14:46;14:48;15:26;15:25;15:06;15:06;15:46;15:45;16:26;16:26;16:06;16:05;16:46;16:46;17:26;17:26;17:06;17:05;17:46;17:46;18:26;18:26;18:06;18:06;18:46;18:46;19:24;19:23;19:06;19:06;19:54;19:55;20:24;20:24;20:54;20:54;21:24;21:24;21:54;21:53;22:24;22:23;23:12;23:12;00:12;00:13
Breite Straße;05:13;05:12;06:13;06:13;07:13;07:13;08:25;08:25;08:55;08:57;09:25;09:26;09:55;09:57;10:25;10:25;10:47;10:47;11:27;11:27;11:07;11:07;11:47;11:47;12:27;12:27;12:07;12:08;12:47;12:48;13:27;13:27;13:07;13:07;13:47;13:47;14:27;14:27;14:07;14:07;14:47;14:49;15:27;15:26;15:07;15:08;15:47;15:46;16:27;16:28;16:07;16:07;16:47;16:48;17:27;17:27;17:07;17:07;17:47;17:48;18:27;18:27;18:07;18:08;18:47;18:47;19:25;19:24;19:07;19:07;19:55;19:56;20:25;20:26;20:55;20:56;21:25;21:25;21:55;21:55;22:25;22:25;23:13;23:13;00:13;00:14
Reudnitz, Koehlerstraße;05:15;05:14;06:15;06:15;07:15;07:15;08:27;08:27;08:57;08:59;09:27;09:30;09:57;09:59;10:27;10:27;10:49;10:49;11:29;11:29;11:09;11:09;11:49;11:49;12:29;12:29;12:09;12:11;12:49;12:51;13:29;13:30;13:09;13:10;13:49;13:50;14:29;14:30;14:09;14:09;14:49;14:51;15:29;15:28;15:09;15:10;15:49;15:49;16:29;16:30;16:09;16:09;16:49;16:50;17:29;17:29;17:09;17:09;17:49;17:50;18:29;18:29;18:09;18:11;18:49;18:49;19:27;19:27;19:09;19:09;19:57;19:58;20:27;20:28;20:57;20:58;21:27;21:27;21:57;21:57;22:27;22:27;23:15;23:15;00:15;00:16
Elsastraße;05:16;05:15;06:16;06:16;07:16;07:16;08:28;08:28;08:58;09:00;09:28;09:31;09:58;10:00;10:28;10:29;10:50;10:50;11:30;11:30;11:10;11:10;11:50;11:51;12:30;12:31;12:10;12:12;12:50;12:52;13:30;13:31;13:10;13:11;13:50;13:51;14:30;14:31;14:10;14:11;14:50;14:53;15:30;15:30;15:10;15:11;15:50;15:50;16:30;16:32;16:10;16:10;16:50;16:52;17:30;17:30;17:10;17:10;17:50;17:52;18:30;18:30;18:10;18:12;18:50;18:51;19:28;19:28;19:10;19:11;19:58;19:59;20:28;20:29;20:58;20:59;21:28;21:28;21:58;21:58;22:28;22:28;23:16;23:16;00:16;00:16
Friedrich-List-Platz;05:18;05:16;06:18;06:17;07:18;07:18;08:30;08:30;09:00;09:01;09:30;09:33;10:00;10:01;10:30;10:30;10:52;10:52;11:32;11:32;11:12;11:12;11:52;11:52;12:32;12:32;12:12;12:13;12:52;12:54;13:32;13:32;13:12;13:12;13:52;13:52;14:32;14:33;14:12;14:14;14:52;14:54;15:32;15:31;15:12;15:12;15:52;15:51;16:32;16:33;16:12;16:12;16:52;16:53;17:32;17:32;17:12;17:11;17:52;17:54;18:32;18:32;18:12;18:13;18:52;18:53;19:30;19:29;19:12;19:12;20:00;20:00;20:30;20:30;21:00;21:01;21:30;21:29;22:00;22:00;22:30;22:29;23:18;23:18;00:18;00:18
Hofmeisterstraße;05:19;05:18;06:19;06:19;07:19;07:19;08:31;08:31;09:01;09:02;09:31;09:34;10:01;10:03;10:31;10:31;10:53;10:54;11:33;11:33;11:13;11:13;11:53;11:53;12:33;12:35;12:13;12:15;12:53;12:55;13:33;13:34;13:13;13:13;13:53;13:53;14:33;14:35;14:13;14:15;14:53;14:55;15:33;15:33;15:13;15:13;15:53;15:53;16:33;16:35;16:13;16:13;16:53;16:55;17:33;17:33;17:13;17:13;17:53;17:55;18:33;18:33;18:13;18:14;18:53;18:54;19:31;19:31;19:13;19:14;20:01;20:01;20:31;20:31;21:01;21:03;21:31;21:31;22:01;22:01;22:31;22:32;23:19;23:19;00:19;00:19
Hauptbahnhof;05:21;05:20;06:21;06:20;07:21;07:20;08:33;08:33;09:03;09:04;09:33;09:37;10:03;10:05;10:33;10:33;10:55;10:55;11:35;11:36;11:15;11:15;11:55;11:55;12:35;12:37;12:15;12:17;12:55;12:58;13:35;13:36;13:15;13:15;13:55;13:55;14:35;14:37;14:15;14:18;14:55;14:57;15:35;15:36;15:15;15:14;15:55;15:55;16:35;16:36;16:15;16:14;16:55;16:58;17:35;17:35;17:15;17:14;17:55;17:56;18:35;18:36;18:15;18:16;18:55;18:56;19:33;19:33;19:15;19:17;20:03;20:03;20:33;20:34;21:03;21:06;21:33;21:32;22:03;22:03;22:33;22:35;23:21;23:20;00:21;00:20
