Kurs:;15;;17;;13;;11;;14;;12;;13;;14;;11;;12;;13;;14;;11;;42;;12;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;16;;17;;11;;42;;13;;14;;16;;17;;11;;42;;13;;14;;17;;11;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Härtelstraße;00:19;00:20;00:49;00:48;;;04:49;04:49;;;05:19;05:19;05:49;05:48;06:19;06:21;06:49;06:48;07:19;07:18;07:49;07:48;08:19;08:21;08:49;08:49;;;09:14;09:14;09:29;09:31;09:44;09:45;09:59;10:00;10:14;10:14;10:29;10:28;10:44;10:45;10:59;11:01;11:14;11:14;11:29;11:30;11:44;11:44;11:59;11:58;12:14;12:15;12:29;12:30;12:44;12:43;12:59;12:58;13:14;13:15;13:29;13:30;13:44;13:44;13:59;14:00;14:14;14:13;14:29;14:30;14:44;14:45;14:59;14:59;15:14;15:15;15:29;15:28;15:44;15:44;15:59;16:00;16:14;16:15;16:29;16:30;16:44;16:45;16:59;17:00;17:14;17:14;17:29;17:30;17:44;17:43;17:59;17:59;18:14;18:15;18:29;18:30;18:44;18:45;18:59;19:00;19:14;19:15;19:29;19:28;19:44;19:43;19:59;19:58;20:14;20:15;20:29;20:30;20:44;20:43;20:59;20:59;21:14;21:15;21:29;21:28;21:44;21:43;21:59;21:58;22:14;22:14;22:29;22:28;22:49;22:48;23:19;23:18;23:49;23:48
Roßplatz;00:20;00:21;00:50;00:49;;;04:50;04:51;;;05:20;05:21;05:50;05:50;06:20;06:23;06:50;06:50;07:20;07:20;07:50;07:49;08:20;08:23;08:50;08:51;;;09:15;09:15;09:30;09:33;09:45;09:46;10:00;10:02;10:15;10:16;10:30;10:30;10:45;10:47;11:00;11:03;11:15;11:15;11:30;11:31;11:45;11:46;12:00;12:00;12:15;12:17;12:30;12:31;12:45;12:45;13:00;13:00;13:15;13:17;13:30;13:31;13:45;13:46;14:00;14:01;14:15;14:15;14:30;14:32;14:45;14:47;15:00;15:01;15:15;15:16;15:30;15:31;15:45;15:45;16:00;16:02;16:15;16:17;16:30;16:32;16:45;16:46;17:00;17:01;17:15;17:16;17:30;17:32;17:45;17:45;18:00;18:01;18:15;18:16;18:30;18:32;18:45;18:46;19:00;19:01;19:15;19:16;19:30;19:29;19:45;19:44;20:00;20:00;20:15;20:17;20:30;20:31;20:45;20:45;21:00;21:01;21:15;21:16;21:30;21:30;21:45;21:44;22:00;22:00;22:15;22:16;22:30;22:31;22:50;22:50;23:20;23:19;23:50;23:50
Augustusplatz;00:22;00:22;00:52;00:52;;;04:52;04:53;;;05:22;05:23;05:52;05:52;06:22;06:25;06:52;06:52;07:22;07:22;07:52;07:52;08:22;08:25;08:52;08:52;08:44;08:44;09:17;09:17;09:32;09:34;09:47;09:49;10:02;10:04;10:17;10:17;10:32;10:32;10:47;10:49;11:02;11:05;11:17;11:17;11:32;11:32;11:47;11:47;12:02;12:02;12:17;12:19;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:19;13:32;13:34;13:47;13:47;14:02;14:04;14:17;14:17;14:32;14:34;14:47;14:49;15:02;15:02;15:17;15:19;15:32;15:32;15:47;15:47;16:02;16:04;16:17;16:19;16:32;16:34;16:47;16:49;17:02;17:02;17:17;17:17;17:32;17:34;17:47;17:47;18:02;18:02;18:17;18:19;18:32;18:34;18:47;18:47;19:02;19:02;19:17;19:19;19:32;19:31;19:47;19:46;20:02;20:02;20:17;20:19;20:32;20:32;20:47;20:47;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:46;22:02;22:02;22:17;22:19;22:32;22:32;22:52;22:52;23:22;23:20;23:52;23:52
Hauptbahnhof;00:30;00:31;00:55;00:54;04:07;04:10;05:00;05:00;04:37;04:39;05:30;05:31;06:00;06:01;06:30;06:31;07:00;07:01;07:30;07:31;08:00;08:00;08:30;08:31;09:00;09:02;08:47;08:47;09:20;09:20;09:35;09:37;09:50;09:51;10:05;10:07;10:20;10:20;10:35;10:35;10:50;10:53;11:05;11:08;11:20;11:20;11:35;11:35;11:50;11:52;12:05;12:06;12:20;12:23;12:35;12:37;12:50;12:50;13:05;13:06;13:20;13:22;13:35;13:37;13:50;13:51;14:05;14:07;14:20;14:21;14:35;14:38;14:50;14:53;15:05;15:05;15:20;15:22;15:35;15:36;15:50;15:51;16:05;16:08;16:20;16:21;16:35;16:37;16:50;16:52;17:05;17:06;17:20;17:20;17:35;17:37;17:50;17:50;18:05;18:06;18:20;18:21;18:35;18:37;18:50;18:50;19:05;19:05;19:20;19:22;19:35;19:35;19:50;19:50;20:05;20:05;20:20;20:23;20:35;20:36;20:50;20:50;21:05;21:05;21:20;21:21;21:35;21:35;21:50;21:50;22:05;22:05;22:20;22:22;22:35;22:35;23:00;23:01;23:30;23:31;00:00;00:01
Wilhelm-Liebknecht-Platz;00:33;00:34;;;04:10;04:11;05:03;05:03;04:40;04:41;05:33;05:33;06:03;06:03;06:33;06:34;07:03;07:03;07:33;07:33;08:03;08:03;08:33;08:34;09:03;09:05;08:50;08:50;09:23;09:23;09:38;09:39;09:53;09:54;10:08;10:09;10:23;10:23;10:38;10:38;10:53;10:56;11:08;11:11;11:23;11:23;11:38;11:38;11:53;11:54;12:08;12:09;12:23;12:26;12:38;12:39;12:53;12:53;13:08;13:09;13:23;13:24;13:38;13:39;13:53;13:54;14:08;14:09;14:23;14:24;14:38;14:41;14:53;14:56;15:08;15:08;15:23;15:24;15:38;15:39;15:53;15:54;16:08;16:11;16:23;16:24;16:38;16:40;16:53;16:54;17:08;17:09;17:23;17:23;17:38;17:39;17:53;17:53;18:08;18:09;18:23;18:23;18:38;18:39;18:53;18:53;19:08;19:08;19:23;19:24;19:38;19:38;19:53;19:53;20:08;20:08;20:23;20:26;20:38;20:39;20:53;20:53;21:08;21:08;21:23;21:24;21:38;21:38;21:53;21:53;22:08;22:08;22:23;22:24;22:38;22:38;23:03;23:04;23:33;23:33;00:03;00:03
Chausseehaus;00:35;00:36;;;04:12;04:13;05:05;05:06;04:42;04:43;05:35;05:35;06:05;06:05;06:35;06:36;07:05;07:05;07:35;07:36;08:05;08:05;08:35;08:36;09:05;09:07;08:52;08:52;09:25;09:24;09:40;09:41;09:55;09:56;10:10;10:11;10:25;10:25;10:40;10:39;10:55;10:58;11:10;11:13;11:25;11:24;11:40;11:40;11:55;11:56;12:10;12:11;12:25;12:28;12:40;12:41;12:55;12:54;13:10;13:11;13:25;13:26;13:40;13:41;13:55;13:56;14:10;14:11;14:25;14:26;14:40;14:43;14:55;14:57;15:10;15:09;15:25;15:26;15:40;15:41;15:55;15:56;16:10;16:13;16:25;16:26;16:40;16:42;16:55;16:56;17:10;17:11;17:25;17:25;17:40;17:41;17:55;17:55;18:10;18:11;18:25;18:25;18:40;18:41;18:55;18:54;19:10;19:10;19:25;19:26;19:40;19:39;19:55;19:54;20:10;20:10;20:25;20:28;20:40;20:41;20:55;20:55;21:10;21:09;21:25;21:26;21:40;21:39;21:55;21:55;22:10;22:10;22:25;22:26;22:40;22:40;23:05;23:06;23:35;23:34;00:05;00:05
Wilhelminenstraße;00:36;00:38;;;04:13;04:14;05:06;05:07;04:43;04:45;05:36;05:37;06:06;06:06;06:36;06:38;07:06;07:06;07:36;07:37;08:06;08:06;08:36;08:38;09:06;09:09;08:53;08:54;09:26;09:26;09:41;09:43;09:56;09:57;10:11;10:13;10:26;10:26;10:41;10:41;10:56;10:59;11:11;11:14;11:26;11:26;11:41;11:41;11:56;11:58;12:11;12:12;12:26;12:29;12:41;12:42;12:56;12:56;13:11;13:12;13:26;13:28;13:41;13:42;13:56;13:57;14:11;14:12;14:26;14:27;14:41;14:44;14:56;14:59;15:11;15:11;15:26;15:27;15:41;15:42;15:56;15:58;16:11;16:15;16:26;16:27;16:41;16:43;16:56;16:57;17:11;17:12;17:26;17:26;17:41;17:43;17:56;17:56;18:11;18:12;18:26;18:26;18:41;18:43;18:56;18:56;19:11;19:11;19:26;19:28;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:29;20:41;20:42;20:56;20:56;21:11;21:11;21:26;21:27;21:41;21:41;21:56;21:56;22:11;22:11;22:26;22:27;22:41;22:41;23:06;23:07;23:36;23:35;00:06;00:06
Eutritzscher Zentrum;00:37;00:39;;;04:14;04:15;05:07;05:08;04:44;04:46;05:37;05:38;06:07;06:07;06:37;06:39;07:07;07:07;07:37;07:38;08:07;08:08;08:37;08:39;09:07;09:10;08:54;08:55;09:27;09:27;09:42;09:44;09:57;09:58;10:12;10:14;10:27;10:28;10:42;10:42;10:57;11:00;11:12;11:15;11:27;11:27;11:42;11:42;11:57;11:59;12:12;12:13;12:27;12:30;12:42;12:43;12:57;12:57;13:12;13:14;13:27;13:29;13:42;13:44;13:57;13:59;14:12;14:14;14:27;14:29;14:42;14:46;14:57;15:01;15:12;15:12;15:27;15:29;15:42;15:43;15:57;15:59;16:12;16:16;16:27;16:28;16:42;16:44;16:57;16:58;17:12;17:13;17:27;17:27;17:42;17:44;17:57;17:57;18:12;18:14;18:27;18:27;18:42;18:44;18:57;18:57;19:12;19:12;19:27;19:29;19:42;19:42;19:57;19:57;20:12;20:12;20:27;20:30;20:42;20:43;20:57;20:57;21:12;21:12;21:27;21:28;21:42;21:42;21:57;21:57;22:12;22:12;22:27;22:28;22:42;22:43;23:07;23:09;23:37;23:37;00:07;00:07
Eutritzscher Markt;00:39;00:40;;;04:16;04:16;05:09;05:10;04:46;04:48;05:39;05:39;06:09;06:09;06:39;06:40;07:09;07:09;07:39;07:39;08:09;08:09;08:39;08:41;09:09;09:11;08:56;08:56;09:29;09:28;09:44;09:46;09:59;10:00;10:14;10:15;10:29;10:29;10:44;10:43;10:59;11:02;11:14;11:17;11:29;11:28;11:44;11:44;11:59;12:00;12:14;12:15;12:29;12:31;12:44;12:45;12:59;12:59;13:14;13:15;13:29;13:30;13:44;13:45;13:59;14:00;14:14;14:15;14:29;14:30;14:44;14:47;14:59;15:02;15:14;15:14;15:29;15:30;15:44;15:45;15:59;16:00;16:14;16:18;16:29;16:30;16:44;16:45;16:59;17:00;17:14;17:15;17:29;17:28;17:44;17:45;17:59;17:59;18:14;18:15;18:29;18:29;18:44;18:45;18:59;18:58;19:14;19:14;19:29;19:30;19:44;19:44;19:59;19:58;20:14;20:13;20:29;20:32;20:44;20:46;20:59;20:59;21:14;21:13;21:29;21:30;21:44;21:43;21:59;21:59;22:14;22:13;22:29;22:30;22:44;22:44;23:09;23:10;23:39;23:38;00:09;00:08
Mosenthinstraße;00:40;00:41;;;04:17;04:17;05:10;05:11;04:47;04:49;05:40;05:40;06:10;06:10;06:40;06:42;07:10;07:10;07:40;07:40;08:10;08:10;08:40;08:42;09:10;09:12;08:57;08:57;09:30;09:29;09:45;09:47;10:00;10:01;10:15;10:16;10:30;10:30;10:45;10:44;11:00;11:03;11:15;11:18;11:30;11:29;11:45;11:45;12:00;12:02;12:15;12:16;12:30;12:32;12:45;12:46;13:00;13:00;13:15;13:16;13:30;13:32;13:45;13:46;14:00;14:01;14:15;14:16;14:30;14:31;14:45;14:48;15:00;15:03;15:15;15:14;15:30;15:31;15:45;15:46;16:00;16:01;16:15;16:19;16:30;16:31;16:45;16:46;17:00;17:01;17:15;17:16;17:30;17:30;17:45;17:46;18:00;18:00;18:15;18:16;18:30;18:29;18:45;18:46;19:00;18:59;19:15;19:15;19:30;19:31;19:45;19:45;20:00;19:59;20:15;20:14;20:30;20:33;20:45;20:46;21:00;21:00;21:15;21:14;21:30;21:31;21:45;21:44;22:00;22:00;22:15;22:14;22:30;22:31;22:45;22:45;23:10;23:11;23:40;23:39;00:10;00:09
