Kurs:;45;;41;;46;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Rödelstraße;;;12:32;12:33;;;12:47;12:47;13:02;13:02;13:17;13:17;13:32;13:32;13:47;13:48;14:02;14:04;14:17;14:17;14:32;14:33;14:47;14:49;15:02;15:04;15:17;15:17;15:32;15:39;15:47;15:51;16:02;16:02;16:17;16:19;16:32;16:32;16:47;16:49;17:02;17:04;17:17;17:17;17:32;17:32;17:47;17:49;18:02;18:05;18:17;18:17;18:32;18:37
Adler;12:05;12:06;12:34;12:35;12:20;12:21;12:49;12:48;13:04;13:03;13:19;13:19;13:34;13:34;13:49;13:50;14:04;14:06;14:19;14:19;14:34;14:35;14:49;14:51;15:04;15:06;15:19;15:19;15:34;15:40;15:49;15:53;16:04;16:04;16:19;16:20;16:34;16:34;16:49;16:51;17:04;17:05;17:19;17:19;17:34;17:34;17:49;17:50;18:04;18:07;18:19;18:19;18:34;18:39
Antonien-/Gießerstraße;12:06;12:07;12:35;12:36;12:21;12:22;12:50;12:50;13:05;13:04;13:20;13:20;13:35;13:35;13:50;13:51;14:05;14:07;14:20;14:20;14:35;14:36;14:50;14:52;15:05;15:07;15:20;15:20;15:35;15:42;15:50;15:54;16:05;16:05;16:20;16:22;16:35;16:36;16:50;16:52;17:05;17:07;17:20;17:20;17:35;17:35;17:50;17:52;18:05;18:09;18:20;18:20;18:35;18:40
Diezmannstraße;12:08;12:09;12:37;12:39;12:23;12:23;12:52;12:51;13:07;13:06;13:22;13:22;13:37;13:36;13:52;13:52;14:07;14:10;14:22;14:22;14:37;14:38;14:52;14:54;15:07;15:09;15:22;15:22;15:37;15:43;15:52;15:55;16:07;16:07;16:22;16:24;16:37;16:38;16:52;16:54;17:07;17:09;17:22;17:22;17:37;17:37;17:52;17:53;18:07;18:10;18:22;18:22;18:37;18:42
Kurt-Kresse-Straße;12:10;12:10;12:39;12:40;12:25;12:24;12:54;12:52;13:09;13:08;13:24;13:24;13:39;13:38;13:54;13:54;14:09;14:11;14:24;14:23;14:39;14:39;14:54;14:55;15:09;15:10;15:24;15:23;15:39;15:44;15:54;15:56;16:09;16:08;16:24;16:25;16:39;16:39;16:54;16:55;17:09;17:10;17:24;17:23;17:39;17:38;17:54;17:55;18:09;18:12;18:24;18:24;18:39;18:43
Herrmann-Meyer-Straße;12:12;12:11;12:41;12:42;12:27;12:26;12:56;12:54;13:11;13:10;13:26;13:25;13:41;13:40;13:56;13:56;14:11;14:12;14:26;14:25;14:41;14:41;14:56;14:57;15:11;15:12;15:26;15:25;15:41;15:47;15:56;15:58;16:11;16:10;16:26;16:27;16:41;16:41;16:56;16:57;17:11;17:12;17:26;17:25;17:41;17:40;17:56;17:57;18:11;18:14;18:26;18:26;18:41;18:45
Schönauer/Ratzelstraße;12:14;12:13;12:43;12:44;12:29;12:27;12:58;12:55;13:13;13:11;13:28;13:27;13:43;13:41;13:58;13:57;14:13;14:14;14:28;14:26;14:43;14:42;14:58;14:58;15:13;15:13;15:28;15:26;15:43;15:48;15:58;15:59;16:13;16:11;16:28;16:28;16:43;16:42;16:58;16:58;17:13;17:14;17:28;17:26;17:43;17:42;17:58;17:58;18:13;18:15;18:28;18:27;18:43;18:46
Stuttgarter Allee;12:15;12:14;12:44;12:45;12:30;12:28;12:59;12:57;13:14;13:13;13:29;13:28;13:44;13:42;13:59;13:58;14:14;14:15;14:29;14:27;14:44;14:44;14:59;15:00;15:14;15:14;15:29;15:27;15:44;15:49;15:59;16:00;16:14;16:13;16:29;16:29;16:44;16:44;16:59;16:59;17:14;17:15;17:29;17:27;17:44;17:43;17:59;17:59;18:14;18:16;18:29;18:29;18:44;18:48
Ratzelbogen;12:17;12:16;12:46;12:48;12:32;12:30;13:01;12:58;13:16;13:15;13:31;13:30;13:46;13:44;14:01;14:00;14:16;14:17;14:31;14:29;14:46;14:45;15:01;15:01;15:16;15:16;15:31;15:29;15:46;15:51;16:01;16:01;16:16;16:15;16:31;16:31;16:46;16:45;17:01;17:01;17:16;17:17;17:31;17:29;17:46;17:45;18:01;18:01;18:16;18:18;18:31;18:30;18:46;18:49
Grünau-Süd;12:18;12:16;12:47;12:49;12:33;12:31;13:02;12:59;13:17;13:15;13:32;13:31;13:47;13:45;14:02;14:01;14:17;14:17;14:32;14:29;14:47;14:46;15:02;15:02;15:17;15:17;15:32;15:30;15:47;15:52;16:02;16:02;16:17;16:16;16:32;16:32;16:47;16:46;17:02;17:02;17:17;17:18;17:32;17:30;17:47;17:46;18:02;18:01;18:17;18:19;18:32;18:31;18:47;18:50
