Kurs:;84;;99;;99;;99;;99;;83;;81;;92;;94;;82;;83;;81;;92;;94;;95;;91;;92;;93;;94;;95;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;91;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;31;;92;;93;;94;;95;;92;;94;;95;;84;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
K.-Eisner-/A.-Hoffm.-S.;00:15;00:17;01:06;01:07;02:17;02:19;03:28;03:28;04:39;04:39;05:15;05:15;05:45;05:45;06:15;06:16;06:45;06:47;07:15;07:15;07:45;07:44;08:15;08:17;08:45;08:45;09:15;09:16;09:36;09:37;09:51;09:51;10:06;10:05;10:21;10:21;10:36;10:37;10:51;10:52;11:06;11:05;11:21;11:20;11:36;11:36;11:51;11:52;12:06;12:05;12:21;12:29;12:36;12:35;12:51;12:53;13:06;13:07;13:21;13:20;13:36;13:37;13:51;13:52;14:06;14:05;14:21;14:23;14:36;14:37;14:51;14:52;15:06;15:05;15:21;15:22;15:36;15:35;15:51;15:53;16:06;16:07;16:21;16:20;16:36;16:35;16:51;16:52;17:06;17:07;17:21;17:21;17:36;17:36;17:51;17:51;18:06;18:07;18:21;18:23;18:36;18:38;18:51;18:52;19:06;19:07;19:21;19:20;19:36;19:37;19:51;19:52;20:06;20:07;20:21;20:23;20:36;20:39;20:51;20:51;21:06;21:07;21:21;21:21;21:36;21:36;21:51;21:52;22:21;22:23;22:45;22:49;23:15;23:17;23:45;23:44
K.-Liebkn.-/K.-Eisner-S.;00:16;00:20;01:07;01:09;02:18;02:20;03:29;03:29;04:40;04:40;05:16;05:17;05:46;05:47;06:16;06:17;06:46;06:48;07:16;07:16;07:46;07:46;08:16;08:19;08:46;08:47;09:16;09:17;09:37;09:38;09:52;09:52;10:07;10:07;10:22;10:23;10:37;10:40;10:52;10:53;11:07;11:07;11:22;11:21;11:37;11:37;11:52;11:53;12:07;12:07;12:22;12:31;12:37;12:36;12:52;12:55;13:07;13:08;13:22;13:21;13:37;13:39;13:52;13:53;14:07;14:07;14:22;14:24;14:37;14:40;14:52;14:53;15:07;15:07;15:22;15:23;15:37;15:36;15:52;15:54;16:07;16:08;16:22;16:21;16:37;16:36;16:52;16:55;17:07;17:08;17:22;17:23;17:37;17:37;17:52;17:52;18:07;18:08;18:22;18:24;18:37;18:39;18:52;18:54;19:07;19:08;19:22;19:21;19:37;19:39;19:52;19:53;20:07;20:08;20:22;20:24;20:37;20:40;20:52;20:52;21:07;21:09;21:22;21:22;21:37;21:37;21:52;21:53;22:22;22:24;22:46;22:51;23:16;23:19;23:46;23:46
Fockestraße;00:18;00:23;01:09;01:11;02:20;02:21;03:31;03:31;04:42;04:42;05:18;05:19;05:48;05:49;06:18;06:19;06:48;06:50;07:18;07:17;07:48;07:48;08:18;08:20;08:48;08:48;09:18;09:19;09:39;09:40;09:54;09:53;10:09;10:08;10:24;10:24;10:39;10:42;10:54;10:55;11:09;11:09;11:24;11:23;11:39;11:39;11:54;11:55;12:09;12:09;12:24;12:32;12:39;12:37;12:54;12:56;13:09;13:09;13:24;13:23;13:39;13:40;13:54;13:55;14:09;14:08;14:24;14:26;14:39;14:42;14:54;14:55;15:09;15:08;15:24;15:24;15:39;15:38;15:54;15:56;16:09;16:10;16:24;16:23;16:39;16:37;16:54;16:56;17:09;17:10;17:24;17:24;17:39;17:40;17:54;17:54;18:09;18:09;18:24;18:26;18:39;18:40;18:54;18:55;19:09;19:09;19:24;19:23;19:39;19:40;19:54;19:55;20:09;20:09;20:24;20:25;20:39;20:41;20:54;20:53;21:09;21:10;21:24;21:24;21:39;21:39;21:54;21:55;22:24;22:25;22:48;22:52;23:18;23:20;23:48;23:48
Rennbahn;00:19;00:25;01:10;01:12;02:21;02:22;03:32;03:32;04:43;04:42;05:19;05:20;05:49;05:49;06:19;06:20;06:49;06:50;07:19;07:18;07:49;07:48;08:19;08:21;08:49;08:49;09:19;09:20;09:40;09:41;09:55;09:55;10:10;10:09;10:25;10:25;10:40;10:43;10:55;10:56;11:10;11:10;11:25;11:24;11:40;11:40;11:55;11:56;12:10;12:10;12:25;12:33;12:40;12:39;12:55;12:57;13:10;13:10;13:25;13:24;13:40;13:41;13:55;13:56;14:10;14:09;14:25;14:27;14:40;14:42;14:55;14:56;15:10;15:10;15:25;15:25;15:40;15:39;15:55;15:57;16:10;16:11;16:25;16:24;16:40;16:39;16:55;16:57;17:10;17:10;17:25;17:26;17:40;17:42;17:55;17:55;18:10;18:10;18:25;18:27;18:40;18:41;18:55;18:56;19:10;19:10;19:25;19:24;19:40;19:41;19:55;19:55;20:10;20:10;20:25;20:26;20:40;20:42;20:55;20:54;21:10;21:11;21:25;21:25;21:40;21:39;21:55;21:56;22:25;22:27;22:49;22:53;23:19;23:20;23:49;23:48
Rochlitzstraße;00:20;00:26;01:11;01:13;02:22;02:23;03:33;03:33;04:44;04:43;05:20;05:21;05:50;05:50;06:20;06:21;06:50;06:52;07:20;07:19;07:50;07:50;08:20;08:22;08:50;08:50;09:20;09:21;09:41;09:42;09:56;09:56;10:11;10:10;10:26;10:26;10:41;10:44;10:56;10:57;11:11;11:11;11:26;11:25;11:41;11:41;11:56;11:57;12:11;12:11;12:26;12:35;12:41;12:40;12:56;12:58;13:11;13:11;13:26;13:25;13:41;13:42;13:56;13:57;14:11;14:10;14:26;14:28;14:41;14:44;14:56;14:57;15:11;15:11;15:26;15:27;15:41;15:40;15:56;15:59;16:11;16:12;16:26;16:26;16:41;16:40;16:56;16:58;17:11;17:11;17:26;17:27;17:41;17:43;17:56;17:56;18:11;18:11;18:26;18:28;18:41;18:42;18:56;18:57;19:11;19:11;19:26;19:25;19:41;19:42;19:56;19:57;20:11;20:11;20:26;20:27;20:41;20:43;20:56;20:55;21:11;21:13;21:26;21:26;21:41;21:40;21:56;21:57;22:26;22:28;22:50;22:54;23:20;23:22;23:50;23:49
Rödelstraße;00:21;00:28;01:12;01:14;02:23;02:24;03:34;03:34;04:45;04:44;05:21;05:22;05:51;05:51;06:21;06:22;06:51;06:53;07:21;07:20;07:51;07:51;08:21;08:23;08:51;08:51;09:21;09:22;09:43;09:43;09:58;09:58;10:13;10:12;10:28;10:27;10:43;10:46;10:58;10:58;11:13;11:12;11:28;11:27;11:43;11:43;11:58;11:58;12:13;12:13;12:28;12:36;12:43;12:42;12:58;12:59;13:13;13:13;13:28;13:27;13:43;13:44;13:58;13:59;14:13;14:11;14:28;14:30;14:43;14:46;14:58;14:59;15:13;15:13;15:28;15:29;15:43;15:42;15:58;16:00;16:13;16:14;16:28;16:28;16:43;16:41;16:58;16:59;17:13;17:13;17:28;17:29;17:43;17:44;17:58;17:58;18:13;18:12;18:28;18:29;18:43;18:44;18:58;18:59;19:13;19:13;19:28;19:26;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:29;20:43;20:45;20:58;20:58;21:12;21:14;21:27;21:27;21:42;21:42;21:57;21:58;22:27;22:29;22:51;22:54;23:21;23:23;23:51;23:50
Adler;00:23;00:31;01:14;01:16;02:25;02:27;03:36;03:35;04:47;04:45;05:23;05:24;05:53;05:53;06:23;06:24;06:53;06:55;07:23;07:23;07:53;07:52;08:23;08:25;08:53;08:53;09:23;09:25;09:45;09:45;10:00;10:00;10:15;10:14;10:30;10:29;10:45;10:48;11:00;11:00;11:15;11:15;11:30;11:29;11:45;11:45;12:00;12:01;12:15;12:14;12:30;12:38;12:45;12:44;13:00;13:01;13:15;13:14;13:30;13:29;13:45;13:46;14:00;14:01;14:15;14:14;14:30;14:32;14:45;14:48;15:00;15:01;15:15;15:14;15:30;15:30;15:45;15:44;16:00;16:03;16:15;16:16;16:30;16:30;16:45;16:44;17:00;17:02;17:15;17:15;17:30;17:31;17:45;17:46;18:00;17:59;18:15;18:14;18:30;18:31;18:45;18:46;19:00;19:01;19:15;19:14;19:30;19:28;19:45;19:45;20:00;20:00;20:15;20:14;20:30;20:31;20:45;20:46;21:00;20:59;21:14;21:16;21:29;21:29;21:44;21:44;21:59;22:01;22:29;22:30;22:53;22:55;23:23;23:25;23:53;23:53
Antonien-/Gießerstraße;00:24;00:32;01:15;01:17;02:26;02:28;03:37;03:36;04:48;04:46;05:24;05:24;05:54;05:54;06:24;06:25;06:54;06:56;07:24;07:23;07:54;07:53;08:24;08:26;08:54;08:54;09:24;09:26;09:46;09:46;10:01;10:00;10:16;10:15;10:31;10:30;10:46;10:48;11:01;11:01;11:16;11:15;11:31;11:30;11:46;11:46;12:01;12:02;12:16;12:15;12:31;12:39;12:46;12:44;13:01;13:02;13:16;13:15;13:31;13:30;13:46;13:47;14:01;14:02;14:16;14:15;14:31;14:33;14:46;14:49;15:01;15:02;15:16;15:15;15:31;15:31;15:46;15:44;16:01;16:04;16:16;16:17;16:31;16:31;16:46;16:45;17:01;17:02;17:16;17:16;17:31;17:32;17:46;17:47;18:01;18:00;18:16;18:16;18:31;18:32;18:46;18:47;19:01;19:02;19:16;19:15;19:31;19:30;19:46;19:46;20:01;20:00;20:16;20:15;20:31;20:32;20:46;20:47;21:01;21:00;21:15;21:16;21:30;21:29;21:45;21:44;22:00;22:01;22:30;22:31;22:54;22:56;23:24;23:26;23:54;23:54
Siemensstraße;00:25;00:33;01:16;01:17;02:27;02:28;03:38;03:36;04:49;04:47;05:25;05:25;05:55;05:54;06:25;06:25;06:55;06:56;07:25;07:24;07:55;07:54;08:25;08:27;08:55;08:54;09:25;09:26;09:47;09:46;10:02;10:01;10:17;10:15;10:32;10:30;10:47;10:49;11:02;11:01;11:17;11:16;11:32;11:31;11:47;11:46;12:02;12:02;12:17;12:16;12:32;12:40;12:47;12:45;13:02;13:02;13:17;13:16;13:32;13:31;13:47;13:47;14:02;14:03;14:17;14:16;14:32;14:33;14:47;14:49;15:02;15:03;15:17;15:15;15:32;15:32;15:47;15:45;16:02;16:04;16:17;16:17;16:32;16:32;16:47;16:46;17:02;17:03;17:17;17:17;17:32;17:33;17:47;17:48;18:02;18:01;18:17;18:17;18:32;18:33;18:47;18:48;19:02;19:02;19:17;19:16;19:32;19:31;19:47;19:46;20:02;20:01;20:17;20:16;20:32;20:33;20:47;20:47;21:02;21:01;21:16;21:17;21:31;21:30;21:46;21:45;22:01;22:02;22:31;22:31;22:55;22:57;23:25;23:27;23:55;23:54
Naumburger Straße;00:26;00:34;01:17;01:18;02:28;02:29;03:39;03:37;04:50;04:48;05:26;05:26;05:56;05:56;06:26;06:27;06:56;06:58;07:26;07:25;07:56;07:55;08:26;08:28;08:56;08:55;09:26;09:27;09:48;09:47;10:03;10:02;10:18;10:17;10:33;10:32;10:48;10:50;11:03;11:02;11:18;11:17;11:33;11:32;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:41;12:48;12:46;13:03;13:03;13:18;13:17;13:33;13:32;13:48;13:49;14:03;14:03;14:18;14:17;14:33;14:34;14:48;14:50;15:03;15:04;15:18;15:16;15:33;15:33;15:48;15:46;16:03;16:05;16:18;16:18;16:33;16:33;16:48;16:46;17:03;17:04;17:18;17:18;17:33;17:34;17:48;17:49;18:03;18:02;18:18;18:18;18:33;18:33;18:48;18:49;19:03;19:03;19:18;19:17;19:33;19:32;19:48;19:47;20:03;20:02;20:18;20:17;20:33;20:34;20:48;20:49;21:03;21:02;21:17;21:17;21:32;21:31;21:47;21:46;22:02;22:03;22:32;22:32;22:56;22:58;23:26;23:28;23:56;23:55
Zollschuppenstraße;00:27;00:34;01:18;01:19;02:29;02:30;03:40;03:38;04:51;04:49;05:27;05:27;05:57;05:56;06:27;06:27;06:57;06:58;07:27;07:25;07:57;07:55;08:27;08:28;08:57;08:56;09:27;09:28;09:49;09:48;10:04;10:03;10:19;10:18;10:34;10:33;10:49;10:51;11:04;11:03;11:19;11:18;11:34;11:32;11:49;11:48;12:04;12:04;12:19;12:18;12:34;12:41;12:49;12:47;13:04;13:04;13:19;13:17;13:34;13:32;13:49;13:49;14:04;14:04;14:19;14:18;14:34;14:35;14:49;14:51;15:04;15:04;15:19;15:17;15:34;15:34;15:49;15:47;16:04;16:06;16:19;16:19;16:34;16:34;16:49;16:47;17:04;17:05;17:19;17:18;17:34;17:34;17:49;17:50;18:04;18:03;18:19;18:19;18:34;18:35;18:49;18:50;19:04;19:05;19:19;19:18;19:34;19:33;19:49;19:48;20:04;20:03;20:19;20:17;20:34;20:35;20:49;20:49;21:04;21:03;21:18;21:18;21:33;21:32;21:48;21:47;22:03;22:04;22:33;22:33;22:57;22:59;23:27;23:29;23:57;23:56
S-Bf. Plagwitz;00:27;00:35;01:18;01:19;02:29;02:30;03:40;03:39;04:51;04:49;05:27;05:27;05:57;05:57;06:27;06:28;06:57;06:59;07:27;07:28;07:57;07:56;08:27;08:29;08:57;08:56;09:27;09:28;09:49;09:48;10:04;10:04;10:19;10:18;10:34;10:33;10:49;10:51;11:04;11:03;11:19;11:18;11:34;11:33;11:49;11:49;12:04;12:05;12:19;12:19;12:34;12:42;12:49;12:47;13:04;13:05;13:19;13:18;13:34;13:33;13:49;13:50;14:04;14:05;14:19;14:18;14:34;14:36;14:49;14:51;15:04;15:05;15:19;15:17;15:34;15:34;15:49;15:48;16:04;16:06;16:19;16:19;16:34;16:34;16:49;16:48;17:04;17:06;17:19;17:19;17:34;17:35;17:49;17:50;18:04;18:03;18:19;18:19;18:34;18:35;18:49;18:50;19:04;19:05;19:19;19:19;19:34;19:33;19:49;19:49;20:04;20:03;20:19;20:18;20:34;20:35;20:49;20:50;21:04;21:03;21:18;21:19;21:33;21:32;21:48;21:47;22:03;22:04;22:33;22:33;22:57;22:59;23:27;23:29;23:57;23:56
Lindenau, Bushof;00:29;00:36;01:20;01:21;02:31;02:31;03:42;03:40;04:53;04:50;05:29;05:29;05:59;05:58;06:29;06:29;06:59;07:01;07:29;07:29;07:59;07:57;08:29;08:31;08:59;08:58;09:29;09:30;09:51;09:50;10:06;10:06;10:21;10:20;10:36;10:35;10:51;10:53;11:06;11:06;11:21;11:21;11:36;11:38;11:51;11:51;12:06;12:07;12:21;12:20;12:36;12:44;12:51;12:49;13:06;13:07;13:21;13:20;13:36;13:35;13:51;13:52;14:06;14:07;14:21;14:20;14:36;14:38;14:51;14:53;15:06;15:07;15:21;15:20;15:36;15:36;15:51;15:51;16:06;16:09;16:21;16:21;16:36;16:36;16:51;16:52;17:06;17:08;17:21;17:21;17:36;17:38;17:51;17:53;18:06;18:06;18:21;18:21;18:36;18:37;18:51;18:53;19:06;19:07;19:21;19:20;19:36;19:35;19:51;19:53;20:06;20:05;20:21;20:20;20:36;20:36;20:51;20:52;21:06;21:05;21:20;21:20;21:35;21:34;21:50;21:49;22:05;22:07;22:35;22:35;22:59;23:00;23:29;23:31;23:59;23:58
