Kurs:;36;;42;;43;;42;;43;;31;;34;;42;;43;;31;;34;;42;;43;;31;;41;;34;;33;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;43;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Reudnitz, Koehlerstraße;00:33;00:35;;;;;;;;;;;05:03;05:05;05:33;05:33;06:03;06:04;06:33;06:34;07:03;07:03;07:33;07:34;08:03;08:04;08:33;08:35;;;09:03;09:06;;;09:24;09:26;09:39;09:41;09:54;09:57;10:09;10:11;10:24;10:24;10:39;10:39;10:54;10:57;11:09;11:11;11:24;11:25;11:39;11:40;11:54;11:55;12:09;12:08;12:24;12:25;12:39;12:41;12:54;12:56;13:09;13:11;13:24;13:27;13:39;13:41;13:54;13:57;14:09;14:12;14:24;14:24;14:39;14:40;14:54;14:56;15:09;15:10;15:24;15:26;15:39;15:41;15:54;15:56;16:09;16:10;16:24;16:25;16:39;16:41;16:54;16:55;17:09;17:11;17:24;17:24;17:39;17:41;17:54;17:55;18:09;18:09;18:24;18:25;18:39;18:40;18:54;18:55;19:09;19:09;19:24;19:26;19:39;19:40;19:54;19:54;20:09;20:12;20:24;20:24;20:39;20:40;20:54;20:54;21:09;21:12;21:24;21:26;21:39;21:40;21:54;21:56;22:09;22:09;;;22:33;22:35;;;23:03;23:03;23:33;23:33;00:03;00:03
Gerichtsweg;00:35;00:36;;;;;;;;;;;05:05;05:06;05:35;05:35;06:05;06:05;06:35;06:37;07:05;07:05;07:35;07:35;08:05;08:06;08:35;08:36;;;09:05;09:08;;;09:26;09:28;09:41;09:42;09:56;09:58;10:11;10:13;10:26;10:25;10:41;10:42;10:56;10:58;11:11;11:12;11:26;11:27;11:41;11:42;11:56;11:57;12:11;12:10;12:26;12:27;12:41;12:43;12:56;12:57;13:11;13:13;13:26;13:29;13:41;13:43;13:56;13:58;14:11;14:13;14:26;14:25;14:41;14:42;14:56;14:58;15:11;15:12;15:26;15:28;15:41;15:42;15:56;15:58;16:11;16:12;16:26;16:26;16:41;16:42;16:56;16:57;17:11;17:12;17:26;17:25;17:41;17:43;17:56;17:57;18:11;18:11;18:26;18:27;18:41;18:43;18:56;18:57;19:11;19:10;19:26;19:27;19:41;19:42;19:56;19:55;20:11;20:13;20:26;20:25;20:41;20:41;20:56;20:56;21:11;21:13;21:26;21:27;21:41;21:42;21:56;21:57;22:11;22:11;;;22:35;22:36;;;23:05;23:04;23:35;23:36;00:05;00:05
Johannisplatz;00:37;00:39;;;;;;;;;;;05:07;05:08;05:37;05:37;06:07;06:07;06:37;06:38;07:07;07:07;07:37;07:37;08:07;08:08;08:37;08:38;;;09:07;09:10;;;09:28;09:30;09:43;09:44;09:58;10:01;10:13;10:16;10:28;10:28;10:43;10:44;10:58;11:01;11:13;11:14;11:28;11:28;11:43;11:44;11:58;12:00;12:13;12:13;12:28;12:29;12:43;12:46;12:58;13:00;13:13;13:14;13:28;13:31;13:43;13:46;13:58;14:01;14:13;14:16;14:28;14:28;14:43;14:45;14:58;15:01;15:13;15:14;15:28;15:31;15:43;15:45;15:58;16:01;16:13;16:15;16:28;16:29;16:43;16:44;16:58;17:00;17:13;17:15;17:28;17:28;17:43;17:46;17:58;17:59;18:13;18:15;18:28;18:29;18:43;18:44;18:58;18:58;19:13;19:12;19:28;19:29;19:43;19:43;19:58;19:58;20:13;20:15;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:16;21:28;21:29;21:43;21:44;21:58;21:59;22:13;22:13;;;22:37;22:38;;;23:07;23:06;23:37;23:37;00:07;00:07
Augustusplatz;00:39;00:40;;;;;;;;;;;05:09;05:11;05:39;05:39;06:09;06:09;06:39;06:40;07:09;07:09;07:39;07:39;08:09;08:10;08:39;08:40;;;09:09;09:12;;;09:30;09:31;09:45;09:46;10:00;10:03;10:15;10:18;10:30;10:30;10:45;10:46;11:00;11:03;11:15;11:16;11:30;11:30;11:45;11:47;12:00;12:01;12:15;12:16;12:30;12:31;12:45;12:48;13:00;13:01;13:15;13:16;13:30;13:33;13:45;13:48;14:00;14:03;14:15;14:18;14:30;14:30;14:45;14:46;15:00;15:03;15:15;15:16;15:30;15:33;15:45;15:46;16:00;16:03;16:15;16:16;16:30;16:31;16:45;16:46;17:00;17:02;17:15;17:17;17:30;17:30;17:45;17:48;18:00;18:02;18:15;18:16;18:30;18:31;18:45;18:46;19:00;19:01;19:15;19:14;19:30;19:31;19:45;19:45;20:00;20:01;20:15;20:16;20:30;20:30;20:45;20:45;21:00;21:00;21:15;21:18;21:30;21:32;21:45;21:46;22:00;22:01;22:15;22:15;;;22:39;22:40;;;23:09;23:08;23:39;23:39;00:09;00:09
Hauptbahnhof;00:42;00:42;;;;;;;;;04:47;04:46;05:17;05:16;05:47;05:49;06:17;06:18;06:47;06:48;07:17;07:16;07:47;07:48;08:17;08:18;08:47;08:48;;;09:17;09:16;09:07;09:07;09:33;09:34;09:48;09:49;10:03;10:06;10:18;10:21;10:33;10:33;10:48;10:49;11:03;11:06;11:18;11:19;11:33;11:33;11:48;11:49;12:03;12:04;12:18;12:18;12:33;12:34;12:48;12:52;13:03;13:04;13:18;13:19;13:33;13:36;13:48;13:51;14:03;14:06;14:18;14:21;14:33;14:33;14:48;14:49;15:03;15:06;15:18;15:19;15:33;15:36;15:48;15:49;16:03;16:06;16:18;16:19;16:33;16:34;16:48;16:49;17:03;17:04;17:18;17:21;17:33;17:33;17:48;17:51;18:03;18:04;18:18;18:19;18:33;18:34;18:48;18:49;19:03;19:04;19:18;19:18;19:33;19:34;19:48;19:48;20:03;20:03;20:18;20:19;20:33;20:33;20:48;20:48;21:03;21:03;21:18;21:21;21:33;21:34;21:48;21:49;22:03;22:04;22:18;22:18;;;22:47;22:48;;;23:17;23:18;23:47;23:46;00:17;00:18
Goerdelerring;;;;;;;;;;;04:49;04:49;05:19;05:20;05:49;05:52;06:19;06:20;06:49;06:50;07:19;07:19;07:49;07:49;08:19;08:20;08:49;08:50;;;09:19;09:19;09:09;09:10;09:35;09:37;09:50;09:52;10:05;10:08;10:20;10:23;10:35;10:35;10:50;10:52;11:05;11:08;11:20;11:22;11:35;11:35;11:50;11:52;12:05;12:07;12:20;12:20;12:35;12:37;12:50;12:55;13:05;13:07;13:20;13:22;13:35;13:38;13:50;13:53;14:05;14:08;14:20;14:24;14:35;14:35;14:50;14:52;15:05;15:08;15:20;15:22;15:35;15:37;15:50;15:52;16:05;16:09;16:20;16:22;16:35;16:37;16:50;16:52;17:05;17:07;17:20;17:23;17:35;17:35;17:50;17:53;18:05;18:07;18:20;18:22;18:35;18:37;18:50;18:52;19:05;19:07;19:20;19:20;19:35;19:37;19:50;19:50;20:05;20:05;20:20;20:22;20:35;20:35;20:50;20:50;21:05;21:05;21:20;21:23;21:35;21:37;21:50;21:52;22:05;22:07;22:20;22:20;;;22:49;22:50;;;23:19;23:20;23:49;23:49;00:19;00:20
Leibnizstraße;;;;;;;;;;;04:51;04:51;05:21;05:22;05:51;05:53;06:21;06:22;06:51;06:52;07:21;07:21;07:51;07:50;08:21;08:22;08:51;08:52;;;09:21;09:21;09:11;09:11;09:37;09:38;09:52;09:53;10:07;10:10;10:22;10:25;10:37;10:37;10:52;10:53;11:07;11:10;11:22;11:23;11:37;11:37;11:52;11:53;12:07;12:08;12:22;12:22;12:37;12:38;12:52;12:56;13:07;13:08;13:22;13:23;13:37;13:40;13:52;13:55;14:07;14:10;14:22;14:26;14:37;14:40;14:52;14:54;15:07;15:10;15:22;15:23;15:37;15:39;15:52;15:53;16:07;16:10;16:22;16:23;16:37;16:38;16:52;16:53;17:07;17:08;17:22;17:25;17:37;17:37;17:52;17:56;18:07;18:08;18:22;18:23;18:37;18:38;18:52;18:53;19:07;19:08;19:22;19:22;19:37;19:38;19:52;19:52;20:07;20:07;20:22;20:23;20:37;20:37;20:52;20:52;21:07;21:07;21:22;21:25;21:37;21:41;21:52;21:53;22:07;22:09;22:22;22:22;;;22:51;22:52;;;23:21;23:22;23:51;23:50;00:21;00:22
Waldplatz;;;;;;;03:58;03:59;04:28;04:31;04:53;04:53;05:23;05:25;05:53;05:55;06:23;06:23;06:53;06:54;07:23;07:23;07:53;07:53;08:23;08:24;08:53;08:54;08:45;08:48;09:23;09:22;09:13;09:13;09:39;09:40;09:54;09:55;10:09;10:12;10:24;10:27;10:39;10:39;10:54;10:55;11:09;11:11;11:24;11:25;11:39;11:39;11:54;11:55;12:09;12:11;12:24;12:24;12:39;12:40;12:54;12:59;13:09;13:10;13:24;13:25;13:39;13:42;13:54;13:56;14:09;14:12;14:24;14:28;14:39;14:41;14:54;14:56;15:09;15:12;15:24;15:25;15:39;15:41;15:54;15:56;16:09;16:12;16:24;16:24;16:39;16:40;16:54;16:55;17:09;17:10;17:24;17:26;17:39;17:38;17:54;17:57;18:09;18:10;18:24;18:24;18:39;18:41;18:54;18:55;19:09;19:11;19:24;19:23;19:39;19:40;19:54;19:53;20:09;20:08;20:24;20:25;20:39;20:38;20:54;20:53;21:09;21:08;21:24;21:26;21:39;21:42;21:54;21:54;22:09;22:11;22:24;22:23;;;22:53;22:53;;;23:23;23:23;23:53;23:53;00:23;00:23
Feuerbachstraße;;;;;;;04:00;04:01;04:30;04:32;04:55;04:54;05:25;05:26;05:55;05:56;06:25;06:24;06:55;06:56;07:25;07:24;07:55;07:54;08:25;08:25;08:55;08:55;08:47;08:50;09:25;09:24;09:15;09:14;09:41;09:41;09:56;09:56;10:11;10:13;10:26;10:28;10:41;10:40;10:56;10:56;11:11;11:13;11:26;11:26;11:41;11:41;11:56;11:56;12:11;12:13;12:26;12:26;12:41;12:41;12:56;13:00;13:11;13:11;13:26;13:26;13:41;13:44;13:56;13:57;14:11;14:14;14:26;14:29;14:41;14:42;14:56;14:57;15:11;15:14;15:26;15:26;15:41;15:42;15:56;15:57;16:11;16:14;16:26;16:26;16:41;16:41;16:56;16:56;17:11;17:11;17:26;17:28;17:41;17:39;17:56;17:59;18:11;18:11;18:26;18:26;18:41;18:42;18:56;18:56;19:11;19:12;19:26;19:24;19:41;19:41;19:56;19:55;20:11;20:10;20:26;20:27;20:41;20:39;20:56;20:54;21:11;21:09;21:26;21:27;21:41;21:43;21:56;21:56;22:11;22:12;22:26;22:25;;;22:55;22:54;;;23:25;23:25;23:55;23:54;00:25;00:25
Am Mückenschlösschen;;;;;;;04:01;04:02;04:31;04:33;04:56;04:55;05:26;05:27;05:56;05:57;06:26;06:25;06:56;06:57;07:26;07:25;07:56;07:55;08:26;08:26;08:56;08:56;08:48;08:51;09:26;09:25;09:16;09:15;09:42;09:42;09:57;09:57;10:12;10:14;10:27;10:29;10:42;10:41;10:57;10:57;11:12;11:14;11:27;11:27;11:42;11:42;11:57;11:58;12:12;12:14;12:27;12:27;12:42;12:42;12:57;13:02;13:12;13:12;13:27;13:27;13:42;13:45;13:57;13:58;14:12;14:15;14:27;14:30;14:42;14:43;14:57;14:59;15:12;15:15;15:27;15:27;15:42;15:43;15:57;15:58;16:12;16:15;16:27;16:27;16:42;16:42;16:57;16:57;17:12;17:12;17:27;17:29;17:42;17:40;17:57;18:00;18:12;18:12;18:27;18:27;18:42;18:43;18:57;18:57;19:12;19:13;19:27;19:25;19:42;19:42;19:57;19:56;20:12;20:11;20:27;20:28;20:42;20:40;20:57;20:55;21:12;21:10;21:27;21:29;21:42;21:44;21:57;21:57;22:12;22:13;22:27;22:26;;;22:56;22:55;;;23:26;23:26;23:56;23:56;00:26;00:26
