Kurs:;62;;65;;64;;41;;61;;72;;41;;65;;64;;61;;72;;41;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;62;;65;;63;;64;;61;;71;;72;;73;;;62;;63;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Soll;Ist;Soll;Ist
Stannebeinplatz;00:32;00:31;;;05:02;05:02;;;05:32;05:33;06:02;06:03;06:32;06:32;07:02;07:03;07:32;07:32;08:02;08:02;08:32;08:33;09:02;09:02;09:17;09:18;09:32;09:33;09:47;09:47;10:02;10:03;10:17;10:18;10:32;10:32;10:47;10:48;11:02;11:03;11:17;11:19;11:32;11:32;11:47;11:47;12:02;12:02;12:17;12:18;12:32;12:32;12:47;12:49;13:02;13:02;13:17;13:17;13:32;13:33;13:47;13:49;14:02;14:04;14:17;14:19;14:32;14:32;14:47;14:48;15:02;15:03;15:17;15:17;15:32;15:32;15:47;15:49;16:02;16:03;16:17;16:17;16:32;16:32;16:47;16:47;17:02;17:04;17:17;17:16;17:32;17:33;17:47;17:47;18:02;18:03;18:17;18:17;18:32;18:34;18:47;18:48;19:02;19:03;19:17;19:17;19:32;19:32;19:47;19:47;20:02;20:04;20:17;20:17;20:32;20:33;20:47;20:48;21:02;21:02;21:17;21:18;21:32;21:32;21:47;21:48;22:02;22:04;22:17;22:16;22:32;22:32;22:54;22:54;23:02;23:03;23:02;23:32;23:32;00:02;00:01
H.-Liebm.-/Eisenbahnstr.;00:34;00:33;;;05:04;05:04;;;05:34;05:34;06:04;06:05;06:34;06:34;07:04;07:05;07:34;07:34;08:04;08:04;08:34;08:35;09:04;09:04;09:19;09:20;09:34;09:34;09:49;09:49;10:04;10:04;10:19;10:19;10:34;10:34;10:49;10:49;11:04;11:05;11:19;11:20;11:34;11:34;11:49;11:49;12:04;12:04;12:19;12:20;12:34;12:33;12:49;12:50;13:04;13:04;13:19;13:19;13:34;13:34;13:49;13:51;14:04;14:05;14:19;14:21;14:34;14:33;14:49;14:50;15:04;15:04;15:19;15:18;15:34;15:34;15:49;15:51;16:04;16:05;16:19;16:19;16:34;16:34;16:49;16:49;17:04;17:06;17:19;17:18;17:34;17:34;17:49;17:49;18:04;18:05;18:19;18:19;18:34;18:36;18:49;18:49;19:04;19:05;19:19;19:19;19:34;19:33;19:49;19:48;20:04;20:06;20:19;20:18;20:34;20:34;20:49;20:50;21:04;21:04;21:19;21:19;21:34;21:33;21:49;21:49;22:04;22:05;22:19;22:18;22:34;22:34;22:56;22:55;23:04;23:05;23:04;23:34;23:34;00:04;00:03
Einertstraße;00:35;00:34;;;05:05;05:05;;;05:35;05:36;06:05;06:06;06:35;06:35;07:05;07:07;07:35;07:35;08:05;08:05;08:35;08:36;09:05;09:05;09:20;09:21;09:35;09:35;09:50;09:50;10:05;10:05;10:20;10:21;10:35;10:35;10:50;10:51;11:05;11:06;11:20;11:21;11:35;11:36;11:50;11:51;12:05;12:05;12:20;12:21;12:35;12:35;12:50;12:52;13:05;13:05;13:20;13:20;13:35;13:35;13:50;13:52;14:05;14:07;14:20;14:22;14:35;14:35;14:50;14:51;15:05;15:06;15:20;15:19;15:35;15:36;15:50;15:52;16:05;16:06;16:20;16:22;16:35;16:35;16:50;16:51;17:05;17:07;17:20;17:19;17:35;17:36;17:50;17:50;18:05;18:06;18:20;18:20;18:35;18:37;18:50;18:50;19:05;19:06;19:20;19:20;19:35;19:34;19:50;19:49;20:05;20:07;20:20;20:20;20:35;20:36;20:50;20:51;21:05;21:05;21:20;21:21;21:35;21:35;21:50;21:51;22:05;22:06;22:20;22:19;22:35;22:35;22:57;22:57;23:05;23:06;23:05;23:35;23:35;00:05;00:05
Friedrich-List-Platz;00:37;00:36;;;05:07;05:08;;;05:37;05:38;06:07;06:08;06:37;06:36;07:07;07:09;07:37;07:36;08:07;08:06;08:37;08:38;09:07;09:06;09:22;09:23;09:37;09:37;09:52;09:51;10:07;10:08;10:22;10:23;10:37;10:36;10:52;10:53;11:07;11:08;11:22;11:23;11:37;11:38;11:52;11:53;12:07;12:06;12:22;12:23;12:37;12:36;12:52;12:53;13:07;13:07;13:22;13:21;13:37;13:37;13:52;13:54;14:07;14:09;14:22;14:24;14:37;14:36;14:52;14:53;15:07;15:08;15:22;15:21;15:37;15:38;15:52;15:54;16:07;16:08;16:22;16:23;16:37;16:36;16:52;16:53;17:07;17:09;17:22;17:21;17:37;17:38;17:52;17:53;18:07;18:08;18:22;18:21;18:37;18:39;18:52;18:52;19:07;19:08;19:22;19:21;19:37;19:36;19:52;19:51;20:07;20:09;20:22;20:21;20:37;20:38;20:52;20:53;21:07;21:08;21:22;21:23;21:37;21:36;21:52;21:53;22:07;22:08;22:22;22:21;22:37;22:37;22:59;22:59;23:07;23:08;23:07;23:37;23:38;00:07;00:06
Hofmeisterstraße;00:38;00:37;;;05:08;05:09;;;05:38;05:39;06:08;06:09;06:38;06:38;07:08;07:11;07:38;07:37;08:08;08:07;08:38;08:39;09:08;09:07;09:23;09:24;09:38;09:38;09:53;09:52;10:08;10:09;10:23;10:24;10:38;10:37;10:53;10:54;11:08;11:09;11:23;11:24;11:38;11:39;11:53;11:54;12:08;12:07;12:23;12:24;12:38;12:37;12:53;12:54;13:08;13:08;13:23;13:22;13:38;13:38;13:53;13:55;14:08;14:10;14:23;14:25;14:38;14:37;14:53;14:54;15:08;15:09;15:23;15:22;15:38;15:39;15:53;15:55;16:08;16:09;16:23;16:24;16:38;16:38;16:53;16:54;17:08;17:10;17:23;17:22;17:38;17:39;17:53;17:54;18:08;18:09;18:23;18:22;18:38;18:40;18:53;18:53;19:08;19:09;19:23;19:22;19:38;19:37;19:53;19:52;20:08;20:10;20:23;20:22;20:38;20:39;20:53;20:54;21:08;21:09;21:23;21:24;21:38;21:37;21:53;21:54;22:08;22:09;22:23;22:22;22:38;22:38;23:00;22:59;23:08;23:09;23:08;23:38;23:39;00:08;00:07
Hauptbahnhof;00:45;00:45;04:45;04:50;05:15;05:17;;;05:45;05:50;06:15;06:17;06:45;06:45;07:15;07:17;07:45;07:45;08:15;08:15;08:45;08:45;09:15;09:15;09:26;09:27;09:41;09:41;09:56;09:56;10:11;10:11;10:26;10:26;10:41;10:41;10:56;10:56;11:11;11:12;11:26;11:27;11:41;11:41;11:56;11:57;12:11;12:11;12:26;12:27;12:41;12:41;12:56;12:57;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:59;14:11;14:12;14:26;14:29;14:41;14:41;14:56;14:57;15:11;15:12;15:26;15:26;15:41;15:42;15:56;15:59;16:11;16:12;16:26;16:29;16:41;16:41;16:56;16:57;17:11;17:15;17:26;17:24;17:41;17:42;17:56;17:59;18:11;18:14;18:26;18:26;18:41;18:44;18:56;18:56;19:11;19:14;19:26;19:24;19:41;19:39;19:56;19:56;20:11;20:14;20:26;20:26;20:41;20:41;20:56;20:57;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:57;22:11;22:12;22:26;22:25;22:45;22:47;23:02;23:01;23:15;23:17;23:15;23:45;23:47;00:15;00:15
Goerdelerring;00:47;00:47;04:47;04:51;05:17;05:18;;;05:47;05:51;06:17;06:18;06:47;06:47;07:17;07:19;07:47;07:47;08:17;08:18;08:47;08:47;09:17;09:17;09:28;09:29;09:43;09:42;09:58;09:57;10:13;10:14;10:28;10:29;10:43;10:42;10:58;10:59;11:13;11:15;11:28;11:29;11:43;11:44;11:58;11:59;12:13;12:13;12:28;12:29;12:43;12:44;12:58;12:59;13:13;13:12;13:28;13:28;13:43;13:44;13:58;14:01;14:13;14:15;14:28;14:30;14:43;14:42;14:58;14:59;15:13;15:14;15:28;15:28;15:43;15:44;15:58;16:01;16:13;16:14;16:28;16:31;16:43;16:44;16:58;17:00;17:13;17:17;17:28;17:27;17:43;17:44;17:58;18:01;18:13;18:16;18:28;18:27;18:43;18:47;18:58;18:59;19:13;19:15;19:28;19:27;19:43;19:43;19:58;19:57;20:13;20:17;20:28;20:28;20:43;20:42;20:58;20:59;21:13;21:14;21:28;21:29;21:43;21:42;21:58;21:59;22:13;22:15;22:28;22:28;22:47;22:48;;;23:17;23:18;23:17;23:47;23:50;00:17;00:17
Gottschedstraße;00:49;00:49;04:49;04:53;05:19;05:20;;;05:49;05:53;06:19;06:20;06:49;06:49;07:19;07:20;07:49;07:49;08:19;08:20;08:49;08:49;09:19;09:18;09:30;09:31;09:45;09:44;10:00;09:59;10:15;10:15;10:30;10:30;10:45;10:44;11:00;11:00;11:15;11:17;11:30;11:31;11:45;11:45;12:00;12:01;12:15;12:14;12:30;12:31;12:45;12:45;13:00;13:00;13:15;13:14;13:30;13:30;13:45;13:45;14:00;14:02;14:15;14:17;14:30;14:32;14:45;14:44;15:00;15:00;15:15;15:16;15:30;15:29;15:45;15:46;16:00;16:02;16:15;16:15;16:30;16:32;16:45;16:45;17:00;17:02;17:15;17:20;17:30;17:29;17:45;17:46;18:00;18:02;18:15;18:17;18:30;18:29;18:45;18:49;19:00;19:01;19:15;19:17;19:30;19:29;19:45;19:44;20:00;19:59;20:15;20:19;20:30;20:29;20:45;20:44;21:00;21:01;21:15;21:16;21:30;21:31;21:45;21:44;22:00;22:01;22:15;22:17;22:30;22:29;22:49;22:50;;;23:19;23:20;23:19;23:49;23:52;00:19;00:19
Westplatz;00:51;00:50;04:51;04:55;05:21;05:21;;;05:51;05:54;06:21;06:21;06:51;06:50;07:21;07:21;07:51;07:50;08:21;08:22;08:51;08:50;09:21;09:20;09:32;09:32;09:47;09:47;10:02;10:01;10:17;10:17;10:32;10:32;10:47;10:46;11:02;11:02;11:17;11:18;11:32;11:33;11:47;11:47;12:02;12:02;12:17;12:16;12:32;12:32;12:47;12:47;13:02;13:02;13:17;13:16;13:32;13:31;13:47;13:47;14:02;14:04;14:17;14:18;14:32;14:34;14:47;14:46;15:02;15:02;15:17;15:17;15:32;15:31;15:47;15:47;16:02;16:03;16:17;16:17;16:32;16:34;16:47;16:47;17:02;17:03;17:17;17:21;17:32;17:31;17:47;17:47;18:02;18:04;18:17;18:19;18:32;18:31;18:47;18:50;19:02;19:02;19:17;19:19;19:32;19:30;19:47;19:46;20:02;20:01;20:17;20:20;20:32;20:31;20:47;20:46;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:46;22:02;22:02;22:17;22:19;22:32;22:31;22:51;22:52;;;23:21;23:22;23:21;23:51;23:53;00:21;00:20
Marschnerstraße;00:52;00:51;04:52;04:56;05:22;05:23;;;05:52;05:55;06:22;06:23;06:52;06:52;07:22;07:22;07:52;07:52;08:22;08:23;08:52;08:52;09:22;09:21;09:33;09:34;09:48;09:48;10:03;10:02;10:18;10:18;10:33;10:33;10:48;10:48;11:03;11:04;11:18;11:19;11:33;11:34;11:48;11:48;12:03;12:03;12:18;12:17;12:33;12:33;12:48;12:48;13:03;13:03;13:18;13:17;13:33;13:33;13:48;13:48;14:03;14:05;14:18;14:19;14:33;14:36;14:48;14:47;15:03;15:03;15:18;15:19;15:33;15:33;15:48;15:49;16:03;16:05;16:18;16:19;16:33;16:35;16:48;16:48;17:03;17:05;17:18;17:22;17:33;17:32;17:48;17:49;18:03;18:05;18:18;18:20;18:33;18:32;18:48;18:51;19:03;19:03;19:18;19:20;19:33;19:31;19:48;19:47;20:03;20:02;20:18;20:21;20:33;20:32;20:48;20:47;21:03;21:04;21:18;21:18;21:33;21:34;21:48;21:48;22:03;22:03;22:18;22:20;22:33;22:32;22:52;22:53;;;23:22;23:23;23:22;23:52;23:54;00:22;00:21
