Kurs:;72;;83;;34;;91;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;82;;32;;91;;92;;35;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Arthur-Winkler-Straße;05:28;05:27;06:28;06:28;07:28;07:27;08:28;08:28;08:58;08:58;09:28;09:29;09:54;09:53;10:24;10:24;10:54;10:53;11:24;11:24;11:54;11:53;12:24;12:23;12:54;12:53;13:24;13:24;13:54;13:54;14:24;14:25;14:54;14:54;15:24;15:23;15:54;15:56;16:24;16:24;16:54;16:54;17:24;17:25;17:54;17:54;18:24;18:24;18:54;18:55;19:24;19:25;19:54;19:54;20:24;20:24;20:54;20:56;21:25;21:25;21:55;21:54;22:28;22:30;23:28;23:31
Ernst-Guhr-Straße;05:29;05:28;06:29;06:29;07:29;07:28;08:29;08:29;08:59;09:00;09:29;09:30;09:55;09:54;10:25;10:25;10:55;10:54;11:25;11:25;11:55;11:54;12:25;12:24;12:55;12:54;13:25;13:25;13:55;13:56;14:25;14:26;14:55;14:55;15:25;15:24;15:55;15:57;16:25;16:25;16:55;16:55;17:25;17:26;17:55;17:55;18:25;18:25;18:55;18:55;19:25;19:26;19:55;19:55;20:25;20:25;20:55;20:57;21:26;21:26;21:56;21:55;22:29;22:31;23:29;23:32
Werkstättenstraße;05:30;05:29;06:30;06:31;07:30;07:29;08:30;08:30;09:00;09:01;09:30;09:31;09:57;09:56;10:27;10:27;10:57;10:56;11:27;11:26;11:57;11:56;12:27;12:26;12:57;12:56;13:27;13:26;13:57;13:57;14:27;14:27;14:57;14:56;15:27;15:26;15:57;15:58;16:27;16:26;16:57;16:56;17:27;17:27;17:57;17:56;18:27;18:27;18:57;18:56;19:27;19:27;19:57;19:56;20:27;20:27;20:57;20:59;21:27;21:28;21:57;21:56;22:30;22:33;23:30;23:33
Engelsdorf, Ärztehaus;05:31;05:30;06:31;06:32;07:31;07:30;08:31;08:31;09:01;09:02;09:31;09:32;09:58;09:57;10:28;10:28;10:58;10:57;11:28;11:27;11:58;11:57;12:28;12:27;12:58;12:57;13:28;13:27;13:58;13:58;14:28;14:28;14:58;14:57;15:28;15:27;15:58;15:59;16:28;16:27;16:58;16:57;17:28;17:28;17:58;17:57;18:28;18:28;18:58;18:57;19:28;19:28;19:58;19:57;20:28;20:28;20:58;20:59;21:28;21:28;21:58;21:57;22:31;22:34;23:31;23:33
Hasenheide;05:32;05:31;06:32;06:33;07:32;07:31;08:32;08:32;09:02;09:03;09:32;09:34;09:59;09:58;10:29;10:29;10:59;10:58;11:29;11:29;11:59;11:58;12:29;12:28;12:59;12:59;13:29;13:29;13:59;13:59;14:29;14:30;14:59;14:58;15:29;15:28;15:59;16:00;16:29;16:29;16:59;16:59;17:29;17:29;17:59;17:59;18:29;18:29;18:59;18:58;19:29;19:30;19:59;19:58;20:29;20:29;20:59;21:01;21:29;21:30;21:59;21:58;22:32;22:35;23:32;23:35
Am Bahndamm;05:34;05:33;06:34;06:35;07:34;07:33;08:34;08:33;09:04;09:05;09:34;09:36;10:01;10:00;10:31;10:31;11:01;10:59;11:31;11:30;12:01;12:00;12:31;12:30;13:01;13:00;13:31;13:30;14:01;14:01;14:31;14:31;15:01;15:00;15:31;15:30;16:01;16:01;16:31;16:31;17:01;17:00;17:31;17:31;18:01;18:00;18:31;18:30;19:01;19:00;19:31;19:31;20:01;19:59;20:31;20:31;21:01;21:02;21:31;21:31;22:01;22:00;22:34;22:36;23:34;23:36
Mölkauer Dorfplatz;05:35;05:34;06:35;06:36;07:35;07:34;08:35;08:34;09:05;09:06;09:35;09:37;10:02;10:01;10:32;10:33;11:02;11:01;11:32;11:32;12:02;12:01;12:32;12:31;13:02;13:02;13:32;13:31;14:02;14:02;14:32;14:33;15:02;15:01;15:32;15:31;16:02;16:02;16:32;16:32;17:02;17:01;17:32;17:32;18:02;18:02;18:32;18:32;19:02;19:01;19:32;19:33;20:02;20:00;20:32;20:32;21:02;21:04;21:32;21:32;22:02;22:01;22:35;22:38;23:35;23:37
Mölkau Gemeindeamt;05:36;05:35;06:36;06:37;07:36;07:35;08:36;08:35;09:06;09:07;09:36;09:38;10:03;10:01;10:33;10:34;11:03;11:02;11:33;11:33;12:03;12:02;12:33;12:32;13:03;13:03;13:33;13:32;14:03;14:03;14:33;14:33;15:03;15:02;15:33;15:32;16:03;16:03;16:33;16:33;17:03;17:02;17:33;17:33;18:03;18:02;18:33;18:33;19:03;19:02;19:33;19:34;20:03;20:02;20:33;20:33;21:03;21:04;21:33;21:33;22:03;22:02;22:36;22:39;23:36;23:38
Anemonenweg;05:37;05:36;06:37;06:38;07:37;07:35;08:37;08:37;09:07;09:09;09:37;09:39;10:04;10:04;10:34;10:35;11:04;11:03;11:34;11:35;12:04;12:04;12:34;12:33;13:04;13:04;13:34;13:34;14:04;14:05;14:34;14:35;15:04;15:04;15:34;15:33;16:04;16:04;16:34;16:34;17:04;17:05;17:34;17:35;18:04;18:03;18:34;18:35;19:04;19:04;19:34;19:35;20:04;20:03;20:34;20:35;21:04;21:05;21:34;21:34;22:04;22:03;22:37;22:40;23:37;23:38
Dr.-Wilhelm-Külz-Straße;05:38;05:37;06:38;06:38;07:38;07:36;08:38;08:37;09:08;09:09;09:38;09:39;10:05;10:04;10:35;10:36;11:05;11:03;11:35;11:36;12:05;12:04;12:35;12:33;13:05;13:05;13:35;13:35;14:05;14:06;14:35;14:35;15:05;15:05;15:35;15:33;16:05;16:05;16:35;16:34;17:05;17:06;17:35;17:36;18:05;18:04;18:35;18:35;19:05;19:05;19:35;19:35;20:05;20:03;20:35;20:35;21:05;21:06;21:35;21:35;22:05;22:04;22:38;22:40;23:38;23:39
Pommernstraße;05:39;05:38;06:39;06:39;07:39;07:37;08:39;08:38;09:09;09:09;09:39;09:40;10:06;10:05;10:36;10:37;11:06;11:04;11:36;11:36;12:06;12:05;12:36;12:34;13:06;13:05;13:36;13:36;14:06;14:06;14:36;14:36;15:06;15:06;15:36;15:34;16:06;16:06;16:36;16:35;17:06;17:06;17:36;17:37;18:06;18:04;18:36;18:36;19:06;19:06;19:36;19:36;20:06;20:04;20:36;20:36;21:06;21:06;21:36;21:35;22:06;22:05;22:39;22:41;23:39;23:40
Ostfriedhof;05:40;05:39;06:40;06:40;07:40;07:38;08:40;08:38;09:10;09:10;09:40;09:41;10:07;10:06;10:37;10:38;11:07;11:05;11:37;11:37;12:07;12:06;12:37;12:35;13:07;13:06;13:37;13:37;14:07;14:07;14:37;14:37;15:07;15:06;15:37;15:36;16:07;16:06;16:37;16:36;17:07;17:07;17:37;17:37;18:07;18:05;18:37;18:37;19:07;19:06;19:37;19:37;20:07;20:05;20:37;20:36;21:07;21:07;21:37;21:36;22:07;22:06;22:40;22:41;23:40;23:40
S-Bf. Anger-Crottendorf;05:41;05:40;06:41;06:40;07:41;07:41;08:41;08:40;09:11;09:11;09:41;09:42;10:08;10:07;10:38;10:38;11:08;11:07;11:38;11:38;12:08;12:07;12:38;12:37;13:08;13:07;13:38;13:38;14:08;14:08;14:38;14:38;15:08;15:07;15:38;15:37;16:08;16:08;16:38;16:37;17:08;17:08;17:38;17:38;18:08;18:07;18:38;18:38;19:08;19:07;19:38;19:38;20:08;20:06;20:38;20:38;21:08;21:08;21:38;21:38;22:08;22:08;22:41;22:42;23:41;23:41
Martinstraße;05:42;05:41;06:42;06:42;07:42;07:42;08:42;08:41;09:12;09:12;09:42;09:43;10:09;10:08;10:39;10:40;11:09;11:08;11:39;11:39;12:09;12:08;12:39;12:38;13:09;13:09;13:39;13:40;14:09;14:09;14:39;14:39;15:09;15:08;15:39;15:38;16:09;16:09;16:39;16:39;17:09;17:09;17:39;17:39;18:09;18:09;18:39;18:39;19:09;19:08;19:39;19:40;20:09;20:08;20:39;20:39;21:09;21:09;21:39;21:39;22:09;22:08;22:42;22:43;23:42;23:42
Breite Straße;05:43;05:43;06:43;06:43;07:43;07:43;08:43;08:42;09:13;09:13;09:43;09:44;10:10;10:10;10:40;10:41;11:10;11:10;11:40;11:40;12:10;12:10;12:40;12:39;13:10;13:10;13:40;13:42;14:10;14:11;14:40;14:41;15:10;15:09;15:40;15:39;16:10;16:10;16:40;16:40;17:10;17:10;17:40;17:41;18:10;18:10;18:40;18:40;19:10;19:10;19:40;19:41;20:10;20:09;20:40;20:40;21:10;21:10;21:40;21:41;22:10;22:10;22:43;22:43;23:43;23:43
Reudnitz, Koehlerstraße;05:45;05:44;06:45;06:45;07:45;07:45;08:45;08:45;09:15;09:16;09:45;09:46;10:12;10:12;10:42;10:44;11:12;11:12;11:42;11:44;12:12;12:13;12:42;12:42;13:12;13:13;13:42;13:44;14:12;14:13;14:42;14:43;15:12;15:12;15:42;15:42;16:12;16:12;16:42;16:42;17:12;17:12;17:42;17:44;18:12;18:12;18:42;18:42;19:12;19:13;19:42;19:43;20:12;20:11;20:42;20:41;21:12;21:12;21:42;21:43;22:12;22:11;22:45;22:45;23:45;23:44
Elsastraße;05:46;05:45;06:46;06:46;07:46;07:46;08:46;08:46;09:16;09:18;09:46;09:48;10:13;10:13;10:43;10:45;11:13;11:13;11:43;11:45;12:13;12:14;12:43;12:43;13:13;13:14;13:43;13:46;14:13;14:14;14:43;14:44;15:13;15:13;15:43;15:42;16:13;16:13;16:43;16:43;17:13;17:14;17:43;17:45;18:13;18:14;18:43;18:43;19:13;19:14;19:43;19:44;20:13;20:12;20:43;20:43;21:13;21:13;21:43;21:45;22:13;22:12;22:46;22:47;23:46;23:45
Friedrich-List-Platz;05:48;05:46;06:48;06:48;07:48;07:47;08:48;08:47;09:18;09:19;09:48;09:49;10:15;10:14;10:45;10:46;11:15;11:14;11:45;11:46;12:15;12:15;12:45;12:45;13:15;13:16;13:45;13:47;14:15;14:15;14:45;14:46;15:15;15:15;15:45;15:43;16:15;16:14;16:45;16:44;17:15;17:15;17:45;17:46;18:15;18:14;18:45;18:45;19:15;19:15;19:45;19:46;20:15;20:14;20:45;20:45;21:15;21:15;21:45;21:46;22:15;22:13;22:48;22:48;23:48;23:46
Hofmeisterstraße;05:49;05:48;06:49;06:49;07:49;07:48;08:49;08:47;09:19;09:21;09:49;09:51;10:16;10:16;10:46;10:48;11:16;11:16;11:46;11:47;12:16;12:16;12:46;12:46;13:16;13:17;13:46;13:48;14:16;14:18;14:46;14:48;15:16;15:17;15:46;15:45;16:16;16:16;16:46;16:46;17:16;17:16;17:46;17:48;18:16;18:17;18:46;18:47;19:16;19:17;19:46;19:47;20:16;20:15;20:46;20:46;21:16;21:16;21:46;21:47;22:16;22:14;22:49;22:49;23:49;23:47
Hauptbahnhof;05:51;05:50;06:51;06:50;07:51;07:50;08:51;08:49;09:21;09:23;09:51;09:52;10:18;10:18;10:48;10:51;11:18;11:17;11:48;11:49;12:18;12:19;12:48;12:47;13:18;13:19;13:48;13:49;14:18;14:19;14:48;14:49;15:18;15:19;15:48;15:48;16:18;16:19;16:48;16:48;17:18;17:18;17:48;17:49;18:18;18:19;18:48;18:49;19:18;19:19;19:48;19:49;20:18;20:16;20:48;20:48;21:18;21:17;21:48;21:50;22:18;22:16;22:51;22:50;23:51;23:49
