Kurs:;43;;32;;42;;34;;43;;31;;34;;42;;43;;31;;34;;42;;43;;32;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;41;;31;;33;;34;;42;;32;;43;;31;;34;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Feuerbachstraße;00:30;00:31;00:55;00:54;04:30;04:29;;;05:00;05:00;05:30;05:30;06:00;06:00;06:30;06:30;07:00;07:01;07:30;07:30;08:00;08:01;08:30;08:31;09:00;09:01;;;09:17;09:17;09:32;09:34;09:47;09:48;10:02;10:05;10:17;10:17;10:32;10:32;10:47;10:47;11:02;11:02;11:17;11:19;11:32;11:32;11:47;11:47;12:02;12:02;12:17;12:18;12:32;12:33;12:47;12:48;13:02;13:04;13:17;13:17;13:32;13:33;13:47;13:47;14:02;14:04;14:17;14:19;14:32;14:33;14:47;14:47;15:02;15:03;15:17;15:17;15:32;15:34;15:47;15:47;16:02;16:04;16:17;16:17;16:32;16:33;16:47;16:48;17:02;17:03;17:17;17:17;17:32;17:35;17:47;17:47;18:02;18:02;18:17;18:17;18:32;18:33;18:47;18:47;19:02;19:02;19:17;19:17;19:32;19:32;19:47;19:47;20:02;20:02;20:17;20:17;20:32;20:32;20:47;20:47;21:02;21:03;21:17;21:18;21:32;21:32;21:47;21:47;22:02;22:04;22:17;22:17;22:30;22:31;22:41;22:41;23:00;23:01;23:30;23:31;00:00;00:00
Waldplatz;00:32;00:32;00:57;00:55;04:32;04:32;;;05:02;05:02;05:32;05:33;06:02;06:03;06:32;06:33;07:02;07:03;07:32;07:32;08:02;08:03;08:32;08:34;09:02;09:04;;;09:19;09:20;09:34;09:37;09:49;09:50;10:04;10:07;10:19;10:19;10:34;10:35;10:49;10:49;11:04;11:05;11:19;11:20;11:34;11:35;11:49;11:49;12:04;12:05;12:19;12:20;12:34;12:35;12:49;12:50;13:04;13:05;13:19;13:20;13:34;13:34;13:49;13:50;14:04;14:07;14:19;14:21;14:34;14:35;14:49;14:49;15:04;15:05;15:19;15:19;15:34;15:36;15:49;15:49;16:04;16:06;16:19;16:19;16:34;16:34;16:49;16:51;17:04;17:05;17:19;17:19;17:34;17:37;17:49;17:49;18:04;18:05;18:19;18:19;18:34;18:36;18:49;18:49;19:04;19:04;19:19;19:19;19:34;19:35;19:49;19:49;20:04;20:04;20:19;20:19;20:34;20:34;20:49;20:50;21:04;21:05;21:19;21:20;21:34;21:34;21:49;21:49;22:04;22:06;22:19;22:19;22:32;22:32;22:43;22:44;23:02;23:03;23:32;23:32;00:02;00:02
Leibnizstraße;00:34;00:34;;;04:34;04:33;;;05:04;05:04;05:34;05:35;06:04;06:04;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:05;08:34;08:35;09:04;09:05;;;09:21;09:22;09:36;09:38;09:51;09:51;10:06;10:08;10:21;10:20;10:36;10:37;10:51;10:50;11:06;11:06;11:21;11:22;11:36;11:36;11:51;11:50;12:06;12:06;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:07;13:21;13:21;13:36;13:36;13:51;13:51;14:06;14:09;14:21;14:23;14:36;14:36;14:51;14:51;15:06;15:06;15:21;15:21;15:36;15:38;15:51;15:50;16:06;16:07;16:21;16:20;16:36;16:36;16:51;16:53;17:06;17:07;17:21;17:20;17:36;17:38;17:51;17:51;18:06;18:06;18:21;18:20;18:36;18:38;18:51;18:51;19:06;19:05;19:21;19:20;19:36;19:36;19:51;19:50;20:06;20:05;20:21;20:20;20:36;20:36;20:51;20:51;21:06;21:07;21:21;21:22;21:36;21:35;21:51;21:50;22:06;22:07;22:21;22:21;22:34;22:34;;;23:04;23:04;23:34;23:34;00:04;00:03
Goerdelerring;00:36;00:36;;;04:36;04:35;;;05:06;05:06;05:36;05:37;06:06;06:06;06:36;06:37;07:06;07:06;07:36;07:36;08:06;08:07;08:36;08:36;09:06;09:07;;;09:23;09:23;09:38;09:40;09:53;09:53;10:08;10:11;10:23;10:23;10:38;10:39;10:53;10:53;11:08;11:08;11:23;11:23;11:38;11:38;11:53;11:53;12:08;12:08;12:23;12:23;12:38;12:38;12:53;12:53;13:08;13:09;13:23;13:23;13:38;13:38;13:53;13:53;14:08;14:11;14:23;14:24;14:38;14:38;14:53;14:53;15:08;15:08;15:23;15:23;15:38;15:39;15:53;15:53;16:08;16:09;16:23;16:23;16:38;16:38;16:53;16:55;17:08;17:10;17:23;17:23;17:38;17:41;17:53;17:53;18:08;18:08;18:23;18:22;18:38;18:40;18:53;18:53;19:08;19:08;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:09;21:23;21:23;21:38;21:37;21:53;21:52;22:08;22:09;22:23;22:23;22:36;22:36;;;23:06;23:07;23:36;23:36;00:06;00:05
Hauptbahnhof;00:45;00:45;;;04:45;04:46;;;05:15;05:15;05:45;05:49;06:15;06:16;06:45;06:45;07:15;07:15;07:45;07:45;08:15;08:15;08:45;08:46;09:15;09:15;;;09:26;09:26;09:41;09:42;09:56;09:57;10:11;10:15;10:26;10:25;10:41;10:42;10:56;10:55;11:11;11:10;11:26;11:27;11:41;11:42;11:56;11:55;12:11;12:10;12:26;12:27;12:41;12:40;12:56;12:55;13:11;13:13;13:26;13:25;13:41;13:40;13:56;13:57;14:11;14:15;14:26;14:28;14:41;14:40;14:56;14:57;15:11;15:12;15:26;15:26;15:41;15:42;15:56;15:55;16:11;16:13;16:26;16:25;16:41;16:42;16:56;16:58;17:11;17:13;17:26;17:27;17:41;17:45;17:56;17:57;18:11;18:10;18:26;18:25;18:41;18:43;18:56;18:57;19:11;19:12;19:26;19:27;19:41;19:40;19:56;19:57;20:11;20:10;20:26;20:27;20:41;20:42;20:56;20:57;21:11;21:12;21:26;21:27;21:41;21:40;21:56;21:57;22:11;22:12;22:26;22:25;22:45;22:45;;;23:15;23:15;23:45;23:45;00:15;00:15
Augustusplatz;00:47;00:47;;;04:47;04:48;;;05:17;05:17;05:47;05:51;06:17;06:18;06:47;06:47;07:17;07:17;07:47;07:47;08:17;08:18;08:47;08:50;09:17;09:18;;;09:28;09:27;09:43;09:44;09:58;09:59;10:13;10:17;10:28;10:27;10:43;10:44;10:58;10:57;11:13;11:12;11:28;11:29;11:43;11:44;11:58;11:57;12:13;12:12;12:28;12:29;12:43;12:42;12:58;12:59;13:13;13:15;13:28;13:29;13:43;13:44;13:58;13:59;14:13;14:17;14:28;14:30;14:43;14:42;14:58;14:59;15:13;15:14;15:28;15:29;15:43;15:45;15:58;15:57;16:13;16:17;16:28;16:29;16:43;16:45;16:58;17:02;17:13;17:15;17:28;17:29;17:43;17:48;17:58;17:59;18:13;18:12;18:28;18:29;18:43;18:47;18:58;19:00;19:13;19:14;19:28;19:30;19:43;19:42;19:58;19:59;20:13;20:12;20:28;20:29;20:43;20:44;20:58;20:59;21:13;21:14;21:28;21:29;21:43;21:42;21:58;21:59;22:13;22:14;22:28;22:27;22:47;22:47;;;23:17;23:18;23:47;23:47;00:17;00:17
Johannisplatz;00:48;00:48;;;04:48;04:50;;;05:18;05:18;05:48;05:53;06:18;06:20;06:48;06:48;07:18;07:18;07:48;07:48;08:18;08:20;08:48;08:51;09:18;09:20;;;09:29;09:28;09:44;09:45;09:59;10:00;10:14;10:18;10:29;10:29;10:44;10:45;10:59;10:59;11:14;11:13;11:29;11:30;11:44;11:45;11:59;11:59;12:14;12:14;12:29;12:30;12:44;12:44;12:59;13:00;13:14;13:16;13:29;13:30;13:44;13:45;13:59;14:00;14:14;14:18;14:29;14:32;14:44;14:44;14:59;15:00;15:14;15:15;15:29;15:30;15:44;15:47;15:59;15:59;16:14;16:18;16:29;16:30;16:44;16:47;16:59;17:03;17:14;17:17;17:29;17:30;17:44;17:50;17:59;18:00;18:14;18:14;18:29;18:30;18:44;18:48;18:59;19:02;19:14;19:15;19:29;19:32;19:44;19:44;19:59;20:00;20:14;20:14;20:29;20:30;20:44;20:45;20:59;21:00;21:14;21:15;21:29;21:30;21:44;21:44;21:59;22:00;22:14;22:15;22:29;22:29;22:48;22:48;;;23:18;23:20;23:48;23:48;00:18;00:18
Gerichtsweg;00:50;00:50;;;04:50;04:51;;;05:20;05:20;05:50;05:54;06:20;06:22;06:50;06:50;07:20;07:20;07:50;07:50;08:20;08:21;08:50;08:52;09:20;09:22;;;09:31;09:30;09:46;09:46;10:01;10:01;10:16;10:19;10:31;10:30;10:46;10:46;11:01;11:01;11:16;11:15;11:31;11:32;11:46;11:46;12:01;12:01;12:16;12:16;12:31;12:32;12:46;12:46;13:01;13:02;13:16;13:18;13:31;13:32;13:46;13:46;14:01;14:01;14:16;14:21;14:31;14:33;14:46;14:46;15:01;15:01;15:16;15:17;15:31;15:32;15:46;15:48;16:01;16:00;16:16;16:21;16:31;16:32;16:46;16:48;17:01;17:05;17:16;17:19;17:31;17:32;17:46;17:52;18:01;18:02;18:16;18:15;18:31;18:32;18:46;18:51;19:01;19:04;19:16;19:17;19:31;19:34;19:46;19:46;20:01;20:02;20:16;20:15;20:31;20:32;20:46;20:48;21:01;21:02;21:16;21:18;21:31;21:31;21:46;21:45;22:01;22:01;22:16;22:18;22:31;22:31;22:50;22:51;;;23:20;23:21;23:50;23:51;00:20;00:19
Reudnitz, Koehlerstraße;00:52;00:51;;;04:52;04:53;;;05:22;05:21;05:52;05:56;06:22;06:23;06:52;06:52;07:22;07:21;07:52;07:51;08:22;08:23;08:52;08:54;09:22;09:24;;;09:33;09:33;09:48;09:48;10:03;10:03;10:18;10:22;10:33;10:32;10:48;10:49;11:03;11:03;11:18;11:18;11:33;11:33;11:48;11:48;12:03;12:03;12:18;12:18;12:33;12:35;12:48;12:48;13:03;13:05;13:18;13:20;13:33;13:34;13:48;13:48;14:03;14:04;14:18;14:22;14:33;14:35;14:48;14:48;15:03;15:04;15:18;15:19;15:33;15:33;15:48;15:50;16:03;16:02;16:18;16:23;16:33;16:33;16:48;16:50;17:03;17:07;17:18;17:22;17:33;17:34;17:48;17:54;18:03;18:03;18:18;18:18;18:33;18:33;18:48;18:52;19:03;19:06;19:18;19:19;19:33;19:37;19:48;19:48;20:03;20:04;20:18;20:17;20:33;20:34;20:48;20:49;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:47;22:03;22:03;22:18;22:19;22:33;22:33;22:52;22:52;;;23:22;23:23;23:52;23:52;00:22;00:22
Breite Straße;00:54;00:53;;;04:54;04:55;04:36;04:35;05:24;05:24;05:54;05:58;06:24;06:25;06:54;06:53;07:24;07:23;07:54;07:53;08:24;08:25;08:54;08:56;09:24;09:26;09:12;09:13;09:35;09:35;09:50;09:50;10:05;10:05;10:20;10:24;10:35;10:33;10:50;10:51;11:05;11:05;11:20;11:19;11:35;11:36;11:50;11:49;12:05;12:05;12:20;12:20;12:35;12:37;12:50;12:50;13:05;13:07;13:20;13:21;13:35;13:36;13:50;13:50;14:05;14:06;14:20;14:25;14:35;14:38;14:50;14:51;15:05;15:06;15:20;15:20;15:35;15:35;15:50;15:52;16:05;16:04;16:20;16:25;16:35;16:35;16:50;16:53;17:05;17:09;17:20;17:24;17:35;17:36;17:50;17:55;18:05;18:05;18:20;18:20;18:35;18:36;18:50;18:54;19:05;19:09;19:20;19:21;19:35;19:38;19:50;19:50;20:05;20:05;20:20;20:19;20:35;20:36;20:50;20:52;21:05;21:06;21:20;21:22;21:35;21:36;21:50;21:49;22:05;22:04;22:20;22:21;22:35;22:34;22:54;22:54;;;23:24;23:25;23:54;23:54;00:24;00:24
