Kurs:;10;;12;;15;;13;;14;;11;;12;;13;;14;;11;;12;;13;;14;;42;;11;;12;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;21;;22;;23;;42;;41;;24;;16;;17;;11;;42;;13;;14;;16;;17;;11;;42;;13;;14;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Eutritzscher Markt;00:14;00:14;00:50;00:50;01:10;01:10;04:44;04:43;05:14;05:15;05:44;05:44;06:14;06:14;06:44;06:44;07:14;07:16;07:44;07:43;08:14;08:14;08:44;08:43;09:13;09:14;09:28;09:29;09:43;09:43;09:58;09:57;10:13;10:14;10:28;10:28;10:43;10:44;10:58;10:58;11:13;11:13;11:28;11:28;11:43;11:44;11:58;11:58;12:13;12:14;12:28;12:29;12:43;12:43;12:58;12:59;13:13;13:14;13:28;13:29;13:43;13:44;13:58;14:00;14:13;14:13;14:28;14:28;14:43;14:44;14:58;14:59;15:13;15:15;15:28;15:31;15:43;15:44;15:58;15:59;16:13;16:14;16:28;16:28;16:43;16:44;16:58;16:58;17:13;17:14;17:28;17:29;17:43;17:44;17:58;17:59;18:13;18:14;18:28;18:28;18:43;18:43;18:58;18:58;19:13;19:13;19:28;19:29;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:27;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:57;22:13;22:13;22:24;22:25;22:44;22:43;22:59;22:59;23:14;23:14;23:44;23:43
Eutritzscher Zentrum;00:16;00:16;00:52;00:51;01:12;01:11;04:46;04:45;05:16;05:17;05:46;05:45;06:16;06:15;06:46;06:46;07:16;07:17;07:46;07:45;08:16;08:15;08:46;08:44;09:15;09:16;09:30;09:30;09:45;09:44;10:00;09:59;10:15;10:15;10:30;10:29;10:45;10:46;11:00;11:00;11:15;11:14;11:30;11:29;11:45;11:45;12:00;12:00;12:15;12:15;12:30;12:30;12:45;12:44;13:00;13:00;13:15;13:15;13:30;13:30;13:45;13:46;14:00;14:01;14:15;14:15;14:30;14:30;14:45;14:58;15:00;15:03;15:15;15:16;15:30;15:32;15:45;15:45;16:00;16:00;16:15;16:15;16:30;16:30;16:45;16:46;17:00;16:59;17:15;17:15;17:30;17:30;17:45;17:45;18:00;18:00;18:15;18:15;18:30;18:29;18:45;18:44;19:00;18:59;19:15;19:15;19:30;19:30;19:45;19:44;20:00;19:59;20:15;20:15;20:30;20:29;20:45;20:44;21:00;20:59;21:15;21:14;21:30;21:29;21:45;21:45;22:00;22:00;22:15;22:14;22:26;22:26;22:46;22:44;23:01;23:02;23:16;23:15;23:46;23:45
Wilhelminenstraße;00:17;00:17;00:53;00:53;01:13;01:12;04:47;04:46;05:17;05:18;05:47;05:46;06:17;06:16;06:47;06:47;07:17;07:19;07:47;07:46;08:17;08:16;08:47;08:46;09:16;09:17;09:31;09:31;09:46;09:46;10:01;10:00;10:16;10:16;10:31;10:30;10:46;10:47;11:01;11:01;11:16;11:15;11:31;11:30;11:46;11:47;12:01;12:01;12:16;12:16;12:31;12:31;12:46;12:45;13:01;13:01;13:16;13:16;13:31;13:31;13:46;13:47;14:01;14:03;14:16;14:16;14:31;14:31;14:46;14:59;15:01;15:04;15:16;15:18;15:31;15:34;15:46;15:46;16:01;16:01;16:16;16:17;16:31;16:31;16:46;16:47;17:01;17:00;17:16;17:17;17:31;17:31;17:46;17:46;18:01;18:02;18:16;18:16;18:31;18:30;18:46;18:46;19:01;19:00;19:16;19:16;19:31;19:31;19:46;19:45;20:01;20:00;20:16;20:16;20:31;20:30;20:46;20:45;21:01;21:01;21:16;21:16;21:31;21:30;21:46;21:46;22:01;22:01;22:16;22:15;22:27;22:27;22:47;22:46;23:02;23:03;23:17;23:16;23:47;23:46
Chausseehaus;00:19;00:18;00:55;00:55;01:15;01:13;04:49;04:49;05:19;05:19;05:49;05:48;06:19;06:18;06:49;06:49;07:19;07:21;07:49;07:48;08:19;08:18;08:49;08:48;09:18;09:19;09:33;09:33;09:48;09:48;10:03;10:02;10:18;10:18;10:33;10:32;10:48;10:49;11:03;11:03;11:18;11:17;11:33;11:32;11:48;11:48;12:03;12:02;12:18;12:18;12:33;12:33;12:48;12:47;13:03;13:03;13:18;13:18;13:33;13:33;13:48;13:49;14:03;14:04;14:18;14:18;14:33;14:33;14:48;15:01;15:03;15:06;15:18;15:19;15:33;15:35;15:48;15:48;16:03;16:03;16:18;16:19;16:33;16:33;16:48;16:49;17:03;17:02;17:18;17:18;17:33;17:33;17:48;17:48;18:03;18:04;18:18;18:18;18:33;18:32;18:48;18:47;19:03;19:02;19:18;19:18;19:33;19:33;19:48;19:47;20:03;20:02;20:18;20:17;20:33;20:32;20:48;20:47;21:03;21:02;21:18;21:18;21:33;21:32;21:48;21:48;22:03;22:03;22:18;22:17;22:29;22:29;22:49;22:47;23:04;23:04;23:19;23:18;23:49;23:48
Wilhelm-Liebknecht-Platz;00:21;00:20;00:57;00:57;01:17;01:16;04:51;04:51;05:21;05:21;05:51;05:50;06:21;06:20;06:51;06:51;07:21;07:23;07:51;07:51;08:21;08:20;08:51;08:50;09:20;09:21;09:35;09:35;09:50;09:49;10:05;10:04;10:20;10:20;10:35;10:34;10:50;10:51;11:05;11:04;11:20;11:19;11:35;11:34;11:50;11:50;12:05;12:04;12:20;12:20;12:35;12:35;12:50;12:49;13:05;13:05;13:20;13:20;13:35;13:35;13:50;13:51;14:05;14:06;14:20;14:19;14:35;14:34;14:50;15:03;15:05;15:08;15:20;15:21;15:35;15:37;15:50;15:51;16:05;16:04;16:20;16:20;16:35;16:34;16:50;16:51;17:05;17:04;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:06;18:20;18:20;18:35;18:34;18:50;18:49;19:05;19:04;19:20;19:19;19:35;19:34;19:50;19:49;20:05;20:05;20:20;20:19;20:35;20:34;20:50;20:49;21:05;21:05;21:20;21:20;21:35;21:34;21:50;21:50;22:05;22:05;22:20;22:19;22:31;22:31;22:51;22:50;23:06;23:06;23:21;23:20;23:51;23:50
Hauptbahnhof;00:30;00:30;01:00;01:00;01:20;01:18;05:00;05:02;05:30;05:30;06:00;05:59;06:30;06:32;07:00;07:02;07:30;07:31;08:00;08:01;08:30;08:32;09:00;09:05;09:23;09:25;09:38;09:39;09:53;09:53;10:08;10:08;10:23;10:23;10:38;10:37;10:53;10:54;11:08;11:08;11:23;11:22;11:38;11:38;11:53;11:53;12:08;12:08;12:23;12:23;12:38;12:38;12:53;12:53;13:08;13:08;13:23;13:23;13:38;13:38;13:53;13:55;14:08;14:10;14:23;14:23;14:38;14:38;14:53;15:07;15:08;15:11;15:23;15:25;15:38;15:41;15:53;15:55;16:08;16:08;16:23;16:23;16:38;16:38;16:53;16:55;17:08;17:08;17:23;17:23;17:38;17:38;17:53;17:53;18:08;18:10;18:23;18:23;18:38;18:38;18:53;18:52;19:08;19:08;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:08;20:23;20:23;20:38;20:37;20:53;20:53;21:08;21:08;21:23;21:23;21:38;21:38;21:53;21:54;22:08;22:08;22:23;22:22;22:34;22:34;23:00;23:00;;;23:30;23:30;00:00;00:01
Augustusplatz;00:33;00:32;01:03;01:02;;;05:03;05:04;05:33;05:32;06:03;06:02;06:33;06:35;07:03;07:04;07:33;07:35;08:03;08:04;08:33;08:34;09:03;09:07;09:26;09:28;09:41;09:43;09:56;09:56;10:11;10:11;10:26;10:26;10:41;10:40;10:56;10:58;11:11;11:10;11:26;11:25;11:41;11:41;11:56;11:56;12:11;12:11;12:26;12:26;12:41;12:41;12:56;12:56;13:11;13:11;13:26;13:26;13:41;13:41;13:56;13:58;14:11;14:13;14:26;14:26;14:41;14:41;14:56;15:10;15:11;15:13;15:26;15:28;15:41;15:44;15:56;15:56;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:58;17:11;17:11;17:26;17:26;17:41;17:41;17:56;17:56;18:11;18:13;18:26;18:26;18:41;18:41;18:56;18:55;19:11;19:11;19:26;19:26;19:41;19:41;19:56;19:56;20:11;20:11;20:26;20:26;20:41;20:40;20:56;20:56;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:26;22:26;22:37;22:37;23:03;23:02;;;23:33;23:32;00:03;00:04
Roßplatz;00:35;00:34;01:05;01:04;;;05:05;05:06;05:35;05:34;06:05;06:04;06:35;06:37;07:05;07:06;07:35;07:37;08:05;08:05;08:35;08:35;09:05;09:08;09:28;09:31;09:43;09:44;09:58;09:58;10:13;10:13;10:28;10:28;10:43;10:42;10:58;10:59;11:13;11:12;11:28;11:27;11:43;11:43;11:58;11:58;12:13;12:12;12:28;12:28;12:43;12:43;12:58;12:58;13:13;13:13;13:28;13:28;13:43;13:43;13:58;14:00;14:13;14:14;14:28;14:28;14:43;14:43;14:58;15:12;15:13;15:15;15:28;15:29;15:43;15:46;15:58;15:58;16:13;16:13;16:28;16:28;16:43;16:43;16:58;16:59;17:13;17:13;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:14;18:28;18:28;18:43;18:43;18:58;18:57;19:13;19:13;19:28;19:28;19:43;19:43;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:42;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:58;22:13;22:13;22:28;22:27;22:39;22:38;23:05;23:04;;;23:35;23:34;00:05;00:05
Härtelstraße;00:36;00:36;01:06;01:06;;;05:06;05:07;05:36;05:35;06:06;06:05;06:36;06:38;07:06;07:07;07:36;07:38;08:06;08:06;08:36;08:36;09:06;09:09;09:29;09:37;09:44;09:45;09:59;09:59;10:14;10:13;10:29;10:29;10:44;10:43;10:59;11:00;11:14;11:14;11:29;11:28;11:44;11:44;11:59;11:59;12:14;12:13;12:29;12:29;12:44;12:44;12:59;12:59;13:14;13:14;13:29;13:30;13:44;13:44;13:59;14:01;14:14;14:16;14:29;14:29;14:44;14:44;14:59;15:13;15:14;15:16;15:29;15:30;15:44;15:47;15:59;15:59;16:14;16:15;16:29;16:29;16:44;16:45;16:59;17:01;17:14;17:14;17:29;17:30;17:44;17:44;17:59;18:00;18:14;18:16;18:29;18:29;18:44;18:44;18:59;18:58;19:14;19:13;19:29;19:29;19:44;19:44;19:59;19:59;20:14;20:14;20:29;20:29;20:44;20:43;20:59;20:59;21:14;21:15;21:29;21:29;21:44;21:44;21:59;21:59;22:14;22:14;22:29;22:28;22:40;22:39;23:06;23:06;;;23:36;23:35;00:06;00:06
Bayerischer Bahnhof;00:38;00:37;01:08;01:07;;;05:08;05:09;05:38;05:37;06:08;06:07;06:38;06:39;07:08;07:09;07:38;07:40;08:08;08:07;08:38;08:37;09:08;09:10;09:31;09:39;09:46;09:48;10:01;10:00;10:16;10:15;10:31;10:30;10:46;10:45;11:01;11:01;11:16;11:15;11:31;11:30;11:46;11:45;12:01;12:01;12:16;12:15;12:31;12:31;12:46;12:47;13:01;13:01;13:16;13:15;13:31;13:31;13:46;13:46;14:01;14:03;14:16;14:18;14:31;14:30;14:46;14:45;15:01;15:15;15:16;15:18;15:31;15:33;15:46;15:49;16:01;16:01;16:16;16:17;16:31;16:30;16:46;16:46;17:01;17:03;17:16;17:15;17:31;17:31;17:46;17:45;18:01;18:01;18:16;18:18;18:31;18:31;18:46;18:45;19:01;19:00;19:16;19:15;19:31;19:31;19:46;19:45;20:01;20:01;20:16;20:15;20:31;20:30;20:46;20:45;21:01;21:00;21:16;21:16;21:31;21:30;21:46;21:45;22:01;22:01;22:16;22:15;22:31;22:30;22:42;22:40;23:08;23:07;;;23:38;23:37;00:08;00:07
