Kurs:;72;;84;;33;;38;;34;;33;;91;;31;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;34;;92;;36;;37;;38;;92;;36;;33;;31;;37;;38;;36;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Paunsdorf, Buswendest.;05:18;05:18;06:18;06:18;07:18;07:18;07:48;07:50;08:18;08:19;08:43;08:43;09:13;09:13;09:43;09:43;10:10;10:10;10:30;10:32;10:50;10:50;11:10;11:10;11:30;11:31;11:50;11:50;12:10;12:11;12:30;12:30;12:50;12:51;13:10;13:11;13:30;13:30;13:50;13:51;14:10;14:10;14:30;14:31;14:50;14:50;15:10;15:10;15:30;15:30;15:50;15:51;16:10;16:10;16:30;16:31;16:50;16:50;17:10;17:11;17:30;17:31;17:50;17:50;18:10;18:10;18:30;18:30;18:50;18:50;19:13;19:14;19:43;19:43;20:13;20:13;20:43;20:43;21:15;21:15;21:45;21:45;22:18;22:18;23:18;23:17
Güterbahnhofstraße;05:19;05:19;06:19;06:19;07:19;07:19;07:49;07:51;08:19;08:20;08:44;08:44;09:14;09:14;09:44;09:44;10:11;10:11;10:31;10:33;10:51;10:50;11:11;11:11;11:31;11:32;11:51;11:51;12:11;12:11;12:31;12:31;12:51;12:52;13:11;13:12;13:31;13:31;13:51;13:52;14:11;14:11;14:31;14:32;14:51;14:51;15:11;15:11;15:31;15:31;15:51;15:52;16:11;16:11;16:31;16:32;16:51;16:51;17:11;17:11;17:31;17:32;17:51;17:51;18:11;18:11;18:31;18:31;18:51;18:51;19:14;19:15;19:44;19:44;20:14;20:14;20:44;20:44;21:16;21:16;21:46;21:46;22:19;22:19;23:19;23:18
Schongauerstraße;05:20;05:20;06:20;06:20;07:20;07:19;07:50;07:51;08:20;08:20;08:45;08:44;09:15;09:15;09:45;09:44;10:12;10:12;10:32;10:33;10:52;10:51;11:12;11:12;11:32;11:32;11:52;11:52;12:12;12:12;12:32;12:31;12:52;12:53;13:12;13:12;13:32;13:31;13:52;13:52;14:12;14:12;14:32;14:33;14:52;14:52;15:12;15:12;15:32;15:32;15:52;15:52;16:12;16:11;16:32;16:33;16:52;16:51;17:12;17:12;17:32;17:33;17:52;17:53;18:12;18:13;18:32;18:32;18:52;18:52;19:15;19:16;19:45;19:45;20:15;20:15;20:45;20:45;21:17;21:16;21:47;21:47;22:20;22:20;23:20;23:20
Sommerfeld;05:21;05:20;06:21;06:21;07:21;07:20;07:51;07:52;08:21;08:21;08:46;08:46;09:16;09:17;09:46;09:46;10:13;10:14;10:33;10:35;10:53;10:52;11:13;11:13;11:33;11:34;11:53;11:54;12:13;12:13;12:33;12:34;12:53;12:55;13:13;13:14;13:33;13:35;13:53;13:54;14:13;14:16;14:33;14:34;14:53;14:54;15:13;15:13;15:33;15:34;15:53;15:53;16:13;16:13;16:33;16:34;16:53;16:53;17:13;17:15;17:33;17:35;17:53;17:54;18:13;18:16;18:33;18:35;18:53;18:53;19:16;19:17;19:46;19:45;20:16;20:17;20:46;20:47;21:18;21:17;21:48;21:48;22:21;22:21;23:21;23:21
Hans-Weigel-Straße;05:22;05:22;06:22;06:22;07:22;07:21;07:52;07:53;08:22;08:22;08:47;08:47;09:17;09:18;09:47;09:47;10:14;10:15;10:34;10:36;10:54;10:53;11:14;11:14;11:34;11:35;11:54;11:55;12:14;12:15;12:34;12:34;12:54;12:56;13:14;13:15;13:34;13:35;13:54;13:55;14:14;14:17;14:34;14:36;14:54;14:55;15:14;15:15;15:34;15:34;15:54;15:54;16:14;16:14;16:34;16:36;16:54;16:54;17:14;17:16;17:34;17:36;17:54;17:55;18:14;18:17;18:34;18:36;18:54;18:55;19:17;19:18;19:47;19:47;20:17;20:17;20:47;20:48;21:19;21:18;21:49;21:49;22:22;22:22;23:22;23:22
Hugo-Aurig-Straße;05:23;05:23;06:23;06:23;07:23;07:22;07:53;07:54;08:23;08:23;08:48;08:48;09:18;09:19;09:48;09:48;10:15;10:16;10:35;10:38;10:55;10:54;11:15;11:15;11:35;11:36;11:55;11:56;12:15;12:15;12:35;12:35;12:55;12:57;13:15;13:16;13:35;13:37;13:55;13:56;14:15;14:18;14:35;14:37;14:55;14:56;15:15;15:16;15:35;15:35;15:55;15:57;16:15;16:15;16:35;16:37;16:55;16:56;17:15;17:17;17:35;17:37;17:55;17:56;18:15;18:19;18:35;18:36;18:55;18:55;19:18;19:19;19:48;19:48;20:18;20:18;20:48;20:48;21:20;21:19;21:50;21:51;22:23;22:23;23:23;23:22
Klempererstraße;05:24;05:24;06:24;06:24;07:24;07:23;07:54;07:55;08:24;08:25;08:49;08:49;09:19;09:20;09:49;09:50;10:16;10:17;10:36;10:39;10:56;10:55;11:16;11:16;11:36;11:37;11:56;11:57;12:16;12:17;12:36;12:36;12:56;12:58;13:16;13:17;13:36;13:38;13:56;13:57;14:16;14:20;14:36;14:38;14:56;14:57;15:16;15:17;15:36;15:36;15:56;15:58;16:16;16:16;16:36;16:38;16:56;16:57;17:16;17:18;17:36;17:38;17:56;17:57;18:16;18:20;18:36;18:37;18:56;18:57;19:19;19:20;19:49;19:49;20:19;20:19;20:49;20:49;21:21;21:20;21:51;21:52;22:24;22:24;23:24;23:24
Engelsdorf, Kirchweg;05:25;05:25;06:25;06:25;07:25;07:25;07:55;07:56;08:25;08:26;08:50;08:50;09:20;09:22;09:50;09:51;10:17;10:19;10:37;10:40;10:57;10:56;11:17;11:18;11:37;11:38;11:57;11:59;12:17;12:18;12:37;12:37;12:57;12:59;13:17;13:18;13:37;13:40;13:57;13:59;14:17;14:22;14:37;14:39;14:57;14:58;15:17;15:19;15:37;15:38;15:57;15:59;16:17;16:18;16:37;16:40;16:57;16:58;17:17;17:20;17:37;17:39;17:57;17:59;18:17;18:21;18:37;18:39;18:57;18:58;19:20;19:21;19:50;19:50;20:20;20:20;20:50;20:51;21:22;21:22;21:52;21:53;22:25;22:25;23:25;23:25
Engelsdorf, Kirche;05:26;05:26;06:26;06:25;07:26;07:25;07:56;07:56;08:26;08:26;08:51;08:51;09:21;09:22;09:51;09:51;10:18;10:20;10:38;10:41;10:58;10:57;11:18;11:18;11:38;11:39;11:58;12:00;12:18;12:19;12:38;12:38;12:58;12:59;13:18;13:19;13:38;13:40;13:58;13:59;14:18;14:22;14:38;14:40;14:58;14:59;15:18;15:19;15:38;15:39;15:58;15:59;16:18;16:18;16:38;16:40;16:58;16:58;17:18;17:20;17:38;17:40;17:58;17:59;18:18;18:22;18:38;18:39;18:58;18:58;19:21;19:22;19:51;19:50;20:21;20:21;20:51;20:51;21:23;21:22;21:53;21:54;22:26;22:26;23:26;23:25
Engelsdorf, Gymnasium;05:27;05:27;06:27;06:27;07:27;07:26;07:57;07:57;08:27;08:28;08:52;08:52;09:22;09:23;09:52;09:53;10:19;10:21;10:39;10:43;10:59;10:58;11:19;11:19;11:39;11:40;11:59;12:01;12:19;12:19;12:39;12:39;12:59;13:00;13:19;13:20;13:39;13:42;13:59;14:00;14:19;14:23;14:39;14:41;14:59;15:00;15:19;15:20;15:39;15:40;15:59;16:00;16:19;16:19;16:39;16:42;16:59;17:00;17:19;17:22;17:39;17:41;17:59;18:00;18:19;18:23;18:39;18:40;18:59;19:00;19:22;19:23;19:52;19:51;20:22;20:22;20:52;20:53;21:24;21:24;21:54;21:55;22:27;22:27;23:27;23:27
