Kurs:;63;;61;;62;;63;;72;;71;;61;;62;;63;;64;;72;;53;;71;;61;;57;;62;;55;;63;;56;;64;;73;;72;;71;;53;;57;;61;;62;;54;;63;;55;;64;;56;;72;;73;;53;;71;;61;;57;;54;;62;;55;;63;;56;;64;;73;;72;;71;;53;;57;;61;;62;;54;;63;;55;;64;;56;;72;;73;;53;;71;;61;;57;;54;;62;;55;;63;;56;;64;;72;;53;;73;;71;;57;;61;;54;;62;;63;;56;;64;;72;;73;;71;;61;;54;;62;;63;;56;;64;;73;;61;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Stannebeinplatz;00:32;00:32;;;05:02;05:03;05:32;05:33;06:02;06:03;06:32;06:33;07:02;07:02;07:32;07:34;08:02;08:02;08:17;08:17;08:32;08:33;08:47;08:48;09:02;09:03;09:17;09:18;09:32;09:32;09:47;09:48;10:02;10:06;10:14;10:15;10:24;10:24;10:34;10:35;10:44;10:44;10:54;10:55;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:35;11:44;11:44;11:54;11:54;12:04;12:05;12:14;12:14;12:24;12:24;12:34;12:34;12:44;12:45;12:54;12:54;13:04;13:04;13:14;13:16;13:24;13:24;13:34;13:34;13:44;13:43;13:54;13:56;14:04;14:04;14:14;14:16;14:24;14:25;14:34;14:35;14:44;14:44;14:54;14:56;15:04;15:04;15:14;15:15;15:24;15:26;15:34;15:34;15:44;15:43;15:54;15:53;16:04;16:05;16:14;16:14;16:24;16:24;16:34;16:34;16:44;16:44;16:54;16:55;17:04;17:05;17:14;17:13;17:24;17:24;17:34;17:35;17:44;17:44;17:54;17:54;18:04;18:04;18:14;18:14;18:24;18:26;18:34;18:36;18:47;18:48;18:55;18:57;19:02;19:04;19:17;19:17;19:25;19:26;19:32;19:32;19:47;19:49;20:02;20:03;20:17;20:17;20:32;20:33;20:47;20:49;21:02;21:03;21:17;21:17;21:32;21:33;21:47;21:47;22:02;22:02;22:17;22:16;22:32;22:32;22:54;22:55;23:02;23:02;23:32;23:32;00:02;00:02
H.-Liebm.-/Eisenbahnstr.;00:34;00:34;;;05:04;05:05;05:34;05:34;06:04;06:05;06:34;06:35;07:04;07:03;07:34;07:36;08:04;08:04;08:19;08:19;08:34;08:35;08:49;08:50;09:04;09:04;09:19;09:19;09:34;09:34;09:49;09:50;10:04;10:07;10:16;10:17;10:26;10:26;10:36;10:37;10:46;10:46;10:56;10:57;11:06;11:06;11:16;11:16;11:26;11:25;11:36;11:37;11:46;11:46;11:56;11:55;12:06;12:07;12:16;12:16;12:26;12:26;12:36;12:35;12:46;12:47;12:56;12:56;13:06;13:06;13:16;13:17;13:26;13:26;13:36;13:35;13:46;13:45;13:56;13:58;14:06;14:06;14:16;14:18;14:26;14:29;14:36;14:36;14:46;14:46;14:56;14:58;15:06;15:06;15:16;15:17;15:26;15:28;15:36;15:36;15:46;15:45;15:56;15:55;16:06;16:06;16:16;16:16;16:26;16:25;16:36;16:36;16:46;16:46;16:56;16:56;17:06;17:07;17:16;17:15;17:26;17:26;17:36;17:37;17:46;17:46;17:56;17:56;18:06;18:06;18:16;18:16;18:26;18:28;18:36;18:38;18:49;18:50;18:57;18:59;19:04;19:05;19:19;19:18;19:27;19:28;19:34;19:34;19:49;19:51;20:04;20:04;20:19;20:19;20:34;20:35;20:49;20:50;21:04;21:04;21:19;21:19;21:34;21:35;21:49;21:49;22:04;22:04;22:19;22:18;22:34;22:34;22:56;22:57;23:04;23:04;23:34;23:34;00:04;00:03
Einertstraße;00:35;00:35;;;05:05;05:07;05:35;05:36;06:05;06:06;06:35;06:36;07:05;07:05;07:35;07:37;08:05;08:05;08:20;08:20;08:35;08:36;08:50;08:51;09:05;09:06;09:20;09:21;09:35;09:35;09:50;09:51;10:05;10:08;10:17;10:18;10:27;10:27;10:37;10:38;10:47;10:47;10:57;10:58;11:07;11:07;11:17;11:17;11:27;11:26;11:37;11:39;11:47;11:47;11:57;11:56;12:07;12:09;12:17;12:17;12:27;12:27;12:37;12:37;12:47;12:48;12:57;12:57;13:07;13:07;13:17;13:19;13:27;13:27;13:37;13:37;13:47;13:47;13:57;14:00;14:07;14:07;14:17;14:20;14:27;14:30;14:37;14:38;14:47;14:48;14:57;14:59;15:07;15:07;15:17;15:19;15:27;15:29;15:37;15:37;15:47;15:46;15:57;15:56;16:07;16:07;16:17;16:17;16:27;16:26;16:37;16:38;16:47;16:48;16:57;16:58;17:07;17:09;17:17;17:16;17:27;17:28;17:37;17:39;17:47;17:47;17:57;17:57;18:07;18:07;18:17;18:17;18:27;18:29;18:37;18:39;18:50;18:51;18:58;19:00;19:05;19:07;19:20;19:20;19:28;19:29;19:35;19:36;19:50;19:52;20:05;20:06;20:20;20:20;20:35;20:37;20:50;20:52;21:05;21:06;21:20;21:20;21:35;21:36;21:50;21:50;22:05;22:06;22:20;22:19;22:35;22:35;22:57;22:58;23:05;23:05;23:35;23:35;00:05;00:05
Friedrich-List-Platz;00:37;00:36;;;05:07;05:08;05:37;05:38;06:07;06:08;06:37;06:38;07:07;07:07;07:37;07:39;08:07;08:06;08:22;08:22;08:37;08:38;08:52;08:53;09:07;09:08;09:22;09:23;09:37;09:38;09:52;09:53;10:07;10:10;10:19;10:20;10:29;10:30;10:39;10:40;10:49;10:48;10:59;11:00;11:09;11:09;11:19;11:18;11:29;11:27;11:39;11:41;11:49;11:50;11:59;11:59;12:09;12:11;12:19;12:18;12:29;12:29;12:39;12:39;12:49;12:50;12:59;12:59;13:09;13:09;13:19;13:20;13:29;13:29;13:39;13:39;13:49;13:50;13:59;14:02;14:09;14:09;14:19;14:22;14:29;14:32;14:39;14:39;14:49;14:50;14:59;15:02;15:09;15:09;15:19;15:20;15:29;15:32;15:39;15:39;15:49;15:48;15:59;15:57;16:09;16:09;16:19;16:20;16:29;16:27;16:39;16:39;16:49;16:50;16:59;16:59;17:09;17:11;17:19;17:18;17:29;17:30;17:39;17:41;17:49;17:48;17:59;17:59;18:09;18:09;18:19;18:19;18:29;18:30;18:39;18:41;18:52;18:53;19:00;19:02;19:07;19:08;19:22;19:21;19:30;19:31;19:37;19:38;19:52;19:54;20:07;20:08;20:22;20:21;20:37;20:38;20:52;20:53;21:07;21:08;21:22;21:21;21:37;21:38;21:52;21:51;22:07;22:08;22:22;22:21;22:37;22:36;22:59;22:59;23:07;23:07;23:37;23:36;00:07;00:06
Hofmeisterstraße;00:38;00:37;;;05:08;05:09;05:38;05:39;06:08;06:09;06:38;06:39;07:08;07:08;07:38;07:40;08:08;08:07;08:23;08:23;08:38;08:39;08:53;08:54;09:08;09:09;09:23;09:24;09:38;09:39;09:53;09:54;10:08;10:11;10:20;10:21;10:30;10:31;10:40;10:41;10:50;10:50;11:00;11:01;11:10;11:10;11:20;11:20;11:30;11:28;11:40;11:42;11:50;11:51;12:00;12:00;12:10;12:12;12:20;12:20;12:30;12:30;12:40;12:40;12:50;12:51;13:00;13:00;13:10;13:11;13:20;13:21;13:30;13:30;13:40;13:40;13:50;13:51;14:00;14:03;14:10;14:10;14:20;14:23;14:30;14:33;14:40;14:41;14:50;14:51;15:00;15:03;15:10;15:10;15:20;15:21;15:30;15:33;15:40;15:40;15:50;15:49;16:00;15:59;16:10;16:10;16:20;16:21;16:30;16:29;16:40;16:41;16:50;16:51;17:00;17:00;17:10;17:12;17:20;17:19;17:30;17:31;17:40;17:42;17:50;17:50;18:00;18:00;18:10;18:10;18:20;18:19;18:30;18:32;18:40;18:42;18:53;18:54;19:01;19:03;19:08;19:09;19:23;19:22;19:31;19:32;19:38;19:39;19:53;19:55;20:08;20:09;20:23;20:22;20:38;20:39;20:53;20:54;21:08;21:09;21:23;21:22;21:38;21:39;21:53;21:52;22:08;22:09;22:23;22:22;22:38;22:37;23:00;23:00;23:08;23:08;23:38;23:38;00:08;00:07
Hauptbahnhof;00:45;00:45;04:45;04:47;05:15;05:17;05:45;05:46;06:15;06:17;06:45;06:47;07:15;07:17;07:45;07:47;08:15;08:15;08:26;08:26;08:41;08:42;08:56;08:56;09:11;09:11;09:26;09:27;09:41;09:41;09:56;09:57;10:11;10:14;10:23;10:26;10:33;10:35;10:43;10:44;10:53;10:54;11:03;11:05;11:13;11:12;11:23;11:23;11:33;11:32;11:43;11:45;11:53;11:53;12:03;12:02;12:13;12:14;12:23;12:22;12:33;12:33;12:43;12:42;12:53;12:54;13:03;13:03;13:13;13:14;13:23;13:24;13:33;13:35;13:43;13:42;13:53;13:54;14:03;14:06;14:13;14:14;14:23;14:29;14:33;14:36;14:43;14:44;14:53;14:53;15:03;15:06;15:13;15:14;15:23;15:24;15:33;15:36;15:43;15:44;15:53;15:54;16:03;16:03;16:13;16:12;16:23;16:24;16:33;16:33;16:43;16:44;16:53;16:53;17:03;17:03;17:13;17:15;17:23;17:23;17:33;17:36;17:43;17:45;17:53;17:53;18:03;18:05;18:13;18:14;18:23;18:23;18:33;18:35;18:43;18:44;18:56;18:56;19:04;19:06;19:11;19:12;19:26;19:26;19:34;19:35;19:41;19:42;19:56;19:57;20:11;20:12;20:26;20:24;20:41;20:42;20:56;20:57;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:26;22:26;22:45;22:47;23:03;23:03;23:15;23:17;23:45;23:45;00:15;00:15
Goerdelerring;00:47;00:47;04:47;04:48;05:17;05:19;05:47;05:48;06:17;06:19;06:47;06:48;07:17;07:19;07:47;07:50;08:17;08:17;08:28;08:27;08:43;08:44;08:58;08:59;09:13;09:14;09:28;09:29;09:43;09:42;09:58;09:59;10:13;10:15;10:25;10:27;10:35;10:36;10:45;10:47;10:55;10:57;11:05;11:07;11:15;11:15;11:25;11:26;11:35;11:35;11:45;11:47;11:55;11:56;12:05;12:05;12:15;12:17;12:25;12:24;12:35;12:36;12:45;12:45;12:55;12:56;13:05;13:05;13:15;13:15;13:25;13:27;13:35;13:37;13:45;13:45;13:55;13:57;14:05;14:08;14:15;14:17;14:25;14:30;14:35;14:38;14:45;14:47;14:55;14:56;15:05;15:09;15:15;15:16;15:25;15:27;15:35;15:39;15:45;15:45;15:55;15:56;16:05;16:05;16:15;16:14;16:25;16:27;16:35;16:35;16:45;16:47;16:55;16:56;17:05;17:06;17:15;17:18;17:25;17:25;17:35;17:39;17:45;17:48;17:55;17:56;18:05;18:08;18:15;18:15;18:25;18:24;18:35;18:38;18:45;18:45;18:58;18:59;19:06;19:09;19:13;19:15;19:28;19:27;19:36;19:38;19:43;19:45;19:58;20:00;20:13;20:15;20:28;20:27;20:43;20:45;20:58;21:00;21:13;21:14;21:28;21:27;21:43;21:44;21:58;21:59;22:13;22:14;22:28;22:27;22:47;22:50;23:05;23:06;23:17;23:18;23:47;23:47;00:17;00:17
Gottschedstraße;00:49;00:49;04:49;04:50;05:19;05:20;05:49;05:50;06:19;06:20;06:49;06:50;07:19;07:20;07:49;07:52;08:19;08:18;08:30;08:29;08:45;08:46;09:00;09:00;09:15;09:15;09:30;09:31;09:45;09:44;10:00;10:02;10:15;10:17;10:27;10:29;10:37;10:38;10:47;10:48;10:57;10:59;11:07;11:08;11:17;11:17;11:27;11:27;11:37;11:36;11:47;11:49;11:57;11:58;12:07;12:06;12:17;12:18;12:27;12:26;12:37;12:38;12:47;12:47;12:57;12:58;13:07;13:06;13:17;13:17;13:27;13:29;13:37;13:38;13:47;13:47;13:57;13:59;14:07;14:10;14:17;14:18;14:27;14:32;14:37;14:39;14:47;14:50;14:57;14:58;15:07;15:11;15:17;15:17;15:27;15:29;15:37;15:41;15:47;15:47;15:57;15:58;16:07;16:06;16:17;16:16;16:27;16:29;16:37;16:36;16:47;16:48;16:57;16:57;17:07;17:08;17:17;17:20;17:27;17:26;17:37;17:41;17:47;17:50;17:57;17:58;18:07;18:10;18:17;18:17;18:27;18:26;18:37;18:40;18:47;18:47;19:00;19:01;19:08;19:11;19:15;19:17;19:30;19:29;19:38;19:40;19:45;19:47;20:00;20:02;20:15;20:17;20:30;20:29;20:45;20:47;21:00;21:02;21:15;21:16;21:30;21:29;21:45;21:46;22:00;22:01;22:15;22:16;22:30;22:29;22:49;22:52;23:07;23:08;23:19;23:20;23:49;23:49;00:19;00:19
Westplatz;00:51;00:50;04:51;04:51;05:21;05:22;05:51;05:52;06:21;06:22;06:51;06:51;07:21;07:21;07:51;07:53;08:21;08:20;08:32;08:31;08:47;08:47;09:02;09:02;09:17;09:17;09:32;09:32;09:47;09:46;10:02;10:03;10:17;10:18;10:29;10:30;10:39;10:39;10:49;10:50;10:59;11:01;11:09;11:10;11:19;11:18;11:29;11:29;11:39;11:38;11:49;11:50;11:59;11:59;12:09;12:08;12:19;12:20;12:29;12:28;12:39;12:40;12:49;12:49;12:59;12:59;13:09;13:08;13:19;13:18;13:29;13:30;13:39;13:40;13:49;13:48;13:59;14:00;14:09;14:11;14:19;14:20;14:29;14:33;14:39;14:41;14:49;14:51;14:59;15:00;15:09;15:12;15:19;15:19;15:29;15:30;15:39;15:42;15:49;15:49;15:59;15:59;16:09;16:08;16:19;16:18;16:29;16:30;16:39;16:38;16:49;16:50;16:59;16:59;17:09;17:10;17:19;17:22;17:29;17:28;17:39;17:43;17:49;17:52;17:59;17:59;18:09;18:11;18:19;18:19;18:29;18:27;18:39;18:41;18:49;18:49;19:02;19:02;19:10;19:13;19:17;19:18;19:32;19:30;19:40;19:41;19:47;19:49;20:02;20:03;20:17;20:19;20:32;20:30;20:47;20:49;21:02;21:04;21:17;21:18;21:32;21:31;21:47;21:47;22:02;22:02;22:17;22:17;22:32;22:31;22:51;22:53;23:09;23:10;23:21;23:21;23:51;23:50;00:21;00:20
Marschnerstraße;00:52;00:51;04:52;04:53;05:22;05:23;05:52;05:53;06:22;06:23;06:52;06:53;07:22;07:22;07:52;07:55;08:22;08:21;08:33;08:32;08:48;08:48;09:03;09:03;09:18;09:18;09:33;09:33;09:48;09:47;10:03;10:04;10:18;10:20;10:30;10:32;10:40;10:40;10:50;10:51;11:00;11:02;11:10;11:11;11:20;11:20;11:30;11:31;11:40;11:39;11:50;11:51;12:00;12:01;12:10;12:09;12:20;12:21;12:30;12:29;12:40;12:41;12:50;12:50;13:00;13:00;13:10;13:10;13:20;13:19;13:30;13:32;13:40;13:42;13:50;13:49;14:00;14:02;14:10;14:12;14:20;14:21;14:30;14:35;14:40;14:42;14:50;14:53;15:00;15:01;15:10;15:13;15:20;15:20;15:30;15:31;15:40;15:43;15:50;15:50;16:00;16:00;16:10;16:09;16:20;16:19;16:30;16:32;16:40;16:39;16:50;16:51;17:00;17:00;17:10;17:11;17:20;17:24;17:30;17:29;17:40;17:44;17:50;17:53;18:00;18:01;18:10;18:13;18:20;18:20;18:30;18:29;18:40;18:42;18:50;18:50;19:03;19:04;19:11;19:14;19:18;19:19;19:33;19:31;19:41;19:42;19:48;19:50;20:03;20:05;20:18;20:20;20:33;20:32;20:48;20:50;21:03;21:05;21:18;21:19;21:33;21:32;21:48;21:48;22:03;22:04;22:18;22:18;22:33;22:32;22:52;22:55;23:10;23:11;23:22;23:23;23:52;23:51;00:22;00:21
Klingerweg;00:54;00:54;04:54;04:55;05:24;05:25;05:54;05:55;06:24;06:25;06:54;06:55;07:24;07:24;07:54;07:57;08:24;08:23;08:35;08:34;08:50;08:51;09:05;09:04;09:20;09:21;09:35;09:36;09:50;09:49;10:05;10:06;10:20;10:22;10:32;10:34;10:42;10:42;10:52;10:52;11:02;11:04;11:12;11:13;11:22;11:22;11:32;11:33;11:42;11:41;11:52;11:54;12:02;12:03;12:12;12:11;12:22;12:22;12:32;12:31;12:42;12:43;12:52;12:52;13:02;13:03;13:12;13:12;13:22;13:21;13:32;13:34;13:42;13:43;13:52;13:51;14:02;14:03;14:12;14:13;14:22;14:23;14:32;14:38;14:42;14:43;14:52;14:54;15:02;15:03;15:12;15:16;15:22;15:21;15:32;15:33;15:42;15:46;15:52;15:52;16:02;16:02;16:12;16:11;16:22;16:21;16:32;16:33;16:42;16:41;16:52;16:53;17:02;17:02;17:12;17:13;17:22;17:26;17:32;17:31;17:42;17:46;17:52;17:55;18:02;18:03;18:12;18:14;18:22;18:22;18:32;18:31;18:42;18:44;18:52;18:52;19:05;19:06;19:13;19:16;19:20;19:21;19:35;19:33;19:43;19:44;19:50;19:52;20:05;20:07;20:20;20:22;20:35;20:33;20:50;20:52;21:05;21:07;21:20;21:21;21:35;21:34;21:50;21:50;22:05;22:05;22:20;22:20;22:35;22:33;22:54;22:57;23:12;23:13;23:24;23:24;23:54;23:53;00:24;00:23
Holbeinstraße;00:56;00:56;04:56;04:56;05:26;05:27;05:56;05:57;06:26;06:27;06:56;06:56;07:26;07:26;07:56;07:58;08:26;08:25;08:37;08:36;08:52;08:52;09:07;09:06;09:22;09:22;09:37;09:37;09:52;09:51;10:07;10:08;10:22;10:24;10:34;10:36;10:44;10:43;10:54;10:54;11:04;11:06;11:14;11:15;11:24;11:24;11:34;11:34;11:44;11:42;11:54;11:55;12:04;12:05;12:14;12:13;12:24;12:24;12:34;12:33;12:44;12:45;12:54;12:54;13:04;13:05;13:14;13:13;13:24;13:23;13:34;13:36;13:44;13:45;13:54;13:52;14:04;14:05;14:14;14:15;14:24;14:25;14:34;14:40;14:44;14:45;14:54;14:56;15:04;15:05;15:14;15:17;15:24;15:23;15:34;15:35;15:44;15:47;15:54;15:54;16:04;16:04;16:14;16:13;16:24;16:23;16:34;16:35;16:44;16:42;16:54;16:55;17:04;17:04;17:14;17:14;17:24;17:28;17:34;17:33;17:44;17:47;17:54;17:57;18:04;18:05;18:14;18:16;18:24;18:24;18:34;18:32;18:44;18:46;18:54;18:54;19:07;19:07;19:15;19:17;19:22;19:22;19:37;19:35;19:45;19:46;19:52;19:53;20:07;20:08;20:22;20:23;20:37;20:35;20:52;20:54;21:07;21:08;21:22;21:23;21:37;21:36;21:52;21:52;22:07;22:07;22:22;22:22;22:37;22:35;22:56;22:58;23:14;23:15;23:26;23:26;23:56;23:54;00:26;00:25
Stieglitzstraße;00:57;00:57;04:57;04:57;05:27;05:28;05:57;05:58;06:27;06:28;06:57;06:57;07:27;07:27;07:57;07:59;08:27;08:26;08:38;08:37;08:53;08:53;09:08;09:07;09:23;09:24;09:38;09:39;09:53;09:53;10:08;10:09;10:23;10:25;10:35;10:37;10:45;10:45;10:55;10:55;11:05;11:07;11:15;11:17;11:25;11:25;11:35;11:35;11:45;11:43;11:55;11:57;12:05;12:06;12:15;12:14;12:25;12:25;12:35;12:34;12:45;12:46;12:55;12:55;13:05;13:06;13:15;13:15;13:25;13:24;13:35;13:37;13:45;13:46;13:55;13:54;14:05;14:06;14:15;14:16;14:25;14:26;14:35;14:41;14:45;14:46;14:55;14:57;15:05;15:06;15:15;15:18;15:25;15:24;15:35;15:36;15:45;15:48;15:55;15:55;16:05;16:05;16:15;16:14;16:25;16:25;16:35;16:36;16:45;16:44;16:55;16:56;17:05;17:05;17:15;17:16;17:25;17:29;17:35;17:34;17:45;17:50;17:55;17:58;18:05;18:06;18:15;18:17;18:25;18:25;18:35;18:36;18:45;18:47;18:55;18:55;19:08;19:09;19:16;19:18;19:23;19:23;19:38;19:36;19:46;19:47;19:53;19:55;20:08;20:10;20:23;20:25;20:38;20:36;20:53;20:55;21:08;21:09;21:23;21:24;21:38;21:38;21:53;21:53;22:08;22:08;22:23;22:23;22:38;22:37;22:57;23:00;23:15;23:16;23:27;23:27;23:57;23:56;00:27;00:27
Rödelstraße;00:58;00:58;04:58;04:58;05:28;05:30;05:58;06:00;06:28;06:29;06:58;06:59;07:28;07:28;07:58;08:01;08:28;08:28;08:39;08:39;08:54;08:55;09:09;09:09;09:24;09:25;09:39;09:40;09:54;09:54;10:09;10:11;10:24;10:27;10:37;10:38;10:47;10:47;10:57;10:57;11:07;11:09;11:17;11:18;11:27;11:27;11:37;11:37;11:47;11:45;11:57;11:58;12:07;12:07;12:17;12:16;12:27;12:27;12:37;12:37;12:47;12:48;12:57;12:57;13:07;13:08;13:17;13:16;13:27;13:27;13:37;13:38;13:47;13:48;13:57;13:56;14:07;14:08;14:17;14:18;14:27;14:28;14:37;14:43;14:47;14:48;14:57;14:58;15:07;15:07;15:17;15:20;15:27;15:27;15:37;15:37;15:47;15:50;15:57;15:57;16:07;16:06;16:17;16:16;16:27;16:27;16:37;16:38;16:47;16:45;16:57;16:57;17:07;17:06;17:17;17:17;17:27;17:31;17:37;17:36;17:47;17:51;17:57;18:00;18:07;18:07;18:17;18:19;18:27;18:27;18:37;18:37;18:47;18:49;18:57;18:57;19:09;19:10;19:17;19:20;19:24;19:25;19:39;19:39;19:47;19:49;19:54;19:57;20:09;20:11;20:24;20:26;20:39;20:38;20:54;20:57;21:09;21:11;21:24;21:25;21:39;21:39;21:54;21:55;22:09;22:09;22:24;22:25;22:39;22:39;22:58;23:01;23:16;23:17;23:28;23:28;23:58;23:57;00:28;00:29
Adler;01:00;01:00;05:00;05:00;05:30;05:31;06:00;06:02;06:30;06:31;07:00;07:00;07:30;07:30;08:00;08:03;08:30;08:30;08:41;08:40;08:56;08:56;09:11;09:10;09:26;09:27;09:41;09:42;09:56;09:55;10:11;10:12;10:26;10:29;10:39;10:40;10:49;10:49;10:59;10:59;11:09;11:10;11:19;11:20;11:29;11:29;11:39;11:39;11:49;11:47;11:59;12:00;12:09;12:09;12:19;12:17;12:29;12:29;12:39;12:39;12:49;12:50;12:59;12:59;13:09;13:10;13:19;13:18;13:29;13:28;13:39;13:40;13:49;13:50;13:59;13:58;14:09;14:10;14:19;14:19;14:29;14:30;14:39;14:45;14:49;14:50;14:59;15:01;15:09;15:09;15:19;15:22;15:29;15:29;15:39;15:39;15:49;15:52;15:59;15:59;16:09;16:08;16:19;16:18;16:29;16:29;16:39;16:39;16:49;16:47;16:59;16:59;17:09;17:09;17:19;17:19;17:29;17:33;17:39;17:38;17:49;17:52;17:59;18:02;18:09;18:09;18:19;18:20;18:29;18:29;18:39;18:39;18:49;18:50;18:59;18:59;19:11;19:12;19:19;19:22;19:26;19:27;19:41;19:40;19:49;19:50;19:56;19:59;20:11;20:12;20:26;20:27;20:41;20:41;20:56;20:59;21:11;21:12;21:26;21:27;21:41;21:40;21:56;21:57;22:11;22:11;22:26;22:27;22:41;22:41;23:00;23:03;23:18;23:19;23:30;23:30;00:00;23:59;00:30;00:30
Antonien-/Gießerstraße;01:01;01:01;05:01;05:01;05:31;05:33;06:01;06:03;06:31;06:32;07:01;07:02;07:31;07:31;08:01;08:04;08:31;08:31;08:42;08:42;08:57;08:58;09:12;09:12;09:27;09:29;09:42;09:44;09:57;09:57;10:12;10:14;10:27;10:30;10:40;10:42;10:50;10:50;11:00;11:00;11:10;11:12;11:20;11:22;11:30;11:30;11:40;11:40;11:50;11:49;12:00;12:02;12:10;12:10;12:20;12:19;12:30;12:30;12:40;12:41;12:50;12:52;13:00;13:00;13:10;13:11;13:20;13:19;13:30;13:30;13:40;13:42;13:50;13:51;14:00;13:59;14:10;14:11;14:20;14:20;14:30;14:31;14:40;14:46;14:50;14:51;15:00;15:02;15:10;15:10;15:20;15:23;15:30;15:30;15:40;15:40;15:50;15:54;16:00;16:00;16:10;16:10;16:20;16:19;16:30;16:30;16:40;16:40;16:50;16:48;17:00;17:00;17:10;17:10;17:20;17:20;17:30;17:34;17:40;17:39;17:50;17:53;18:00;18:04;18:10;18:10;18:20;18:22;18:30;18:30;18:40;18:40;18:50;18:52;19:00;19:00;19:12;19:14;19:20;19:24;19:27;19:29;19:42;19:42;19:50;19:52;19:57;20:00;20:12;20:14;20:27;20:28;20:42;20:42;20:57;21:00;21:12;21:14;21:27;21:28;21:42;21:42;21:57;21:58;22:12;22:12;22:27;22:28;22:42;22:42;23:01;23:04;23:19;23:20;23:31;23:31;00:01;00:00;00:31;00:32
Diezmannstraße;01:03;01:02;05:03;05:03;05:33;05:34;06:03;06:05;06:33;06:33;07:03;07:03;07:33;07:32;08:03;08:06;08:33;08:33;08:44;08:43;08:59;08:59;09:14;09:14;09:29;09:30;09:44;09:45;09:59;09:59;10:14;10:15;10:29;10:32;10:42;10:44;10:52;10:52;11:02;11:02;11:12;11:14;11:22;11:24;11:32;11:32;11:42;11:42;11:52;11:51;12:02;12:04;12:12;12:12;12:22;12:20;12:32;12:32;12:42;12:42;12:52;12:54;13:02;13:02;13:12;13:12;13:22;13:21;13:32;13:31;13:42;13:43;13:52;13:53;14:02;14:01;14:12;14:12;14:22;14:22;14:32;14:32;14:42;14:48;14:52;14:53;15:02;15:04;15:12;15:12;15:22;15:25;15:32;15:31;15:42;15:42;15:52;15:55;16:02;16:02;16:12;16:11;16:22;16:21;16:32;16:31;16:42;16:42;16:52;16:51;17:02;17:02;17:12;17:11;17:22;17:22;17:32;17:36;17:42;17:41;17:52;17:55;18:02;18:06;18:12;18:12;18:22;18:24;18:32;18:32;18:42;18:42;18:52;18:54;19:02;19:02;19:14;19:15;19:22;19:25;19:29;19:30;19:44;19:44;19:52;19:53;19:59;20:02;20:14;20:15;20:29;20:30;20:44;20:43;20:59;21:02;21:14;21:15;21:29;21:30;21:44;21:43;21:59;21:59;22:14;22:14;22:29;22:30;22:44;22:43;23:03;23:06;23:21;23:22;23:33;23:32;00:03;00:02;00:33;00:33
