Kurs:;75;;31;;31;;31;;31;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;82;;32;;91;;73;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Dr.-Wilhelm-Külz-Straße;00:46;00:45;05:46;05:45;06:46;06:46;07:46;07:45;08:46;08:45;09:53;09:53;10:23;10:24;10:53;10:52;11:23;11:26;11:53;11:52;12:23;12:23;12:53;12:54;13:23;13:22;13:53;13:53;14:23;14:22;14:53;14:53;15:23;15:24;15:53;15:53;16:23;16:22;16:53;16:54;17:23;17:23;17:53;17:54;18:23;18:24;18:53;18:54;19:23;19:23;19:53;19:52;20:23;20:23;20:53;20:51;21:23;21:23;21:53;21:53;22:23;22:22;22:53;22:52;23:46;23:46
Anemonenweg;00:47;00:46;05:47;05:46;06:47;06:47;07:47;07:46;08:47;08:45;09:54;09:53;10:24;10:24;10:54;10:52;11:24;11:27;11:54;11:53;12:24;12:23;12:54;12:54;13:24;13:22;13:54;13:53;14:24;14:23;14:54;14:54;15:24;15:25;15:54;15:53;16:24;16:23;16:54;16:54;17:24;17:24;17:54;17:55;18:24;18:24;18:54;18:55;19:24;19:24;19:54;19:53;20:24;20:24;20:54;20:53;21:24;21:24;21:54;21:53;22:24;22:23;22:54;22:52;23:47;23:47
Mölkau, Gemeindeamt;00:48;00:48;05:48;05:47;06:48;06:47;07:48;07:48;08:48;08:47;09:55;09:54;10:25;10:26;10:55;10:54;11:25;11:27;11:55;11:54;12:25;12:24;12:55;12:55;13:25;13:24;13:55;13:55;14:25;14:24;14:55;14:55;15:25;15:26;15:55;15:54;16:25;16:24;16:55;16:55;17:25;17:25;17:55;17:56;18:25;18:25;18:55;18:56;19:25;19:25;19:55;19:55;20:25;20:25;20:55;20:55;21:25;21:25;21:55;21:54;22:25;22:25;22:55;22:54;23:48;23:48
An den Platanen;00:49;00:48;05:49;05:49;06:49;06:48;07:49;07:49;08:49;08:48;09:56;09:55;10:26;10:27;10:56;10:55;11:26;11:29;11:56;11:55;12:26;12:25;12:56;12:57;13:26;13:25;13:56;13:57;14:26;14:25;14:56;14:56;15:26;15:28;15:56;15:56;16:26;16:25;16:56;16:57;17:26;17:27;17:56;17:58;18:26;18:27;18:56;18:57;19:26;19:28;19:56;19:56;20:26;20:26;20:56;20:57;21:26;21:26;21:56;21:56;22:26;22:26;22:56;22:55;23:49;23:49
Schulstraße;00:50;00:49;05:50;05:50;06:50;06:49;07:50;07:50;08:50;08:49;09:57;09:57;10:27;10:28;10:57;10:56;11:27;11:30;11:57;11:56;12:27;12:27;12:57;12:58;13:27;13:26;13:57;13:57;14:27;14:27;14:57;14:57;15:27;15:29;15:57;15:57;16:27;16:26;16:57;16:58;17:27;17:28;17:57;17:59;18:27;18:28;18:57;18:57;19:27;19:28;19:57;19:56;20:27;20:27;20:57;20:58;21:27;21:28;21:57;21:57;22:27;22:27;22:57;22:56;23:50;23:50
Gottschalkstraße;00:51;00:50;05:51;05:50;06:51;06:50;07:51;07:50;08:51;08:50;09:58;09:58;10:28;10:28;10:58;10:57;11:28;11:31;11:58;11:57;12:28;12:27;12:58;12:59;13:28;13:27;13:58;13:58;14:28;14:28;14:58;14:58;15:28;15:29;15:58;15:57;16:28;16:27;16:58;16:59;17:28;17:29;17:58;18:00;18:28;18:29;18:58;18:58;19:28;19:29;19:58;19:57;20:28;20:28;20:58;20:59;21:28;21:29;21:58;21:58;22:28;22:28;22:58;22:57;23:51;23:51
Bf. Mölkau;00:52;00:51;05:52;05:51;06:52;06:51;07:52;07:51;08:52;08:51;09:59;09:59;10:29;10:29;10:59;10:58;11:29;11:33;11:59;11:57;12:29;12:30;12:59;13:00;13:29;13:28;13:59;13:59;14:29;14:28;14:59;14:59;15:29;15:31;15:59;15:58;16:29;16:28;16:59;17:00;17:29;17:30;17:59;18:01;18:29;18:30;18:59;18:59;19:29;19:30;19:59;19:58;20:29;20:29;20:59;21:00;21:29;21:29;21:59;21:59;22:29;22:29;22:59;22:58;23:52;23:52
Lintacherstraße;00:53;00:53;05:53;05:52;06:53;06:52;07:53;07:52;08:53;08:52;10:00;10:00;10:30;10:30;11:00;10:59;11:30;11:33;12:00;11:58;12:30;12:30;13:00;13:01;13:30;13:29;14:00;14:00;14:30;14:29;15:00;15:00;15:30;15:32;16:00;15:59;16:30;16:28;17:00;17:01;17:30;17:32;18:00;18:02;18:30;18:30;19:00;19:00;19:30;19:31;20:00;19:59;20:30;20:30;21:00;21:01;21:30;21:30;22:00;22:00;22:30;22:30;23:00;22:58;23:53;23:53
Brandiser Straße;00:54;00:54;05:54;05:53;06:54;06:53;07:54;07:53;08:54;08:52;10:01;10:01;10:31;10:31;11:01;11:00;11:31;11:34;12:01;11:59;12:31;12:31;13:01;13:02;13:31;13:30;14:01;14:02;14:31;14:31;15:01;15:01;15:31;15:33;16:01;16:00;16:31;16:30;17:01;17:03;17:31;17:33;18:01;18:04;18:31;18:31;19:01;19:01;19:31;19:32;20:01;20:00;20:31;20:31;21:01;21:02;21:31;21:31;22:01;22:02;22:31;22:31;23:01;22:59;23:54;23:54
Baalsdorfer Straße;00:55;00:55;05:55;05:54;06:55;06:57;07:55;07:54;08:55;08:53;10:02;10:02;10:32;10:32;11:02;11:00;11:32;11:36;12:02;11:59;12:32;12:32;13:02;13:03;13:32;13:30;14:02;14:02;14:32;14:31;15:02;15:02;15:32;15:34;16:02;16:01;16:32;16:30;17:02;17:03;17:32;17:34;18:02;18:05;18:32;18:33;19:02;19:02;19:32;19:33;20:02;20:01;20:32;20:32;21:02;21:02;21:32;21:32;22:02;22:02;22:32;22:32;23:02;23:00;23:55;23:54
Baalsdorf, Kirchweg;00:56;00:56;05:56;05:55;06:56;06:58;07:56;07:55;08:56;08:54;10:03;10:03;10:33;10:33;11:03;11:01;11:33;11:37;12:03;12:00;12:33;12:33;13:03;13:03;13:33;13:31;14:03;14:03;14:33;14:32;15:03;15:03;15:33;15:35;16:03;16:02;16:33;16:31;17:03;17:04;17:33;17:34;18:03;18:06;18:33;18:34;19:03;19:03;19:33;19:34;20:03;20:02;20:33;20:32;21:03;21:10;21:33;21:33;22:03;22:04;22:33;22:33;23:03;23:02;23:56;23:55
Sommerfeld;01:06;01:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22:43;22:43;23:13;23:12;;
