Kurs:;41;;43;;44;;46;;49;;47;;41;;43;;44;;42;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;48;;49;;41;;42;;43;;44;;45;;46;;47;;49;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Marschnerstraße;;;;;;;;;09:41;09:40;;;09:56;09:56;10:11;10:10;10:26;10:29;;;10:35;10:34;10:45;10:47;10:55;10:54;11:05;11:05;11:15;11:15;11:25;11:26;11:35;11:35;11:45;11:45;11:55;11:55;12:05;12:05;12:15;12:16;12:25;12:26;12:35;12:35;12:45;12:46;12:55;12:57;13:05;13:05;13:15;13:15;13:25;13:25;13:35;13:37;13:45;13:47;13:55;13:54;14:05;14:04;14:15;14:15;14:25;14:24;14:35;14:34;14:45;14:47;14:55;14:56;15:05;15:06;15:15;15:17;15:25;15:26;15:35;15:36;15:45;15:45;15:55;15:56;16:05;16:04;16:15;16:14;16:25;16:25;16:35;16:36;16:45;16:48;16:55;16:56;17:05;17:10;17:15;17:16;17:25;17:25;17:35;17:37;17:45;17:47;17:55;17:56;18:05;18:05;18:15;18:17;18:25;18:25;18:35;18:35;18:45;18:46;18:56;19:05;;;19:11;19:11;19:26;19:26;;;19:41;19:41;19:56;19:55;20:11;20:11;20:26;20:26
Klingerweg;;;;;;;;;09:43;09:42;;;09:58;09:58;10:13;10:12;10:28;10:30;;;10:37;10:36;10:47;10:48;10:57;10:57;11:07;11:07;11:17;11:18;11:27;11:28;11:37;11:37;11:47;11:48;11:57;11:57;12:07;12:06;12:17;12:18;12:27;12:28;12:37;12:37;12:47;12:48;12:57;12:59;13:07;13:07;13:17;13:16;13:27;13:27;13:37;13:39;13:47;13:49;13:57;13:57;14:07;14:06;14:17;14:17;14:27;14:27;14:37;14:37;14:47;14:48;14:57;14:58;15:07;15:08;15:17;15:19;15:27;15:27;15:37;15:38;15:47;15:47;15:57;15:57;16:07;16:06;16:17;16:16;16:27;16:27;16:37;16:38;16:47;16:50;16:57;16:57;17:07;17:12;17:17;17:18;17:27;17:27;17:37;17:38;17:47;17:49;17:57;17:58;18:07;18:07;18:17;18:18;18:27;18:27;18:37;18:37;18:47;18:47;18:58;19:07;;;19:13;19:13;19:28;19:28;;;19:43;19:42;19:58;19:57;20:13;20:13;20:28;20:28
Holbeinstraße;;;;;;;;;09:45;09:43;;;10:00;10:00;10:15;10:14;10:30;10:32;;;10:39;10:37;10:49;10:50;10:59;10:58;11:09;11:09;11:19;11:19;11:29;11:29;11:39;11:39;11:49;11:49;11:59;11:58;12:09;12:08;12:19;12:19;12:29;12:30;12:39;12:39;12:49;12:50;12:59;13:00;13:09;13:09;13:19;13:18;13:29;13:28;13:39;13:40;13:49;13:51;13:59;13:58;14:09;14:08;14:19;14:19;14:29;14:29;14:39;14:39;14:49;14:50;14:59;15:00;15:09;15:10;15:19;15:20;15:29;15:29;15:39;15:40;15:49;15:48;15:59;15:59;16:09;16:08;16:19;16:18;16:29;16:28;16:39;16:40;16:49;16:51;16:59;16:59;17:09;17:14;17:19;17:20;17:29;17:29;17:39;17:40;17:49;17:51;17:59;18:00;18:09;18:09;18:19;18:20;18:29;18:29;18:39;18:39;18:49;18:49;19:00;19:08;;;19:15;19:15;19:30;19:30;;;19:45;19:44;20:00;19:59;20:15;20:15;20:30;20:29
Stieglitzstraße;;;;;;;;;09:46;09:45;;;10:01;10:01;10:16;10:15;10:31;10:33;;;10:40;10:39;10:50;10:51;11:00;10:59;11:10;11:10;11:20;11:21;11:30;11:31;11:40;11:40;11:50;11:51;12:00;12:00;12:10;12:09;12:20;12:21;12:30;12:31;12:40;12:40;12:50;12:51;13:00;13:02;13:10;13:10;13:20;13:19;13:30;13:29;13:40;13:42;13:50;13:52;14:00;14:00;14:10;14:09;14:20;14:20;14:30;14:30;14:40;14:40;14:50;14:51;15:00;15:02;15:10;15:11;15:20;15:22;15:30;15:30;15:40;15:41;15:50;15:50;16:00;16:00;16:10;16:09;16:20;16:19;16:30;16:30;16:40;16:41;16:50;16:53;17:00;17:00;17:10;17:15;17:20;17:21;17:30;17:30;17:40;17:41;17:50;17:52;18:00;18:02;18:10;18:10;18:20;18:21;18:30;18:30;18:40;18:40;18:50;18:50;19:01;19:10;;;19:16;19:16;19:31;19:32;;;19:46;19:46;20:01;20:00;20:16;20:16;20:31;20:31
Rödelstraße;;;;;;;;;09:47;09:47;;;10:02;10:02;10:17;10:17;10:32;10:35;;;10:42;10:40;10:52;10:52;11:02;11:02;11:12;11:11;11:22;11:22;11:32;11:32;11:42;11:42;11:52;11:52;12:02;12:04;12:12;12:11;12:22;12:22;12:32;12:32;12:42;12:42;12:52;12:52;13:02;13:04;13:12;13:12;13:22;13:21;13:32;13:31;13:42;13:43;13:52;13:54;14:02;14:01;14:12;14:10;14:22;14:21;14:32;14:32;14:42;14:41;14:52;14:52;15:02;15:03;15:12;15:13;15:22;15:23;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:02;16:12;16:11;16:22;16:21;16:32;16:32;16:42;16:42;16:52;16:55;17:02;17:01;17:12;17:16;17:22;17:23;17:32;17:32;17:42;17:42;17:52;17:53;18:02;18:04;18:12;18:12;18:22;18:24;18:32;18:32;18:42;18:42;18:52;18:52;19:02;19:11;;;19:17;19:17;19:32;19:34;;;19:47;19:47;20:02;20:01;20:17;20:17;20:32;20:32
Adler;08:40;08:41;08:55;08:55;09:10;09:11;09:25;09:26;09:49;09:49;09:40;09:39;10:04;10:04;10:19;10:19;10:34;10:37;10:14;10:19;10:44;10:42;10:54;10:54;11:04;11:04;11:14;11:14;11:24;11:24;11:34;11:34;11:44;11:44;11:54;11:54;12:04;12:05;12:14;12:12;12:24;12:24;12:34;12:34;12:44;12:44;12:54;12:54;13:04;13:05;13:14;13:14;13:24;13:23;13:34;13:32;13:44;13:46;13:54;13:56;14:04;14:03;14:14;14:12;14:24;14:23;14:34;14:34;14:44;14:43;14:54;14:54;15:04;15:06;15:14;15:15;15:24;15:26;15:34;15:34;15:44;15:45;15:54;15:54;16:04;16:03;16:14;16:13;16:24;16:23;16:34;16:34;16:44;16:44;16:54;16:56;17:04;17:03;17:14;17:18;17:24;17:24;17:34;17:34;17:44;17:45;17:54;17:55;18:04;18:05;18:14;18:14;18:24;18:25;18:34;18:34;18:44;18:44;18:54;18:54;19:04;19:13;;;19:19;19:19;19:34;19:36;;;19:49;19:49;20:04;20:04;20:19;20:19;20:34;20:34
Antonien-/Gießerstraße;08:41;08:43;08:56;08:56;09:11;09:14;09:26;09:27;09:50;09:50;09:41;09:41;10:05;10:05;10:20;10:21;10:35;10:39;10:15;10:21;10:45;10:44;10:55;10:55;11:05;11:05;11:15;11:15;11:25;11:25;11:35;11:35;11:45;11:45;11:55;11:55;12:05;12:07;12:15;12:14;12:25;12:26;12:35;12:35;12:45;12:45;12:55;12:55;13:05;13:07;13:15;13:15;13:25;13:24;13:35;13:34;13:45;13:47;13:55;13:57;14:05;14:04;14:15;14:14;14:25;14:24;14:35;14:35;14:45;14:44;14:55;14:55;15:05;15:07;15:15;15:16;15:25;15:27;15:35;15:35;15:45;15:46;15:55;15:55;16:05;16:04;16:15;16:14;16:25;16:24;16:35;16:35;16:45;16:46;16:55;16:58;17:05;17:04;17:15;17:19;17:25;17:26;17:35;17:35;17:45;17:46;17:55;17:56;18:05;18:07;18:15;18:15;18:25;18:27;18:35;18:35;18:45;18:45;18:55;18:56;19:05;19:15;;;19:20;19:20;19:35;19:37;;;19:50;19:50;20:05;20:06;20:20;20:20;20:35;20:35
Diezmannstraße;08:43;08:44;08:58;08:58;09:13;09:17;09:28;09:29;09:52;09:52;09:43;09:42;10:07;10:07;10:22;10:22;10:37;10:40;10:17;10:23;10:47;10:46;10:57;10:57;11:07;11:07;11:17;11:17;11:27;11:27;11:37;11:37;11:47;11:47;11:57;11:57;12:07;12:08;12:17;12:15;12:27;12:27;12:37;12:37;12:47;12:47;12:57;12:57;13:07;13:09;13:17;13:17;13:27;13:26;13:37;13:35;13:47;13:49;13:57;13:58;14:07;14:06;14:17;14:15;14:27;14:26;14:37;14:37;14:47;14:46;14:57;14:56;15:07;15:08;15:17;15:18;15:27;15:29;15:37;15:37;15:47;15:47;15:57;15:56;16:07;16:06;16:17;16:15;16:27;16:26;16:37;16:36;16:47;16:47;16:57;16:59;17:07;17:06;17:17;17:20;17:27;17:27;17:37;17:36;17:47;17:47;17:57;17:58;18:07;18:10;18:17;18:17;18:27;18:29;18:37;18:37;18:47;18:47;18:57;18:57;19:07;19:17;;;19:22;19:22;19:37;19:38;;;19:52;19:52;20:07;20:07;20:22;20:22;20:37;20:36
Kurt-Kresse-Straße;08:45;08:45;09:00;08:59;09:15;09:18;09:30;09:30;09:54;09:54;09:45;09:44;10:09;10:08;10:24;10:23;10:39;10:42;10:19;10:24;10:49;10:47;10:59;10:58;11:09;11:08;11:19;11:18;11:29;11:28;11:39;11:38;11:49;11:48;11:59;11:58;12:09;12:10;12:19;12:17;12:29;12:29;12:39;12:39;12:49;12:48;12:59;12:59;13:09;13:11;13:19;13:19;13:29;13:28;13:39;13:37;13:49;13:50;13:59;14:00;14:09;14:08;14:19;14:17;14:29;14:28;14:39;14:38;14:49;14:47;14:59;14:58;15:09;15:10;15:19;15:19;15:29;15:30;15:39;15:38;15:49;15:49;15:59;15:58;16:09;16:07;16:19;16:17;16:29;16:27;16:39;16:38;16:49;16:48;16:59;17:00;17:09;17:08;17:19;17:22;17:29;17:29;17:39;17:39;17:49;17:48;17:59;17:59;18:09;18:11;18:19;18:18;18:29;18:30;18:39;18:39;18:49;18:48;18:59;18:58;19:09;19:18;;;19:24;19:23;19:39;19:40;;;19:54;19:54;20:09;20:08;20:24;20:23;20:39;20:38
Herrmann-Meyer-Straße;08:47;08:48;09:02;09:01;09:17;09:21;09:32;09:32;09:56;09:55;09:47;09:46;10:11;10:10;10:26;10:25;10:41;10:44;10:21;10:27;10:51;10:49;11:01;11:00;11:11;11:10;11:21;11:20;11:31;11:30;11:41;11:40;11:51;11:50;12:01;12:00;12:11;12:11;12:21;12:19;12:31;12:30;12:41;12:41;12:51;12:50;13:01;13:01;13:11;13:13;13:21;13:21;13:31;13:29;13:41;13:39;13:51;13:52;14:01;14:02;14:11;14:10;14:21;14:19;14:31;14:30;14:41;14:40;14:51;14:49;15:01;14:59;15:11;15:14;15:21;15:21;15:31;15:33;15:41;15:40;15:51;15:50;16:01;16:00;16:11;16:09;16:21;16:19;16:31;16:29;16:41;16:40;16:51;16:50;17:01;17:02;17:11;17:10;17:21;17:24;17:31;17:31;17:41;17:41;17:51;17:50;18:01;18:01;18:11;18:13;18:21;18:20;18:31;18:32;18:41;18:40;18:51;18:50;19:01;19:00;19:11;19:20;;;19:26;19:25;19:41;19:42;;;19:56;19:55;20:11;20:10;20:26;20:25;20:41;20:40
Schönauer/Ratzelstraße;08:49;08:49;09:04;09:02;09:19;09:22;09:34;09:33;09:58;09:57;09:49;09:47;10:13;10:12;10:28;10:26;10:43;10:45;10:23;10:28;10:53;10:51;11:03;11:01;11:13;11:12;11:23;11:21;11:33;11:32;11:43;11:41;11:53;11:51;12:03;12:01;12:13;12:13;12:23;12:20;12:33;12:32;12:43;12:42;12:53;12:51;13:03;13:02;13:13;13:14;13:23;13:22;13:33;13:31;13:43;13:41;13:53;13:53;14:03;14:03;14:13;14:11;14:23;14:20;14:33;14:31;14:43;14:41;14:53;14:51;15:03;15:01;15:13;15:15;15:23;15:23;15:33;15:34;15:43;15:41;15:53;15:52;16:03;16:02;16:13;16:10;16:23;16:20;16:33;16:31;16:43;16:41;16:53;16:51;17:03;17:04;17:13;17:11;17:23;17:25;17:33;17:32;17:43;17:42;17:53;17:52;18:03;18:02;18:13;18:15;18:23;18:22;18:33;18:33;18:43;18:42;18:53;18:51;19:03;19:02;19:13;19:21;;;19:28;19:26;19:43;19:43;;;19:58;19:57;20:13;20:11;20:28;20:27;20:43;20:41
Stuttgarter Allee;08:50;08:50;09:05;09:04;09:20;09:23;09:35;09:35;09:59;09:58;09:50;09:49;10:14;10:13;10:29;10:28;10:44;10:46;10:24;10:29;10:54;10:52;11:04;11:03;11:14;11:13;11:24;11:22;11:34;11:33;11:44;11:43;11:54;11:53;12:04;12:03;12:14;12:14;12:24;12:22;12:34;12:33;12:44;12:43;12:54;12:52;13:04;13:03;13:14;13:16;13:24;13:23;13:34;13:32;13:44;13:42;13:54;13:54;14:04;14:04;14:14;14:13;14:24;14:21;14:34;14:32;14:44;14:43;14:54;14:52;15:04;15:02;15:14;15:16;15:24;15:24;15:34;15:35;15:44;15:43;15:54;15:53;16:04;16:03;16:14;16:11;16:24;16:22;16:34;16:33;16:44;16:43;16:54;16:52;17:04;17:05;17:14;17:13;17:24;17:26;17:34;17:33;17:44;17:43;17:54;17:53;18:04;18:03;18:14;18:16;18:24;18:23;18:34;18:34;18:44;18:43;18:54;18:53;19:04;19:03;19:14;19:22;;;19:29;19:27;19:44;19:44;;;19:59;19:58;20:14;20:13;20:29;20:28;20:44;20:43
Ratzelbogen;08:52;08:52;09:07;09:05;09:22;09:25;09:37;09:36;10:01;10:00;09:52;09:51;10:16;10:15;10:31;10:30;10:46;10:48;10:26;10:31;10:56;10:54;11:06;11:04;11:16;11:14;11:26;11:23;11:36;11:35;11:46;11:44;11:56;11:55;12:06;12:04;12:16;12:15;12:26;12:24;12:36;12:35;12:46;12:44;12:56;12:54;13:06;13:05;13:16;13:17;13:26;13:25;13:36;13:34;13:46;13:44;13:56;13:56;14:06;14:06;14:16;14:14;14:26;14:23;14:36;14:34;14:46;14:44;14:56;14:54;15:06;15:04;15:16;15:18;15:26;15:26;15:36;15:37;15:46;15:45;15:56;15:55;16:06;16:05;16:16;16:13;16:26;16:24;16:36;16:36;16:46;16:44;16:56;16:54;17:06;17:06;17:16;17:15;17:26;17:28;17:36;17:35;17:46;17:45;17:56;17:54;18:06;18:05;18:16;18:17;18:26;18:24;18:36;18:36;18:46;18:44;18:56;18:55;19:06;19:05;19:16;19:24;;;19:31;19:29;19:46;19:46;;;20:01;20:00;20:16;20:14;20:31;20:30;20:46;20:44
Grünau-Süd;08:53;08:53;09:08;09:08;09:23;09:26;09:38;09:38;10:02;10:01;09:53;09:51;10:17;10:16;10:32;10:31;10:47;10:49;10:27;10:32;10:57;10:56;11:07;11:05;11:17;11:15;11:27;11:24;11:37;11:36;11:47;11:46;11:57;11:56;12:07;12:05;12:17;12:16;12:27;12:24;12:37;12:35;12:47;12:45;12:57;12:55;13:07;13:06;13:17;13:18;13:27;13:26;13:37;13:35;13:47;13:45;13:57;13:57;14:07;14:07;14:17;14:15;14:27;14:24;14:37;14:35;14:47;14:45;14:57;14:56;15:07;15:05;15:17;15:19;15:27;15:27;15:37;15:38;15:47;15:46;15:57;15:56;16:07;16:06;16:17;16:14;16:27;16:24;16:37;16:36;16:47;16:45;16:57;16:55;17:07;17:07;17:17;17:17;17:27;17:28;17:37;17:36;17:47;17:46;17:57;17:55;18:07;18:06;18:17;18:18;18:27;18:25;18:37;18:36;18:47;18:45;18:57;18:55;19:07;19:06;19:17;19:25;;;19:32;19:30;19:47;19:47;;;20:02;20:01;20:17;20:15;20:32;20:31;20:47;20:45
