Kurs:;20;;11;;14;;12;;16;;19;;10;;12;;19;;16;;10;;24;;12;;25;;26;;19;;43;;44;;22;;24;;25;;26;;43;;22;;44;;21;;24;;23;;25;;42;;41;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;41;;25;;42;;10;;12;;44;;15;;17;;42;;10;;12;;44;;15;;17;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Eutritzscher Markt;00:14;00:13;00:50;00:50;01:10;01:11;;;04:44;04:44;;;05:14;05:13;05:44;05:44;06:14;06:15;06:44;06:44;07:14;07:13;;;07:44;07:44;;;;;08:13;08:13;;;08:28;08:28;;;08:43;08:43;08:58;08:58;09:13;09:14;09:28;09:28;09:43;09:44;09:58;09:58;;;10:13;10:14;;;10:29;10:29;10:39;10:40;;;10:49;10:50;10:59;10:59;11:09;11:11;11:19;11:20;11:29;11:29;11:39;11:39;11:49;11:49;11:59;12:00;12:09;12:09;12:19;12:19;12:29;12:29;12:39;12:39;12:49;12:50;12:59;12:59;13:09;13:09;13:19;13:19;13:29;13:29;13:39;13:39;13:49;13:50;13:59;14:00;14:09;14:10;14:19;14:19;14:29;14:30;14:39;14:40;14:49;14:49;14:59;15:00;15:09;15:10;15:19;15:19;15:29;15:29;15:39;15:40;15:49;15:49;15:59;15:59;16:09;16:09;16:19;16:20;16:29;16:31;16:39;16:40;16:49;16:49;16:59;16:59;17:09;17:09;17:19;17:20;17:29;17:30;17:39;17:40;17:49;17:49;17:59;18:01;18:09;18:09;18:19;18:20;18:29;18:30;18:39;18:40;18:49;18:49;18:59;18:59;19:13;19:14;19:28;19:29;19:35;19:35;19:43;19:44;19:50;19:50;19:58;20:00;20:13;20:14;20:28;20:28;20:43;20:43;20:58;20:58;21:13;21:13;21:28;21:28;21:43;21:44;21:58;21:58;22:13;22:13;22:24;22:24;22:44;22:44;22:59;22:58;23:14;23:15;23:44;23:44
Eutritzscher Zentrum;00:16;00:14;00:52;00:51;01:12;01:12;;;04:46;04:46;;;05:16;05:15;05:46;05:45;06:16;06:16;06:46;06:45;07:16;07:14;;;07:46;07:45;;;;;08:15;08:15;;;08:30;08:29;;;08:45;08:44;09:00;08:59;09:15;09:15;09:30;09:29;09:45;09:45;10:00;10:00;;;10:15;10:15;;;10:31;10:30;10:41;10:41;;;10:51;10:52;11:01;11:00;11:11;11:12;11:21;11:21;11:31;11:30;11:41;11:41;11:51;11:51;12:01;12:01;12:11;12:10;12:21;12:21;12:31;12:31;12:41;12:40;12:51;12:51;13:01;13:01;13:11;13:11;13:21;13:21;13:31;13:30;13:41;13:41;13:51;13:51;14:01;14:01;14:11;14:11;14:21;14:20;14:31;14:31;14:41;14:42;14:51;14:50;15:01;15:02;15:11;15:11;15:21;15:21;15:31;15:30;15:41;15:42;15:51;15:51;16:01;16:01;16:11;16:10;16:21;16:21;16:31;16:32;16:41;16:41;16:51;16:50;17:01;17:01;17:11;17:11;17:21;17:21;17:31;17:31;17:41;17:42;17:51;17:50;18:01;18:02;18:11;18:11;18:21;18:21;18:31;18:31;18:41;18:42;18:51;18:50;19:01;19:01;19:15;19:15;19:30;19:30;19:37;19:36;19:45;19:46;19:52;19:51;20:00;20:01;20:15;20:15;20:30;20:29;20:45;20:45;21:00;20:59;21:15;21:15;21:30;21:29;21:45;21:46;22:00;21:59;22:15;22:14;22:26;22:25;22:46;22:45;23:01;23:00;23:16;23:16;23:46;23:45
Wilhelminenstraße;00:17;00:15;00:53;00:53;01:13;01:14;;;04:47;04:47;;;05:17;05:16;05:47;05:46;06:17;06:17;06:47;06:47;07:17;07:16;;;07:47;07:47;;;;;08:16;08:16;;;08:31;08:30;;;08:46;08:45;09:01;09:00;09:16;09:16;09:31;09:31;09:46;09:46;10:01;10:01;;;10:16;10:16;;;10:32;10:32;10:42;10:42;;;10:52;10:53;11:02;11:02;11:12;11:13;11:22;11:22;11:32;11:31;11:42;11:42;11:52;11:52;12:02;12:02;12:12;12:11;12:22;12:22;12:32;12:32;12:42;12:41;12:52;12:53;13:02;13:02;13:12;13:12;13:22;13:22;13:32;13:31;13:42;13:42;13:52;13:52;14:02;14:02;14:12;14:12;14:22;14:21;14:32;14:32;14:42;14:43;14:52;14:52;15:02;15:03;15:12;15:12;15:22;15:22;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:02;16:12;16:12;16:22;16:23;16:32;16:34;16:42;16:42;16:52;16:52;17:02;17:02;17:12;17:12;17:22;17:23;17:32;17:32;17:42;17:43;17:52;17:51;18:02;18:03;18:12;18:12;18:22;18:23;18:32;18:32;18:42;18:43;18:52;18:52;19:02;19:02;19:16;19:16;19:31;19:31;19:38;19:37;19:46;19:47;19:53;19:52;20:01;20:03;20:16;20:16;20:31;20:30;20:46;20:46;21:01;21:01;21:16;21:16;21:31;21:30;21:46;21:47;22:01;22:00;22:16;22:16;22:27;22:27;22:47;22:47;23:02;23:01;23:17;23:17;23:47;23:46
Chausseehaus;00:19;00:17;00:55;00:55;01:15;01:16;;;04:49;04:49;;;05:19;05:18;05:49;05:48;06:19;06:19;06:49;06:48;07:19;07:18;;;07:49;07:48;;;;;08:18;08:17;;;08:33;08:32;;;08:48;08:47;09:03;09:02;09:18;09:18;09:33;09:33;09:48;09:48;10:03;10:03;;;10:18;10:17;;;10:34;10:33;10:44;10:44;;;10:54;10:55;11:04;11:04;11:14;11:15;11:24;11:24;11:34;11:34;11:44;11:43;11:54;11:53;12:04;12:04;12:14;12:13;12:24;12:24;12:34;12:34;12:44;12:43;12:54;12:54;13:04;13:04;13:14;13:13;13:24;13:24;13:34;13:33;13:44;13:44;13:54;13:54;14:04;14:04;14:14;14:14;14:24;14:22;14:34;14:34;14:44;14:44;14:54;14:53;15:04;15:06;15:14;15:14;15:24;15:23;15:34;15:34;15:44;15:45;15:54;15:54;16:04;16:03;16:14;16:14;16:24;16:25;16:34;16:35;16:44;16:45;16:54;16:54;17:04;17:04;17:14;17:14;17:24;17:25;17:34;17:34;17:44;17:45;17:54;17:53;18:04;18:05;18:14;18:13;18:24;18:25;18:34;18:33;18:44;18:46;18:54;18:54;19:04;19:04;19:18;19:18;19:33;19:33;19:40;19:38;19:48;19:49;19:55;19:55;20:03;20:04;20:18;20:18;20:33;20:32;20:48;20:48;21:03;21:02;21:18;21:18;21:33;21:32;21:48;21:49;22:03;22:02;22:18;22:17;22:29;22:29;22:49;22:49;23:04;23:02;23:19;23:19;23:49;23:48
Wilhelm-Liebknecht-Platz;00:21;00:19;00:57;00:56;01:17;01:19;;;04:51;04:51;;;05:21;05:20;05:51;05:50;06:21;06:21;06:51;06:50;07:21;07:20;;;07:51;07:50;;;;;08:20;08:19;;;08:35;08:34;;;08:50;08:49;09:05;09:04;09:20;09:20;09:35;09:35;09:50;09:49;10:05;10:04;;;10:20;10:19;;;10:36;10:35;10:46;10:46;;;10:56;10:58;11:06;11:05;11:16;11:17;11:26;11:25;11:36;11:35;11:46;11:45;11:56;11:55;12:06;12:05;12:16;12:15;12:26;12:25;12:36;12:36;12:46;12:45;12:56;12:56;13:06;13:06;13:16;13:15;13:26;13:26;13:36;13:36;13:46;13:46;13:56;13:55;14:06;14:05;14:16;14:16;14:26;14:24;14:36;14:36;14:46;14:46;14:56;14:55;15:06;15:08;15:16;15:16;15:26;15:25;15:36;15:35;15:46;15:48;15:56;15:55;16:06;16:05;16:16;16:16;16:26;16:27;16:36;16:37;16:46;16:47;16:56;16:56;17:06;17:06;17:16;17:15;17:26;17:26;17:36;17:36;17:46;17:48;17:56;17:55;18:06;18:07;18:16;18:15;18:26;18:26;18:36;18:35;18:46;18:48;18:56;18:56;19:06;19:06;19:20;19:20;19:35;19:34;19:42;19:40;19:50;19:51;19:57;19:57;20:05;20:06;20:20;20:20;20:35;20:34;20:50;20:49;21:05;21:04;21:20;21:19;21:35;21:34;21:50;21:51;22:05;22:05;22:20;22:19;22:31;22:31;22:51;22:51;23:06;23:04;23:21;23:22;23:51;23:50
Hauptbahnhof;00:30;00:31;01:00;00:59;01:20;01:21;;;05:00;05:02;;;05:30;05:29;06:00;06:02;06:30;06:32;07:00;07:02;07:30;07:31;;;08:00;08:00;;;;;08:23;08:22;;;08:38;08:38;;;08:53;08:52;09:08;09:08;09:23;09:23;09:38;09:38;09:53;09:53;10:08;10:08;;;10:23;10:23;;;10:39;10:38;10:49;10:49;;;10:59;11:01;11:09;11:09;11:19;11:21;11:29;11:29;11:39;11:38;11:49;11:49;11:59;11:59;12:09;12:08;12:19;12:19;12:29;12:29;12:39;12:40;12:49;12:48;12:59;12:59;13:09;13:10;13:19;13:19;13:29;13:29;13:39;13:40;13:49;13:52;13:59;13:59;14:09;14:08;14:19;14:20;14:29;14:29;14:39;14:40;14:49;14:49;14:59;14:59;15:09;15:13;15:19;15:22;15:29;15:29;15:39;15:38;15:49;15:52;15:59;16:00;16:09;16:08;16:19;16:19;16:29;16:31;16:39;16:41;16:49;16:50;16:59;17:00;17:09;17:09;17:19;17:19;17:29;17:29;17:39;17:40;17:49;17:52;17:59;17:59;18:09;18:13;18:19;18:19;18:29;18:29;18:39;18:38;18:49;18:53;18:59;19:00;19:09;19:10;19:23;19:23;19:38;19:39;;;19:53;19:55;;;20:08;20:10;20:23;20:23;20:38;20:38;20:53;20:53;21:08;21:08;21:23;21:23;21:38;21:37;21:53;21:55;22:08;22:08;22:23;22:23;22:34;22:34;23:00;23:01;;;23:30;23:31;00:00;23:59
Augustusplatz;00:33;00:34;01:03;01:02;;;;;05:03;05:04;;;05:33;05:32;06:03;06:04;06:33;06:34;07:03;07:05;07:33;07:34;;;08:03;08:04;;;;;08:26;08:25;;;08:41;08:41;;;08:56;08:56;09:11;09:11;09:26;09:25;09:41;09:41;09:56;09:56;10:11;10:11;;;10:26;10:26;;;10:42;10:41;10:52;10:52;;;11:02;11:04;11:12;11:13;11:22;11:23;11:32;11:32;11:42;11:41;11:52;11:52;12:02;12:02;12:12;12:11;12:22;12:22;12:32;12:31;12:42;12:43;12:52;12:52;13:02;13:02;13:12;13:13;13:22;13:22;13:32;13:32;13:42;13:43;13:52;13:55;14:02;14:02;14:12;14:11;14:22;14:23;14:32;14:32;14:42;14:43;14:52;14:52;15:02;15:04;15:12;15:16;15:22;15:25;15:32;15:32;15:42;15:41;15:52;15:55;16:02;16:04;16:12;16:11;16:22;16:22;16:32;16:34;16:42;16:44;16:52;16:53;17:02;17:02;17:12;17:13;17:22;17:22;17:32;17:32;17:42;17:43;17:52;17:55;18:02;18:02;18:12;18:16;18:22;18:22;18:32;18:32;18:42;18:41;18:52;18:55;19:02;19:02;19:12;19:13;19:26;19:26;19:41;19:43;;;19:56;19:58;;;20:11;20:13;20:26;20:25;20:41;20:41;20:56;20:56;21:11;21:11;21:26;21:26;21:41;21:40;21:56;21:58;22:11;22:11;22:26;22:26;22:37;22:37;23:03;23:04;;;23:33;23:34;00:03;00:02
Roßplatz;00:35;00:35;01:05;01:04;;;;;05:05;05:06;;;05:35;05:34;06:05;06:05;06:35;06:35;07:05;07:07;07:35;07:35;;;08:05;08:05;;;;;08:28;08:27;08:14;08:14;08:43;08:43;;;08:58;08:58;09:13;09:13;09:28;09:27;09:43;09:43;09:58;09:58;10:13;10:13;;;10:28;10:28;;;10:44;10:43;10:54;10:53;10:35;10:39;11:04;11:06;11:14;11:14;11:24;11:25;11:34;11:34;11:44;11:43;11:54;11:53;12:04;12:04;12:14;12:13;12:24;12:24;12:34;12:33;12:44;12:44;12:54;12:58;13:04;13:04;13:14;13:14;13:24;13:23;13:34;13:34;13:44;13:45;13:54;13:57;14:04;14:04;14:14;14:13;14:24;14:25;14:34;14:34;14:44;14:44;14:54;14:53;15:04;15:05;15:14;15:17;15:24;15:26;15:34;15:34;15:44;15:43;15:54;15:57;16:04;16:05;16:14;16:13;16:24;16:24;16:34;16:35;16:44;16:46;16:54;16:55;17:04;17:04;17:14;17:15;17:24;17:24;17:34;17:34;17:44;17:44;17:54;17:56;18:04;18:04;18:14;18:17;18:24;18:24;18:34;18:34;18:44;18:43;18:54;18:57;19:04;19:04;19:14;19:14;19:28;19:28;19:43;19:44;;;19:58;19:59;;;20:13;20:14;20:28;20:27;20:43;20:44;20:58;20:58;21:13;21:14;21:28;21:29;21:43;21:42;21:58;21:59;22:13;22:13;22:28;22:28;22:39;22:38;23:05;23:05;;;23:35;23:35;00:05;00:04
Härtelstraße;00:36;00:36;01:06;01:05;;;;;05:06;05:07;;;05:36;05:35;06:06;06:06;06:36;06:36;07:06;07:08;07:36;07:36;;;08:06;08:07;;;;;08:29;08:29;08:15;08:15;08:44;08:44;;;08:59;08:59;09:14;09:14;09:29;09:28;09:44;09:44;09:59;09:59;10:14;10:14;;;10:29;10:29;;;10:45;10:44;10:55;10:54;10:36;10:40;11:05;11:07;11:15;11:15;11:25;11:26;11:35;11:35;11:45;11:44;11:55;11:56;12:05;12:05;12:15;12:15;12:25;12:25;12:35;12:34;12:45;12:46;12:55;12:59;13:05;13:05;13:15;13:15;13:25;13:24;13:35;13:36;13:45;13:46;13:55;13:59;14:05;14:06;14:15;14:15;14:25;14:26;14:35;14:35;14:45;14:46;14:55;14:55;15:05;15:06;15:15;15:18;15:25;15:27;15:35;15:35;15:45;15:45;15:55;15:58;16:05;16:06;16:15;16:15;16:25;16:25;16:35;16:36;16:45;16:48;16:55;16:57;17:05;17:05;17:15;17:16;17:25;17:25;17:35;17:35;17:45;17:46;17:55;17:58;18:05;18:05;18:15;18:19;18:25;18:25;18:35;18:35;18:45;18:44;18:55;18:58;19:05;19:06;19:15;19:15;19:29;19:29;19:44;19:45;;;19:59;20:00;;;20:14;20:16;20:29;20:28;20:44;20:45;20:59;20:59;21:14;21:15;21:29;21:30;21:44;21:43;21:59;22:00;22:14;22:14;22:29;22:29;22:40;22:40;23:06;23:07;;;23:36;23:36;00:06;00:05
Bayerischer Bahnhof;00:38;00:37;01:08;01:07;;;;;05:08;05:09;;;05:38;05:36;06:08;06:07;06:38;06:37;07:08;07:10;07:38;07:37;;;08:08;08:09;;;;;08:31;08:30;08:17;08:16;08:46;08:45;;;09:01;09:00;09:16;09:15;09:31;09:30;09:46;09:45;10:01;10:00;10:16;10:15;;;10:31;10:31;;;10:47;10:46;10:57;10:55;10:38;10:41;11:07;11:09;11:17;11:16;11:27;11:28;11:37;11:37;11:47;11:46;11:57;11:57;12:07;12:06;12:17;12:16;12:27;12:27;12:37;12:36;12:47;12:48;12:57;13:01;13:07;13:06;13:17;13:16;13:27;13:25;13:37;13:37;13:47;13:48;13:57;14:00;14:07;14:07;14:17;14:16;14:27;14:28;14:37;14:37;14:47;14:48;14:57;14:57;15:07;15:07;15:17;15:21;15:27;15:28;15:37;15:36;15:47;15:46;15:57;16:00;16:07;16:09;16:17;16:16;16:27;16:27;16:37;16:37;16:47;16:49;16:57;16:58;17:07;17:07;17:17;17:18;17:27;17:27;17:37;17:36;17:47;17:48;17:57;18:00;18:07;18:06;18:17;18:21;18:27;18:27;18:37;18:37;18:47;18:46;18:57;19:00;19:07;19:07;19:17;19:18;19:31;19:30;19:46;19:48;;;20:01;20:01;;;20:16;20:18;20:31;20:30;20:46;20:46;21:01;21:01;21:16;21:16;21:31;21:31;21:46;21:45;22:01;22:01;22:16;22:15;22:31;22:31;22:42;22:42;23:08;23:09;;;23:38;23:39;00:08;00:07
Johannisallee;00:39;00:39;01:09;01:09;;;;;05:09;05:10;;;05:39;05:38;06:09;06:09;06:39;06:39;07:09;07:11;07:39;07:38;;;08:09;08:11;;;;;08:32;08:31;08:18;08:18;08:47;08:46;;;09:02;09:01;09:17;09:16;09:32;09:31;09:47;09:46;10:02;10:02;10:17;10:16;;;10:32;10:33;;;10:48;10:48;10:58;10:57;10:39;10:43;11:08;11:10;11:18;11:18;11:28;11:30;11:38;11:39;11:48;11:48;11:58;11:58;12:08;12:08;12:18;12:18;12:28;12:28;12:38;12:37;12:48;12:49;12:58;13:02;13:08;13:07;13:18;13:18;13:28;13:27;13:38;13:39;13:48;13:49;13:58;14:01;14:08;14:09;14:18;14:18;14:28;14:30;14:38;14:38;14:48;14:49;14:58;14:58;15:08;15:09;15:18;15:22;15:28;15:30;15:38;15:37;15:48;15:48;15:58;16:01;16:08;16:10;16:18;16:18;16:28;16:29;16:38;16:39;16:48;16:51;16:58;17:00;17:08;17:09;17:18;17:19;17:28;17:28;17:38;17:38;17:48;17:49;17:58;18:01;18:08;18:08;18:18;18:23;18:28;18:28;18:38;18:39;18:48;18:48;18:58;19:01;19:08;19:09;19:18;19:19;19:32;19:31;19:47;19:49;;;20:02;20:03;;;20:17;20:19;20:32;20:31;20:47;20:48;21:02;21:03;21:17;21:18;21:32;21:33;21:47;21:46;22:02;22:03;22:17;22:17;22:32;22:33;22:43;22:43;23:09;23:10;;;23:39;23:40;00:09;00:09
Dt. Nationalbibliothek;00:41;00:40;01:11;01:10;;;;;05:11;05:12;;;05:41;05:40;06:11;06:11;06:41;06:40;07:11;07:13;07:41;07:40;;;08:11;08:12;;;;;08:34;08:33;08:20;08:20;08:49;08:48;;;09:04;09:03;09:19;09:18;09:34;09:33;09:49;09:48;10:04;10:04;10:19;10:18;;;10:34;10:35;;;10:50;10:50;11:00;10:59;10:41;10:45;11:10;11:12;11:20;11:20;11:30;11:32;11:40;11:40;11:50;11:49;12:00;12:00;12:10;12:10;12:20;12:20;12:30;12:30;12:40;12:39;12:50;12:51;13:00;13:04;13:10;13:09;13:20;13:20;13:30;13:29;13:40;13:41;13:50;13:51;14:00;14:03;14:10;14:10;14:20;14:19;14:30;14:31;14:40;14:40;14:50;14:51;15:00;15:00;15:10;15:11;15:20;15:24;15:30;15:32;15:40;15:39;15:50;15:50;16:00;16:03;16:10;16:12;16:20;16:20;16:30;16:31;16:40;16:41;16:50;16:53;17:00;17:01;17:10;17:10;17:20;17:21;17:30;17:30;17:40;17:40;17:50;17:51;18:00;18:03;18:10;18:09;18:20;18:24;18:30;18:30;18:40;18:41;18:50;18:49;19:00;19:03;19:10;19:10;19:20;19:21;19:34;19:33;19:49;19:51;;;20:04;20:05;;;20:19;20:21;20:34;20:33;20:49;20:49;21:04;21:04;21:19;21:20;21:34;21:35;21:49;21:48;22:04;22:05;22:19;22:18;22:34;22:34;22:45;22:45;23:11;23:12;;;23:41;23:42;00:11;00:10
An den Tierkliniken;00:42;00:42;01:12;01:12;;;;;05:12;05:13;;;05:42;05:41;06:12;06:12;06:42;06:42;07:12;07:14;07:42;07:42;;;08:12;08:14;;;;;08:35;08:34;08:21;08:21;08:50;08:49;;;09:05;09:04;09:20;09:19;09:35;09:34;09:50;09:49;10:05;10:06;10:20;10:20;;;10:35;10:36;;;10:52;10:51;11:02;11:00;10:42;10:47;11:12;11:13;11:22;11:21;11:32;11:33;11:42;11:42;11:52;11:51;12:02;12:02;12:12;12:11;12:22;12:22;12:32;12:31;12:42;12:41;12:52;12:53;13:02;13:06;13:12;13:11;13:22;13:22;13:32;13:31;13:42;13:42;13:52;13:52;14:02;14:05;14:12;14:12;14:22;14:21;14:32;14:33;14:42;14:42;14:52;14:53;15:02;15:02;15:12;15:12;15:22;15:26;15:32;15:33;15:42;15:41;15:52;15:51;16:02;16:04;16:12;16:13;16:22;16:21;16:32;16:32;16:42;16:42;16:52;16:54;17:02;17:03;17:12;17:12;17:22;17:22;17:32;17:32;17:42;17:41;17:52;17:53;18:02;18:05;18:12;18:11;18:22;18:26;18:32;18:32;18:42;18:42;18:52;18:51;19:02;19:04;19:12;19:12;19:22;19:22;19:35;19:35;19:50;19:53;;;20:05;20:07;;;20:20;20:23;20:35;20:35;20:50;20:51;21:05;21:06;21:20;21:21;21:35;21:36;21:50;21:49;22:05;22:06;22:20;22:20;22:35;22:36;22:46;22:46;23:12;23:14;;;23:42;23:43;00:12;00:12
R.-Lehmann-/Zwickauer S.;00:43;00:43;01:13;01:13;;;;;05:13;05:14;;;05:43;05:42;06:13;06:14;06:43;06:43;07:13;07:15;07:43;07:43;;;08:13;08:15;;;;;08:36;08:35;08:22;08:22;08:51;08:51;;;09:06;09:06;09:21;09:20;09:36;09:36;09:51;09:51;10:06;10:07;10:21;10:21;;;10:36;10:38;;;10:53;10:52;11:03;11:01;10:43;10:48;11:13;11:15;11:23;11:22;11:33;11:34;11:43;11:43;11:53;11:53;12:03;12:04;12:13;12:12;12:23;12:23;12:33;12:33;12:43;12:42;12:53;12:54;13:03;13:07;13:13;13:12;13:23;13:23;13:33;13:32;13:43;13:43;13:53;13:54;14:03;14:07;14:13;14:13;14:23;14:22;14:33;14:34;14:43;14:43;14:53;14:54;15:03;15:03;15:13;15:14;15:23;15:27;15:33;15:34;15:43;15:42;15:53;15:53;16:03;16:05;16:13;16:15;16:23;16:23;16:33;16:33;16:43;16:44;16:53;16:55;17:03;17:04;17:13;17:13;17:23;17:23;17:33;17:33;17:43;17:42;17:53;17:54;18:03;18:06;18:13;18:12;18:23;18:27;18:33;18:33;18:43;18:44;18:53;18:52;19:03;19:06;19:13;19:14;19:23;19:24;19:36;19:36;19:51;19:54;;;20:06;20:08;;;20:21;20:24;20:36;20:36;20:51;20:52;21:06;21:07;21:21;21:22;21:36;21:38;21:51;21:51;22:06;22:07;22:21;22:21;22:36;22:37;22:47;22:47;23:13;23:15;;;23:43;23:44;00:13;00:13
Triftweg;00:45;00:44;01:15;01:14;;;04:29;04:30;05:15;05:15;04:59;04:58;05:45;05:43;06:15;06:15;06:45;06:44;07:15;07:16;07:45;07:44;07:29;07:29;08:15;08:17;07:54;07:54;08:09;08:11;08:38;08:36;08:24;08:23;08:53;08:52;08:33;08:34;09:08;09:07;09:23;09:22;09:38;09:37;09:53;09:52;10:08;10:08;10:23;10:23;10:02;10:06;10:38;10:39;10:18;10:21;10:55;10:53;11:05;11:03;10:45;10:49;11:15;11:16;11:25;11:23;11:35;11:36;11:45;11:45;11:55;11:54;12:05;12:05;12:15;12:13;12:25;12:24;12:35;12:34;12:45;12:43;12:55;12:55;13:05;13:08;13:15;13:14;13:25;13:24;13:35;13:34;13:45;13:45;13:55;13:55;14:05;14:08;14:15;14:14;14:25;14:24;14:35;14:35;14:45;14:44;14:55;14:55;15:05;15:04;15:15;15:15;15:25;15:28;15:35;15:35;15:45;15:44;15:55;15:54;16:05;16:07;16:15;16:16;16:25;16:24;16:35;16:35;16:45;16:45;16:55;16:56;17:05;17:05;17:15;17:14;17:25;17:25;17:35;17:35;17:45;17:43;17:55;17:55;18:05;18:08;18:15;18:13;18:25;18:29;18:35;18:34;18:45;18:45;18:55;18:54;19:05;19:07;19:15;19:15;19:25;19:25;19:38;19:37;19:53;19:55;;;20:08;20:09;;;20:23;20:25;20:38;20:37;20:53;20:53;21:08;21:08;21:23;21:23;21:38;21:39;21:53;21:52;22:08;22:08;22:23;22:22;22:38;22:38;22:49;22:49;23:15;23:17;;;23:45;23:46;00:15;00:14
An der Märchenwiese;00:46;00:45;01:16;01:15;;;04:30;04:30;05:16;05:16;05:00;04:59;05:46;05:44;06:16;06:16;06:46;06:45;07:16;07:17;07:46;07:45;07:30;07:30;08:16;08:18;07:55;07:55;08:10;08:12;08:39;08:37;08:25;08:24;08:54;08:53;08:34;08:35;09:09;09:08;09:24;09:23;09:39;09:38;09:54;09:53;10:09;10:09;10:24;10:23;10:03;10:07;10:39;10:40;10:19;10:21;10:56;10:54;11:06;11:04;10:46;10:50;11:16;11:17;11:26;11:24;11:36;11:37;11:46;11:46;11:56;11:55;12:06;12:06;12:16;12:14;12:26;12:25;12:36;12:35;12:46;12:44;12:56;12:56;13:06;13:09;13:16;13:15;13:26;13:25;13:36;13:35;13:46;13:46;13:56;13:56;14:06;14:09;14:16;14:15;14:26;14:25;14:36;14:36;14:46;14:45;14:56;14:56;15:06;15:05;15:16;15:16;15:26;15:29;15:36;15:36;15:46;15:45;15:56;15:55;16:06;16:08;16:16;16:17;16:26;16:25;16:36;16:36;16:46;16:46;16:56;16:58;17:06;17:06;17:16;17:15;17:26;17:26;17:36;17:36;17:46;17:44;17:56;17:56;18:06;18:09;18:16;18:14;18:26;18:30;18:36;18:35;18:46;18:46;18:56;18:55;19:06;19:08;19:16;19:16;19:26;19:26;19:39;19:38;19:54;19:56;;;20:09;20:10;;;20:24;20:26;20:39;20:38;20:54;20:54;21:09;21:09;21:24;21:25;21:39;21:40;21:54;21:53;22:09;22:09;22:24;22:23;22:39;22:39;22:50;22:50;23:16;23:18;;;23:46;23:46;00:16;00:15
Moritz Hof;00:47;00:46;01:17;01:16;;;04:31;04:31;05:17;05:17;05:01;05:00;05:47;05:45;06:17;06:17;06:47;06:47;07:17;07:18;07:47;07:46;07:31;07:31;08:17;08:19;07:56;07:56;08:11;08:12;08:40;08:38;08:26;08:25;08:55;08:54;08:35;08:36;09:10;09:09;09:25;09:24;09:40;09:39;09:55;09:54;10:10;10:11;10:25;10:25;10:04;10:09;10:40;10:41;10:20;10:22;10:57;10:56;11:07;11:06;10:47;10:52;11:17;11:18;11:27;11:25;11:37;11:38;11:47;11:47;11:57;11:56;12:07;12:07;12:17;12:16;12:27;12:26;12:37;12:36;12:47;12:46;12:57;12:57;13:07;13:10;13:17;13:16;13:27;13:27;13:37;13:36;13:47;13:47;13:57;13:57;14:07;14:10;14:17;14:17;14:27;14:26;14:37;14:37;14:47;14:46;14:57;14:57;15:07;15:06;15:17;15:18;15:27;15:31;15:37;15:37;15:47;15:46;15:57;15:56;16:07;16:09;16:17;16:18;16:27;16:27;16:37;16:37;16:47;16:47;16:57;16:59;17:07;17:07;17:17;17:16;17:27;17:27;17:37;17:37;17:47;17:46;17:57;17:57;18:07;18:10;18:17;18:16;18:27;18:31;18:37;18:37;18:47;18:47;18:57;18:56;19:07;19:09;19:17;19:17;19:27;19:27;19:40;19:39;19:55;19:58;;;20:10;20:12;;;20:25;20:28;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:26;21:40;21:41;21:55;21:54;22:10;22:11;22:25;22:24;22:40;22:40;22:51;22:51;23:17;23:19;;;23:47;23:48;00:17;00:16
