Kurs:;36;;84;;72;;83;;34;;91;;92;;31;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;34;;32;;91;;92;;31;;35;;92;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Dr.-Wilhelm-Külz-Straße;00:16;00:15;05:16;05:17;06:16;06:15;07:16;07:15;08:16;08:13;09:16;09:17;09:38;09:39;10:08;10:38;10:38;11:08;11:08;11:38;11:36;12:08;12:08;12:38;12:38;13:08;13:09;13:38;13:39;14:08;14:07;14:38;14:37;15:08;15:08;15:38;15:38;16:08;16:07;16:38;16:39;17:08;17:07;17:38;17:41;18:08;18:10;18:38;18:40;19:08;19:08;19:38;19:37;20:08;20:07;20:38;20:38;21:08;21:07;21:38;21:40;22:08;22:07;22:38;22:38;23:16;23:17
Anemonenweg;00:17;00:16;05:17;05:17;06:17;06:16;07:17;07:16;08:17;08:14;09:17;09:17;09:39;09:39;10:09;10:39;10:38;11:09;11:09;11:39;11:37;12:09;12:09;12:39;12:39;13:09;13:10;13:39;13:39;14:09;14:08;14:39;14:38;15:09;15:08;15:39;15:39;16:09;16:07;16:39;16:40;17:09;17:07;17:39;17:42;18:09;18:11;18:39;18:41;19:09;19:09;19:39;19:38;20:09;20:08;20:39;20:39;21:09;21:08;21:39;21:40;22:09;22:08;22:39;22:39;23:17;23:18
Mölkau, Gemeindeamt;00:18;00:17;05:18;05:18;06:18;06:17;07:18;07:17;08:18;08:19;09:18;09:19;09:40;09:41;10:10;10:40;10:39;11:10;11:10;11:40;11:39;12:10;12:10;12:40;12:41;13:10;13:11;13:40;13:41;14:10;14:09;14:40;14:42;15:10;15:09;15:40;15:40;16:10;16:09;16:40;16:41;17:10;17:09;17:40;17:44;18:10;18:12;18:40;18:42;19:10;19:10;19:40;19:40;20:10;20:09;20:40;20:40;21:10;21:09;21:40;21:42;22:10;22:10;22:40;22:40;23:18;23:19
Mölkauer Dorfplatz;00:19;00:18;05:19;05:19;06:19;06:18;07:19;07:18;08:19;08:20;09:19;09:19;09:41;09:41;10:11;10:41;10:40;11:11;11:11;11:41;11:40;12:11;12:11;12:41;12:42;13:11;13:12;13:41;13:42;14:11;14:10;14:41;14:42;15:11;15:10;15:41;15:41;16:11;16:09;16:41;16:41;17:11;17:09;17:41;17:44;18:11;18:13;18:41;18:43;19:11;19:11;19:41;19:41;20:11;20:10;20:41;20:40;21:11;21:10;21:41;21:42;22:11;22:10;22:41;22:40;23:19;23:19
Am Bahndamm;00:20;00:20;05:20;05:20;06:20;06:19;07:20;07:19;08:20;08:21;09:20;09:20;09:42;09:42;10:12;10:42;10:41;11:12;11:12;11:42;11:42;12:12;12:12;12:42;12:43;13:12;13:13;13:42;13:43;14:12;14:12;14:42;14:44;15:12;15:12;15:42;15:42;16:12;16:11;16:42;16:42;17:12;17:11;17:42;17:46;18:12;18:14;18:42;18:44;19:12;19:13;19:42;19:42;20:12;20:11;20:42;20:42;21:12;21:11;21:42;21:44;22:12;22:11;22:42;22:42;23:20;23:21
Hasenheide;00:21;00:21;05:21;05:22;06:21;06:20;07:21;07:21;08:21;08:22;09:21;09:21;09:43;09:44;10:13;10:43;10:43;11:13;11:13;11:43;11:43;12:13;12:14;12:43;12:44;13:13;13:15;13:43;13:44;14:13;14:13;14:43;14:45;15:13;15:13;15:43;15:43;16:13;16:12;16:43;16:44;17:13;17:12;17:43;17:47;18:13;18:15;18:43;18:45;19:13;19:14;19:43;19:43;20:13;20:12;20:43;20:44;21:13;21:12;21:43;21:45;22:13;22:13;22:43;22:43;23:21;23:22
Engelsdorf, Ärztehaus;00:23;00:23;05:23;05:23;06:23;06:22;07:23;07:23;08:23;08:23;09:23;09:23;09:45;09:45;10:15;10:45;10:44;11:15;11:15;11:45;11:45;12:15;12:16;12:45;12:46;13:15;13:16;13:45;13:46;14:15;14:14;14:45;14:47;15:15;15:15;15:45;15:45;16:15;16:14;16:45;16:46;17:15;17:14;17:45;17:49;18:15;18:17;18:45;18:47;19:15;19:15;19:45;19:45;20:15;20:14;20:45;20:45;21:15;21:14;21:45;21:47;22:15;22:14;22:45;22:45;23:23;23:24
Werkstättenstraße;00:24;00:24;05:24;05:24;06:24;06:23;07:24;07:24;08:24;08:24;09:24;09:24;09:46;09:46;10:16;10:46;10:45;11:16;11:16;11:46;11:46;12:16;12:17;12:46;12:47;13:16;13:17;13:46;13:46;14:16;14:15;14:46;14:47;15:16;15:16;15:46;15:46;16:16;16:15;16:46;16:47;17:16;17:15;17:46;17:50;18:16;18:18;18:46;18:48;19:16;19:16;19:46;19:46;20:16;20:15;20:46;20:46;21:16;21:15;21:46;21:48;22:16;22:15;22:46;22:46;23:24;23:25
Ernst-Guhr-Straße;00:25;00:25;05:25;05:26;06:25;06:24;07:25;07:25;08:25;08:25;09:25;09:25;09:48;09:48;10:18;10:48;10:46;11:18;11:17;11:48;11:47;12:18;12:18;12:48;12:48;13:18;13:18;13:48;13:48;14:18;14:17;14:48;14:49;15:18;15:18;15:48;15:47;16:18;16:17;16:48;16:48;17:18;17:16;17:48;17:52;18:18;18:19;18:48;18:49;19:18;19:17;19:48;19:47;20:18;20:17;20:48;20:48;21:17;21:17;21:47;21:50;22:17;22:16;22:47;22:46;23:25;23:26
Arthur-Winkler-Straße;00:26;00:26;05:26;05:26;06:26;06:25;07:26;07:26;08:26;08:26;09:26;09:26;09:49;09:49;10:19;10:49;10:47;11:19;11:18;11:49;11:48;12:19;12:18;12:49;12:49;13:19;13:19;13:49;13:49;14:19;14:18;14:49;14:50;15:19;15:19;15:49;15:48;16:19;16:18;16:49;16:50;17:19;17:17;17:49;17:53;18:19;18:20;18:49;18:50;19:19;19:19;19:49;19:48;20:19;20:18;20:49;20:49;21:18;21:18;21:48;21:51;22:18;22:17;22:48;22:47;23:26;23:27
