Kurs:;14;;16;;16;;10;;12;;19;;16;;10;;12;;19;;24;;44;;25;;26;;43;;22;;44;;24;;25;;26;;42;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;24;;41;;25;;42;;26;;43;;21;;22;;23;;44;;41;;25;;42;;10;;12;;44;;15;;17;;42;;10;;12;;44;;15;;17;;10;;12;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Härtelstraße;00:19;00:21;00:49;00:48;;;;;04:49;04:48;05:19;05:19;05:49;05:49;06:19;06:18;06:49;06:48;07:19;07:20;07:49;07:48;;;08:14;08:14;08:29;08:30;08:44;08:43;08:59;09:00;09:14;09:15;09:29;09:28;09:44;09:44;09:59;09:59;;;10:14;10:14;10:22;10:24;10:32;10:34;10:42;10:44;10:52;10:52;11:02;11:01;11:12;11:12;11:22;11:23;11:32;11:33;11:42;11:42;11:52;11:53;12:02;12:03;12:12;12:12;12:22;12:24;12:32;12:33;12:42;12:42;12:52;12:51;13:02;13:02;13:12;13:12;13:22;13:21;13:32;13:31;13:42;13:42;13:52;13:54;14:02;14:02;14:12;14:12;14:22;14:21;14:32;14:33;14:42;14:42;14:52;14:53;15:02;15:02;15:12;15:11;15:22;15:23;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:01;16:12;16:12;16:22;16:23;16:32;16:33;16:42;16:42;16:52;16:53;17:02;17:03;17:12;17:12;17:22;17:24;17:32;17:33;17:42;17:42;17:52;17:51;18:02;18:03;18:12;18:12;18:22;18:23;18:32;18:33;18:42;18:42;18:52;18:54;19:02;19:02;19:14;19:16;19:29;19:29;19:44;19:43;19:59;19:59;20:14;20:13;20:29;20:29;20:44;20:45;20:59;20:58;21:14;21:13;21:29;21:29;21:44;21:43;21:59;22:00;22:14;22:13;22:29;22:29;22:49;22:48;23:19;23:20;23:49;23:50
Roßplatz;00:20;00:23;00:50;00:49;;;;;04:50;04:50;05:20;05:21;05:50;05:51;06:20;06:19;06:50;06:50;07:20;07:22;07:50;07:50;;;08:15;08:16;08:30;08:32;08:45;08:45;09:00;09:01;09:15;09:17;09:30;09:31;09:45;09:46;10:00;10:01;;;10:15;10:15;10:23;10:25;10:33;10:35;10:43;10:46;10:53;10:55;11:03;11:04;11:13;11:13;11:23;11:25;11:33;11:35;11:43;11:44;11:53;11:55;12:03;12:05;12:13;12:14;12:23;12:25;12:33;12:35;12:43;12:43;12:53;12:53;13:03;13:03;13:13;13:13;13:23;13:22;13:33;13:33;13:43;13:43;13:53;13:55;14:03;14:03;14:13;14:14;14:23;14:23;14:33;14:35;14:43;14:43;14:53;14:55;15:03;15:04;15:13;15:12;15:23;15:25;15:33;15:33;15:43;15:46;15:53;15:54;16:03;16:04;16:13;16:14;16:23;16:25;16:33;16:34;16:43;16:44;16:53;16:55;17:03;17:05;17:13;17:13;17:23;17:26;17:33;17:35;17:43;17:43;17:53;17:53;18:03;18:05;18:13;18:14;18:23;18:25;18:33;18:35;18:43;18:44;18:53;18:56;19:03;19:04;19:15;19:17;19:30;19:31;19:45;19:46;20:00;20:01;20:15;20:14;20:30;20:30;20:45;20:46;21:00;21:00;21:15;21:15;21:30;21:31;21:45;21:46;22:00;22:01;22:15;22:15;22:30;22:31;22:50;22:50;23:20;23:22;23:50;23:52
Augustusplatz;00:22;00:25;00:52;00:52;;;;;04:52;04:52;05:22;05:23;05:52;05:52;06:22;06:22;06:52;06:52;07:22;07:23;07:52;07:52;07:44;07:46;08:17;08:17;08:32;08:34;08:47;08:47;09:02;09:04;09:17;09:19;09:32;09:32;09:47;09:47;10:02;10:02;09:55;09:56;10:17;10:17;10:25;10:28;10:35;10:37;10:45;10:47;10:55;10:56;11:05;11:07;11:15;11:16;11:25;11:26;11:35;11:37;11:45;11:47;11:55;11:56;12:05;12:07;12:15;12:16;12:25;12:26;12:35;12:37;12:45;12:46;12:55;12:55;13:05;13:05;13:15;13:16;13:25;13:25;13:35;13:35;13:45;13:46;13:55;13:58;14:05;14:05;14:15;14:16;14:25;14:25;14:35;14:37;14:45;14:46;14:55;14:56;15:05;15:05;15:15;15:14;15:25;15:26;15:35;15:35;15:45;15:47;15:55;15:56;16:05;16:05;16:15;16:16;16:25;16:26;16:35;16:37;16:45;16:46;16:55;16:56;17:05;17:07;17:15;17:16;17:25;17:29;17:35;17:37;17:45;17:46;17:55;17:55;18:05;18:07;18:15;18:17;18:25;18:26;18:35;18:37;18:45;18:46;18:55;18:58;19:05;19:05;19:17;19:19;19:32;19:32;19:47;19:47;20:02;20:02;20:17;20:16;20:32;20:32;20:47;20:49;21:02;21:02;21:17;21:17;21:32;21:32;21:47;21:47;22:02;22:04;22:17;22:16;22:32;22:32;22:52;22:52;23:22;23:23;23:52;23:53
Hauptbahnhof;00:30;00:31;00:55;00:54;04:07;04:07;04:37;04:37;05:00;05:00;05:30;05:32;06:00;06:02;06:30;06:29;07:00;07:01;07:30;07:34;08:00;08:01;07:47;07:49;08:20;08:20;08:35;08:37;08:50;08:50;09:05;09:07;09:20;09:25;09:35;09:37;09:50;09:50;10:05;10:05;09:58;09:59;10:20;10:20;10:29;10:31;10:39;10:40;10:49;10:52;10:59;10:59;11:09;11:10;11:19;11:19;11:29;11:31;11:39;11:40;11:49;11:50;11:59;11:59;12:09;12:10;12:19;12:20;12:29;12:31;12:39;12:40;12:49;12:50;12:59;12:58;13:09;13:10;13:19;13:19;13:29;13:28;13:39;13:38;13:49;13:49;13:59;14:02;14:09;14:08;14:19;14:20;14:29;14:29;14:39;14:41;14:49;14:50;14:59;15:01;15:09;15:10;15:19;15:18;15:29;15:30;15:39;15:40;15:49;15:52;15:59;15:59;16:09;16:08;16:19;16:20;16:29;16:30;16:39;16:40;16:49;16:49;16:59;17:01;17:09;17:11;17:19;17:20;17:29;17:34;17:39;17:40;17:49;17:49;17:59;18:01;18:09;18:10;18:19;18:20;18:29;18:29;18:39;18:41;18:49;18:49;18:59;19:02;19:09;19:08;19:20;19:23;19:35;19:36;19:50;19:51;20:05;20:05;20:20;20:19;20:35;20:36;20:50;20:51;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:08;22:20;22:20;22:35;22:36;23:00;23:00;23:30;23:31;00:00;00:01
Wilhelm-Liebknecht-Platz;00:33;00:34;;;04:10;04:09;04:40;04:39;05:03;05:04;05:33;05:34;06:03;06:04;06:33;06:31;07:03;07:04;07:33;07:35;08:03;08:04;07:50;07:51;08:23;08:23;08:38;08:39;08:53;08:53;09:08;09:09;09:23;09:27;09:38;09:39;09:53;09:53;10:08;10:08;10:01;10:02;10:23;10:23;10:32;10:33;10:42;10:42;10:52;10:55;11:02;11:02;11:12;11:14;11:22;11:21;11:32;11:33;11:42;11:42;11:52;11:53;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:33;12:42;12:42;12:52;12:53;13:02;13:00;13:12;13:12;13:22;13:21;13:32;13:30;13:42;13:41;13:52;13:51;14:02;14:05;14:12;14:11;14:22;14:23;14:32;14:32;14:42;14:44;14:52;14:53;15:02;15:03;15:12;15:12;15:22;15:21;15:32;15:33;15:42;15:42;15:52;15:55;16:02;16:02;16:12;16:11;16:22;16:23;16:32;16:33;16:42;16:42;16:52;16:51;17:02;17:03;17:12;17:14;17:22;17:23;17:32;17:36;17:42;17:42;17:52;17:51;18:02;18:03;18:12;18:12;18:22;18:23;18:32;18:32;18:42;18:44;18:52;18:51;19:02;19:05;19:12;19:11;19:23;19:26;19:38;19:39;19:53;19:54;20:08;20:08;20:23;20:23;20:38;20:39;20:53;20:54;21:08;21:08;21:23;21:23;21:38;21:38;21:53;21:53;22:08;22:10;22:23;22:23;22:38;22:39;23:03;23:05;23:33;23:34;00:03;00:04
Chausseehaus;00:35;00:36;;;04:12;04:11;04:42;04:41;05:05;05:06;05:35;05:36;06:05;06:06;06:35;06:33;07:05;07:06;07:35;07:37;08:05;08:06;07:52;07:53;08:25;08:25;08:40;08:41;08:55;08:54;09:10;09:11;09:25;09:29;09:40;09:41;09:55;09:55;10:10;10:10;10:03;10:03;10:25;10:24;10:34;10:35;10:44;10:44;10:54;10:57;11:04;11:04;11:14;11:15;11:24;11:24;11:34;11:35;11:44;11:44;11:54;11:54;12:04;12:04;12:14;12:14;12:24;12:24;12:34;12:35;12:44;12:44;12:54;12:54;13:04;13:03;13:14;13:14;13:24;13:23;13:34;13:33;13:44;13:42;13:54;13:53;14:04;14:06;14:14;14:13;14:24;14:25;14:34;14:33;14:44;14:45;14:54;14:54;15:04;15:05;15:14;15:14;15:24;15:23;15:34;15:35;15:44;15:44;15:54;15:57;16:04;16:03;16:14;16:13;16:24;16:25;16:34;16:35;16:44;16:44;16:54;16:53;17:04;17:06;17:14;17:16;17:24;17:25;17:34;17:38;17:44;17:44;17:54;17:53;18:04;18:05;18:14;18:14;18:24;18:25;18:34;18:34;18:44;18:46;18:54;18:53;19:04;19:07;19:14;19:13;19:25;19:28;19:40;19:41;19:55;19:56;20:10;20:09;20:25;20:24;20:40;20:41;20:55;20:56;21:10;21:10;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:12;22:25;22:25;22:40;22:41;23:05;23:07;23:35;23:36;00:05;00:05
Wilhelminenstraße;00:36;00:38;;;04:13;04:12;04:43;04:42;05:06;05:07;05:36;05:37;06:06;06:07;06:36;06:35;07:06;07:07;07:36;07:39;08:06;08:07;07:53;07:55;08:26;08:26;08:41;08:42;08:56;08:56;09:11;09:12;09:26;09:30;09:41;09:42;09:56;09:56;10:11;10:11;10:04;10:05;10:26;10:26;10:35;10:37;10:45;10:45;10:55;10:58;11:05;11:05;11:15;11:17;11:25;11:25;11:35;11:36;11:45;11:45;11:55;11:56;12:05;12:05;12:15;12:16;12:25;12:26;12:35;12:36;12:45;12:45;12:55;12:56;13:05;13:04;13:15;13:16;13:25;13:24;13:35;13:34;13:45;13:44;13:55;13:54;14:05;14:08;14:15;14:15;14:25;14:26;14:35;14:35;14:45;14:47;14:55;14:56;15:05;15:07;15:15;15:15;15:25;15:25;15:35;15:37;15:45;15:45;15:55;15:58;16:05;16:05;16:15;16:14;16:25;16:26;16:35;16:36;16:45;16:45;16:55;16:54;17:05;17:07;17:15;17:17;17:25;17:26;17:35;17:40;17:45;17:45;17:55;17:54;18:05;18:07;18:15;18:16;18:25;18:26;18:35;18:35;18:45;18:47;18:55;18:54;19:05;19:09;19:15;19:15;19:26;19:29;19:41;19:42;19:56;19:57;20:11;20:11;20:26;20:25;20:41;20:43;20:56;20:57;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:14;22:26;22:26;22:41;22:43;23:06;23:08;23:36;23:37;00:06;00:07
Eutritzscher Zentrum;00:37;00:39;;;04:14;04:14;04:44;04:44;05:07;05:08;05:37;05:38;06:07;06:08;06:37;06:36;07:07;07:08;07:37;07:40;08:07;08:08;07:54;07:56;08:27;08:27;08:42;08:44;08:57;08:57;09:12;09:14;09:27;09:32;09:42;09:44;09:57;09:58;10:12;10:12;10:05;10:06;10:27;10:27;10:36;10:38;10:46;10:47;10:56;10:59;11:06;11:06;11:16;11:18;11:26;11:27;11:36;11:38;11:46;11:46;11:56;11:57;12:06;12:06;12:16;12:17;12:26;12:27;12:36;12:38;12:46;12:47;12:56;12:57;13:06;13:06;13:16;13:17;13:26;13:26;13:36;13:36;13:46;13:45;13:56;13:56;14:06;14:09;14:16;14:16;14:26;14:27;14:36;14:36;14:46;14:48;14:56;14:57;15:06;15:08;15:16;15:17;15:26;15:26;15:36;15:38;15:46;15:47;15:56;16:00;16:06;16:06;16:16;16:16;16:26;16:28;16:36;16:38;16:46;16:47;16:56;16:56;17:06;17:08;17:16;17:18;17:26;17:28;17:36;17:41;17:46;17:47;17:56;17:56;18:06;18:08;18:16;18:17;18:26;18:27;18:36;18:36;18:46;18:49;18:56;18:56;19:06;19:10;19:16;19:16;19:27;19:31;19:42;19:44;19:57;19:58;20:12;20:12;20:27;20:26;20:42;20:44;20:57;20:58;21:12;21:13;21:27;21:28;21:42;21:42;21:57;21:57;22:12;22:15;22:27;22:27;22:42;22:44;23:07;23:10;23:37;23:39;00:07;00:08
Eutritzscher Markt;00:39;00:40;;;04:16;04:15;04:46;04:45;05:09;05:09;05:39;05:40;06:09;06:09;06:39;06:37;07:09;07:09;07:39;07:41;08:09;08:10;07:56;07:57;08:29;08:28;08:44;08:45;08:59;08:58;09:14;09:15;09:29;09:33;09:44;09:45;09:59;09:59;10:14;10:14;10:07;10:07;10:29;10:28;10:38;10:39;10:48;10:48;10:58;11:00;11:08;11:08;11:18;11:19;11:28;11:28;11:38;11:39;11:48;11:48;11:58;11:59;12:08;12:07;12:18;12:18;12:28;12:29;12:38;12:39;12:48;12:48;12:58;12:58;13:08;13:07;13:18;13:18;13:28;13:27;13:38;13:37;13:48;13:46;13:58;13:57;14:08;14:10;14:18;14:17;14:28;14:29;14:38;14:37;14:48;14:49;14:58;14:58;15:08;15:09;15:18;15:18;15:28;15:27;15:38;15:39;15:48;15:48;15:58;16:01;16:08;16:08;16:18;16:17;16:28;16:29;16:38;16:39;16:48;16:48;16:58;16:57;17:08;17:10;17:18;17:20;17:28;17:31;17:38;17:42;17:48;17:48;17:58;17:57;18:08;18:09;18:18;18:18;18:28;18:29;18:38;18:38;18:48;18:50;18:58;18:57;19:08;19:12;19:18;19:17;19:29;19:32;19:44;19:45;19:59;20:00;20:14;20:14;20:29;20:28;20:44;20:45;20:59;21:00;21:14;21:14;21:29;21:29;21:44;21:43;21:59;21:59;22:14;22:16;22:29;22:29;22:44;22:45;23:09;23:11;23:39;23:40;00:09;00:09
Mosenthinstraße;00:40;00:41;;;04:17;04:16;04:47;04:46;05:10;05:10;05:40;05:40;06:10;06:10;06:40;06:38;07:10;07:10;07:40;07:42;08:10;08:11;07:57;07:58;08:30;08:29;08:45;08:46;09:00;08:59;09:15;09:16;09:30;09:34;09:45;09:46;10:00;10:00;10:15;10:15;10:08;10:08;10:30;10:29;10:39;10:40;10:49;10:49;10:59;11:01;11:09;11:09;11:19;11:20;11:29;11:29;11:39;11:40;11:49;11:49;11:59;12:00;12:09;12:08;12:19;12:19;12:29;12:30;12:39;12:40;12:49;12:49;12:59;13:00;13:09;13:08;13:19;13:19;13:29;13:28;13:39;13:38;13:49;13:47;13:59;13:58;14:09;14:11;14:19;14:18;14:29;14:30;14:39;14:38;14:49;14:50;14:59;14:59;15:09;15:10;15:19;15:19;15:29;15:28;15:39;15:40;15:49;15:49;15:59;16:02;16:09;16:09;16:19;16:18;16:29;16:30;16:39;16:40;16:49;16:49;16:59;16:58;17:09;17:11;17:19;17:21;17:29;17:32;17:39;17:44;17:49;17:49;17:59;17:58;18:09;18:10;18:19;18:19;18:29;18:30;18:39;18:39;18:49;18:51;18:59;18:58;19:09;19:13;19:19;19:18;19:30;19:33;19:45;19:46;20:00;20:00;20:15;20:15;20:30;20:29;20:45;20:46;21:00;21:01;21:15;21:16;21:30;21:30;21:45;21:45;22:00;22:00;22:15;22:17;22:30;22:30;22:45;22:46;23:10;23:12;23:40;23:41;00:10;00:10
Delitzscher/Essener Str.;00:41;00:43;;;04:18;04:17;04:48;04:47;05:11;05:12;05:41;05:41;06:11;06:12;06:41;06:39;07:11;07:12;07:41;07:43;08:11;08:12;07:58;08:00;08:31;08:31;08:46;08:47;09:01;09:00;09:16;09:17;09:31;09:35;09:46;09:47;10:01;10:01;10:16;10:16;10:09;10:09;10:31;10:31;10:40;10:41;10:50;10:50;11:00;11:02;11:10;11:10;11:20;11:21;11:30;11:30;11:40;11:41;11:50;11:50;12:00;12:01;12:10;12:09;12:20;12:20;12:30;12:31;12:40;12:41;12:50;12:50;13:00;13:01;13:10;13:09;13:20;13:20;13:30;13:29;13:40;13:39;13:50;13:48;14:00;13:59;14:10;14:12;14:20;14:19;14:30;14:31;14:40;14:40;14:50;14:51;15:00;15:01;15:10;15:12;15:20;15:20;15:30;15:29;15:40;15:41;15:50;15:50;16:00;16:04;16:10;16:10;16:20;16:19;16:30;16:31;16:40;16:41;16:50;16:50;17:00;16:59;17:10;17:12;17:20;17:22;17:30;17:33;17:40;17:45;17:50;17:50;18:00;18:00;18:10;18:11;18:20;18:21;18:30;18:31;18:40;18:40;18:50;18:52;19:00;18:59;19:10;19:14;19:20;19:19;19:31;19:34;19:46;19:47;20:01;20:02;20:16;20:16;20:31;20:30;20:46;20:47;21:01;21:02;21:16;21:17;21:31;21:31;21:46;21:46;22:01;22:01;22:16;22:19;22:31;22:31;22:46;22:47;23:11;23:13;23:41;23:42;00:11;00:12
Hornbach Baumarkt;00:42;00:44;;;04:19;04:18;04:49;04:48;05:12;05:12;05:42;05:42;06:12;06:12;06:42;06:40;07:12;07:13;07:42;07:44;08:12;08:13;07:59;08:01;08:32;08:31;08:47;08:48;09:02;09:01;09:17;09:18;09:32;09:36;09:47;09:48;10:02;10:02;10:17;10:17;10:10;10:10;10:32;10:32;10:41;10:42;10:51;10:51;11:01;11:03;11:11;11:11;11:21;11:22;11:31;11:31;11:41;11:42;11:51;11:51;12:01;12:02;12:11;12:10;12:21;12:21;12:31;12:32;12:41;12:42;12:51;12:51;13:01;13:02;13:11;13:10;13:21;13:21;13:31;13:30;13:41;13:40;13:51;13:49;14:01;14:00;14:11;14:13;14:21;14:20;14:31;14:32;14:41;14:41;14:51;14:52;15:01;15:01;15:11;15:13;15:21;15:21;15:31;15:30;15:41;15:42;15:51;15:51;16:01;16:05;16:11;16:11;16:21;16:20;16:31;16:32;16:41;16:42;16:51;16:51;17:01;17:00;17:11;17:13;17:21;17:23;17:31;17:34;17:41;17:46;17:51;17:51;18:01;18:01;18:11;18:12;18:21;18:22;18:31;18:32;18:41;18:41;18:51;18:54;19:01;19:00;19:11;19:15;19:21;19:20;19:32;19:35;19:47;19:48;20:02;20:02;20:17;20:17;20:32;20:31;20:47;20:48;21:02;21:03;21:17;21:18;21:32;21:32;21:47;21:47;22:02;22:02;22:17;22:19;22:32;22:32;22:47;22:49;23:12;23:14;23:42;23:43;00:12;00:13
Klinikum St. Georg;00:43;00:45;;;04:20;04:18;04:50;04:49;05:13;05:13;05:43;05:43;06:13;06:13;06:43;06:42;07:13;07:14;07:43;07:45;08:13;08:14;08:00;08:02;08:33;08:33;08:48;08:49;09:03;09:02;09:18;09:19;09:33;09:37;09:48;09:50;10:03;10:03;10:18;10:18;10:11;10:11;10:33;10:33;10:42;10:43;10:52;10:52;11:02;11:04;11:12;11:12;11:22;11:23;11:32;11:32;11:42;11:43;11:52;11:52;12:02;12:03;12:12;12:11;12:22;12:23;12:32;12:33;12:42;12:43;12:52;12:52;13:02;13:03;13:12;13:11;13:22;13:22;13:32;13:32;13:42;13:42;13:52;13:51;14:02;14:02;14:12;14:15;14:22;14:21;14:32;14:33;14:42;14:42;14:52;14:54;15:02;15:02;15:12;15:14;15:22;15:23;15:32;15:31;15:42;15:43;15:52;15:52;16:02;16:06;16:12;16:12;16:22;16:21;16:32;16:33;16:42;16:43;16:52;16:52;17:02;17:01;17:12;17:14;17:22;17:24;17:32;17:36;17:42;17:47;17:52;17:52;18:02;18:02;18:12;18:14;18:22;18:23;18:32;18:33;18:42;18:42;18:52;18:55;19:02;19:01;19:12;19:16;19:22;19:21;19:33;19:37;19:48;19:49;20:03;20:04;20:18;20:18;20:33;20:32;20:48;20:49;21:03;21:04;21:18;21:19;21:33;21:33;21:48;21:48;22:03;22:03;22:18;22:21;22:33;22:33;22:48;22:50;23:13;23:14;23:43;23:44;00:13;00:14
Dachauer Straße;00:45;00:47;;;04:22;04:20;04:52;04:51;05:15;05:15;05:45;05:45;06:15;06:15;06:45;06:44;07:15;07:15;07:45;07:46;08:15;08:16;08:02;08:03;08:35;08:34;08:50;08:51;09:05;09:04;09:20;09:21;09:35;09:39;09:50;09:51;10:05;10:05;10:20;10:20;10:13;10:13;10:35;10:35;10:44;10:45;10:54;10:54;11:04;11:06;11:14;11:14;11:24;11:25;11:34;11:34;11:44;11:45;11:54;11:53;12:04;12:05;12:14;12:13;12:24;12:24;12:34;12:35;12:44;12:44;12:54;12:54;13:04;13:05;13:14;13:13;13:24;13:24;13:34;13:33;13:44;13:43;13:54;13:52;14:04;14:03;14:14;14:16;14:24;14:23;14:34;14:35;14:44;14:44;14:54;14:56;15:04;15:05;15:14;15:16;15:24;15:24;15:34;15:33;15:44;15:45;15:54;15:54;16:04;16:08;16:14;16:14;16:24;16:23;16:34;16:35;16:44;16:45;16:54;16:54;17:04;17:03;17:14;17:16;17:24;17:26;17:34;17:38;17:44;17:49;17:54;17:54;18:04;18:03;18:14;18:15;18:24;18:25;18:34;18:35;18:44;18:44;18:54;18:57;19:04;19:03;19:14;19:18;19:24;19:23;19:35;19:38;19:50;19:51;20:05;20:05;20:20;20:20;20:35;20:34;20:50;20:51;21:05;21:05;21:20;21:20;21:35;21:34;21:50;21:49;22:05;22:05;22:20;22:22;22:35;22:35;22:50;22:51;23:15;23:16;23:45;23:46;00:15;00:15
Wiederitzsch-Mitte;00:47;00:48;;;04:24;04:21;04:54;04:52;05:17;05:16;05:47;05:46;06:17;06:16;06:47;06:45;07:17;07:16;07:47;07:47;08:17;08:17;08:04;08:05;08:37;08:36;08:52;08:52;09:07;09:06;09:22;09:23;09:37;09:41;09:52;09:53;10:07;10:06;10:22;10:21;10:15;10:14;10:37;10:36;10:46;10:47;10:56;10:56;11:06;11:07;11:16;11:15;11:26;11:26;11:36;11:35;11:46;11:46;11:56;11:55;12:06;12:06;12:16;12:14;12:26;12:26;12:36;12:36;12:46;12:46;12:56;12:55;13:06;13:06;13:16;13:14;13:26;13:26;13:36;13:35;13:46;13:44;13:56;13:54;14:06;14:05;14:16;14:17;14:26;14:25;14:36;14:37;14:46;14:45;14:56;14:57;15:06;15:06;15:16;15:17;15:26;15:26;15:36;15:35;15:46;15:46;15:56;15:55;16:06;16:09;16:16;16:15;16:26;16:25;16:36;16:36;16:46;16:46;16:56;16:56;17:06;17:04;17:16;17:18;17:26;17:27;17:36;17:39;17:46;17:50;17:56;17:55;18:06;18:05;18:16;18:17;18:26;18:26;18:36;18:36;18:46;18:45;18:56;18:59;19:06;19:04;19:16;19:19;19:26;19:25;19:37;19:40;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:36;20:52;20:52;21:07;21:07;21:22;21:22;21:37;21:35;21:52;21:51;22:07;22:06;22:22;22:24;22:37;22:36;22:52;22:53;23:17;23:17;23:47;23:47;00:17;00:17
Georg-Herwegh-Straße;00:48;00:49;;;04:25;04:22;04:55;04:53;05:18;05:17;05:48;05:47;06:18;06:17;06:48;06:46;07:18;07:17;07:48;07:48;08:18;08:18;08:05;08:06;08:38;08:37;08:53;08:53;09:08;09:07;09:23;09:24;09:38;09:42;09:53;09:54;10:08;10:07;10:23;10:22;10:16;10:15;10:38;10:37;10:47;10:48;10:57;10:57;11:07;11:08;11:17;11:16;11:27;11:27;11:37;11:36;11:47;11:47;11:57;11:56;12:07;12:07;12:17;12:15;12:27;12:27;12:37;12:37;12:47;12:47;12:57;12:56;13:07;13:07;13:17;13:15;13:27;13:27;13:37;13:36;13:47;13:46;13:57;13:55;14:07;14:06;14:17;14:18;14:27;14:26;14:37;14:38;14:47;14:46;14:57;14:58;15:07;15:07;15:17;15:18;15:27;15:27;15:37;15:36;15:47;15:48;15:57;15:56;16:07;16:10;16:17;16:16;16:27;16:26;16:37;16:37;16:47;16:48;16:57;16:57;17:07;17:06;17:17;17:19;17:27;17:28;17:37;17:40;17:47;17:51;17:57;17:56;18:07;18:06;18:17;18:18;18:27;18:27;18:37;18:37;18:47;18:46;18:57;19:00;19:07;19:05;19:17;19:20;19:27;19:26;19:38;19:41;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:37;20:53;20:53;21:08;21:08;21:23;21:23;21:38;21:36;21:53;21:52;22:08;22:07;22:23;22:25;22:38;22:37;22:53;22:54;23:18;23:18;23:48;23:48;00:18;00:18
S-Bf. Messe;00:49;00:50;;;04:26;04:23;04:56;04:54;05:19;05:18;05:49;05:48;06:19;06:18;06:49;06:47;07:19;07:18;07:49;07:49;08:19;08:20;08:06;08:07;08:39;08:38;08:54;08:54;09:09;09:08;09:24;09:25;09:39;09:43;09:54;09:55;10:09;10:08;10:24;10:23;10:17;10:16;10:39;10:38;10:48;10:49;10:58;10:58;11:08;11:09;11:18;11:17;11:28;11:28;11:38;11:37;11:48;11:48;11:58;11:57;12:08;12:08;12:18;12:16;12:28;12:28;12:38;12:38;12:48;12:48;12:58;12:57;13:08;13:08;13:18;13:16;13:28;13:28;13:38;13:37;13:48;13:47;13:58;13:56;14:08;14:07;14:18;14:19;14:28;14:27;14:38;14:39;14:48;14:47;14:58;14:59;15:08;15:08;15:18;15:19;15:28;15:28;15:38;15:37;15:48;15:49;15:58;15:57;16:08;16:11;16:18;16:17;16:28;16:27;16:38;16:38;16:48;16:48;16:58;16:59;17:08;17:07;17:18;17:20;17:28;17:29;17:38;17:42;17:48;17:52;17:58;17:57;18:08;18:07;18:18;18:19;18:28;18:28;18:38;18:38;18:48;18:47;18:58;19:01;19:08;19:06;19:18;19:21;19:28;19:27;19:39;19:42;19:54;19:54;20:09;20:08;20:24;20:24;20:39;20:37;20:54;20:54;21:09;21:08;21:24;21:24;21:39;21:37;21:54;21:53;22:09;22:08;22:24;22:26;22:39;22:38;22:54;22:55;23:19;23:19;23:49;23:49;00:19;00:19
