Kurs:;54;;31;;70;;70;;70;;56;;52;;53;;54;;56;;52;;53;;54;;55;;56;;15;;52;;41;;24;;13;;14;;15;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;16;;17;;11;;12;;13;;14;;15;;56;;51;;52;;53;;31;;54;;15;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Wilhelm-Liebknecht-Platz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12:40;12:39;12:55;12:54;13:10;13:10;13:25;13:27;13:40;13:39;13:55;13:54;14:10;14:09;14:25;14:24;14:40;14:39;14:55;14:55;15:10;15:12;15:25;15:24;15:40;15:39;15:55;15:54;16:10;16:10;16:25;16:24;16:40;16:41;16:55;16:55;17:10;17:09;17:25;17:24;17:40;17:40;17:55;17:54;18:10;18:10;18:25;18:24;18:40;18:40;18:55;18:55;19:10;19:09;19:25;19:25;19:40;19:39;19:55;19:55;20:10;20:11;20:25;20:25;20:40;20:41;;;;;;;;;;;;;;;;;;
Hauptbahnhof;;;;;01:05;01:07;02:16;02:11;03:27;03:21;;;;;;;;;;;;;;;;;;;;;09:25;09:27;;;09:43;09:48;09:55;09:55;10:10;10:09;10:25;10:25;10:40;10:39;10:55;10:55;11:10;11:09;11:25;11:24;11:40;11:39;11:55;11:54;12:10;12:10;12:25;12:24;12:43;12:43;12:58;12:58;13:13;13:14;13:28;13:31;13:43;13:43;13:58;13:58;14:13;14:13;14:28;14:28;14:43;14:44;14:58;14:59;15:13;15:16;15:28;15:28;15:43;15:43;15:58;15:58;16:13;16:14;16:28;16:29;16:43;16:45;16:58;16:59;17:13;17:13;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:14;18:28;18:28;18:43;18:44;18:58;18:59;19:13;19:13;19:28;19:28;19:43;19:42;19:58;19:58;20:13;20:14;20:28;20:28;20:43;20:44;;;;;;;;;;;;;;;;;;
Augustusplatz;;;;;01:14;01:14;02:25;02:25;03:36;03:37;;;;;;;;;;;;;;;;;;;;;09:31;09:32;;;09:46;09:50;10:01;10:01;10:16;10:16;10:31;10:31;10:46;10:46;11:01;11:01;11:16;11:16;11:31;11:31;11:46;11:46;12:01;12:01;12:16;12:16;12:31;12:31;12:46;12:46;13:01;13:01;13:16;13:17;13:31;13:34;13:46;13:46;14:01;14:01;14:16;14:16;14:31;14:31;14:46;14:47;15:01;15:02;15:16;15:19;15:31;15:31;15:46;15:46;16:01;16:01;16:16;16:17;16:31;16:31;16:46;16:47;17:01;17:02;17:16;17:16;17:31;17:31;17:46;17:46;18:01;18:01;18:16;18:17;18:31;18:31;18:46;18:49;19:01;19:02;19:16;19:16;19:31;19:31;19:46;19:46;20:01;20:01;20:16;20:17;20:31;20:31;20:46;20:47;;;;;;;;;;;;;;;;;;
Wilhelm-Leuschner-Platz;;;;;01:17;01:17;02:28;02:27;03:39;03:39;;;;;;;;;;;;;;;;;;;;;09:34;09:35;;;09:49;09:52;10:04;10:03;10:19;10:18;10:34;10:33;10:49;10:48;11:04;11:03;11:19;11:18;11:34;11:33;11:49;11:48;12:04;12:03;12:19;12:19;12:34;12:33;12:49;12:48;13:04;13:03;13:19;13:20;13:34;13:36;13:49;13:48;14:04;14:03;14:19;14:18;14:34;14:33;14:49;14:49;15:04;15:05;15:19;15:21;15:34;15:33;15:49;15:48;16:04;16:05;16:19;16:19;16:34;16:33;16:49;16:50;17:04;17:05;17:19;17:18;17:34;17:33;17:49;17:48;18:04;18:03;18:19;18:20;18:34;18:33;18:49;18:51;19:04;19:05;19:19;19:18;19:34;19:35;19:49;19:48;20:04;20:03;20:19;20:19;20:34;20:33;20:49;20:49;;;;;;;;;;;;;;;;;;
Münzgasse, LVZ;;;;;01:18;01:18;02:29;02:28;03:40;03:41;;;;;;;;;;;;;;;;;;;;;09:35;09:36;;;09:50;09:54;10:05;10:05;10:20;10:20;10:35;10:35;10:50;10:49;11:05;11:05;11:20;11:20;11:35;11:34;11:50;11:50;12:05;12:04;12:20;12:20;12:35;12:35;12:50;12:50;13:05;13:04;13:20;13:21;13:35;13:37;13:50;13:50;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:51;15:05;15:06;15:20;15:23;15:35;15:34;15:50;15:49;16:05;16:06;16:20;16:21;16:35;16:34;16:50;16:51;17:05;17:06;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:05;18:20;18:21;18:35;18:35;18:50;18:53;19:05;19:06;19:20;19:20;19:35;19:36;19:50;19:50;20:05;20:05;20:20;20:21;20:35;20:35;20:50;20:51;;;;;;;;;;;;;;;;;;
Hohe Straße;;;;;01:19;01:19;02:30;02:30;03:41;03:42;;;;;;;;;;;;;;;;;;;;;09:36;09:37;;;09:51;09:55;10:06;10:06;10:21;10:20;10:36;10:35;10:51;10:50;11:06;11:06;11:21;11:20;11:36;11:35;11:51;11:51;12:06;12:05;12:21;12:21;12:36;12:36;12:51;12:51;13:06;13:05;13:21;13:22;13:36;13:38;13:51;13:50;14:06;14:06;14:21;14:21;14:36;14:36;14:51;14:52;15:06;15:07;15:21;15:25;15:36;15:35;15:51;15:50;16:06;16:07;16:21;16:22;16:36;16:35;16:51;16:52;17:06;17:07;17:21;17:22;17:36;17:36;17:51;17:51;18:06;18:06;18:21;18:22;18:36;18:36;18:51;18:54;19:06;19:07;19:21;19:21;19:36;19:38;19:51;19:51;20:06;20:06;20:21;20:22;20:36;20:36;20:51;20:52;;;;;;;;;;;;;;;;;;
Südplatz;;;;;01:21;01:21;02:32;02:31;03:43;03:43;;;;;;;;;;;;;;;;;;;;;09:38;09:38;;;09:53;09:56;10:08;10:07;10:23;10:22;10:38;10:38;10:53;10:51;11:08;11:07;11:23;11:21;11:38;11:36;11:53;11:53;12:08;12:06;12:23;12:22;12:38;12:37;12:53;12:52;13:08;13:07;13:23;13:23;13:38;13:40;13:53;13:52;14:08;14:07;14:23;14:22;14:38;14:37;14:53;14:53;15:08;15:08;15:23;15:27;15:38;15:37;15:53;15:52;16:08;16:08;16:23;16:23;16:38;16:36;16:53;16:54;17:08;17:08;17:23;17:23;17:38;17:37;17:53;17:52;18:08;18:08;18:23;18:25;18:38;18:37;18:53;18:56;19:08;19:09;19:23;19:23;19:38;19:39;19:53;19:52;20:08;20:07;20:23;20:24;20:38;20:38;20:53;20:55;;;;;;;;;;;;;;;;;;
K.-Liebkn.-/K.-Eisner-S.;;;;;01:22;01:22;02:33;02:34;03:44;03:44;;;;;;;;;;;;;;;;;;;;;09:39;09:39;;;09:54;09:58;10:09;10:08;10:24;10:23;10:39;10:39;10:54;10:54;11:09;11:08;11:24;11:23;11:39;11:38;11:54;11:54;12:09;12:08;12:24;12:23;12:39;12:38;12:54;12:54;13:09;13:08;13:24;13:25;13:39;13:41;13:54;13:54;14:09;14:08;14:24;14:23;14:39;14:39;14:54;14:55;15:09;15:10;15:24;15:29;15:39;15:38;15:54;15:53;16:09;16:10;16:24;16:25;16:39;16:38;16:54;16:55;17:09;17:10;17:24;17:25;17:39;17:38;17:54;17:54;18:09;18:10;18:24;18:26;18:39;18:39;18:54;18:57;19:09;19:11;19:24;19:24;19:39;19:40;19:54;19:54;20:09;20:08;20:24;20:25;20:39;20:39;20:54;20:56;;;;;;;;;;;;;;;;;;
Richard-Lehmann-Straße, HTWK;;;;;01:24;01:23;02:35;02:35;03:46;03:46;;;;;;;;;;;;;;;;;;;;;09:41;09:41;;;09:56;10:00;10:11;10:10;10:26;10:24;10:41;10:41;10:56;10:55;11:11;11:10;11:26;11:25;11:41;11:39;11:56;11:55;12:11;12:10;12:26;12:25;12:41;12:40;12:56;12:56;13:11;13:10;13:26;13:26;13:41;13:42;13:56;13:55;14:11;14:10;14:26;14:25;14:41;14:41;14:56;14:57;15:11;15:12;15:26;15:31;15:41;15:40;15:56;15:54;16:11;16:12;16:26;16:26;16:41;16:39;16:56;16:57;17:11;17:12;17:26;17:26;17:41;17:39;17:56;17:55;18:11;18:11;18:26;18:27;18:41;18:41;18:56;18:58;19:11;19:14;19:26;19:26;19:41;19:43;19:56;19:55;20:11;20:11;20:26;20:27;20:41;20:41;20:56;20:58;;;;;;;;;;;;;;;;;;
Connewitz  Kreuz;00:00;00:01;00:30;00:30;01:25;01:25;02:36;02:36;03:47;03:47;05:00;04:59;05:30;05:29;06:00;06:02;06:30;06:31;07:00;07:00;07:30;07:29;08:00;07:59;08:30;08:30;;;09:00;09:00;09:42;09:42;09:30;09:31;09:57;10:01;10:12;10:12;10:27;10:26;10:42;10:42;10:57;10:56;11:12;11:11;11:27;11:27;11:42;11:43;11:57;11:57;12:12;12:12;12:27;12:26;12:42;12:41;12:57;12:58;13:12;13:12;13:27;13:28;13:42;13:43;13:57;13:57;14:12;14:11;14:27;14:27;14:42;14:42;14:57;14:58;15:12;15:13;15:27;15:32;15:42;15:41;15:57;15:56;16:12;16:13;16:27;16:28;16:42;16:41;16:57;16:59;17:12;17:13;17:27;17:28;17:42;17:41;17:57;17:57;18:12;18:13;18:27;18:29;18:42;18:42;18:57;18:59;19:12;19:15;19:27;19:27;19:42;19:44;19:57;19:57;20:12;20:12;20:27;20:28;20:42;20:43;20:57;20:59;21:16;21:15;21:31;21:31;21:46;21:46;22:01;22:01;22:16;22:15;22:31;22:32;22:46;22:46;23:00;22:59;23:30;23:29
Wiedebachplatz;00:02;00:02;00:32;00:31;01:27;01:26;02:38;02:38;03:49;03:49;05:02;05:01;05:32;05:30;06:02;06:04;06:32;06:33;07:02;07:01;07:32;07:31;08:02;08:01;08:32;08:31;08:52;08:53;09:02;09:01;09:44;09:44;09:32;09:33;09:59;10:03;10:14;10:13;10:29;10:28;10:44;10:44;10:59;10:58;11:14;11:13;11:29;11:29;11:44;11:44;11:59;11:59;12:14;12:13;12:29;12:28;12:44;12:43;12:59;13:00;13:14;13:14;13:29;13:30;13:44;13:45;13:59;13:58;14:14;14:13;14:29;14:29;14:44;14:44;14:59;15:00;15:14;15:15;15:29;15:34;15:44;15:43;15:59;15:58;16:14;16:15;16:29;16:30;16:44;16:43;16:59;17:01;17:14;17:15;17:29;17:30;17:44;17:43;17:59;17:59;18:14;18:15;18:29;18:31;18:44;18:44;18:59;19:02;19:14;19:17;19:29;19:29;19:44;19:46;19:59;19:59;20:14;20:14;20:29;20:30;20:44;20:45;20:59;21:01;21:18;21:17;21:33;21:33;21:48;21:48;22:03;22:02;22:18;22:17;22:33;22:34;22:48;22:47;23:02;23:01;23:32;23:31
Meusdorfer Straße;00:03;00:03;00:33;00:33;01:28;01:28;02:39;02:40;03:50;03:50;05:03;05:03;05:33;05:32;06:03;06:05;06:33;06:34;07:03;07:03;07:33;07:32;08:03;08:03;08:33;08:32;08:53;08:54;09:03;09:02;09:45;09:45;09:33;09:34;10:00;10:04;10:15;10:15;10:30;10:29;10:45;10:45;11:00;10:59;11:15;11:15;11:30;11:30;11:45;11:46;12:00;12:00;12:15;12:14;12:30;12:29;12:45;12:45;13:00;13:01;13:15;13:15;13:30;13:31;13:45;13:46;14:00;14:00;14:15;14:15;14:30;14:30;14:45;14:45;15:00;15:01;15:15;15:17;15:30;15:35;15:45;15:44;16:00;15:59;16:15;16:17;16:30;16:31;16:45;16:44;17:00;17:02;17:15;17:16;17:30;17:32;17:45;17:44;18:00;18:01;18:15;18:16;18:30;18:32;18:45;18:45;19:00;19:03;19:15;19:19;19:30;19:30;19:45;19:47;20:00;20:00;20:15;20:16;20:30;20:31;20:45;20:46;21:00;21:03;21:19;21:18;21:34;21:34;21:49;21:49;22:04;22:04;22:19;22:18;22:34;22:35;22:49;22:49;23:03;23:02;23:33;23:33
Triftweg;00:05;00:06;00:35;00:35;01:30;01:31;02:41;02:42;03:52;03:52;05:05;05:05;05:35;05:34;06:05;06:08;06:35;06:36;07:05;07:05;07:35;07:35;08:05;08:05;08:35;08:34;08:55;08:57;09:05;09:04;09:47;09:47;09:35;09:36;10:02;10:07;10:17;10:17;10:32;10:31;10:47;10:47;11:02;11:02;11:17;11:18;11:32;11:32;11:47;11:48;12:02;12:03;12:17;12:17;12:32;12:31;12:47;12:47;13:02;13:03;13:17;13:17;13:32;13:34;13:47;13:48;14:02;14:02;14:17;14:17;14:32;14:32;14:47;14:48;15:02;15:04;15:17;15:18;15:32;15:38;15:47;15:47;16:02;16:02;16:17;16:18;16:32;16:34;16:47;16:46;17:02;17:04;17:17;17:18;17:32;17:35;17:47;17:46;18:02;18:03;18:17;18:18;18:32;18:35;18:47;18:47;19:02;19:05;19:17;19:21;19:32;19:32;19:47;19:50;20:02;20:02;20:17;20:18;20:32;20:34;20:47;20:48;21:02;21:05;21:21;21:20;21:36;21:36;21:51;21:52;22:06;22:06;22:21;22:21;22:36;22:38;22:51;22:51;23:05;23:05;23:35;23:35
An der Märchenwiese;00:06;00:07;00:36;00:36;01:31;01:32;02:42;02:43;03:53;03:53;05:06;05:07;05:36;05:35;06:06;06:09;06:36;06:37;07:06;07:06;07:36;07:36;08:06;08:06;08:36;08:35;08:56;08:58;09:06;09:05;09:48;09:48;09:36;09:37;10:03;10:08;10:18;10:18;10:33;10:32;10:48;10:48;11:03;11:03;11:18;11:19;11:33;11:33;11:48;11:49;12:03;12:03;12:18;12:18;12:33;12:32;12:48;12:48;13:03;13:04;13:18;13:18;13:33;13:35;13:48;13:49;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:49;15:03;15:05;15:18;15:19;15:33;15:39;15:48;15:48;16:03;16:02;16:18;16:19;16:33;16:35;16:48;16:47;17:03;17:05;17:18;17:20;17:33;17:36;17:48;17:47;18:03;18:04;18:18;18:19;18:33;18:36;18:48;18:48;19:03;19:06;19:18;19:22;19:33;19:33;19:48;19:51;20:03;20:03;20:18;20:19;20:33;20:35;20:48;20:49;21:03;21:06;21:22;21:21;21:37;21:37;21:52;21:53;22:07;22:07;22:22;22:22;22:37;22:39;22:52;22:52;23:06;23:05;23:36;23:36
Moritz Hof;00:07;00:08;00:37;00:37;01:32;01:33;02:43;02:44;03:54;03:54;05:07;05:09;05:37;05:36;06:07;06:10;06:37;06:38;07:07;07:07;07:37;07:36;08:07;08:07;08:37;08:36;08:57;08:59;09:07;09:06;09:49;09:49;09:37;09:38;10:04;10:09;10:19;10:19;10:34;10:33;10:49;10:49;11:04;11:04;11:19;11:20;11:34;11:34;11:49;11:50;12:04;12:04;12:19;12:19;12:34;12:33;12:49;12:49;13:04;13:06;13:19;13:19;13:34;13:36;13:49;13:50;14:04;14:04;14:19;14:19;14:34;14:34;14:49;14:50;15:04;15:06;15:19;15:21;15:34;15:40;15:49;15:49;16:04;16:04;16:19;16:20;16:34;16:36;16:49;16:49;17:04;17:06;17:19;17:21;17:34;17:37;17:49;17:49;18:04;18:05;18:19;18:20;18:34;18:37;18:49;18:49;19:04;19:07;19:19;19:23;19:34;19:34;19:49;19:52;20:04;20:04;20:19;20:20;20:34;20:36;20:49;20:50;21:04;21:07;21:23;21:22;21:38;21:38;21:53;21:54;22:08;22:08;22:23;22:23;22:38;22:40;22:53;22:53;23:07;23:06;23:37;23:37
Lößnig;00:08;00:09;00:38;00:38;01:33;01:33;02:44;02:44;03:55;03:55;05:08;05:10;05:38;05:37;06:08;06:11;06:38;06:39;07:08;07:08;07:38;07:37;08:08;08:08;08:38;08:37;08:58;09:00;09:08;09:07;09:50;09:50;09:38;09:39;10:05;10:09;10:20;10:20;10:35;10:34;10:50;10:50;11:05;11:05;11:20;11:21;11:35;11:35;11:50;11:51;12:05;12:05;12:20;12:20;12:35;12:34;12:50;12:49;13:05;13:07;13:20;13:20;13:35;13:37;13:50;13:51;14:05;14:05;14:20;14:20;14:35;14:35;14:50;14:51;15:05;15:07;15:20;15:22;15:35;15:41;15:50;15:50;16:05;16:04;16:20;16:21;16:35;16:37;16:50;16:49;17:05;17:07;17:20;17:22;17:35;17:38;17:50;17:49;18:05;18:06;18:20;18:21;18:35;18:38;18:50;18:50;19:05;19:08;19:20;19:24;19:35;19:35;19:50;19:53;20:05;20:05;20:20;20:21;20:35;20:36;20:50;20:51;21:05;21:08;21:24;21:23;21:39;21:39;21:54;21:55;22:09;22:09;22:24;22:24;22:39;22:41;22:54;22:54;23:08;23:07;23:38;23:38
