Kurs:;41;;42;;43;;45;;44;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;;42;;43;;44;;45;;46;;41;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Marschnerstraße;;;;;;;12:47;12:47;;;13:02;13:01;13:17;13:18;13:32;13:32;13:47;13:47;14:02;14:04;14:17;14:18;14:32;14:33;14:47;14:51;15:02;15:01;15:17;15:18;15:32;15:33;15:47;15:47;16:02;16:02;16:17;16:17;16:32;16:32;16:47;16:47;17:02;17:03;17:17;17:19;17:32;17:34;17:47;17:51;;;;;;;;;;;;
Westplatz;11:49;11:50;12:04;12:04;12:19;12:20;12:49;12:49;12:34;12:35;13:04;13:03;13:19;13:20;13:34;13:34;13:49;13:49;14:04;14:05;14:19;14:19;14:34;14:34;14:49;14:53;15:04;15:03;15:19;15:19;15:34;15:35;15:49;15:49;16:04;16:05;16:19;16:19;16:34;16:34;16:49;16:49;17:04;17:05;17:19;17:20;17:34;17:36;17:49;17:52;;;;;;;;;;;;
Neues Rathaus;11:51;11:52;12:06;12:05;12:21;12:22;12:51;12:50;12:36;12:37;13:06;13:05;13:21;13:22;13:36;13:35;13:51;13:50;14:06;14:07;14:21;14:22;14:36;14:37;14:51;14:55;15:06;15:05;15:21;15:22;15:36;15:37;15:51;15:52;16:06;16:07;16:21;16:22;16:36;16:35;16:51;16:50;17:06;17:07;17:21;17:22;17:36;17:38;17:51;17:55;;;;;;;;;;;;
Wilhelm-Leuschner-Platz;11:53;11:53;12:08;12:07;12:23;12:23;12:53;12:52;12:38;12:38;13:08;13:07;13:23;13:23;13:38;13:37;13:53;13:52;14:08;14:08;14:23;14:23;14:38;14:38;14:53;14:57;15:08;15:07;15:23;15:24;15:38;15:38;15:53;15:54;16:08;16:08;16:23;16:25;16:38;16:37;16:53;16:52;17:08;17:09;17:23;17:23;17:38;17:40;17:53;17:57;;;;;;;;;;;;
Roßplatz;11:54;11:54;12:09;12:08;12:24;12:24;12:54;12:53;12:39;12:39;13:09;13:08;13:24;13:24;13:39;13:38;13:54;13:53;14:09;14:09;14:24;14:24;14:39;14:39;14:54;14:59;15:09;15:08;15:24;15:25;15:39;15:39;15:54;15:56;16:09;16:10;16:24;16:26;16:39;16:38;16:54;16:53;17:09;17:11;17:24;17:25;17:39;17:41;17:54;17:58;;;;;;;;;;;;
Härtelstraße;11:55;11:55;12:10;12:09;12:25;12:25;12:55;12:54;12:40;12:40;13:10;13:09;13:25;13:26;13:40;13:39;13:55;13:54;14:10;14:10;14:25;14:25;14:40;14:40;14:55;15:01;15:10;15:09;15:25;15:26;15:40;15:40;15:55;15:57;16:10;16:11;16:25;16:27;16:40;16:39;16:55;16:54;17:10;17:12;17:25;17:26;17:40;17:42;17:55;17:59;;;;;;;;;;;;
Bayerischer Bahnhof;11:57;11:57;12:12;12:10;12:27;12:27;12:57;12:56;12:42;12:42;13:12;13:10;13:27;13:27;13:42;13:40;13:57;13:56;14:12;14:12;14:27;14:27;14:42;14:42;14:57;15:03;15:12;15:10;15:27;15:27;15:42;15:42;15:57;15:58;16:12;16:12;16:27;16:28;16:42;16:40;16:57;16:55;17:12;17:13;17:27;17:27;17:42;17:45;17:57;18:00;;;;;;;;;;;;
Johannisallee;11:58;11:58;12:13;12:12;12:28;12:29;12:58;12:57;12:43;12:43;13:13;13:12;13:28;13:28;13:43;13:42;13:58;13:57;14:13;14:13;14:28;14:28;14:43;14:43;14:58;15:04;15:13;15:12;15:28;15:28;15:43;15:43;15:58;16:00;16:13;16:13;16:28;16:30;16:43;16:42;16:58;16:57;17:13;17:15;17:28;17:28;17:43;17:46;17:58;18:02;;;;;;;;;;;;
Dt. Nationalbibliothek;12:00;12:00;12:15;12:13;12:30;12:31;13:00;12:59;12:45;12:45;13:15;13:14;13:30;13:31;13:45;13:43;14:00;14:00;14:15;14:16;14:30;14:30;14:45;14:46;15:00;15:06;15:15;15:15;15:30;15:30;15:45;15:45;16:00;16:01;16:15;16:15;16:30;16:33;16:45;16:43;17:00;17:00;17:15;17:16;17:30;17:31;17:45;17:48;18:00;18:04;;;;;;;;;;;;
Altes Messegelände;12:02;12:03;12:17;12:16;12:32;12:34;13:02;13:01;12:47;12:48;13:17;13:16;13:32;13:32;13:47;13:46;14:02;14:03;14:17;14:18;14:32;14:33;14:47;14:49;15:02;15:09;15:17;15:16;15:32;15:33;15:47;15:48;16:02;16:04;16:17;16:17;16:32;16:36;16:47;16:46;17:02;17:03;17:17;17:19;17:32;17:34;17:47;17:49;18:02;18:07;;;;;;;;;;;;
Naunhofer Straße;12:03;12:03;12:18;12:17;12:33;12:35;13:03;13:02;12:48;12:49;13:18;13:17;13:33;13:33;13:48;13:47;14:03;14:03;14:18;14:18;14:33;14:33;14:48;14:50;15:03;15:11;15:18;15:17;15:33;15:33;15:48;15:48;16:03;16:05;16:18;16:18;16:33;16:37;16:48;16:47;17:03;17:03;17:18;17:20;17:33;17:35;17:48;17:50;18:03;18:08;;;;;;;;;;;;
