Kurs:;52;;53;;53;;54;;56;;52;;53;;54;;56;;52;;53;;54;;31;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;55;;56;;51;;52;;53;;31;;54;;15;;56;;51;;52;;53;;54;;56;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Bayerischer Bahnhof;04:19;04:20;04:34;04:37;;;05:01;05:02;05:31;05:34;06:01;06:04;06:31;06:31;07:01;07:02;07:31;07:32;08:01;08:03;08:31;08:32;09:01;09:02;;;09:18;09:22;09:33;09:34;09:48;09:52;10:03;10:04;10:18;10:19;10:33;10:35;10:48;10:49;11:03;11:04;11:18;11:21;11:33;11:34;11:48;11:50;12:03;12:04;12:18;12:20;12:33;12:35;12:48;12:49;13:03;13:04;13:18;13:19;13:33;13:32;13:48;13:49;14:03;14:04;14:18;14:19;14:33;14:34;14:48;14:50;15:03;15:07;15:18;15:19;15:33;15:34;15:48;15:49;16:03;16:04;16:18;16:17;16:33;16:34;16:48;16:50;17:03;17:04;17:18;17:19;17:33;17:34;17:48;17:49;18:03;18:04;18:18;18:20;18:33;18:35;18:48;18:50;19:03;19:04;19:18;19:20;19:33;19:35;19:48;19:49;20:03;20:03;20:18;20:20;20:33;20:35;20:48;20:52;21:03;21:04;21:18;21:19;21:33;21:34;21:48;21:49;22:03;22:05;22:18;22:20;22:31;22:34;23:01;23:02;23:31;23:31;00:01;00:02
Härtelstraße;04:21;04:21;04:36;04:38;;;05:03;05:04;05:33;05:35;06:03;06:05;06:33;06:32;07:03;07:03;07:33;07:33;08:03;08:04;08:33;08:33;09:03;09:04;;;09:20;09:23;09:35;09:35;09:50;09:53;10:05;10:05;10:20;10:20;10:35;10:36;10:50;10:50;11:05;11:05;11:20;11:22;11:35;11:35;11:50;11:51;12:05;12:05;12:20;12:21;12:35;12:36;12:50;12:50;13:05;13:05;13:20;13:20;13:35;13:34;13:50;13:50;14:05;14:05;14:20;14:20;14:35;14:36;14:50;14:51;15:05;15:08;15:20;15:20;15:35;15:35;15:50;15:50;16:05;16:05;16:20;16:18;16:35;16:35;16:50;16:51;17:05;17:05;17:20;17:20;17:35;17:35;17:50;17:50;18:05;18:05;18:20;18:21;18:35;18:36;18:50;18:51;19:05;19:05;19:20;19:21;19:35;19:36;19:50;19:50;20:05;20:03;20:20;20:21;20:35;20:36;20:50;20:53;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:06;22:20;22:21;22:33;22:35;23:03;23:03;23:33;23:32;00:03;00:03
Roßplatz;04:22;04:24;04:37;04:40;;;05:04;05:06;05:34;05:37;06:04;06:06;06:34;06:34;07:04;07:06;07:34;07:34;08:04;08:06;08:34;08:34;09:04;09:06;;;09:21;09:25;09:36;09:36;09:51;09:54;10:06;10:07;10:21;10:22;10:36;10:39;10:51;10:52;11:06;11:07;11:21;11:24;11:36;11:37;11:51;11:54;12:06;12:07;12:21;12:22;12:36;12:39;12:51;12:51;13:06;13:07;13:21;13:22;13:36;13:36;13:51;13:52;14:06;14:07;14:21;14:21;14:36;14:37;14:51;14:54;15:06;15:10;15:21;15:22;15:36;15:37;15:51;15:52;16:06;16:07;16:21;16:21;16:36;16:37;16:51;16:54;17:06;17:07;17:21;17:22;17:36;17:37;17:51;17:52;18:06;18:07;18:21;18:22;18:36;18:39;18:51;18:54;19:06;19:07;19:21;19:24;19:36;19:39;19:51;19:52;20:06;20:06;20:21;20:22;20:36;20:39;20:51;20:55;21:06;21:07;21:21;21:22;21:36;21:37;21:51;21:51;22:06;22:07;22:21;22:24;22:34;22:36;23:04;23:06;23:34;23:34;00:04;00:06
Wilhelm-Leuschner-Platz;04:24;04:25;04:39;04:41;;;05:06;05:07;05:36;05:38;06:06;06:06;06:36;06:36;07:06;07:07;07:36;07:36;08:06;08:08;08:36;08:36;09:06;09:07;;;09:23;09:26;09:38;09:37;09:53;09:55;10:08;10:08;10:23;10:23;10:38;10:41;10:53;10:54;11:08;11:08;11:23;11:25;11:38;11:39;11:53;11:55;12:08;12:08;12:23;12:24;12:38;12:40;12:53;12:52;13:08;13:08;13:23;13:24;13:38;13:37;13:53;13:53;14:08;14:08;14:23;14:22;14:38;14:38;14:53;14:55;15:08;15:12;15:23;15:23;15:38;15:38;15:53;15:53;16:08;16:08;16:23;16:22;16:38;16:38;16:53;16:55;17:08;17:09;17:23;17:23;17:38;17:38;17:53;17:53;18:08;18:08;18:23;18:24;18:38;18:40;18:53;18:55;19:08;19:08;19:23;19:25;19:38;19:40;19:53;19:53;20:08;20:07;20:23;20:24;20:38;20:40;20:53;20:57;21:08;21:08;21:23;21:24;21:38;21:38;21:53;21:52;22:08;22:09;22:23;22:25;22:36;22:37;23:06;23:07;23:36;23:36;00:06;00:07
Neues Rathaus;04:26;04:27;04:41;04:43;;;05:08;05:09;05:38;05:40;06:08;06:09;06:38;06:37;07:08;07:09;07:38;07:37;08:08;08:09;08:38;08:37;09:08;09:09;;;09:25;09:28;09:40;09:39;09:55;09:57;10:10;10:10;10:25;10:25;10:40;10:43;10:55;10:55;11:10;11:10;11:25;11:27;11:40;11:40;11:55;11:57;12:10;12:10;12:25;12:25;12:40;12:42;12:55;12:54;13:10;13:10;13:25;13:26;13:40;13:39;13:55;13:57;14:10;14:10;14:25;14:24;14:40;14:40;14:55;14:57;15:10;15:13;15:25;15:25;15:40;15:40;15:55;15:55;16:10;16:10;16:25;16:25;16:40;16:40;16:55;16:57;17:10;17:11;17:25;17:25;17:40;17:40;17:55;17:55;18:10;18:10;18:25;18:27;18:40;18:42;18:55;18:57;19:10;19:10;19:25;19:27;19:40;19:42;19:55;19:55;20:10;20:09;20:25;20:25;20:40;20:42;20:55;21:00;21:10;21:10;21:25;21:25;21:40;21:40;21:55;21:55;22:10;22:10;22:25;22:27;22:38;22:39;23:08;23:09;23:38;23:39;00:08;00:09
Thomaskirche;04:27;04:28;04:42;04:44;;;05:09;05:10;05:39;05:41;06:09;06:10;06:39;06:38;07:09;07:10;07:39;07:38;08:09;08:11;08:39;08:38;09:09;09:10;;;09:26;09:29;09:41;09:40;09:56;09:58;10:11;10:11;10:26;10:26;10:41;10:44;10:56;10:56;11:11;11:11;11:26;11:28;11:41;11:41;11:56;11:58;12:11;12:11;12:26;12:26;12:41;12:43;12:56;12:55;13:11;13:11;13:26;13:26;13:41;13:40;13:56;13:58;14:11;14:11;14:26;14:25;14:41;14:41;14:56;14:58;15:11;15:14;15:26;15:26;15:41;15:41;15:56;15:56;16:11;16:11;16:26;16:26;16:41;16:41;16:56;16:58;17:11;17:12;17:26;17:26;17:41;17:41;17:56;17:56;18:11;18:11;18:26;18:28;18:41;18:43;18:56;18:58;19:11;19:11;19:26;19:28;19:41;19:43;19:56;19:56;20:11;20:10;20:26;20:26;20:41;20:43;20:56;21:01;21:11;21:11;21:26;21:26;21:41;21:41;21:56;21:56;22:11;22:11;22:26;22:28;22:39;22:40;23:09;23:10;23:39;23:40;00:09;00:10
Goerdelerring;04:29;04:30;04:44;04:46;;;05:11;05:12;05:41;05:43;06:11;06:12;06:41;06:40;07:11;07:12;07:41;07:40;08:11;08:13;08:41;08:40;09:11;09:12;;;09:28;09:31;09:43;09:42;09:58;10:00;10:13;10:13;10:28;10:28;10:43;10:46;10:58;10:58;11:13;11:14;11:28;11:31;11:43;11:44;11:58;12:00;12:13;12:13;12:28;12:28;12:43;12:45;12:58;12:57;13:13;13:13;13:28;13:28;13:43;13:43;13:58;14:00;14:13;14:13;14:28;14:28;14:43;14:43;14:58;15:00;15:13;15:16;15:28;15:28;15:43;15:43;15:58;15:58;16:13;16:13;16:28;16:28;16:43;16:43;16:58;17:00;17:13;17:14;17:28;17:28;17:43;17:43;17:58;17:58;18:13;18:13;18:28;18:30;18:43;18:45;18:58;19:00;19:13;19:13;19:28;19:30;19:43;19:45;19:58;19:58;20:13;20:13;20:28;20:28;20:43;20:45;20:58;21:03;21:13;21:13;21:28;21:28;21:43;21:43;21:58;21:58;22:13;22:13;22:28;22:30;22:41;22:42;23:11;23:12;23:41;23:42;00:11;00:12
Hauptbahnhof, Westseite;04:31;04:32;04:46;04:48;04:47;04:48;05:17;05:17;05:47;05:49;06:17;06:16;06:47;06:46;07:17;07:17;07:47;07:47;08:17;08:20;08:47;08:47;09:17;09:19;;;09:31;09:33;09:46;09:46;10:01;10:02;10:16;10:15;10:31;10:31;10:46;10:48;11:01;11:00;11:16;11:15;11:31;11:33;11:46;11:45;12:01;12:01;12:16;12:15;12:31;12:30;12:46;12:47;13:01;13:00;13:16;13:15;13:31;13:30;13:46;13:45;14:01;14:02;14:16;14:15;14:31;14:30;14:46;14:45;15:01;15:02;15:16;15:18;15:31;15:30;15:46;15:45;16:01;16:00;16:16;16:16;16:31;16:30;16:46;16:45;17:01;17:02;17:16;17:17;17:31;17:30;17:46;17:45;18:01;18:00;18:16;18:15;18:31;18:32;18:46;18:47;19:01;19:03;19:16;19:15;19:31;19:32;19:46;19:48;20:01;20:00;20:16;20:15;20:31;20:30;20:46;20:47;21:01;21:05;21:16;21:15;21:31;21:31;21:46;21:45;22:01;22:02;22:16;22:16;22:31;22:32;22:47;22:46;23:17;23:17;23:47;23:47;00:17;00:18
Wilhelm-Liebknecht-Platz;04:33;04:34;;;04:49;04:50;05:19;05:19;05:49;05:52;06:19;06:18;06:49;06:48;07:19;07:18;07:49;07:48;08:19;08:22;08:49;08:48;09:19;09:21;09:04;09:05;09:33;09:36;09:48;09:48;10:03;10:04;10:18;10:17;10:33;10:33;10:48;10:50;11:03;11:02;11:18;11:18;11:33;11:35;11:48;11:47;12:03;12:03;12:18;12:17;12:33;12:32;12:48;12:48;13:03;13:02;13:18;13:18;13:33;13:33;13:48;13:47;14:03;14:03;14:18;14:18;14:33;14:32;14:48;14:47;15:03;15:04;15:18;15:20;15:33;15:32;15:48;15:47;16:03;16:03;16:18;16:18;16:33;16:32;16:48;16:47;17:03;17:04;17:18;17:19;17:33;17:32;17:48;17:48;18:03;18:03;18:18;18:18;18:33;18:33;18:48;18:49;19:03;19:05;19:18;19:18;19:33;19:33;19:48;19:50;20:03;20:03;20:18;20:18;20:33;20:32;20:48;20:49;21:03;21:07;21:18;21:17;21:33;21:33;21:48;21:47;22:03;22:03;22:18;22:18;22:33;22:34;22:49;22:48;23:19;23:18;23:49;23:48;00:19;00:20
Wittenberger Straße;04:35;04:36;;;04:51;04:52;05:21;05:21;05:51;05:53;06:21;06:21;06:51;06:50;07:21;07:21;07:51;07:51;08:21;08:24;08:51;08:50;09:21;09:23;09:06;09:08;09:35;09:38;09:50;09:50;10:05;10:06;10:20;10:19;10:35;10:35;10:50;10:51;11:05;11:04;11:20;11:20;11:35;11:37;11:50;11:50;12:05;12:05;12:20;12:19;12:35;12:33;12:50;12:50;13:05;13:04;13:20;13:19;13:35;13:35;13:50;13:49;14:05;14:05;14:20;14:20;14:35;14:34;14:50;14:49;15:05;15:06;15:20;15:22;15:35;15:34;15:50;15:49;16:05;16:05;16:20;16:20;16:35;16:34;16:50;16:49;17:05;17:06;17:20;17:21;17:35;17:34;17:50;17:50;18:05;18:05;18:20;18:20;18:35;18:36;18:50;18:51;19:05;19:07;19:20;19:20;19:35;19:36;19:50;19:52;20:05;20:04;20:20;20:20;20:35;20:34;20:50;20:51;21:05;21:09;21:20;21:19;21:35;21:35;21:50;21:49;22:05;22:05;22:20;22:20;22:35;22:36;22:51;22:50;23:21;23:21;23:51;23:50;00:21;00:22
