Kurs:;73;;81;;82;;83;;81;;91;;93;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;82;;31;;32;;84;;81;;85;;31;;86;;84;;83;;85;;32;;86;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;85;;84;;32;;81;;85;;84;;32;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Bremer Straße;;;;;05:03;05:02;05:33;05:32;06:03;06:04;06:33;06:33;07:03;07:05;07:33;07:36;08:03;08:04;08:22;08:21;08:37;08:39;08:52;08:52;09:07;09:07;09:22;09:23;09:37;09:36;09:52;09:53;10:07;10:10;10:22;10:23;10:37;10:39;10:52;10:53;11:07;11:11;11:22;11:24;11:37;11:40;11:52;11:55;12:07;12:08;12:22;12:24;12:37;12:40;12:52;12:52;13:07;13:11;13:22;13:49;13:37;13:40;13:52;13:53;14:07;14:09;14:22;14:27;14:37;14:41;14:52;14:54;15:07;15:08;15:22;15:24;15:37;15:41;15:52;15:57;16:07;16:08;16:22;16:24;16:37;16:40;16:52;16:54;17:07;17:08;17:22;17:24;17:37;17:39;17:52;17:52;18:07;18:07;18:22;18:22;18:37;18:38;18:52;18:54;19:07;19:07;19:22;19:22;19:37;19:37;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:38;21:07;21:08;21:37;21:37;22:07;22:06;22:33;22:34;23:03;23:04;23:33;23:33
Landsb./M.-Lieberm.-Str.;;;;;05:04;05:03;05:34;05:34;06:04;06:05;06:34;06:34;07:04;07:06;07:34;07:38;08:04;08:05;08:23;08:23;08:38;08:41;08:53;08:53;09:08;09:08;09:23;09:24;09:38;09:38;09:53;09:54;10:08;10:11;10:23;10:24;10:38;10:40;10:53;10:54;11:08;11:12;11:23;11:26;11:38;11:41;11:53;11:56;12:08;12:09;12:23;12:26;12:38;12:41;12:53;12:53;13:08;13:13;13:23;13:50;13:38;13:41;13:53;13:55;14:08;14:11;14:23;14:28;14:38;14:42;14:53;14:56;15:08;15:10;15:23;15:25;15:38;15:43;15:53;15:58;16:08;16:09;16:23;16:26;16:38;16:41;16:53;16:55;17:08;17:09;17:23;17:25;17:38;17:40;17:53;17:53;18:08;18:09;18:23;18:24;18:38;18:39;18:53;18:55;19:08;19:09;19:23;19:23;19:38;19:38;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:39;21:08;21:09;21:38;21:38;22:08;22:08;22:34;22:35;23:04;23:05;23:34;23:33
Olbrichtstraße;;;;;05:05;05:04;05:35;05:35;06:05;06:05;06:35;06:34;07:05;07:07;07:35;07:38;08:05;08:05;08:24;08:23;08:39;08:41;08:54;08:54;09:09;09:09;09:24;09:25;09:39;09:39;09:54;09:55;10:09;10:11;10:24;10:25;10:39;10:41;10:54;10:55;11:09;11:13;11:24;11:26;11:39;11:42;11:54;11:56;12:09;12:10;12:24;12:27;12:39;12:41;12:54;12:55;13:09;13:14;13:24;13:51;13:39;13:42;13:54;13:55;14:09;14:11;14:24;14:29;14:39;14:43;14:54;14:56;15:09;15:11;15:24;15:25;15:39;15:44;15:54;15:58;16:09;16:10;16:24;16:26;16:39;16:41;16:54;16:56;17:09;17:10;17:24;17:26;17:39;17:41;17:54;17:54;18:09;18:09;18:24;18:24;18:39;18:40;18:54;18:56;19:09;19:10;19:24;19:24;19:39;19:39;19:54;19:54;20:09;20:08;20:24;20:24;20:39;20:40;21:09;21:10;21:39;21:38;22:09;22:08;22:35;22:36;23:05;23:05;23:35;23:34
Sternsiedlung Nord;;;;;05:06;05:06;05:36;05:36;06:06;06:07;06:36;06:36;07:06;07:08;07:36;07:40;08:06;08:07;08:26;08:25;08:41;08:43;08:56;08:56;09:11;09:11;09:26;09:27;09:41;09:41;09:56;09:57;10:11;10:13;10:26;10:27;10:41;10:43;10:56;10:57;11:11;11:15;11:26;11:28;11:41;11:44;11:56;11:58;12:11;12:11;12:26;12:28;12:41;12:43;12:56;12:57;13:11;13:15;13:26;13:53;13:41;13:44;13:56;13:57;14:11;14:13;14:26;14:30;14:41;14:45;14:56;14:57;15:11;15:12;15:26;15:27;15:41;15:46;15:56;16:00;16:11;16:12;16:26;16:27;16:41;16:43;16:56;16:58;17:11;17:12;17:26;17:27;17:41;17:42;17:56;17:55;18:11;18:11;18:26;18:26;18:41;18:42;18:56;18:58;19:11;19:11;19:26;19:26;19:41;19:41;19:56;19:55;20:11;20:10;20:26;20:26;20:40;20:42;21:10;21:12;21:40;21:40;22:10;22:10;22:36;22:38;23:06;23:07;23:36;23:36
S-Bf. Slevogtstraße;;;;;05:07;05:07;05:37;05:37;06:07;06:08;06:37;06:36;07:07;07:09;07:37;07:41;08:07;08:07;08:27;08:26;08:42;08:44;08:57;08:57;09:12;09:11;09:27;09:27;09:42;09:42;09:57;09:57;10:12;10:14;10:27;10:27;10:42;10:44;10:57;10:57;11:12;11:16;11:27;11:29;11:42;11:44;11:57;11:59;12:12;12:12;12:27;12:29;12:42;12:44;12:57;12:57;13:12;13:16;13:27;13:53;13:42;13:45;13:57;13:57;14:12;14:14;14:27;14:31;14:42;14:46;14:57;14:58;15:12;15:13;15:27;15:27;15:42;15:47;15:57;16:00;16:12;16:12;16:27;16:28;16:42;16:44;16:57;16:59;17:12;17:12;17:27;17:29;17:42;17:43;17:57;17:56;18:12;18:11;18:27;18:26;18:42;18:42;18:57;18:59;19:12;19:12;19:27;19:26;19:42;19:41;19:57;19:56;20:12;20:11;20:27;20:26;20:41;20:42;21:11;21:12;21:41;21:41;22:11;22:11;22:37;22:38;23:07;23:08;23:37;23:36
Möckern, Hist. Strbf.;;;04:18;04:18;05:08;05:08;05:38;05:38;06:08;06:09;06:38;06:37;07:08;07:11;07:38;07:42;08:08;08:09;08:28;08:27;08:43;08:46;08:58;08:59;09:13;09:14;09:28;09:30;09:43;09:43;09:58;09:58;10:13;10:15;10:28;10:28;10:43;10:46;10:58;10:58;11:13;11:18;11:28;11:30;11:43;11:46;11:58;12:00;12:13;12:13;12:28;12:30;12:43;12:45;12:58;12:59;13:13;13:18;13:28;13:54;13:43;13:46;13:58;13:58;14:13;14:15;14:28;14:33;14:43;14:47;14:58;14:59;15:13;15:14;15:28;15:28;15:43;15:49;15:58;16:01;16:13;16:13;16:28;16:29;16:43;16:45;16:58;17:00;17:13;17:14;17:28;17:30;17:43;17:44;17:58;17:57;18:13;18:12;18:28;18:28;18:43;18:44;18:58;19:00;19:13;19:13;19:28;19:28;19:43;19:43;19:58;19:57;20:13;20:12;20:28;20:27;20:42;20:43;21:12;21:13;21:42;21:41;22:12;22:12;22:38;22:39;23:08;23:09;23:38;23:37
Annaberger Straße;;;04:19;04:19;05:09;05:10;05:39;05:39;06:09;06:10;06:39;06:38;07:09;07:12;07:39;07:43;08:09;08:10;08:30;08:30;08:45;08:48;09:00;09:00;09:15;09:15;09:30;09:31;09:45;09:45;10:00;10:00;10:15;10:17;10:30;10:30;10:45;10:47;11:00;10:59;11:15;11:20;11:30;11:31;11:45;11:47;12:00;12:01;12:15;12:15;12:30;12:32;12:45;12:46;13:00;13:00;13:15;13:19;13:30;13:56;13:45;13:47;14:00;13:59;14:15;14:17;14:30;14:34;14:45;14:49;15:00;15:02;15:15;15:15;15:30;15:30;15:45;15:51;16:00;16:03;16:15;16:14;16:30;16:31;16:45;16:47;17:00;17:02;17:15;17:16;17:30;17:32;17:45;17:46;18:00;17:58;18:15;18:15;18:30;18:29;18:45;18:45;19:00;19:01;19:15;19:15;19:30;19:30;19:45;19:45;20:00;19:59;20:15;20:14;20:30;20:29;20:43;20:44;21:13;21:15;21:43;21:43;22:13;22:13;22:39;22:41;23:09;23:10;23:39;23:39
Wahren;00:11;00:12;04:21;04:21;05:11;05:11;05:41;05:41;06:11;06:12;06:41;06:40;07:11;07:13;07:41;07:44;08:11;08:11;;;08:47;08:49;;;09:17;09:17;;;09:47;09:47;;;10:17;10:19;;;10:47;10:49;;;11:17;11:22;;;11:47;11:49;;;12:17;12:17;;;12:47;12:49;;;13:17;13:21;;;13:47;13:49;;;14:17;14:19;;;14:47;14:50;;;15:17;15:17;;;15:47;15:52;;;16:17;16:17;;;16:47;16:49;;;17:17;17:19;;;17:47;17:48;;;18:17;18:17;;;18:47;18:47;;;19:17;19:17;;;19:47;19:47;20:02;20:01;20:17;20:17;20:32;20:31;20:45;20:46;21:15;21:16;21:45;21:45;22:15;22:14;22:41;22:42;23:11;23:12;23:41;23:41
Auensee;00:13;00:14;04:23;04:23;05:13;05:13;05:43;05:43;06:13;06:14;06:43;06:42;07:13;07:15;07:43;07:46;08:13;08:13;;;08:49;08:51;;;09:19;09:19;;;09:49;09:49;;;10:19;10:21;;;10:49;10:51;;;11:19;11:24;;;11:49;11:51;;;12:19;12:19;;;12:49;12:51;;;13:19;13:24;;;13:49;13:51;;;14:19;14:21;;;14:49;14:53;;;15:19;15:19;;;15:49;15:55;;;16:19;16:19;;;16:49;16:51;;;17:19;17:21;;;17:49;17:50;;;18:19;18:19;;;18:49;18:50;;;19:19;19:19;;;19:49;19:50;20:04;20:03;20:19;20:19;20:34;20:33;20:47;20:48;21:17;21:18;21:47;21:47;22:17;22:16;22:43;22:44;23:13;23:15;23:43;23:43
Am Sportpark;00:15;00:16;04:25;04:25;05:15;05:15;05:45;05:45;06:15;06:16;06:45;06:45;07:15;07:18;07:45;07:48;08:15;08:16;;;08:51;08:54;;;09:21;09:21;;;09:51;09:51;;;10:21;10:22;;;10:51;10:53;;;11:21;11:26;;;11:51;11:53;;;12:21;12:21;;;12:51;12:54;;;13:21;13:26;;;13:51;13:53;;;14:21;14:23;;;14:51;14:55;;;15:21;15:22;;;15:51;15:57;;;16:21;16:21;;;16:51;16:53;;;17:21;17:23;;;17:51;17:52;;;18:21;18:21;;;18:51;18:52;;;19:21;19:22;;;19:51;19:52;20:06;20:06;20:21;20:21;20:36;20:35;20:49;20:50;21:19;21:21;21:49;21:49;22:19;22:18;22:45;22:47;23:15;23:17;23:45;23:45
