Kurs:;73;;81;;82;;83;;81;;91;;93;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;82;;31;;32;;84;;81;;85;;31;;86;;84;;83;;85;;32;;86;;82;;83;;31;;32;;81;;82;;85;;31;;84;;81;;83;;85;;86;;84;;82;;83;;32;;86;;81;;85;;84;;32;;81;;85;;84;;32;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Lise-Meitner-Straße;00:16;00:17;04:26;04:26;05:16;05:16;05:46;05:46;06:16;06:17;06:46;06:45;07:16;07:18;07:46;07:50;08:16;08:17;;;08:52;08:55;;;09:22;09:22;;;09:52;09:52;;;10:22;10:23;;;10:52;10:54;;;11:22;11:27;;;11:52;11:54;;;12:22;12:22;;;12:52;12:55;;;13:22;13:27;;;13:52;13:54;;;14:22;14:24;;;14:52;14:56;;;15:22;15:23;;;15:52;15:58;;;16:22;16:22;;;16:52;16:54;;;17:22;17:25;;;17:52;17:53;;;18:22;18:22;;;18:52;18:53;;;19:22;19:23;;;19:52;19:53;20:07;20:07;20:22;20:22;20:37;20:36;20:50;20:51;21:20;21:22;21:50;21:50;22:20;22:19;22:46;22:47;23:16;23:18;23:46;23:46
S-Bf. Leutzsch;00:17;00:18;04:27;04:27;05:17;05:17;05:47;05:48;06:17;06:18;06:47;06:47;07:17;07:20;07:47;07:52;08:17;08:18;;;08:54;08:57;;;09:24;09:24;;;09:54;09:54;;;10:24;10:25;;;10:54;10:56;;;11:24;11:29;;;11:54;11:55;;;12:24;12:23;;;12:54;12:56;;;13:24;13:30;;;13:54;13:56;;;14:24;14:25;;;14:54;14:58;;;15:24;15:25;;;15:54;16:00;;;16:24;16:25;;;16:54;16:56;;;17:24;17:27;;;17:54;17:54;;;18:24;18:24;;;18:54;18:55;;;19:24;19:24;;;19:54;19:55;20:09;20:08;20:24;20:24;20:39;20:38;20:51;20:52;21:21;21:23;21:51;21:51;22:21;22:20;22:47;22:49;23:17;23:20;23:47;23:48
Wittestraße;00:18;00:19;04:28;04:28;05:18;05:18;05:48;05:49;06:18;06:19;06:48;06:48;07:18;07:21;07:48;07:52;08:18;08:19;;;08:55;08:58;;;09:25;09:25;;;09:55;09:55;;;10:25;10:25;;;10:55;10:56;;;11:25;11:30;;;11:55;11:57;;;12:25;12:24;;;12:55;12:58;;;13:25;13:31;;;13:55;13:57;;;14:25;14:27;;;14:55;14:59;;;15:25;15:26;;;15:55;16:02;;;16:25;16:26;;;16:55;16:57;;;17:25;17:27;;;17:55;17:55;;;18:25;18:25;;;18:55;18:56;;;19:25;19:25;;;19:55;19:55;20:10;20:09;20:25;20:25;20:40;20:39;20:52;20:53;21:22;21:24;21:52;21:52;22:22;22:21;22:48;22:50;23:18;23:21;23:48;23:48
Merseburger/Schomburgks.;00:20;00:20;04:30;04:30;05:20;05:20;05:50;05:50;06:20;06:21;06:50;06:50;07:20;07:22;07:50;07:54;08:20;08:20;;;08:57;08:59;;;09:27;09:27;;;09:57;09:57;;;10:27;10:27;;;10:57;10:57;;;11:27;11:32;;;11:57;11:58;;;12:27;12:26;;;12:57;12:59;;;13:27;13:32;;;13:57;13:59;;;14:27;14:28;;;14:57;15:01;;;15:27;15:28;;;15:57;16:04;;;16:27;16:27;;;16:57;16:59;;;17:27;17:29;;;17:57;17:56;;;18:27;18:27;;;18:57;18:58;;;19:27;19:26;;;19:57;19:58;20:12;20:11;20:27;20:26;20:42;20:41;20:54;20:54;21:24;21:26;21:54;21:54;22:24;22:22;22:50;22:51;23:20;23:22;23:50;23:50
Ernst-Keil-Straße;00:21;00:20;04:31;04:30;05:21;05:20;05:51;05:51;06:21;06:22;06:51;06:50;07:21;07:23;07:51;07:55;08:21;08:20;;;08:58;09:00;;;09:28;09:27;;;09:58;09:57;;;10:28;10:28;;;10:58;10:58;;;11:28;11:32;;;11:58;11:58;;;12:28;12:27;;;12:58;13:00;;;13:28;13:32;;;13:58;13:59;;;14:28;14:28;;;14:58;15:01;;;15:28;15:28;;;15:58;16:05;;;16:28;16:28;;;16:58;17:00;;;17:28;17:30;;;17:58;17:57;;;18:28;18:27;;;18:58;18:58;;;19:28;19:27;;;19:58;19:58;20:13;20:12;20:28;20:27;20:43;20:41;20:55;20:55;21:25;21:26;21:55;21:55;22:25;22:23;22:51;22:51;23:21;23:23;23:51;23:50
Plaut-/Schomburgkstr.;00:22;00:21;04:32;04:31;05:22;05:21;05:52;05:52;06:22;06:23;06:52;06:51;07:22;07:24;07:52;07:56;08:22;08:22;;;08:59;09:01;;;09:29;09:29;;;09:59;09:58;;;10:29;10:29;;;10:59;10:59;;;11:29;11:34;;;11:59;11:59;;;12:29;12:28;;;12:59;13:01;;;13:29;13:33;;;13:59;14:01;;;14:29;14:29;;;14:59;15:02;;;15:29;15:29;;;15:59;16:06;;;16:29;16:29;;;16:59;17:01;;;17:29;17:31;;;17:59;17:58;;;18:29;18:29;;;18:59;18:59;;;19:29;19:28;;;19:59;19:59;20:14;20:13;20:29;20:28;20:44;20:42;20:56;20:55;21:26;21:27;21:56;21:56;22:26;22:24;22:52;22:52;23:22;23:24;23:52;23:52
Dr.-H.-Duncker-Straße;00:23;00:22;04:33;04:32;05:23;05:22;05:53;05:53;06:23;06:24;06:53;06:52;07:23;07:25;07:53;07:57;08:23;08:22;;;09:00;09:02;;;09:30;09:29;;;10:00;09:59;;;10:30;10:30;;;11:00;11:00;;;11:30;11:34;;;12:00;12:00;;;12:30;12:29;;;13:00;13:02;;;13:30;13:35;;;14:00;14:01;;;14:30;14:30;;;15:00;15:03;;;15:30;15:30;;;16:00;16:08;;;16:30;16:30;;;17:00;17:02;;;17:30;17:32;;;18:00;17:59;;;18:30;18:29;;;19:00;19:00;;;19:30;19:29;;;20:00;20:00;20:15;20:14;20:30;20:29;20:45;20:43;20:57;20:56;21:27;21:28;21:57;21:56;22:27;22:25;22:53;22:53;23:23;23:25;23:53;23:53
Demmeringstraße;00:23;00:22;04:33;04:32;05:23;05:23;05:53;05:54;06:23;06:24;06:53;06:52;07:23;07:25;07:53;07:57;08:23;08:23;;;09:01;09:02;;;09:31;09:30;;;10:01;10:00;;;10:31;10:30;;;11:01;11:00;;;11:31;11:35;;;12:01;12:01;;;12:31;12:29;;;13:01;13:02;;;13:31;13:35;;;14:01;14:02;;;14:31;14:31;;;15:01;15:03;;;15:31;15:30;;;16:01;16:08;;;16:31;16:31;;;17:01;17:03;;;17:31;17:33;;;18:01;17:59;;;18:31;18:30;;;19:01;19:00;;;19:31;19:30;;;20:01;20:01;20:16;20:14;20:31;20:29;20:46;20:44;20:57;20:57;21:27;21:28;21:57;21:57;22:27;22:26;22:53;22:53;23:23;23:26;23:53;23:54
Credéstraße;00:24;00:24;04:34;04:33;05:24;05:24;05:54;05:55;06:24;06:26;06:54;06:54;07:24;07:26;07:54;07:59;08:24;08:25;;;09:02;09:05;;;09:32;09:32;;;10:02;10:01;;;10:32;10:32;;;11:02;11:02;;;11:32;11:37;;;12:02;12:03;;;12:32;12:32;;;13:02;13:05;;;13:32;13:38;;;14:02;14:03;;;14:32;14:33;;;15:02;15:05;;;15:32;15:32;;;16:02;16:11;;;16:32;16:33;;;17:02;17:05;;;17:32;17:35;;;18:02;18:01;;;18:32;18:31;;;19:02;19:03;;;19:32;19:32;;;20:02;20:03;20:17;20:15;20:32;20:31;20:47;20:46;20:58;20:59;21:28;21:30;21:58;21:59;22:28;22:28;22:54;22:55;23:24;23:28;23:54;23:55
Lindenau, Bushof;00:25;00:25;04:35;04:34;05:25;05:25;05:55;05:56;06:25;06:27;06:55;06:55;07:25;07:27;07:55;08:00;08:25;08:26;;;09:04;09:05;;;09:34;09:33;;;10:04;10:02;;;10:34;10:32;;;11:04;11:02;;;11:34;11:37;;;12:04;12:04;;;12:34;12:32;;;13:04;13:05;;;13:34;13:40;;;14:04;14:04;;;14:34;14:35;;;15:04;15:05;;;15:34;15:33;;;16:04;16:12;;;16:34;16:34;;;17:04;17:05;;;17:34;17:36;;;18:04;18:02;;;18:34;18:33;;;19:04;19:03;;;19:34;19:33;;;20:04;;20:19;20:16;20:34;20:34;20:49;20:46;21:00;21:00;21:30;21:30;22:00;22:00;22:30;22:29;22:55;22:57;23:25;23:29;23:55;23:56
