Kurs:;33;;11;;11;;14;;56;;33;;11;;14;;56;;32;;33;;51;;52;;53;;54;;56;;32;;31;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;56;;31;;32;;33;;34;;51;;52;;53;;54;;55;;31;;32;;34;;51;;52;;54;;55;;31;;18;;34;;51;;52;;54;;31;;34;;52;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Bayerischer Bahnhof;;;04:34;04:35;;;05:01;05:02;05:31;05:32;06:01;06:04;06:31;06:32;07:01;07:02;07:31;07:34;;;08:01;08:02;08:18;08:19;08:33;08:34;08:48;08:50;09:03;09:04;09:18;09:20;09:33;09:35;;;09:48;09:52;;;10:03;10:05;10:18;10:20;10:32;10:34;10:42;10:43;10:52;10:55;11:02;11:02;11:12;11:14;11:22;11:23;11:32;11:32;11:42;11:43;11:52;11:52;12:02;12:04;12:12;12:13;12:22;12:23;12:32;12:31;12:42;12:42;12:52;12:53;13:02;13:02;13:12;13:13;13:22;13:22;13:32;13:34;13:42;13:43;13:52;13:53;14:02;14:04;14:12;14:13;14:22;14:22;14:32;14:32;14:42;14:44;14:52;14:52;15:02;15:02;15:12;15:13;15:22;15:22;15:32;15:32;15:42;15:43;15:52;15:52;16:02;16:02;16:12;16:13;16:22;16:25;16:32;16:31;16:42;16:43;16:52;16:51;17:02;17:02;17:12;17:13;17:22;17:23;17:32;17:32;17:42;17:44;17:52;17:53;18:02;18:03;18:12;18:13;18:22;18:22;18:32;18:32;18:42;18:41;18:52;18:53;19:03;19:05;19:18;19:17;19:33;19:35;19:48;19:50;20:03;20:04;20:18;20:19;20:33;20:35;20:48;20:52;21:03;21:02;21:18;21:37;21:33;21:35;21:48;21:50;22:03;22:04;22:18;22:19;22:31;22:31;23:01;23:02;23:31;23:32;00:01;00:02
Härtelstraße;;;04:36;04:36;;;05:03;05:03;05:33;05:33;06:03;06:05;06:33;06:33;07:03;07:03;07:33;07:35;;;08:03;08:03;08:20;08:20;08:35;08:35;08:50;08:51;09:05;09:05;09:20;09:22;09:35;09:36;;;09:50;09:53;;;10:05;10:06;10:20;10:22;10:34;10:35;10:44;10:44;10:54;10:56;11:04;11:03;11:14;11:16;11:24;11:24;11:34;11:34;11:44;11:44;11:54;11:53;12:04;12:05;12:14;12:14;12:24;12:25;12:34;12:32;12:44;12:43;12:54;12:54;13:04;13:04;13:14;13:14;13:24;13:23;13:34;13:35;13:44;13:44;13:54;13:55;14:04;14:05;14:14;14:14;14:24;14:23;14:34;14:34;14:44;14:46;14:54;14:53;15:04;15:04;15:14;15:14;15:24;15:24;15:34;15:34;15:44;15:44;15:54;15:53;16:04;16:04;16:14;16:14;16:24;16:28;16:34;16:32;16:44;16:44;16:54;16:52;17:04;17:03;17:14;17:14;17:24;17:25;17:34;17:34;17:44;17:46;17:54;17:55;18:04;18:04;18:14;18:14;18:24;18:23;18:34;18:34;18:44;18:43;18:54;18:55;19:05;19:06;19:20;19:19;19:35;19:36;19:50;19:51;20:05;20:05;20:20;20:20;20:35;20:36;20:50;20:53;21:05;21:03;21:20;21:38;21:35;21:36;21:50;21:51;22:05;22:05;22:20;22:20;22:33;22:32;23:03;23:03;23:33;23:33;00:03;00:03
Roßplatz;;;04:37;04:37;;;05:04;05:04;05:34;05:36;06:04;06:07;06:34;06:34;07:04;07:04;07:34;07:37;;;08:04;08:06;08:21;08:22;08:36;08:37;08:51;08:54;09:06;09:07;09:21;09:24;09:36;09:39;;;09:51;09:55;;;10:06;10:09;10:21;10:24;10:35;10:37;10:45;10:46;10:55;10:58;11:05;11:04;11:15;11:18;11:25;11:27;11:35;11:36;11:45;11:46;11:55;11:55;12:05;12:06;12:15;12:16;12:25;12:27;12:35;12:34;12:45;12:45;12:55;12:57;13:05;13:06;13:15;13:16;13:25;13:24;13:35;13:37;13:45;13:45;13:55;13:57;14:05;14:07;14:15;14:16;14:25;14:25;14:35;14:36;14:45;14:48;14:55;14:55;15:05;15:06;15:15;15:16;15:25;15:25;15:35;15:36;15:45;15:46;15:55;15:55;16:05;16:06;16:15;16:16;16:25;16:30;16:35;16:34;16:45;16:46;16:55;16:54;17:05;17:04;17:15;17:15;17:25;17:27;17:35;17:36;17:45;17:48;17:55;17:57;18:05;18:06;18:15;18:16;18:25;18:25;18:35;18:36;18:45;18:45;18:55;18:57;19:06;19:07;19:21;19:21;19:36;19:40;19:51;19:54;20:06;20:07;20:21;20:22;20:36;20:39;20:51;20:55;21:06;21:06;21:21;21:40;21:36;21:39;21:51;21:54;22:06;22:06;22:21;22:21;22:34;22:34;23:04;23:06;23:34;23:36;00:04;00:06
Wilhelm-Leuschner-Platz;;;04:39;04:38;;;05:06;05:05;05:36;05:37;06:06;06:08;06:36;06:36;07:06;07:05;07:36;07:39;;;08:06;08:07;08:23;08:24;08:38;08:38;08:53;08:55;09:08;09:08;09:23;09:25;09:38;09:40;;;09:53;09:57;;;10:08;10:10;10:23;10:25;10:37;10:39;10:47;10:47;10:57;11:00;11:07;11:06;11:17;11:19;11:27;11:28;11:37;11:37;11:47;11:48;11:57;11:57;12:07;12:07;12:17;12:18;12:27;12:29;12:37;12:35;12:47;12:46;12:57;12:59;13:07;13:07;13:17;13:17;13:27;13:25;13:37;13:39;13:47;13:46;13:57;13:58;14:07;14:09;14:17;14:17;14:27;14:26;14:37;14:37;14:47;14:49;14:57;14:56;15:07;15:07;15:17;15:18;15:27;15:27;15:37;15:37;15:47;15:48;15:57;15:57;16:07;16:08;16:17;16:17;16:27;16:31;16:37;16:36;16:47;16:48;16:57;16:55;17:07;17:07;17:17;17:17;17:27;17:28;17:37;17:37;17:47;17:49;17:57;17:59;18:07;18:07;18:17;18:17;18:27;18:27;18:37;18:37;18:47;18:46;18:57;18:58;19:08;19:09;19:23;19:22;19:38;19:41;19:53;19:55;20:08;20:09;20:23;20:23;20:38;20:40;20:53;20:56;21:08;21:07;21:23;21:42;21:38;21:40;21:53;21:55;22:08;22:07;22:23;22:22;22:36;22:35;23:06;23:07;23:36;23:37;00:06;00:07
Neues Rathaus;;;04:41;04:40;;;05:08;05:07;05:38;05:39;06:08;06:10;06:38;06:37;07:08;07:07;07:38;07:42;;;08:08;08:09;08:25;08:25;08:40;08:40;08:55;08:57;09:10;09:10;09:25;09:27;09:40;09:42;;;09:55;09:58;;;10:10;10:12;10:25;10:27;10:39;10:40;10:49;10:49;10:59;11:03;11:09;11:09;11:19;11:21;11:29;11:30;11:39;11:39;11:49;11:49;11:59;11:58;12:09;12:09;12:19;12:19;12:29;12:31;12:39;12:37;12:49;12:48;12:59;13:01;13:09;13:09;13:19;13:20;13:29;13:27;13:39;13:40;13:49;13:48;13:59;14:00;14:09;14:10;14:19;14:19;14:29;14:28;14:39;14:39;14:49;14:50;14:59;14:58;15:09;15:09;15:19;15:19;15:29;15:28;15:39;15:39;15:49;15:49;15:59;15:59;16:09;16:11;16:19;16:19;16:29;16:33;16:39;16:39;16:49;16:49;16:59;16:57;17:09;17:09;17:19;17:19;17:29;17:30;17:39;17:39;17:49;17:51;17:59;18:01;18:09;18:09;18:19;18:19;18:29;18:29;18:39;18:39;18:49;18:48;18:59;19:00;19:10;19:11;19:25;19:24;19:40;19:43;19:55;19:57;20:10;20:10;20:25;20:25;20:40;20:42;20:55;20:58;21:10;21:09;21:25;21:43;21:40;21:42;21:55;21:57;22:10;22:09;22:25;22:24;22:38;22:37;23:08;23:09;23:38;23:39;00:08;00:09
Thomaskirche;;;04:42;04:41;;;05:09;05:08;05:39;05:40;06:09;06:11;06:39;06:38;07:09;07:08;07:39;07:43;;;08:09;08:10;08:26;08:26;08:41;08:41;08:56;08:58;09:11;09:11;09:26;09:28;09:41;09:43;;;09:56;09:59;;;10:11;10:13;10:26;10:28;10:40;10:41;10:50;10:50;11:00;11:04;11:10;11:10;11:20;11:22;11:30;11:31;11:40;11:40;11:50;11:50;12:00;11:59;12:10;12:10;12:20;12:20;12:30;12:32;12:40;12:38;12:50;12:49;13:00;13:02;13:10;13:10;13:20;13:20;13:30;13:28;13:40;13:41;13:50;13:49;14:00;14:01;14:10;14:11;14:20;14:20;14:30;14:29;14:40;14:40;14:50;14:52;15:00;14:59;15:10;15:10;15:20;15:20;15:30;15:29;15:40;15:40;15:50;15:50;16:00;16:00;16:10;16:13;16:20;16:21;16:30;16:33;16:40;16:40;16:50;16:50;17:00;16:58;17:10;17:10;17:20;17:20;17:30;17:31;17:40;17:40;17:50;17:52;18:00;18:02;18:10;18:10;18:20;18:20;18:30;18:29;18:40;18:40;18:50;18:49;19:00;19:08;19:11;19:13;19:26;19:25;19:41;19:44;19:56;19:58;20:11;20:11;20:26;20:26;20:41;20:43;20:56;20:59;21:11;21:10;21:26;21:44;21:41;21:43;21:56;21:58;22:11;22:10;22:26;22:25;22:39;22:38;23:09;23:10;23:39;23:40;00:09;00:10
Goerdelerring;;;04:44;04:43;;;05:11;05:10;05:41;05:42;06:11;06:13;06:41;06:40;07:11;07:10;07:41;07:45;;;08:11;08:12;08:28;08:28;08:43;08:43;08:58;09:00;09:13;09:13;09:28;09:30;09:43;09:45;;;09:58;10:02;;;10:13;10:15;10:28;10:30;10:42;10:43;10:52;10:52;11:02;11:06;11:12;11:12;11:22;11:24;11:32;11:33;11:42;11:43;11:52;11:53;12:02;12:02;12:12;12:12;12:22;12:23;12:32;12:34;12:42;12:41;12:52;12:51;13:02;13:04;13:12;13:12;13:22;13:23;13:32;13:31;13:42;13:43;13:52;13:51;14:02;14:03;14:12;14:14;14:22;14:23;14:32;14:33;14:42;14:42;14:52;14:55;15:02;15:03;15:12;15:12;15:22;15:23;15:32;15:31;15:42;15:42;15:52;15:52;16:02;16:02;16:12;16:15;16:22;16:24;16:32;16:36;16:42;16:42;16:52;16:53;17:02;17:01;17:12;17:12;17:22;17:22;17:32;17:33;17:42;17:42;17:52;17:54;18:02;18:05;18:12;18:12;18:22;18:22;18:32;18:32;18:42;18:42;18:52;18:51;19:02;19:10;19:13;19:14;19:28;19:27;19:43;19:46;19:58;20:00;20:13;20:13;20:28;20:28;20:43;20:45;20:58;21:01;21:13;21:12;21:28;21:46;21:43;21:45;21:58;22:00;22:13;22:12;22:28;22:27;22:41;22:40;23:11;23:12;23:41;23:42;00:11;00:12
Hauptbahnhof, Westseite;;;04:46;04:44;04:47;04:48;05:17;05:16;05:47;05:47;06:17;06:18;06:47;06:46;07:17;07:16;07:47;07:47;;;08:17;08:16;08:31;08:30;08:46;08:45;09:01;09:02;09:16;09:15;09:31;09:33;09:46;09:47;;;10:01;10:05;;;10:16;10:18;10:31;10:32;10:45;10:45;10:55;10:54;11:05;11:09;11:15;11:14;11:25;11:27;11:35;11:34;11:45;11:45;11:55;11:56;12:05;12:04;12:15;12:14;12:25;12:26;12:35;12:36;12:45;12:44;12:55;12:54;13:05;13:06;13:15;13:15;13:25;13:24;13:35;13:34;13:45;13:45;13:55;13:54;14:05;14:05;14:15;14:15;14:25;14:26;14:35;14:35;14:45;14:44;14:55;14:57;15:05;15:05;15:15;15:14;15:25;15:26;15:35;15:34;15:45;15:44;15:55;15:55;16:05;16:04;16:15;16:17;16:25;16:26;16:35;16:38;16:45;16:45;16:55;16:56;17:05;17:03;17:15;17:14;17:25;17:24;17:35;17:35;17:45;17:45;17:55;17:57;18:05;18:06;18:15;18:14;18:25;18:24;18:35;18:35;18:45;18:44;18:55;18:54;19:05;19:12;19:16;19:16;19:31;19:30;19:46;19:48;20:01;20:02;20:16;20:16;20:31;20:30;20:46;20:47;21:01;21:03;21:16;21:15;21:31;21:49;21:46;21:47;22:01;22:02;22:16;22:16;22:31;22:30;22:47;22:47;23:17;23:16;23:47;23:46;00:17;00:17
Wilhelm-Liebknecht-Platz;04:33;04:33;;;04:49;04:50;05:19;05:18;05:49;05:49;06:19;06:20;06:49;06:48;07:19;07:18;07:49;07:49;08:04;08:04;08:19;08:18;08:33;08:33;08:48;08:47;09:03;09:03;09:18;09:17;09:33;09:35;09:48;09:49;09:40;09:40;10:03;10:06;10:10;10:09;10:18;10:20;10:33;10:34;10:47;10:47;10:57;10:57;11:07;11:12;11:17;11:15;11:27;11:29;11:37;11:36;11:47;11:48;11:57;11:58;12:07;12:07;12:17;12:16;12:27;12:27;12:37;12:39;12:47;12:46;12:57;12:57;13:07;13:08;13:17;13:17;13:27;13:27;13:37;13:36;13:47;13:47;13:57;13:56;14:07;14:06;14:17;14:18;14:27;14:28;14:37;14:36;14:47;14:47;14:57;14:59;15:07;15:07;15:17;15:16;15:27;15:28;15:37;15:36;15:47;15:46;15:57;15:57;16:07;16:06;16:17;16:19;16:27;16:29;16:37;16:39;16:47;16:47;16:57;16:58;17:07;17:06;17:17;17:16;17:27;17:27;17:37;17:37;17:47;17:47;17:57;17:59;18:07;18:09;18:17;18:15;18:27;18:27;18:37;18:37;18:47;18:46;18:57;18:57;19:07;19:14;19:18;19:17;19:33;19:32;19:48;19:51;20:03;20:03;20:18;20:18;20:33;20:32;20:48;20:48;21:03;21:05;21:18;21:17;21:33;21:50;21:48;21:48;22:03;22:03;22:18;22:18;22:33;22:32;22:49;22:48;23:19;23:18;23:49;23:48;00:19;00:19
Wittenberger Straße;04:35;04:35;;;04:51;04:51;05:21;05:20;05:51;05:50;06:21;06:21;06:51;06:50;07:21;07:20;07:51;07:51;08:06;08:06;08:21;08:20;08:35;08:35;08:50;08:49;09:05;09:05;09:20;09:19;09:35;09:37;09:50;09:50;09:42;09:42;10:05;10:09;10:12;10:12;10:20;10:23;10:35;10:36;10:49;10:49;10:59;10:58;11:09;11:14;11:19;11:18;11:29;11:31;11:39;11:38;11:49;11:50;11:59;12:01;12:09;12:09;12:19;12:18;12:29;12:30;12:39;12:41;12:49;12:49;12:59;12:59;13:09;13:10;13:19;13:19;13:29;13:29;13:39;13:39;13:49;13:49;13:59;13:59;14:09;14:08;14:19;14:20;14:29;14:31;14:39;14:38;14:49;14:49;14:59;15:00;15:09;15:10;15:19;15:19;15:29;15:30;15:39;15:38;15:49;15:49;15:59;15:59;16:09;16:08;16:19;16:22;16:29;16:31;16:39;16:41;16:49;16:49;16:59;17:00;17:09;17:08;17:19;17:19;17:29;17:29;17:39;17:39;17:49;17:49;17:59;18:02;18:09;18:11;18:19;18:18;18:29;18:29;18:39;18:39;18:49;18:48;18:59;18:59;19:09;19:16;19:20;19:20;19:35;19:34;19:50;19:53;20:05;20:05;20:20;20:19;20:35;20:34;20:50;20:51;21:05;21:07;21:20;21:19;21:35;21:52;21:50;21:51;22:05;22:05;22:20;22:20;22:35;22:34;22:51;22:50;23:21;23:20;23:51;23:50;00:21;00:20
Apelstraße;04:36;04:36;;;04:52;04:52;05:22;05:21;05:52;05:52;06:22;06:22;06:52;06:51;07:22;07:21;07:52;07:52;08:07;08:07;08:22;08:21;08:36;08:36;08:51;08:50;09:06;09:06;09:21;09:20;09:36;09:38;09:51;09:51;09:43;09:43;10:06;10:10;10:13;10:12;10:21;10:24;10:36;10:36;10:50;10:49;11:00;10:59;11:10;11:15;11:20;11:18;11:30;11:32;11:40;11:39;11:50;11:51;12:00;12:02;12:10;12:10;12:20;12:19;12:30;12:31;12:40;12:42;12:50;12:50;13:00;13:00;13:10;13:11;13:20;13:20;13:30;13:30;13:40;13:40;13:50;13:50;14:00;14:00;14:10;14:09;14:20;14:21;14:30;14:32;14:40;14:39;14:50;14:50;15:00;15:01;15:10;15:11;15:20;15:20;15:30;15:31;15:40;15:39;15:50;15:50;16:00;16:00;16:10;16:09;16:20;16:23;16:30;16:32;16:40;16:42;16:50;16:50;17:00;17:01;17:10;17:09;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:49;18:00;18:03;18:10;18:12;18:20;18:19;18:30;18:30;18:40;18:40;18:50;18:49;19:00;19:00;19:10;19:17;19:21;19:21;19:36;19:35;19:51;19:54;20:06;20:06;20:21;20:20;20:36;20:35;20:51;20:52;21:06;21:08;21:21;21:20;21:36;21:54;21:51;21:54;22:06;22:06;22:21;22:21;22:36;22:35;22:52;22:51;23:22;23:21;23:52;23:51;00:22;00:21
Hamburger Straße;04:37;04:37;;;04:53;04:53;05:23;05:22;05:53;05:53;06:23;06:23;06:53;06:52;07:23;07:22;07:53;07:53;08:08;08:08;08:23;08:22;08:37;08:37;08:52;08:51;09:07;09:07;09:22;09:21;09:37;09:39;09:52;09:52;09:44;09:44;10:07;10:11;10:14;10:13;10:22;10:25;10:37;10:37;10:51;10:51;11:01;11:00;11:11;11:16;11:21;11:19;11:31;11:33;11:41;11:40;11:51;11:52;12:01;12:03;12:11;12:12;12:21;12:20;12:31;12:32;12:41;12:43;12:51;12:51;13:01;13:01;13:11;13:12;13:21;13:21;13:31;13:31;13:41;13:41;13:51;13:52;14:01;14:01;14:11;14:10;14:21;14:22;14:31;14:33;14:41;14:40;14:51;14:51;15:01;15:03;15:11;15:12;15:21;15:21;15:31;15:32;15:41;15:40;15:51;15:51;16:01;16:01;16:11;16:10;16:21;16:25;16:31;16:33;16:41;16:43;16:51;16:51;17:01;17:02;17:11;17:10;17:21;17:21;17:31;17:31;17:41;17:41;17:51;17:51;18:01;18:04;18:11;18:13;18:21;18:20;18:31;18:31;18:41;18:41;18:51;18:50;19:01;19:01;19:11;19:18;19:22;19:22;19:37;19:36;19:52;19:55;20:07;20:08;20:22;20:22;20:37;20:36;20:52;20:53;21:07;21:09;21:22;21:21;21:37;21:55;21:52;21:55;22:07;22:07;22:22;22:22;22:37;22:36;22:53;22:52;23:23;23:22;23:53;23:53;00:23;00:22
Mockauer/Volbedingstraße;04:39;04:39;;;04:55;04:54;05:25;05:24;05:55;05:54;06:25;06:24;06:55;06:54;07:25;07:24;07:55;07:56;08:10;08:09;08:25;08:24;08:39;08:39;08:54;08:53;09:09;09:09;09:24;09:23;09:39;09:41;09:54;09:54;09:46;09:47;10:09;10:14;10:16;10:15;10:24;10:27;10:39;10:39;10:53;10:53;11:03;11:02;11:13;11:18;11:23;11:21;11:33;11:35;11:43;11:42;11:53;11:54;12:03;12:05;12:13;12:14;12:23;12:23;12:33;12:33;12:43;12:45;12:53;12:53;13:03;13:03;13:13;13:14;13:23;13:23;13:33;13:33;13:43;13:44;13:53;13:53;14:03;14:03;14:13;14:12;14:23;14:24;14:33;14:35;14:43;14:42;14:53;14:53;15:03;15:05;15:13;15:14;15:23;15:23;15:33;15:35;15:43;15:42;15:53;15:53;16:03;16:03;16:13;16:12;16:23;16:27;16:33;16:35;16:43;16:45;16:53;16:53;17:03;17:05;17:13;17:12;17:23;17:23;17:33;17:33;17:43;17:44;17:53;17:53;18:03;18:06;18:13;18:15;18:23;18:21;18:33;18:33;18:43;18:42;18:53;18:53;19:03;19:03;19:13;19:20;19:24;19:24;19:39;19:38;19:54;19:57;20:09;20:09;20:24;20:24;20:39;20:38;20:54;20:54;21:09;21:11;21:24;21:23;21:39;21:57;21:54;21:57;22:09;22:09;22:24;22:24;22:39;22:38;22:55;22:54;23:25;23:24;23:55;23:54;00:25;00:24
Friedrichshafner Straße;04:41;04:41;;;04:57;04:56;05:27;05:26;05:57;05:56;06:27;06:26;06:57;06:56;07:27;07:26;07:57;07:57;08:12;08:11;08:27;08:26;08:41;08:41;08:56;08:55;09:11;09:11;09:26;09:25;09:41;09:43;09:56;09:56;09:48;09:48;10:11;10:16;10:18;10:17;10:26;10:29;10:41;10:41;10:55;10:54;11:05;11:04;11:15;11:20;11:25;11:23;11:35;11:36;11:45;11:44;11:55;11:56;12:05;12:07;12:15;12:16;12:25;12:24;12:35;12:35;12:45;12:47;12:55;12:55;13:05;13:05;13:15;13:15;13:25;13:25;13:35;13:35;13:45;13:46;13:55;13:55;14:05;14:05;14:15;14:14;14:25;14:26;14:35;14:36;14:45;14:44;14:55;14:55;15:05;15:06;15:15;15:16;15:25;15:25;15:35;15:37;15:45;15:45;15:55;15:55;16:05;16:05;16:15;16:14;16:25;16:29;16:35;16:37;16:45;16:47;16:55;16:55;17:05;17:07;17:15;17:14;17:25;17:25;17:35;17:35;17:45;17:46;17:55;17:55;18:05;18:08;18:15;18:17;18:25;18:23;18:35;18:35;18:45;18:44;18:55;18:54;19:05;19:05;19:15;19:21;19:26;19:26;19:41;19:40;19:56;19:59;20:11;20:11;20:26;20:27;20:41;20:40;20:56;20:56;21:11;21:12;21:26;21:25;21:41;21:59;21:56;21:59;22:11;22:11;22:26;22:26;22:41;22:40;22:57;22:56;23:27;23:26;23:57;23:56;00:27;00:26
Döringstraße;04:42;04:42;;;04:58;04:57;05:28;05:27;05:58;05:57;06:28;06:27;06:58;06:57;07:28;07:27;07:58;07:59;08:13;08:12;08:28;08:27;08:42;08:43;08:57;08:56;09:12;09:12;09:27;09:26;09:42;09:44;09:57;09:57;09:49;09:50;10:12;10:17;10:19;10:18;10:27;10:31;10:42;10:42;10:56;10:55;11:06;11:06;11:16;11:22;11:26;11:25;11:36;11:38;11:46;11:46;11:56;11:58;12:06;12:08;12:16;12:17;12:26;12:26;12:36;12:36;12:46;12:48;12:56;12:56;13:06;13:06;13:16;13:17;13:26;13:26;13:36;13:36;13:46;13:47;13:56;13:56;14:06;14:07;14:16;14:15;14:26;14:27;14:36;14:37;14:46;14:46;14:56;14:56;15:06;15:08;15:16;15:17;15:26;15:26;15:36;15:38;15:46;15:46;15:56;15:56;16:06;16:06;16:16;16:16;16:26;16:30;16:36;16:38;16:46;16:48;16:56;16:56;17:06;17:08;17:16;17:15;17:26;17:26;17:36;17:36;17:46;17:47;17:56;17:56;18:06;18:09;18:16;18:19;18:26;18:25;18:36;18:36;18:46;18:45;18:56;18:56;19:06;19:06;19:16;19:23;19:27;19:27;19:42;19:41;19:57;20:00;20:12;20:12;20:27;20:28;20:42;20:41;20:57;20:57;21:12;21:14;21:27;21:26;21:42;22:00;21:57;22:00;22:12;22:12;22:27;22:27;22:42;22:41;22:58;22:57;23:28;23:27;23:58;23:58;00:28;00:27
Mockau, Post;04:44;04:43;;;05:00;04:58;05:30;05:28;06:00;05:59;06:30;06:28;07:00;06:58;07:30;07:28;08:00;08:00;08:15;08:13;08:30;08:28;08:44;08:44;08:59;08:57;09:14;09:13;09:29;09:27;09:44;09:46;09:59;09:58;09:51;09:51;10:14;10:18;10:21;10:20;10:29;10:32;10:44;10:43;10:58;10:57;11:08;11:07;11:18;11:23;11:28;11:26;11:38;11:39;11:48;11:47;11:58;11:59;12:08;12:09;12:18;12:18;12:28;12:27;12:38;12:37;12:48;12:50;12:58;12:57;13:08;13:08;13:18;13:18;13:28;13:27;13:38;13:38;13:48;13:49;13:58;13:57;14:08;14:08;14:18;14:17;14:28;14:29;14:38;14:39;14:48;14:47;14:58;14:57;15:08;15:09;15:18;15:18;15:28;15:27;15:38;15:39;15:48;15:47;15:58;15:57;16:08;16:08;16:18;16:17;16:28;16:31;16:38;16:39;16:48;16:50;16:58;16:57;17:08;17:09;17:18;17:16;17:28;17:27;17:38;17:37;17:48;17:48;17:58;17:57;18:08;18:10;18:18;18:20;18:28;18:26;18:38;18:37;18:48;18:47;18:58;18:57;19:08;19:07;19:18;19:24;19:29;19:28;19:44;19:43;19:59;20:03;20:14;20:13;20:29;20:29;20:44;20:42;20:59;20:58;21:14;21:15;21:29;21:27;21:44;22:01;21:59;22:02;22:14;22:14;22:29;22:30;22:44;22:42;23:00;22:58;23:30;23:28;00:00;23:59;00:30;00:28
Samuel-Lampel-Straße;04:45;04:44;;;05:01;05:00;05:31;05:29;06:01;06:00;06:31;06:29;07:01;07:00;07:31;07:29;08:01;08:02;08:16;08:15;08:31;08:30;08:45;08:45;09:00;08:58;09:15;09:14;09:30;09:29;09:45;09:47;10:00;09:59;09:52;09:52;10:15;10:19;10:22;10:21;10:30;10:33;10:45;10:44;10:59;10:58;11:09;11:08;11:19;11:24;11:29;11:27;11:39;11:40;11:49;11:48;11:59;12:00;12:09;12:10;12:19;12:20;12:29;12:28;12:39;12:38;12:49;12:51;12:59;12:58;13:09;13:09;13:19;13:19;13:29;13:28;13:39;13:39;13:49;13:50;13:59;13:59;14:09;14:09;14:19;14:18;14:29;14:30;14:39;14:40;14:49;14:48;14:59;14:59;15:09;15:10;15:19;15:19;15:29;15:28;15:39;15:40;15:49;15:48;15:59;15:58;16:09;16:09;16:19;16:18;16:29;16:33;16:39;16:41;16:49;16:51;16:59;16:59;17:09;17:10;17:19;17:18;17:29;17:29;17:39;17:38;17:49;17:49;17:59;17:58;18:09;18:11;18:19;18:21;18:29;18:27;18:39;18:38;18:49;18:48;18:59;18:58;19:09;19:09;19:19;19:25;19:30;19:29;19:45;19:44;20:00;20:04;20:15;20:14;20:30;20:30;20:45;20:43;21:00;20:59;21:15;21:16;21:30;21:28;21:45;22:02;22:00;22:03;22:15;22:15;22:30;22:31;22:45;22:43;23:01;22:59;23:31;23:30;00:01;00:00;00:31;00:29
